time,Re,inlet-p,outlet-p
0,0,4223937,4223937
0.1,0,4223937,4172961.2
0.2,4.5420518735134,4222507.2693656,4121985.4
0.3,8.7486467353101,4218052.4619432,4071009.6
0.4,12.537325471042,4209666.2258516,4020033.8
0.5,15.889338305472,4197120.4445964,3969058
0.6,18.824200924776,4180591.4301948,3918082.2
0.7,21.378611537063,4160435.6263654,3867106.4
0.8,23.594316224276,4137062.100474,3816130.6
0.9,25.51225600478,4110872.0189121,3765154.8
1,27.170132852585,4082234.0881537,3714179
1.1,28.601631861003,4051477.1246886,3485962.5
1.2,43.339636150973,4015094.5952488,3257746
1.3,56.146104937701,3969228.3667078,3029529.5
1.4,66.893343322031,3912050.8822364,2801313
1.5,75.634608147194,3843691.7626235,2573096.5
1.6,82.523026752728,3765404.2944821,2344880
1.7,87.74609314822,3678888.6148817,2116663.5
1.8,91.488964467125,3585913.7863051,1888447
1.9,93.917972159098,3488146.9208446,1660230.5
2,95.175118691424,3387092.6402519,1432014
2.1,95.377803853652,3284083.7577281,1347897.9
2.2,90.644028105547,3180861.2313899,1263781.8
2.3,86.091469531272,3079167.3120479,1179665.7
2.4,81.793720241067,2980292.6774751,1095549.6
2.5,77.779675294981,2884986.3166282,1011433.5
2.6,74.046969202734,2793574.7246927,927317.4
2.7,70.575747084518,2706116.5191514,843201.3
2.8,67.338269875947,2622522.6448528,759085.2
2.9,64.3045423001,2542633.6309729,674969.1
3,61.445249170239,2466264.4820053,590853
3.1,58.733120242478,2393229.0564725,561895
3.2,55.500339887048,2323389.6745669,532937
3.3,52.509047576312,2256657.1478556,503979
3.4,49.741910204338,2192957.1381805,475021
3.5,47.182182738557,2132202.4385473,446063
3.6,44.813168685562,2074283.4170723,417105
3.7,42.618416805782,2019070.9848913,388147
3.8,40.582091197423,1966424.2243172,359189
3.9,38.689280328601,1916198.0029994,330231
4,36.926182764415,1868248.8308337,301273
4.1,35.280183023063,1822438.7648058,291620.3
4.2,33.620127301687,1778640.0294149,281967.6
4.3,32.071940691172,1736737.1426265,272314.9
4.4,30.626461287088,1696625.7977287,262662.2
4.5,29.275487371869,1658209.9822961,253009.5
4.6,28.011550925537,1621399.4846968,243356.8
4.7,26.827803403632,1586108.4442724,233704.1
4.8,25.717948286212,1552254.7937757,224051.4
4.9,24.676197542954,1519760.2049576,214398.7
5,23.697237931867,1488550.2202778,204746
5.1,22.776200079418,1458554.3907343,198540.8
5.2,21.893621200342,1429706.4367513,192335.6
5.3,21.061644321722,1401944.3374334,186130.4
5.4,20.276541074918,1375210.2369838,179925.2
5.5,19.534918182869,1349450.1838344,173720
5.6,18.833673490328,1324613.7969226,167514.8
5.7,18.169965074989,1300653.9414357,161309.6
5.8,17.541185153356,1277526.4512427,155104.4
5.9,16.944937749132,1255189.9011964,148899.2
6,16.379019328477,1233605.4182068,142694
6.1,15.841401742485,1212736.5183958,140625.5
6.2,15.317406211077,1192549.1426714,138557
6.3,14.818876774247,1173010.9710402,136488.5
6.4,14.344205054971,1154091.8712635,134420
6.5,13.89191906646,1135763.5704021,132351.5
6.6,13.460659278649,1117999.508508,130283
6.7,13.049167065856,1100774.6913321,128214.5
6.8,12.65627515285,1084065.5542168,126146
6.9,12.280899344681,1067849.8434569,124077.5
7,11.922031322951,1052106.5156327,122009
7.1,11.578732324051,1036815.6522379,120630.1
7.2,11.248274724121,1021958.3861358,119251.2
7.3,10.931751472736,1007516.838087,117872.3
