time,Re,inlet-p,outlet-p
0,0,4223937,4223937
0.1,0,4223937,4172961.2
0.2,6.6454911744721,4220465.2534597,4121985.4
0.3,11.649643478128,4211981.837683,4071009.6
0.4,15.604290545823,4198565.6403508,4020033.8
0.5,18.795297871453,4180825.3699338,3969058
0.6,21.414364050922,4159422.0728158,3918082.2
0.7,23.594219599816,4134935.0923731,3867106.4
0.8,25.428894525185,4107844.1750952,3816130.6
0.9,26.986749911254,4078541.9872495,3765154.8
1,28.318783465472,4047351.0590704,3714179
1.1,29.463948870185,4014538.5563781,3485962.5
1.2,39.6300004657,3977670.5133232,3257746
1.3,47.947966067417,3934582.7054503,3029529.5
1.4,54.808480437995,3884525.6986671,2801313
1.5,60.422287550579,3827741.3151083,2573096.5
1.6,64.973271308626,3764921.9411799,2344880
1.7,68.613821118051,3696901.1968083,2116663.5
1.8,71.464822358397,3624515.3607446,1888447
1.9,73.620129302102,3548550.801461,1660230.5
2,75.151693947186,3469729.3673522,1432014
2.1,76.113858444888,3388709.3475574,1347897.9
2.2,75.067439232429,3306185.8467427,1263781.8
2.3,73.743804190674,3222896.1466124,1179665.7
2.4,72.246481450913,3139543.3069015,1095549.6
2.5,70.640798755881,3056725.9537929,1011433.5
2.6,68.971183874654,2974909.8571622,927317.4
2.7,67.267157820524,2894433.5625968,843201.3
2.8,65.547363145539,2815530.4689793,759085.2
2.9,63.822642917966,2738354.4458603,674969.1
3,62.098325231452,2663002.8268162,590853
3.1,60.375807421572,2589534.7955385,561895
3.2,58.353642269964,2517992.3790134,532937
3.3,56.369713475486,2448414.2276453,503979
3.4,54.432492971368,2380836.6084911,475021
3.5,52.547598239726,2315287.125406,446063
3.6,50.718929670508,2251779.1247194,417105
3.7,48.948849987756,2190309.3050744,388147
3.8,47.238351810458,2130858.6089597,359189
3.9,45.587282399084,2073394.9503763,330231
4,43.994592216657,2017877.0544752,301273
4.1,42.458491232129,1964256.1508706,291620.3
4.2,40.907130155041,1912479.8161026,281967.6
4.3,39.414096974708,1862495.0741827,272314.9
4.4,37.978490599706,1814248.1758665,262662.2
4.5,36.599032499128,1767685.4098608,253009.5
4.6,35.274270854372,1722752.9763132,243356.8
4.7,34.002627099611,1679396.8736903,233704.1
4.8,32.78241887985,1637562.9780352,224051.4
4.9,31.611884212829,1597197.295697,214398.7
5,30.489207651963,1558246.3031101,204746
5.1,29.412545329427,1520657.2957343,198540.8
5.2,28.369242597479,1484378.9661685,192335.6
5.3,27.368738065273,1449360.6174083,186130.4
5.4,26.409352875391,1415553.3836298,179925.2
5.5,25.489419768289,1382910.0083859,173720
5.6,24.607308603315,1351384.9025148,167514.8
5.7,23.761434202202,1320934.1532489,161309.6
5.8,22.9502590291,1291515.5100183,155104.4
5.9,22.172294281247,1263088.361978,148899.2
6,21.426100320856,1235613.7129009,142694
6.1,20.710286658116,1209054.15446,140625.5
6.2,20.012739680239,1183373.7251169,138557
6.3,19.343341363326,1158537.7648233,136488.5
6.4,18.700898944941,1134512.8674882,134420
6.5,18.084253292377,1111266.907342,132351.5
6.6,17.49229010747,1088769.0747283,130283
6.7,16.923943119334,1066989.884458,128214.5
6.8,16.378193733531,1045901.1518694,126146
6.9,15.854069358235,1025475.9462181,124077.5
7,15.350641199974,1005688.5326336,122009
7.1,14.867021941912,986514.31074241,120630.1
7.2,14.400487774543,967929.74962455,119251.2
7.3,13.952096676665,949912.32904318,117872.3
