particle_diameter_1,particle_diameter_2
5e-06,2e-07
5e-06,2.368421052631579e-07
5e-06,2.736842105263158e-07
5e-06,3.1052631578947366e-07
5e-06,3.4736842105263157e-07
5e-06,3.8421052631578947e-07
5e-06,4.2105263157894733e-07
5e-06,4.5789473684210523e-07
5e-06,4.947368421052631e-07
5e-06,5.315789473684211e-07
5e-06,5.68421052631579e-07
5e-06,6.052631578947368e-07
5e-06,6.421052631578947e-07
5e-06,6.789473684210526e-07
5e-06,7.157894736842105e-07
5e-06,7.526315789473684e-07
5e-06,7.894736842105263e-07
5e-06,8.263157894736841e-07
5e-06,8.631578947368421e-07
5e-06,9e-07
4.157894736842105e-05,2e-07
4.157894736842105e-05,2.368421052631579e-07
4.157894736842105e-05,2.736842105263158e-07
4.157894736842105e-05,3.1052631578947366e-07
4.157894736842105e-05,3.4736842105263157e-07
4.157894736842105e-05,3.8421052631578947e-07
4.157894736842105e-05,4.2105263157894733e-07
4.157894736842105e-05,4.5789473684210523e-07
4.157894736842105e-05,4.947368421052631e-07
4.157894736842105e-05,5.315789473684211e-07
4.157894736842105e-05,5.68421052631579e-07
4.157894736842105e-05,6.052631578947368e-07
4.157894736842105e-05,6.421052631578947e-07
4.157894736842105e-05,6.789473684210526e-07
4.157894736842105e-05,7.157894736842105e-07
4.157894736842105e-05,7.526315789473684e-07
4.157894736842105e-05,7.894736842105263e-07
4.157894736842105e-05,8.263157894736841e-07
4.157894736842105e-05,8.631578947368421e-07
4.157894736842105e-05,9e-07
7.81578947368421e-05,2e-07
7.81578947368421e-05,2.368421052631579e-07
7.81578947368421e-05,2.736842105263158e-07
7.81578947368421e-05,3.1052631578947366e-07
7.81578947368421e-05,3.4736842105263157e-07
7.81578947368421e-05,3.8421052631578947e-07
7.81578947368421e-05,4.2105263157894733e-07
7.81578947368421e-05,4.5789473684210523e-07
7.81578947368421e-05,4.947368421052631e-07
7.81578947368421e-05,5.315789473684211e-07
7.81578947368421e-05,5.68421052631579e-07
7.81578947368421e-05,6.052631578947368e-07
7.81578947368421e-05,6.421052631578947e-07
7.81578947368421e-05,6.789473684210526e-07
7.81578947368421e-05,7.157894736842105e-07
7.81578947368421e-05,7.526315789473684e-07
7.81578947368421e-05,7.894736842105263e-07
7.81578947368421e-05,8.263157894736841e-07
7.81578947368421e-05,8.631578947368421e-07
7.81578947368421e-05,9e-07
0.00011473684210526316,2e-07
0.00011473684210526316,2.368421052631579e-07
0.00011473684210526316,2.736842105263158e-07
0.00011473684210526316,3.1052631578947366e-07
0.00011473684210526316,3.4736842105263157e-07
0.00011473684210526316,3.8421052631578947e-07
0.00011473684210526316,4.2105263157894733e-07
0.00011473684210526316,4.5789473684210523e-07
0.00011473684210526316,4.947368421052631e-07
0.00011473684210526316,5.315789473684211e-07
0.00011473684210526316,5.68421052631579e-07
0.00011473684210526316,6.052631578947368e-07
0.00011473684210526316,6.421052631578947e-07
0.00011473684210526316,6.789473684210526e-07
0.00011473684210526316,7.157894736842105e-07
0.00011473684210526316,7.526315789473684e-07
0.00011473684210526316,7.894736842105263e-07
0.00011473684210526316,8.263157894736841e-07
0.00011473684210526316,8.631578947368421e-07
0.00011473684210526316,9e-07
0.00015131578947368422,2e-07
0.00015131578947368422,2.368421052631579e-07
0.00015131578947368422,2.736842105263158e-07
0.00015131578947368422,3.1052631578947366e-07
0.00015131578947368422,3.4736842105263157e-07
0.00015131578947368422,3.8421052631578947e-07
0.00015131578947368422,4.2105263157894733e-07
0.00015131578947368422,4.5789473684210523e-07
0.00015131578947368422,4.947368421052631e-07
0.00015131578947368422,5.315789473684211e-07
0.00015131578947368422,5.68421052631579e-07
0.00015131578947368422,6.052631578947368e-07
0.00015131578947368422,6.421052631578947e-07
0.00015131578947368422,6.789473684210526e-07
0.00015131578947368422,7.157894736842105e-07
0.00015131578947368422,7.526315789473684e-07
0.00015131578947368422,7.894736842105263e-07
0.00015131578947368422,8.263157894736841e-07
0.00015131578947368422,8.631578947368421e-07
0.00015131578947368422,9e-07
0.00018789473684210526,2e-07
0.00018789473684210526,2.368421052631579e-07
0.00018789473684210526,2.736842105263158e-07
0.00018789473684210526,3.1052631578947366e-07
0.00018789473684210526,3.4736842105263157e-07
0.00018789473684210526,3.8421052631578947e-07
0.00018789473684210526,4.2105263157894733e-07
0.00018789473684210526,4.5789473684210523e-07
0.00018789473684210526,4.947368421052631e-07
0.00018789473684210526,5.315789473684211e-07
0.00018789473684210526,5.68421052631579e-07
0.00018789473684210526,6.052631578947368e-07
0.00018789473684210526,6.421052631578947e-07
0.00018789473684210526,6.789473684210526e-07
0.00018789473684210526,7.157894736842105e-07
0.00018789473684210526,7.526315789473684e-07
0.00018789473684210526,7.894736842105263e-07
0.00018789473684210526,8.263157894736841e-07
0.00018789473684210526,8.631578947368421e-07
0.00018789473684210526,9e-07
0.00022447368421052633,2e-07
0.00022447368421052633,2.368421052631579e-07
0.00022447368421052633,2.736842105263158e-07
0.00022447368421052633,3.1052631578947366e-07
0.00022447368421052633,3.4736842105263157e-07
0.00022447368421052633,3.8421052631578947e-07
0.00022447368421052633,4.2105263157894733e-07
0.00022447368421052633,4.5789473684210523e-07
0.00022447368421052633,4.947368421052631e-07
0.00022447368421052633,5.315789473684211e-07
0.00022447368421052633,5.68421052631579e-07
0.00022447368421052633,6.052631578947368e-07
0.00022447368421052633,6.421052631578947e-07
0.00022447368421052633,6.789473684210526e-07
0.00022447368421052633,7.157894736842105e-07
0.00022447368421052633,7.526315789473684e-07
0.00022447368421052633,7.894736842105263e-07
0.00022447368421052633,8.263157894736841e-07
0.00022447368421052633,8.631578947368421e-07
0.00022447368421052633,9e-07
0.00026105263157894735,2e-07
0.00026105263157894735,2.368421052631579e-07
0.00026105263157894735,2.736842105263158e-07
0.00026105263157894735,3.1052631578947366e-07
0.00026105263157894735,3.4736842105263157e-07
0.00026105263157894735,3.8421052631578947e-07
0.00026105263157894735,4.2105263157894733e-07
0.00026105263157894735,4.5789473684210523e-07
0.00026105263157894735,4.947368421052631e-07
0.00026105263157894735,5.315789473684211e-07
0.00026105263157894735,5.68421052631579e-07
0.00026105263157894735,6.052631578947368e-07
0.00026105263157894735,6.421052631578947e-07
0.00026105263157894735,6.789473684210526e-07
0.00026105263157894735,7.157894736842105e-07
0.00026105263157894735,7.526315789473684e-07
0.00026105263157894735,7.894736842105263e-07
0.00026105263157894735,8.263157894736841e-07
0.00026105263157894735,8.631578947368421e-07
0.00026105263157894735,9e-07
0.0002976315789473684,2e-07
0.0002976315789473684,2.368421052631579e-07
0.0002976315789473684,2.736842105263158e-07
0.0002976315789473684,3.1052631578947366e-07
0.0002976315789473684,3.4736842105263157e-07
0.0002976315789473684,3.8421052631578947e-07
0.0002976315789473684,4.2105263157894733e-07
0.0002976315789473684,4.5789473684210523e-07
0.0002976315789473684,4.947368421052631e-07
0.0002976315789473684,5.315789473684211e-07
0.0002976315789473684,5.68421052631579e-07
0.0002976315789473684,6.052631578947368e-07
0.0002976315789473684,6.421052631578947e-07
0.0002976315789473684,6.789473684210526e-07
0.0002976315789473684,7.157894736842105e-07
0.0002976315789473684,7.526315789473684e-07
0.0002976315789473684,7.894736842105263e-07
0.0002976315789473684,8.263157894736841e-07
0.0002976315789473684,8.631578947368421e-07
0.0002976315789473684,9e-07
0.0003342105263157895,2e-07
0.0003342105263157895,2.368421052631579e-07
0.0003342105263157895,2.736842105263158e-07
0.0003342105263157895,3.1052631578947366e-07
0.0003342105263157895,3.4736842105263157e-07
0.0003342105263157895,3.8421052631578947e-07
0.0003342105263157895,4.2105263157894733e-07
0.0003342105263157895,4.5789473684210523e-07
0.0003342105263157895,4.947368421052631e-07
0.0003342105263157895,5.315789473684211e-07
0.0003342105263157895,5.68421052631579e-07
0.0003342105263157895,6.052631578947368e-07
0.0003342105263157895,6.421052631578947e-07
0.0003342105263157895,6.789473684210526e-07
0.0003342105263157895,7.157894736842105e-07
0.0003342105263157895,7.526315789473684e-07
0.0003342105263157895,7.894736842105263e-07
0.0003342105263157895,8.263157894736841e-07
0.0003342105263157895,8.631578947368421e-07
0.0003342105263157895,9e-07
0.0003707894736842105,2e-07
0.0003707894736842105,2.368421052631579e-07
0.0003707894736842105,2.736842105263158e-07
0.0003707894736842105,3.1052631578947366e-07
0.0003707894736842105,3.4736842105263157e-07
0.0003707894736842105,3.8421052631578947e-07
0.0003707894736842105,4.2105263157894733e-07
0.0003707894736842105,4.5789473684210523e-07
0.0003707894736842105,4.947368421052631e-07
0.0003707894736842105,5.315789473684211e-07
0.0003707894736842105,5.68421052631579e-07
0.0003707894736842105,6.052631578947368e-07
0.0003707894736842105,6.421052631578947e-07
0.0003707894736842105,6.789473684210526e-07
0.0003707894736842105,7.157894736842105e-07
0.0003707894736842105,7.526315789473684e-07
0.0003707894736842105,7.894736842105263e-07
0.0003707894736842105,8.263157894736841e-07
0.0003707894736842105,8.631578947368421e-07
0.0003707894736842105,9e-07
0.0004073684210526316,2e-07
0.0004073684210526316,2.368421052631579e-07
0.0004073684210526316,2.736842105263158e-07
0.0004073684210526316,3.1052631578947366e-07
0.0004073684210526316,3.4736842105263157e-07
0.0004073684210526316,3.8421052631578947e-07
0.0004073684210526316,4.2105263157894733e-07
0.0004073684210526316,4.5789473684210523e-07
0.0004073684210526316,4.947368421052631e-07
0.0004073684210526316,5.315789473684211e-07
0.0004073684210526316,5.68421052631579e-07
0.0004073684210526316,6.052631578947368e-07
0.0004073684210526316,6.421052631578947e-07
0.0004073684210526316,6.789473684210526e-07
0.0004073684210526316,7.157894736842105e-07
0.0004073684210526316,7.526315789473684e-07
0.0004073684210526316,7.894736842105263e-07
0.0004073684210526316,8.263157894736841e-07
0.0004073684210526316,8.631578947368421e-07
0.0004073684210526316,9e-07
0.00044394736842105265,2e-07
0.00044394736842105265,2.368421052631579e-07
0.00044394736842105265,2.736842105263158e-07
0.00044394736842105265,3.1052631578947366e-07
0.00044394736842105265,3.4736842105263157e-07
0.00044394736842105265,3.8421052631578947e-07
0.00044394736842105265,4.2105263157894733e-07
0.00044394736842105265,4.5789473684210523e-07
0.00044394736842105265,4.947368421052631e-07
0.00044394736842105265,5.315789473684211e-07
0.00044394736842105265,5.68421052631579e-07
0.00044394736842105265,6.052631578947368e-07
0.00044394736842105265,6.421052631578947e-07
0.00044394736842105265,6.789473684210526e-07
0.00044394736842105265,7.157894736842105e-07
0.00044394736842105265,7.526315789473684e-07
0.00044394736842105265,7.894736842105263e-07
0.00044394736842105265,8.263157894736841e-07
0.00044394736842105265,8.631578947368421e-07
0.00044394736842105265,9e-07
0.00048052631578947367,2e-07
0.00048052631578947367,2.368421052631579e-07
0.00048052631578947367,2.736842105263158e-07
0.00048052631578947367,3.1052631578947366e-07
0.00048052631578947367,3.4736842105263157e-07
0.00048052631578947367,3.8421052631578947e-07
0.00048052631578947367,4.2105263157894733e-07
0.00048052631578947367,4.5789473684210523e-07
0.00048052631578947367,4.947368421052631e-07
0.00048052631578947367,5.315789473684211e-07
0.00048052631578947367,5.68421052631579e-07
0.00048052631578947367,6.052631578947368e-07
0.00048052631578947367,6.421052631578947e-07
0.00048052631578947367,6.789473684210526e-07
0.00048052631578947367,7.157894736842105e-07
0.00048052631578947367,7.526315789473684e-07
0.00048052631578947367,7.894736842105263e-07
0.00048052631578947367,8.263157894736841e-07
0.00048052631578947367,8.631578947368421e-07
0.00048052631578947367,9e-07
0.0005171052631578947,2e-07
0.0005171052631578947,2.368421052631579e-07
0.0005171052631578947,2.736842105263158e-07
0.0005171052631578947,3.1052631578947366e-07
