time,Re,inlet-p,outlet-p
0,0,5692359,5692359
0.1,0,5692359,5409735.476
0.2,25.133880350101,5679127.4835767,5127111.952
0.3,39.230035581338,5652084.6757632,4844488.428
0.4,49.685511650757,5613027.9724751,4561864.904
0.5,57.925901666874,5563751.9223016,4279241.38
0.6,64.606625232597,5505777.0613729,3996617.856
0.7,70.099472311583,5440374.6827965,3713994.332
0.8,74.640000558771,5368618.8993644,3431370.808
0.9,78.388219018877,5291430.2856575,3148747.284
1,81.45806227752,5209608.9385822,2866123.76
1.1,83.93332720779,5123859.2439079,2691686.332
1.2,84.768278830199,5034867.4232749,2517248.904
1.3,85.222447423673,4943324.282888,2342811.476
1.4,85.380206067181,4849891.586378,2168374.048
1.5,85.297366485349,4755162.0872162,1993936.62
1.6,85.013913589573,4659639.485501,1819499.192
1.7,84.558413241984,4563738.4747054,1645061.764
1.8,83.950806350394,4467796.2368481,1470624.336
1.9,83.204494289328,4372087.7897629,1296186.908
2,82.327856475653,4276840.9117122,1121749.48
2.1,81.325216212112,4182248.9924636,1056938.736
2.2,79.730786110194,4088487.8730146,992127.992
2.3,78.086097561801,3995729.7271646,927317.248
2.4,76.410144771265,3904145.6685819,862506.504
2.5,74.716134730145,3813898.9052542,797695.76
2.6,73.014558320477,3725135.5808155,732885.016
2.7,71.313674932685,3637978.4163032,668074.272
2.8,69.619619268686,3552524.6044997,603263.528
2.9,67.936484636988,3468847.270317,538452.784
3,66.266358492171,3386998.7669127,473642.04
3.1,64.609167953729,3307015.4917932,454336.712
3.2,62.87047840432,3228920.7505887,435031.384
3.3,61.165441014371,3152726.4263289,415726.056
3.4,59.496602065156,3078434.4825334,396420.728
3.5,57.865474271549,3006038.4787347,377115.4
3.6,56.272940417555,2935524.9275908,357810.072
3.7,54.719408962413,2866874.4632908,338504.744
3.8,53.204888157766,2800062.9004364,319199.416
3.9,51.729029223383,2735062.2491585,299894.088
4,50.291150352384,2671841.7046476,280588.76
4.1,48.890240139547,2610368.6034188,270936.096
4.2,47.514274831458,2550609.0015702,261283.432
4.3,46.178302753935,2492525.4934473,251630.768
4.4,44.881404762847,2436078.6950933,241978.104
4.5,43.622596432535,2381227.1468264,232325.44
4.6,42.400794418627,2327928.1930633,222672.776
4.7,41.21483815146,2276138.9108746,213020.112
4.8,40.063516557171,2225816.874097,203367.448
4.9,38.945586683225,2176920.6956086,193714.784
5,37.859780807291,2129410.3768384,184062.12
5.1,36.804802270527,2083247.5215176,179235.788
5.2,35.778411399526,2038394.4378367,174409.456
5.3,34.784633302162,1994814.42341,169583.124
5.4,33.822086304653,1952469.8560828,164756.792
5.5,32.889562697135,1911322.6081428,159930.46
5.6,31.98590308305,1871334.5009975,155104.128
5.7,31.109976416669,1832467.9079609,150277.796
5.8,30.260686547155,1794686.2770663,145451.464
5.9,29.436981783957,1757954.4837109,140625.132
6,28.637860281314,1722239.0147959,135798.8
6.1,27.862370352344,1687508.0246096,133730.372
6.2,27.110166667521,1653731.2574668,131661.944
6.3,26.382255228981,1620878.4551115,129593.516
6.4,25.677353702128,1588919.8269989,127525.088
6.5,24.994399244712,1557825.6677295,125456.66
6.6,24.332424396911,1527566.618083,123388.232
6.7,23.690525921178,1498114.039713,121319.804
6.8,23.067859646089,1469440.3443085,119251.376
6.9,22.463641008198,1441519.2077251,117182.948
7,21.877144697837,1414325.6646865,115114.52
7.1,21.307702047209,1387836.1098462,114425.044
7.2,20.754261746369,1362028.1234929,113735.568
7.3,20.21726018451,1336880.1888982,113046.092
7.4,19.695907997297,1312371.4718611,112356.616
7.5,19.189543975918,1288481.7497947,111667.14
7.6,18.69757633377,1265191.4606349,110977.664
7.7,18.219463712344,1242481.7965041,110288.188
7.8,17.754707850969,1220334.7824403,109598.712
7.9,17.302849548925,1198733.3133367,108909.236
8,16.863465111737,1177661.1472636,108219.76
8.1,16.436162586328,1157102.8654217,108219.76
8.2,16.019850173222,1137045.5932383,108219.76
8.3,15.614958073113,1117473.3813695,108219.76
8.4,15.221110301451,1098372.710634,108219.76
8.5,14.837969430593,1079730.5398764,108219.76
8.6,14.465222373756,1061534.2856733,108219.76
8.7,14.102574541458,1043771.8170977,108219.76
8.8,13.749746880134,1026431.4502803,108219.76
8.9,13.406473910959,1009501.9355793,108219.76
9,13.07250209587,992972.43658109,108219.76
9.1,12.747588339338,976832.50333288,108219.76
9.2,12.431498609304,961072.04296887,108219.76
