,t_1000_psi,,P_1000_psi,,,,,,,,,,,,,,,t_800_psi,P_800_psi,,,,,,,,,,,t_600_psi,P_600_psi,,,,,,,,,,,,,,,
CT13-1,0,999,6988431,CT13-2,0,1004,,CT13-3,0,1002,,CT13-4,0,819,,CT13-5,0,805,5650995,CT13-6,0,818,,CT13-7,0,591,,CT13-8,0,603,4258407,CT13-9,0,619,,CT13-10,0,615,,CT13-11,0,634,,CT13-12,0,606
,1,989,6919491,,1,981,,,1,963,,,1,790,,,1,760,5340765,,1,798,,,1,578,,,1,592,4182573,,1,597,,,1,584,,,1,615,,,1,584
,2,961,6726459,,2,936,,,2,915,,,2,751,,,2,713,5016747,,2,755,,,2,540,,,2,563,3982647,,2,567,,,2,544,,,2,585,,,2,555
,3,932,6526533,,3,890,,,3,867,,,3,711,,,3,671,4727199,,3,710,,,3,511,,,3,524,3713781,,3,536,,,3,515,,,3,554,,,3,526
,4,902,6319713,,4,846,,,4,824,,,4,677,,,4,638,4499697,,4,667,,,4,483,,,4,496,3520749,,4,500,,,4,487,,,4,516,,,4,491
,5,868,6085317,,5,813,,,5,784,,,5,638,,,5,596,4210149,,5,635,,,5,456,,,5,467,3320823,,5,474,,,5,457,,,5,489,,,5,463
,6,845,5926755,,6,769,,,6,744,,,6,610,,,6,565,3996435,,6,593,,,6,426,,,6,444,3162261,,6,451,,,6,435,,,6,465,,,6,442
,7,815,5719935,,7,738,,,7,712,,,7,582,,,7,536,3796509,,7,563,,,7,406,,,7,416,2969229,,7,422,,,7,408,,,7,435,,,7,414
,8,794,5575161,,8,707,,,8,682,,,8,554,,,8,501,3555219,,8,534,,,8,384,,,8,396,2831349,,8,401,,,8,388,,,8,415,,,8,395
,9,766,5382129,,9,670,,,9,645,,,9,523,,,9,473,3362187,,9,500,,,9,363,,,9,375,2686575,,9,374,,,9,367,,,9,388,,,9,375
,10,747,5251143,,10,643,,,10,618,,,10,502,,,10,451,3210519,,10,472,,,10,342,,,10,354,2541801,,10,353,,,10,346,,,10,366,,,10,354
,11,727,5113263,,11,614,,,11,592,,,11,474,,,11,422,3010593,,11,452,,,11,323,,,11,334,2403921,,11,333,,,11,326,,,11,346,,,11,334
,12,705,4961595,,12,591,,,12,562,,,12,455,,,12,402,2872713,,12,423,,,12,302,,,12,315,2272935,,12,320,,,12,306,,,12,326,,,12,315
,13,684,4816821,,13,561,,,13,540,,,13,433,,,13,383,2741727,,13,403,,,13,289,,,13,295,2135055,,13,299,,,13,286,,,13,313,,,13,294
,14,663,4672047,,14,540,,,14,512,,,14,413,,,14,361,2590059,,14,376,,,14,270,,,14,281,2038539,,14,279,,,14,274,,,14,293,,,14,282
,15,643,4534167,,15,512,,,15,492,,,15,393,,,15,341,2452179,,15,355,,,15,256,,,15,262,1907553,,15,267,,,15,260,,,15,272,,,15,268
,16,624,4403181,,16,493,,,16,464,,,16,374,,,16,322,2321193,,16,335,,,16,243,,,16,249,1817931,,16,254,,,16,240,,,16,261,,,16,249
,17,604,4265301,,17,472,,,17,444,,,17,353,,,17,301,2176419,,17,323,,,17,229,,,17,236,1728309,,17,240,,,17,226,,,17,247,,,17,236
,18,583,4120527,,18,451,,,18,424,,,18,340,,,18,281,2038539,,18,303,,,18,216,,,18,222,1631793,,18,226,,,18,219,,,18,234,,,18,226
,19,570,4030905,,19,431,,,19,404,,,19,321,,,19,269,1955811,,19,283,,,19,204,,,19,210,1549065,,19,213,,,19,206,,,19,221,,,19,214
,20,551,3899919,,20,411,,,20,383,,,20,308,,,20,256,1866189,,20,270,,,20,192,,,20,198,1466337,,20,201,,,20,194,,,20,208,,,20,202
,21,538,3810297,,21,392,,,21,371,,,21,294,,,21,242,1769673,,21,257,,,21,181,,,21,186,1383609,,21,189,,,21,183,,,21,196,,,21,192
,22,518,3672417,,22,372,,,22,351,,,22,273,,,22,228,1673157,,22,236,,,22,170,,,22,175,1307775,,22,178,,,22,172,,,22,185,,,22,182
