time,Re,inlet-p,outlet-p
0,0,4258407,4258407
1,0,4258407,3714179
2,3.1549856741903,4032977.2747895,1432014
3,11.0726252239,3271422.3386666,590853
4,8.3311175848763,2613885.9364663,301273
5,5.8440047139256,2147377.5724087,204746
6,4.2418474090368,1819118.6258066,142694
7,3.2447940594711,1583037.0113244,122009
8,2.5605882381684,1404670.354036,108220
9,2.0748695939723,1263815.5234922,108220
10,1.7041591864107,1147488.4235319,108220
11,1.4170085992533,1048511.8459974,101325
12,1.1949297896951,963421.11991782,101325
13,1.0145813261331,889470.04838925,101325
14,0.86844453042921,824569.71057909,101325
15,0.74875032757414,767198.99531324,101325
16,0.64984354471945,716211.00433312,101325
17,0.56748428672342,670698.82216293,101325
18,0.49842429654215,629920.38641859,101325
19,0.44013820401753,593256.07815854,101325
20,0.39064632737494,560185.4844185,101325
21,0.34837117025481,530259.57501197,101325
22,0.31205900658093,503097.61747933,101325
23,0.28070305896423,478372.82193403,101325
24,0.25348992339991,455803.77242792,101325
25,0.22975859381651,435147.38548389,101325
26,0.20896888721625,416193.06972684,101325
27,0.19067695642478,398757.85463101,101325
28,0.17451618822955,382682.31244454,101325
29,0.16018221996232,367827.13449677,101325
30,0.14742112379485,354070.24992078,101325
31,0.13602004061233,341304.39535516,101325
32,0.1257997179226,329435.06045403,101325
33,0.11660853519828,318378.74717258,101325
34,0.10831769692403,308061.49151578,101325
35,0.10081734678004,298417.60523502,101325
36,0.094013411908272,289388.60219494,101325
37,0.087825028530928,280922.28009841,101325
38,0.082182432604465,272971.93317882,101325
39,0.077025224128201,265495.67553312,101325
40,0.072300932995686,258455.85812812,101325
41,0.067963829232433,251818.56529131,101325
42,0.063973932121851,245553.17879964,101325
43,0.060296181848212,239631.99958869,101325
44,0.056899744461122,234029.9186902,101325
45,0.05375742663095,228724.13032519,101325
46,0.050845181155427,223693.88117869,101325
47,0.048141687751774,218920.25079986,101325
48,0.045627996524619,214385.95883848,101325
49,0.043289321477292,210079.09865516,101325
50,0.041108206170261,205980.90078696,101325
51,0.039071190911219,202078.10103567,101325
52,0.037166201575756,198358.50361211,101325
53,0.035382384267397,194810.87787975,101325
54,0.033709962281401,191424.86655693,101325
55,0.032140112006871,188190.90398762,101325
56,0.030664854989528,185100.14325098,101325
57,0.029276963820289,182144.39103423,101325
58,0.027969879883069,179316.04933502,101325
59,0.026737641301838,176608.06318493,101325
60,0.025574819681796,174013.87369228,101325
61,0.024476464451806,171527.3757938,101325
62,0.023438053792587,169142.88018236,101325
63,0.02245545128388,166855.07894501,101325
64,0.021524867528869,164659.01450306,101325
65,0.020642826119655,162550.05149555,101325
66,0.019806133396765,160523.85129098,101325
67,0.019011851531364,158576.34884921,101325
68,0.018257274523122,156703.73168832,101325
69,0.01753990676146,154902.42073961,101325
70,0.016857443844682,153169.05289846,101325
71,0.016207755391538,151500.46510096,101325
72,0.015588869614053,149893.67977479,101325
73,0.014998959450025,148345.89152978,101325
74,0.014436330078925,146854.45496823,101325
75,0.013899407666934,145416.87350784,101325
76,0.013386729205745,144030.78912177,101325
77,0.012896933326222,142693.97291007,101325
78,0.012428751982237,141404.31642597,101325
79,0.011981002912406,140159.82368813,101325
80,0.01155258279824,138958.60381708,101325
81,0.011142461046632,137798.86424031,101325
82,0.010749674132847,136678.90441579,101325
83,0.010373320447373,135597.11002902,101325
84,0.010012555596333,134551.94762263,101325
85,0.0096665881106588,133541.95962181,101325
86,0.0093346755241774,132565.75972219,101325
87,0.0090161207849948,131622.02861002,101325
88,0.0087102689684003,130709.50998724,101325
89,0.0084165042628461,129827.00687652,101325
90,0.0081342472035274,128973.37818381,101325
91,0.0078629521307196,128147.53549774,101325
92,0.0076021048523547,127348.44010712,101325
93,0.0073512204923966,126575.10021963,101325
94,0.0071098415084134,125826.56836596,101325
95,0.0068775358633892,125101.93897528,101325
96,0.0066538953382787,124400.34610904,101325
97,0.0064385339731192,123720.96134112,101325
98,0.006231086625679,123062.99177357,101325
99,0.0060312076376702,122425.67817782,101325
100,0.0058385695994897,121808.29325229,101325
101,0.0056528622052935,121210.13998797,101325
102,0.005473791190965,120630.55013423,101325
103,0.0053010773482155,120068.88275777,101325
104,0.0051344556086693,119524.52288811,101325
105,0.0049736741923312,118996.8802437,101325
106,0.004818493815338,118485.38803301,101325
107,0.0046686869523359,117989.50182551,101325
108,0.0045253389906172,117513.03448053,101325
109,0.0043868535048567,117050.88545459,101325
110,0.0042530395205577,116602.58417257,101325
111,0.0041237150164047,116167.67787507,101325
112,0.0039987064239363,115745.73080764,101325
113,0.0038778481598139,115336.32345395,101325
114,0.0037609821881433,114939.05181038,101325
115,0.0036479576108362,114553.52670021,101325
116,0.0035386302840277,114179.37312501,101325
117,0.0034328624586391,113816.22965079,101325
118,0.0033305224433028,113463.74782644,101325
119,0.0032314842880253,113121.59163245,101325
120,0.0031356274871039,112789.43695778,101325
121,0.0030428366999504,112466.97110321,101325
122,0.0029530014885851,112153.89230947,101325
123,0.0028660160706654,111849.90930882,101325
124,0.0027817790870059,111554.7408985,101325
125,0.0027001933826216,111268.11553499,101325
126,0.0026211658004028,110989.77094775,101325
127,0.002544606986593,110719.45377136,101325
128,0.0024704312073049,110456.91919511,101325
129,0.002398556175361,110201.93062895,101325
130,0.0023289028868,109954.25938496,101325
131,0.0022613954664341,109713.68437353,101325
132,0.0021959610218891,109479.99181335,101325
133,0.0021325295055944,109252.97495453,101325
134,0.0020710335842323,109032.4338142,101325
135,0.0020114085151847,108818.17492376,101325
136,0.0019535920295517,108610.01108738,101325
137,0.0018975242213419,108407.76115099,101325
138,0.0018431474424631,108211.24978134,101325
139,0.0017904062031671,108020.3072545,101325
140,0.0017392470776239,107834.76925344,101325
141,0.0016896186143245,107654.47667414,101325
142,0.0016414712510285,107479.27543984,101325
143,0.0015947572339939,107309.01632303,101325
144,0.0015494305412409,107143.5547748,101325
145,0.0015054468096202,106982.75076113,101325
146,0.0014627632654688,106826.46860596,101325
147,0.0014213386586512,106674.5768404,101325
148,0.0013811331997964,106526.94805817,101325
149,0.0013421085005526,106383.4587767,101325
150,0.0013042275166939,106243.98930365,101325
151,0.001267454493921,106108.42360878,101325
152,0.0012317549162115,105976.6492007,101325
153,0.0011970954565795,105848.55700845,101325
154,0.001163443930117,105724.04126757,101325
155,0.0011307692491948,105602.99941051,101325
156,0.0010990413807081,105485.33196122,101325
157,0.0010682313052601,105370.94243364,101325
158,0.0010383109781821,105259.73723405,101325
159,0.0010092532922944,105151.62556693,101325
160,0.00098103204231974,105046.51934443,101325
161,0.00095362189086253,104944.33309901,101325
162,0.00092699833587674,104844.98389932,101325
163,0.00090113767954569,104748.39126916,101325
164,0.00087601699850368,104654.47710922,101325
165,0.0008516141153326,104563.16562178,101325
166,0.00082790757127046,104474.38323794,101325
167,0.00080487660007232,104388.05854749,101325
168,0.00078250110296759,104304.12223119,101325
169,0.00076076162466036,104222.5069955,101325
170,0.00073963933032284,104143.14750944,101325
171,0.00071911598353422,104065.98034376,101325
172,0.00069917392512035,103990.94391209,101325
