time,inlet-p,outlet-p
0,6982295.48,7002980
1,6934032.16,7002980
2,6803031.72,7002980
3,6658241.76,3555600
4,6568609.88,1376856
5,6430714.68,618432
6,6341082.8,308168
7,6203187.6,204746
8,6113555.72,142694
9,6023923.84,115115
10,5927397.2,108220
11,5858449.6,108220
12,5761922.96,101325
13,5672291.08,101325
14,5589553.96,101325
15,5499922.08,101325
16,5417184.96,101325
17,5334447.84,101325
18,5251710.72,101325
19,5175868.36,101325
20,5100026,101325
21,5024183.64,101325
22,4948341.28,101325
23,4872498.92,101325
24,4803551.32,101325
25,4734603.72,101325
26,4672550.88,101325
27,4603603.28,101325
28,4534655.68,101325
29,4472602.84,101325
30,4410550,101325
31,4341602.4,101325
32,4286444.32,101325
33,4224391.48,101325
34,4162338.64,101325
35,4107180.56,101325
36,4052022.48,101325
37,3996864.4,101325
38,3941706.32,101325
39,3886548.24,101325
40,3831390.16,101325
41,3783126.84,101325
42,3727968.76,101325
43,3679705.44,101325
44,3631442.12,101325
45,3583178.8,
46,3534915.48,
47,3493546.92,
48,3445283.6,
49,3403915.04,
50,3355651.72,
51,3314283.16,
52,3272914.6,
53,3231546.04,
54,3190177.48,
55,3148808.92,
56,3114335.12,
57,3072966.56,
58,3038492.76,
59,2997124.2,
60,2962650.4,
61,2928176.6,
62,2893702.8,
63,2859229,
64,2824755.2,
65,2790281.4,
66,2755807.6,
67,2721333.8,
68,2693754.76,
69,2659280.96,
70,2631701.92,
71,2604122.88,
72,2569649.08,
73,2542070.04,
74,2514491,
75,2486911.96,
76,2459332.92,
77,2431753.88,
78,2404174.84,
79,2376595.8,
80,2355911.52,
81,2328332.48,
82,2300753.44,
83,2280069.16,
84,2252490.12,
85,2231805.84,
86,2204226.8,
87,2183542.52,
88,2162858.24,
89,2142173.96,
90,2114594.92,
91,2093910.64,
92,2073226.36,
93,2052542.08,
94,2031857.8,
95,2011173.52,
96,1990489.24,
97,1976699.72,
98,1956015.44,
99,1935331.16,
100,1914646.88,
101,1900857.36,
102,1880173.08,
103,1859488.8,
104,1845699.28,
105,1825015,
106,1811225.48,
107,1797435.96,
108,1776751.68,
109,1762962.16,
110,1742277.88,
111,1728488.36,
112,1714698.84,
113,1700909.32,
114,1680225.04,
115,1666435.52,
116,1652646,
117,1638856.48,
118,1625066.96,
119,1611277.44,
120,1597487.92,
121,1583698.4,
122,1569908.88,
123,1556119.36,
124,1542329.84,
125,1528540.32,
126,1514750.8,
127,1507856.04,
128,1494066.52,
129,1480277,
130,1466487.48,
131,1459592.72,
132,1445803.2,
133,1432013.68,
134,1425118.92,
135,1411329.4,
136,1397539.88,
137,1390645.12,
138,1376855.6,
139,1369960.84,
140,1356171.32,
141,1349276.56,
142,1335487.04,
143,1328592.28,
144,1314802.76,
145,1307908,
146,1294118.48,
147,1287223.72,
148,1280328.96,
149,1266539.44,
150,1259644.68,
151,1252749.92,
152,1238960.4,
153,1232065.64,
154,1225170.88,
155,1218276.12,
156,1204486.6,
157,1197591.84,
158,1190697.08,
159,1183802.32,
160,1170012.8,
161,1163118.04,
162,1156223.28,
163,1149328.52,
164,1142433.76,
165,1135539,
166,1128644.24,
167,1121749.48,
168,1114854.72,
169,1101065.2,
170,1094170.44,
171,1087275.68,
172,1080380.92,
173,1073486.16,
174,1066591.4,
175,1059696.64,
176,1052801.88,
177,1045907.12,
178,1039012.36,
179,1039012.36,
180,1025222.84,
181,1025222.84,
182,1018328.08,
183,1011433.32,
184,1004538.56,
185,997643.8,
186,990749.04,
187,983854.28,
188,976959.52,
189,976959.52,
190,970064.76,
191,963170,
192,956275.24,
193,949380.48,
194,942485.72,
195,942485.72,
196,935590.96,
197,928696.2,
198,921801.44,
199,914906.68,
200,914906.68,
201,908011.92,
202,901117.16,
203,901117.16,
204,894222.4,
205,887327.64,
206,887327.64,
207,880432.88,
208,873538.12,
209,873538.12,
210,866643.36,
211,859748.6,
212,852853.84,
213,852853.84,
214,845959.08,
215,845959.08,
216,839064.32,
217,832169.56,
218,832169.56,
219,825274.8,
220,818380.04,
221,818380.04,
222,811485.28,
223,811485.28,
224,804590.52,
225,797695.76,
226,797695.76,
