time,Re,inlet-p,outlet-p
0,0,7002980,7002980
0.1,0,7002980,6658242
0.2,3.7178627887733,6996868.9242992,6313504
0.3,7.0788405534575,6975962.4372176,5968766
0.4,10.020100159306,6934505.351966,5624028
0.5,12.527560438527,6870849.2965211,5279290
0.6,14.620689958987,6786151.3265345,4934552
0.7,16.335022506137,6682915.3334759,4589814
0.8,17.710751541386,6564070.7131165,4245076
0.9,18.786856481818,6432514.647771,3900338
1,19.598579743358,6290923.7975756,3555600
1.1,20.176638708649,6141699.0922156,3337725.6
1.2,19.879377773763,5987451.0647785,3119851.2
1.3,19.523972772669,5830896.4954692,2901976.8
1.4,19.132181873773,5674332.2137862,2684102.4
1.5,18.718334442858,5519382.8287116,2466228
1.6,18.290169524058,5367077.5266841,2248353.6
1.7,17.851117540514,5218038.1332157,2030479.2
1.8,17.402192900666,5072645.372895,1812604.8
1.9,16.943248809307,4931152.2134484,1594730.4
2,16.473776769468,4793754.1627297,1376856
2.1,15.993491268538,4660633.2884938,1301013.6
2.2,15.200894250986,4531921.9877782,1225171.2
2.3,14.461497359978,4407745.4664748,1149328.8
2.4,13.771286555137,4288247.8487537,1073486.4
2.5,13.127917915564,4173547.0170749,997644
2.6,12.528937410139,4063688.5411484,921801.6
2.7,11.971581519169,3958635.9864645,845959.2
2.8,11.452906594808,3858288.0050979,770116.8
2.9,10.969981775862,3762502.9642022,694274.4
3,10.520061511475,3671121.9179287,618432
3.1,10.100722240898,3583986.4771577,587405.6
3.2,9.6570327683292,3500923.0258272,556379.2
3.3,9.24538951879,3421725.965151,525352.8
3.4,8.8625413951939,3346172.8398451,494326.4
3.5,8.505964766211,3274048.3097141,463300
3.6,8.1734783084248,3205156.7769035,432273.6
3.7,7.8631818411299,3139324.4088186,401247.2
3.8,7.5734188607086,3076397.5436598,370220.8
3.9,7.3027475701938,3016240.4136313,339194.4
4,7.0499213113733,2958733.5929479,308168
4.1,6.8138765798318,2903773.1694517,297825.8
4.2,6.5757596812281,2851260.536776,287483.6
4.3,6.3525572450109,2801084.475127,277141.4
4.4,6.1430368405921,2753114.9701121,266799.2
4.5,5.946128932801,2707211.5530436,256457
4.6,5.7608252292905,2663235.0777284,246114.8
4.7,5.5862038665875,2621055.8298888,235772.6
4.8,5.4214410498462,2580557.1592331,225430.4
4.9,5.265809151085,2541636.1448117,215088.2
5,5.1186683216656,2504202.7759791,204746
5.1,4.9794561669408,2468178.5722998,198540.8
5.2,4.8445400616311,2433493.9262927,192335.6
5.3,4.7164636533851,2400083.7249335,186130.4
5.4,4.5947879946085,2367884.1004087,179925.2
5.5,4.4791151842824,2336832.1238473,173720
5.6,4.3690685700969,2306867.2357567,167514.8
5.7,4.2642981928307,2277932.767429,161309.6
5.8,4.1644840580503,2249976.8492505,155104.4
5.9,4.0693364396681,2222952.6931832,148899.2
6,3.9785943500684,2196818.4576295,142694
6.1,3.8920231637488,2171536.8948114,139936.1
6.2,3.8070213599075,2147074.5235057,137178.2
6.3,3.7256007415169,2123398.458083,134420.3
6.4,3.6475750262692,2100474.6198656,131662.4
6.5,3.5727678137,2078266.8757777,128904.5
6.6,3.5009990186696,2056738.0628583,126146.6
6.7,3.4320918230689,2035851.5122619,123388.7
6.8,3.365878217335,2015572.2996299,120630.8
6.9,3.3022020175367,1995868.0003897,117872.9
7,3.2409199607533,1976709.013792,115115
7.1,3.1819016006939,1958068.5936891,114425.5
7.2,3.123695741497,1939922.4926377,113736
7.3,3.0674162947452,1922247.8270347,113046.5
7.4,3.0129688756119,1905021.6631839,112357
7.5,2.9602643067437,1888220.3595595,111667.5
7.6,2.9092100532067,1871819.8433883,110978
7.7,2.859713781832,1855796.3303932,110288.5
7.8,2.8116865411937,1840127.0288288,109599
7.9,2.76504474602,1824790.6280663,108909.5
8,2.7197111330541,1809767.552743,108220
8.1,2.6756150012621,1795040.0348948,108220
8.2,2.6322827747599,1780592.0291601,108220
8.3,2.5900359068669,1766408.89497,108220
8.4,2.548823528364,1752476.9351233,108220
8.5,2.5085993515536,1738783.075169,108220
8.6,2.4693182217301,1725314.7959842,108220
8.7,2.4309366997807,1712060.2250377,108220
8.8,2.3934136979408,1699008.260553,108220
8.9,2.3567108679132,1686148.6590324,108220
9,2.3207927471355,1673472.0683815,108220
9.1,2.2856267264314,1660970.0142978,107530.5
9.2,2.2515572366545,1648634.8717579,106841
9.3,2.218204026512,1636459.9264865,106151.5
9.4,2.1855408917998,1624439.5408348,105462
9.5,2.1535427244082,1612569.2467608,104772.5
9.6,2.1221886129049,1600845.6571229,104083
