time,Re,inlet-p,outlet-p
0,0,7002980,7002980
1,0,7002980,7002980
2,1.9268065587033e-06,7002979.9999968,7002980
3,1.9268065587033e-06,7002979.9999968,3555600
4,2.2151172635618,6775040.8106083,1376856
5,2.5769553271843,6370411.4914844,618432
6,2.3035912444771,5912217.4168519,308168
7,1.9914150573411,5473527.4597712,204746
8,1.7202391934448,5081304.6801404,142694
9,1.4998326117884,4740490.9148165,115115
10,1.3211438869814,4446807.3625062,108220
11,1.1746058446089,4192319.7404876,108220
12,1.0525329136544,3968772.3301795,101325
13,0.94975223422076,3769801.8235863,101325
14,0.86141812239619,3590617.7332309,101325
15,0.78476347822417,3427614.7747455,101325
16,0.71759123793796,3278128.7484156,101325
17,0.65827268444615,3140193.2013921,101325
18,0.60557329113401,3012329.1546995,101325
19,0.55853403285867,2893399.1035523,101325
20,0.51637728842815,2782467.1688086,101325
21,0.47846926547361,2678766.6085546,101325
22,0.44428062872995,2581644.0396561,101325
23,0.41336344419344,2490531.7284798,101325
24,0.38533495509432,2404929.3451612,101325
25,0.35986569694759,2324391.493785,101325
26,0.33667047057905,2248518.8165309,101325
27,0.3155012766412,2176951.3633117,101325
28,0.29614165275543,2109363.4445449,101325
29,0.27840205190675,2045459.4926646,101325
30,0.26211601886304,1984970.6387631,101325
31,0.24713699419985,1927651.8178117,101325
32,0.23333562197235,1873279.2801272,101325
33,0.22059746786668,1821648.4259414,101325
34,0.20882107586545,1772571.9043433,101325
35,0.19791630660641,1725877.9334616,101325
36,0.18780291179241,1681408.8090132,101325
37,0.17840930749934,1639019.5753173,101325
38,0.16967151582687,1598576.8377817,101325
39,0.16153224956201,1559957.6994575,101325
40,0.15394011872536,1523048.8069675,101325
41,0.14684894128445,1487745.4932332,101325
42,0.14021714312002,1453951.0061279,101325
43,0.13400723464548,1421575.8135812,101325
44,0.12818535340322,1390536.9768343,101325
45,0.12272086356677,1360757.5845415,101325
46,0.11758600462299,1332166.2412669,101325
47,0.11275558263969,1304696.6046714,101325
48,0.1082066984774,1278286.966327,101325
49,0.10391850810998,1252879.8716654,101325
50,0.099872010901727,1228421.7750635,101325
51,0.096049862268117,1204862.726506,101325
52,0.092436207640825,1182156.0866556,101325
53,0.08901653507779,1160258.2674998,101325
54,0.085777544218348,1139128.4960489,101325
55,0.082707029590485,1118728.598827,101325
56,0.079793776540575,1099022.8051377,101325
57,0.077027468281951,1079977.5672958,101325
58,0.074398602753002,1061561.3962059,101325
59,0.071898418142903,1043744.7108364,101325
60,0.069518826087531,1026499.7002846,101325
61,0.067252351662917,1009800.1972627,101325
62,0.065092079411631,993621.56195317,101325
63,0.063031604731144,977940.57528559,101325
64,0.061064990034515,962735.34078338,101325
65,0.059186725164452,947985.19421134,101325
66,0.057393298502314,933683.53328638,101325
67,0.055678204068527,919798.25182666,101325
68,0.054037024206483,906311.95506503,101325
69,0.052465643463723,893208.18084115,101325
70,0.050960224462367,880471.33938067,101325
71,0.049517185980942,868086.65757039,101325
72,0.048133182998346,856040.12735107,101325
73,0.046805088503362,844318.45788636,101325
74,0.04552997689581,832909.03119756,101325
75,0.044305108824283,821799.86098223,101325
76,0.043127917321982,810979.55435914,101325
77,0.041995995116766,800437.27630515,101325
78,0.040907083004521,790162.71657002,101325
79,0.039859059186434,780146.05887412,101325
80,0.03884992948097,770377.95221057,101325
81,0.037877818330438,760849.48408932,101325
82,0.036940960530082,751552.15557417,101325
83,0.036037693614844,742477.85797672,101325
84,0.035166450845329,733618.85108235,101325
85,0.03432575474025,724967.74279424,101325
86,0.033514211107725,716517.47009044,101325
87,0.032730503532365,708261.28119794,101325
88,0.031973388279207,700192.71889527,101325
89,0.031241689579196,692305.60486256,101325
90,0.030534295264226,684594.02500428,101325
91,0.0298501527227,677052.31567588,101325
92,0.02918826514924,669675.05075105,101325
93,0.028547688064564,662457.02947109,101325
94,0.027927526083707,655393.26502262,101325
95,0.027326929912716,648478.97379388,101325
96,0.026745093555691,641709.56526354,101325
97,0.026181251715645,635080.63247972,101325
98,0.025634677374098,628587.9430899,101325
99,0.025104679535577,622227.43088521,101325
100,0.024590601124448,615995.18782559,101325
101,0.024091817022482,609887.45651456,101325
102,0.023607732236607,603900.62309457,101325
103,0.02313778018713,598031.21053615,101325
104,0.022681421107521,592275.87229592,101325
105,0.0222381405476,586631.3863202,101325
106,0.021807447972598,581094.64937279,101325
107,0.021388875451201,575662.67166679,101325
108,0.02098197642621,570332.57178185,101325
109,0.020586324561971,565101.57184948,101325
110,0.020201512663171,559966.99299026,101325
111,0.019827151660042,554926.25098774,101325
112,0.019462869655361,549976.85218516,101325
113,0.019108311029037,545116.38959169,101325
114,0.018763135596334,540342.539186,101325
115,0.018427017816146,535653.05640562,101325
116,0.018099646045941,531045.77281152,101325
117,0.017780721840297,526518.59291779,101325
118,0.017469959290146,522069.49117698,101325
119,0.017167084400065,517696.50911254,101325
120,0.016871834501149,513397.75258989,101325
121,0.016583957697165,509171.38921861,101325
122,0.016303212341876,505015.64587837,101325
123,0.016029366545537,500928.80636202,101325
124,0.015762197708745,496909.20912923,101325
125,0.015501492081919,492955.24516493,101325
126,0.015247044348834,489065.35593686,101325
127,0.014998657232713,485238.03144692,101325
128,0.014756141123512,481471.80837142,101325
129,0.014519313725095,477765.26828555,101325
130,0.014287999721125,474117.03596773,101325
131,0.014062030458522,470525.77777959,101325
132,0.013841243647469,466990.20011787,101325
133,0.013625483076976,463509.04793443,101325
134,0.013414598345098,460081.10332094,101325
135,0.013208444602948,456705.18415514,101325
136,0.013006882311712,453380.14280535,101325
137,0.012809777011924,450104.86489058,101325
138,0.012616999104297,446878.26809331,101325
139,0.012428423641451,443699.3010225,101325
140,0.012243930129943,440566.94212429,101325
141,0.012063402342003,437480.19863816,101325
142,0.011886728136454,434438.1055963,101325
143,0.0117137992883,431439.72486416,101325
144,0.011544511326513,428484.14422027,101325
145,0.011378763379571,425570.47647335,101325
146,0.011216458028327,422697.85861517,101325
147,0.01105750116582,419865.45100729,101325
148,0.010901801863654,417072.43660025,101325
149,0.010749272244598,414318.02018363,101325
150,0.010599827361077,411601.42766569,101325
151,0.010453385079252,408921.90538111,101325
152,0.010309865968393,406278.71942566,101325
153,0.010169193195276,403671.15501653,101325
154,0.010031292423336,401098.51587727,101325
155,0.009896091716348,398560.12364615,101325
156,0.0097635214463981,396055.31730693,101325
157,0.0096335142059246,393583.45264112,101325
158,0.0095060047236343,391143.90170074,101325
159,0.0093809297840947,388736.05230072,101325
160,0.0092582281508231,386359.30753006,101325
161,0.0091378404926981,384013.08528103,101325
162,0.0090197093135337,381696.81779551,101325
163,0.0089037788846597,379409.95122792,101325
164,0.0087899951803653,377151.94522384,101325
165,0.0086783058160663,374922.27251391,101325
166,0.008568659989067,372720.41852212,101325
167,0.0084610084217933,370545.88098807,101325
168,0.0083553033073798,368398.1696026,101325
169,0.0082514982575013,366276.80565615,101325
