time,TT1_600_1,TT1_800_1,TT1_1000_1,TT1_600_2,TT1_800_2,TT1_1000_2
0,4292877,5713041,6989190.2,4314023.4,5699870.1,6927137.4
1,4196361,5361447,6630662.7,4169233.4,5258605.5,6920242.6
2,3203625,4444545,5665396.3,3569389.3,4500181.9,6920242.6
3,2328087,3589689,4727709,3066071.8,3810705.9,6478978
4,1686945,2893395,3948601.1,2590333.4,3231546,5575764.4
5,1238835,2334981,3300493.6,2204226.8,2735123.3,4734603.7
6,914817,1900659,2797176.2,1873278.3,2335227.2,4017548.7
7,701103,1542171,2349016.8,1611277.4,1990489.2,3424599.3
8,521859,1280199,1969805,1335487,1721593.6,2962650.4
9,432237,1066485,1652646,1142433.8,1452698,2535175.3
10,342615,880347,1390645.1,1011433.3,1238960.4,2162858.2
11,273675,742467,1183802.3,866643.4,1094170.4,1852594
12,218523,604587,970064.8,770116.7,956275.2,1583698.4
13,184053,514965,839064.3,666695.3,825274.8,1376855.6
14,156477,439131,701169.1,577063.4,680484.8,1163118
15,142689,377085,611537.2,508115.8,625326.8,1032117.6
16,128901,321933,549484.4,439168.2,542589.6,887327.6
17,122007,280569,466747.3,390904.9,473642,790801
18,122007,246099,404694.4,342641.6,418484,646011
19,115113,218523,356431.1,308167.8,370220.6,597747.7
20,115113,197841,315062.6,280588.8,328852.1,521905.4
21,108219,177159,280588.8,253009.7,294378.3,459852.5
22,108219,163371,253009.7,232325.4,266799.2,404694.4
23,108219,156477,225430.7,211641.2,246115,356431.1
24,108219,149583,204746.4,197851.6,225430.7,321957.3
25,108219,135795,190956.9,184062.1,204746.4,287483.5
26,108219,135795,177167.4,177167.4,190956.9,259904.5
27,101325,128901,163377.8,163377.8,184062.1,239220.2
28,101325,128901,156483.1,156483.1,170272.6,218535.9
29,101325,122007,149588.3,149588.3,163377.8,204746.4
30,101325,122007,142693.6,142693.6,156483.1,190956.9
31,101325,115113,135798.8,142693.6,149588.3,177167.4
32,101325,115113,135798.8,135798.8,142693.6,170272.6
33,101325,115113,128904,128904,135798.8,156483.1
34,101325,115113,122009.3,128904,135798.8,149588.3
35,101325,108219,122009.3,122009.3,128904,142693.6
36,101325,108219,122009.3,122009.3,128904,142693.6
37,101325,108219,115114.5,122009.3,122009.3,135798.8
38,101325,108219,115114.5,115114.5,122009.3,128904
39,101325,108219,115114.5,115114.5,122009.3,128904
40,101325,108219,115114.5,115114.5,115114.5,122009.3
41,101325,108219,108219.8,115114.5,115114.5,122009.3
42,101325,108219,108219.8,115114.5,115114.5,122009.3
43,101325,101325,101325,108219.8,115114.5,122009.3
44,101325,101325,101325,108219.8,115114.5,115114.5
45,101325,101325,101325,101325,108219.8,115114.5
46,101325,101325,101325,101325,108219.8,115114.5
47,101325,101325,101325,101325,108219.8,115114.5
48,101325,101325,101325,101325,108219.8,108219.8
49,101325,101325,101325,101325,108219.8,108219.8
50,101325,101325,101325,101325,108219.8,108219.8
51,101325,101325,101325,101325,108219.8,108219.8
52,101325,101325,101325,101325,108219.8,108219.8
53,101325,101325,101325,101325,108219.8,108219.8
54,101325,101325,101325,101325,101325,108219.8
55,101325,101325,101325,101325,101325,108219.8
56,101325,101325,101325,101325,101325,108219.8
57,101325,101325,101325,101325,101325,108219.8
58,101325,101325,,101325,101325,101325
59,101325,101325,,101325,101325,101325
