time,Re,inlet-p,outlet-p
0,0,4582919,4582919
1,0,4582919,3714179
2,4.1152614675973,4577537.5317823,1432014
3,10.751013708222,4554939.6514221,590853
4,11.491694804215,4508227.9249954,301273
5,11.292318489183,4438953.187568,204746
6,10.893739031877,4353313.2607654,142694
7,10.443225896917,4258198.235437,122009
8,9.9707841187164,4159198.0196853,108220
9,9.5068966598227,4060148.0725678,108220
10,9.0590958850147,3963330.4539124,108220
11,8.6364507907311,3869887.1286259,101325
12,8.2428745613265,3780274.8944979,101325
13,7.8729243309973,3694576.5563793,101325
14,7.5270086589154,3612670.8548999,101325
15,7.203315117859,3534338.8749025,101325
16,6.8999249654653,3459325.9040056,101325
