time,Re,inlet-p,outlet-p
0,0,5617133,5617133
1,0,5617133,2866123.76
2,2.5955982309106,5573828.6968721,1121749.48
3,3.291862614348,5470013.6801988,473642.04
4,3.2748415776047,5325889.421555,280588.76
5,3.1265967320132,5168660.5828267,184062.12
6,2.974840758738,5017172.6660624,135798.8
7,2.8357581263197,4880714.0375472,115114.52
8,2.7125463578864,4761788.029463,108219.76
9,2.60457254051,4659038.4641039,108219.76
10,2.509200306162,4569433.7505541,108219.76
11,2.4246605845236,4489746.5136657,101325
12,2.3507163201427,4417530.1848078,101325
13,2.2815330679849,4351000.2395359,101325
14,2.2172149872619,4288775.6431342,101325
15,2.1567355653277,4229797.2684612,101325
16,2.0993267626589,4173288.2593479,101325
17,2.0444386739596,4118699.4021964,101325
18,1.9916847650249,4065650.2773225,101325
19,1.9407932136526,4013879.3342474,101325
20,1.8915703458602,3963206.4874911,101325
21,1.8438750744652,3913506.772892,101325
22,1.7976016086614,3864692.343972,101325
23,1.7526679271874,3816700.3380535,101325
24,1.7090081350284,3769484.7439124,101325
25,1.666567398359,3723010.9581036,101325
26,1.6252985813538,3677252.1372727,101325
27,1.5851600050515,3632186.7484125,101325
28,1.5461139468643,3587796.9188471,101325
29,1.5081256301509,3544067.3212005,101325
30,1.4711628697237,3500984.8050737,101325
31,1.4351945935433,3458536.707303,101325
32,1.4001915473997,3416711.6869273,101325
33,1.366125719216,3375499.0841637,101325
34,1.3329701781914,3334888.7540001,101325
35,1.3006989583704,3294870.9509151,101325
36,1.269286972473,3255436.2485738,101325
37,1.238709946462,3216575.4835335,101325
38,1.2089443684266,3178279.715487,101325
39,1.1799674474277,3140540.198936,101325
40,1.1517570793514,3103348.362793,101325
41,1.1242918177494,3066695.7955024,101325
42,1.0975508482847,3030574.2340184,101325
43,1.0715139658287,2994975.5554877,101325
44,1.046161553551,2959891.7708396,101325
45,1.0214745635418,2925315.0197234,101325
46,0.99743449864578,2891237.5664071,101325
47,0.97402339527993,2857651.7963624,101325
48,0.95122380707197,2824550.2133446,101325
49,0.92901878920327,2791925.4368323,101325
50,0.90739188336976,2759770.1997311,101325
51,0.88632710329726,2728077.3462722,101325
52,0.86580892076256,2696839.8300592,101325
53,0.84582225208282,2666050.7122261,101325
54,0.82635244504328,2635703.1596846,101325
55,0.80738526623909,2605790.4434389,101325
56,0.78890688881075,2576305.9369588,101325
57,0.7709038805559,2547243.1145992,101325
58,0.75336319240215,2518595.5500597,101325
59,0.73627214722717,2490356.9148793,101325
60,0.71961842901387,2462520.9769624,101325
61,0.70339007232903,2435081.5991331,101325
62,0.68757545211468,2408032.7377158,101325
63,0.67216327378233,2381368.4411398,101325
64,0.65714256360038,2355082.8485678,101325
65,0.64250265936554,2329170.1885461,101325
66,0.62823320134977,2303624.7776757,101325
67,0.61432412351402,2278441.0193052,101325
68,0.6007656449811,2253613.4022419,101325
69,0.5875482617595,2229136.4994842,101325
70,0.57466273871094,2205004.9669716,101325
71,0.5621001017542,2181213.542354,101325
72,0.54985163029822,2157757.0437792,101325
73,0.53790884989774,2134630.3686977,101325
74,0.52626352512468,2111828.4926861,101325
75,0.51490765264912,2089346.4682866,101325
76,0.50383345452336,2067179.4238642,101325
77,0.4930333716633,2045322.5624803,101325
78,0.48250005752117,2023771.160783,101325
79,0.47222637194393,2002520.5679129,101325
80,0.46220537521192,1981566.2044255,101325
81,0.45243032225238,1960903.5612289,101325
82,0.44289465702263,1940528.1985365,101325
83,0.43359200705803,1920435.7448359,101325
84,0.42451617817963,1900621.8958716,101325
85,0.41566114935704,1881082.4136431,101325
86,0.4070210677217,1861813.125417,101325
87,0.39859024372628,1842809.922754,101325
88,0.39036314644578,1824068.760549,101325
89,0.38233439901621,1805585.656086,101325
90,0.37449877420677,1787356.6881058,101325
91,0.36685119012152,1769377.9958877,101325
92,0.35938670602689,1751645.778344,101325
93,0.35210051830103,1734156.2931276,101325
94,0.34498795650176,1716905.855753,101325
95,0.3380444795493,1699890.8387285,101325
96,0.33126567202054,1683107.6707026,101325
97,0.32464724055161,1666552.8356216,101325
98,0.31818501034542,1650222.871899,101325
99,0.31187492178115,1634114.371598,101325
100,0.30571302712271,1618223.9796245,101325
101,0.29969548732315,1602548.3929323,101325
102,0.29381856892232,1587084.3597398,101325
103,0.2880786410349,1571828.678757,101325
104,0.28247217242628,1556778.1984251,101325
105,0.27699572867352,1541929.8161654,101325
106,0.27164596940906,1527280.4776401,101325
107,0.26641964564466,1512827.176023,101325
108,0.26131359717317,1498566.9512809,101325
109,0.25632475004589,1484496.8894655,101325
110,0.25145011412335,1470614.1220149,101325
111,0.24668678069714,1456915.8250655,101325
112,0.24203192018102,1443399.2187739,101325
113,0.23748277986892,1430061.5666477,101325
114,0.23303668175814,1416900.1748872,101325
115,0.2286910204357,1403912.391735,101325
116,0.22444326102597,1391095.6068364,101325
117,0.22029093719784,1378447.2506078,101325
118,0.21623164922968,1365964.7936147,101325
119,0.21226306213031,1353645.7459589,101325
120,0.20838290381442,1341487.6566735,101325
121,0.20458896333078,1329488.1131281,101325
122,0.20087908914176,1317644.7404409,101325
123,0.19725118745258,1305955.2009005,101325
124,0.19370322058882,1294417.1933954,101325
125,0.19023320542093,1283028.4528519,101325
126,0.18683921183407,1271786.7496801,101325
127,0.18351936124229,1260689.8892279,101325
128,0.18027182514547,1249735.7112428,101325
129,0.17709482372789,1238922.0893414,101325
130,0.17398662449728,1228246.9304869,101325
131,0.17094554096295,1217708.174474,101325
132,0.16796993135207,1207303.7934207,101325
133,0.16505819736288,1197031.7912687,101325
134,0.16220878295373,1186890.2032896,101325
135,0.15942017316697,1176877.0955998,101325
136,0.15669089298665,1166990.5646808,101325
137,0.15401950622895,1157228.7369079,101325
138,0.15140461446449,1147589.7680851,101325
139,0.14884485597163,1138071.8429866,101325
140,0.14633890471965,1128673.1749059,101325
141,0.14388546938113,1119392.0052101,101325
142,0.14148329237264,1110226.6029021,101325
143,0.13913114892279,1101175.2641886,101325
144,0.13682784616704,1092236.3120539,101325
145,0.1345722222683,1083408.0958413,101325
146,0.13236314556269,1074688.9908395,101325
147,0.13019951372968,1066077.3978754,101325
148,0.12808025298588,1057571.7429134,101325
149,0.12600431730185,1049170.4766598,101325
150,0.12397068764123,1040872.0741739,101325
151,0.12197837122144,1032675.034484,101325
152,0.12002640079556,1024577.8802102,101325
153,0.11811383395451,1016579.1571914,101325
154,0.11623975244911,1008677.4341194,101325
155,0.11440326153138,1000871.3021771,101325
156,0.11260348931453,993159.37468303,101325
157,0.11083958615107,985540.28674075,101325
158,0.10911072402861,978012.6948936,101325
159,0.10741609598267,970575.27678473,101325
160,0.10575491552617,963226.73082209,101325
161,0.10412641609502,955965.7758486,101325
162,0.10252985050938,948791.15081722,101325
163,0.10096449045013,941701.61447092,101325
164,0.099429625950086,934695.94502757,101325
165,0.097924564899562,927772.93986952,101325
166,0.096448632565868,920931.41523796,101325
167,0.095001171126308,914170.20593186,101325
168,0.093581539214317,907488.1650116,101325
169,0.092189111478343,900884.163507,101325
170,0.090823278153109,894357.09012992,101325
171,0.089483444642895,887905.85099117,101325
172,0.0881690311165,881529.36932185,101325
