time,Re,inlet-p,outlet-p
0,0,4582919,4582919
1,0,4582919,3714179
2,9.0056621681253,4550738.5072814,1432014
3,22.606769262558,4453310.0068249,590853
4,23.457814946493,4306479.6203833,301273
5,22.256615432899,4143240.0028559,204746
6,20.78672493233,3986412.2732667,142694
7,19.470661958893,3846770.7292958,122009
8,18.325007022425,3726469.5392051,108220
9,17.367970747107,3623482.9440803,108220
10,16.547352106332,3534045.2916206,108220
11,15.836792069534,3454371.99687,101325
12,15.212871299241,3381876.2362812,101325
13,14.639197228494,3314742.1788596,101325
14,14.109936471462,3251589.5398226,101325
15,13.614290694066,3191407.9575119,101325
16,13.14501876288,3133503.2359247,101325
17,12.697373306662,3077416.0342968,101325
18,12.268260452186,3022848.4380303,101325
19,11.855629411345,2969607.0102512,101325
20,11.458077786027,2917564.6520713,101325
21,11.074604053354,2866636.004418,101325
22,10.704454957842,2816761.9103079,101325
23,10.347031987076,2767899.676607,101325
24,10.00183410998,2720016.9799865,101325
25,9.6684226721907,2673088.0480267,101325
26,9.3463998325918,2627091.259813,101325
27,9.0353952950025,2582007.634094,101325
28,8.7350581377763,2537819.8743616,101325
29,8.4450517867384,2494511.7648326,101325
30,8.1650509317871,2452067.7884748,101325
