Date,,Test 1,Time,Pressure,P_1,Test 2,Time,Pressure,,Test 3,Time3,Pressure,P_3,Test 4,Time4,Pressure,P_4,Test 5,Time,Pressure
4/5/23,,12.46,0,998,6981537,12.59,0,989,,1.19,0,1001,7002219,2.06,0,810,5685465,2.35,0,824
,,,1,987,6905703,,1,985,,,1,998,6981537,,1,809,5678571,,1,820
Control tube 5,,,2,973,6809187,,2,975,,,2,993,6947067,,2,806,5657889,,2,816
,,,3,959,6712671,,3,962,,,3,988,6912597,,3,802,5630313,,3,811
,,,4,946,6623049,,4,949,,,4,982,6871233,,4,797,5595843,,4,806
,,,5,934,6540321,,5,938,,,5,977,6836763,,5,792,5561373,,5,801
,,,6,923,6464487,,6,926,,,6,971,6795399,,6,788,5533797,,6,797
,,,7,912,6388653,,7,915,,,7,966,6760929,,7,783,5499327,,7,792
,,,8,901,6312819,,8,905,,,8,961,6726459,,8,779,5471751,,8,788
,,,9,891,6243879,,9,895,,,9,956,6691989,,9,775,5444175,,9,784
,,,10,880,6168045,,10,885,,,10,951,6657519,,10,771,5416599,,10,780
,,,11,870,6099105,,11,875,,,11,947,6629943,,11,767,5389023,,11,776
,,,12,860,6030165,,12,865,,,12,942,6595473,,12,762,5354553,,12,771
,,,13,850,5961225,,13,856,,,13,937,6561003,,13,758,5326977,,13,767
,,,14,840,5892285,,14,846,,,14,933,6533427,,14,755,5306295,,14,763
,,,15,831,5830239,,15,837,,,15,928,6498957,,15,751,5278719,,15,759
,,,16,821,5761299,,16,828,,,16,923,6464487,,16,747,5251143,,16,756
,,,17,812,5699253,,17,819,,,17,919,6436911,,17,743,5223567,,17,752
,,,18,802,5630313,,18,811,,,18,914,6402441,,18,739,5195991,,18,748
,,,19,793,5568267,,19,802,,,19,910,6374865,,19,735,5168415,,19,744
,,,20,784,5506221,,20,793,,,20,906,6347289,,20,732,5147733,,20,740
,,,21,775,5444175,,21,785,,,21,901,6312819,,21,728,5120157,,21,737
,,,22,766,5382129,,22,777,,,22,897,6285243,,22,724,5092581,,22,733
,,,23,758,5326977,,23,768,,,23,893,6257667,,23,721,5071899,,23,729
,,,24,749,5264931,,24,760,,,24,888,6223197,,24,717,5044323,,24,725
,,,25,741,5209779,,25,752,,,25,884,6195621,,25,713,5016747,,25,722
,,,26,733,5154627,,26,745,,,26,880,6168045,,26,710,4996065,,26,718
,,,27,725,5099475,,27,737,,,27,876,6140469,,27,706,4968489,,27,715
,,,28,716,5037429,,28,729,,,28,871,6105999,,28,703,4947807,,28,711
,,,29,708,4982277,,29,722,,,29,867,6078423,,29,700,4927125,,29,708
,,,30,700,4927125,,30,714,,,30,863,6050847,,30,696,4899549,,30,704
,,,31,692,4871973,,31,707,,,31,859,6023271,,31,693,4878867,,31,701
,,,32,684,4816821,,32,699,,,32,855,5995695,,32,689,4851291,,32,697
,,,33,676,4761669,,33,692,,,33,851,5968119,,33,686,4830609,,33,694
,,,34,668,4706517,,34,685,,,34,847,5940543,,34,683,4809927,,34,691
,,,35,661,4658259,,35,678,,,35,843,5912967,,35,679,4782351,,35,687
,,,36,653,4603107,,36,671,,,36,839,5885391,,36,676,4761669,,36,684
,,,37,646,4554849,,37,664,,,37,835,5857815,,37,673,4740987,,37,681
,,,38,638,4499697,,38,657,,,38,831,5830239,,38,670,4720305,,38,677
,,,39,631,4451439,,39,650,,,39,828,5809557,,39,666,4692729,,39,674
,,,40,624,4403181,,40,644,,,40,824,5781981,,40,663,4672047,,40,671
,,,41,617,4354923,,41,637,,,41,820,5754405,,41,660,4651365,,41,668
,,,42,610,4306665,,42,630,,,42,816,5726829,,42,657,4630683,,42,665
,,,43,603,4258407,,43,624,,,43,813,5706147,,43,654,4610001,,43,661
,,,44,596,4210149,,44,617,,,44,809,5678571,,44,651,4589319,,44,658
,,,45,589,4161891,,45,611,,,45,805,5650995,,45,648,4568637,,45,655
,,,46,582,4113633,,46,605,,,46,801,5623419,,46,645,4547955,,46,652
,,,47,575,4065375,,47,598,,,47,798,5602737,,47,642,4527273,,47,649
,,,48,569,4024011,,48,592,,,48,794,5575161,,48,639,4506591,,48,646
,,,49,562,3975753,,49,586,,,49,791,5554479,,49,636,4485909,,49,643
,,,50,556,3934389,,50,580,,,50,787,5526903,,50,633,4465227,,50,640
,,,51,549,3886131,,51,574,,,51,784,5506221,,51,630,4444545,,51,637
,,,52,543,3844767,,52,568,,,52,780,5478645,,52,627,4423863,,52,634
,,,53,537,3803403,,53,562,,,53,777,5457963,,53,624,4403181,,53,632
,,,54,531,3762039,,54,556,,,54,773,5430387,,54,621,4382499,,54,629
,,,55,524,3713781,,55,551,,,55,770,5409705,,55,618,4361817,,55,626
,,,56,518,3672417,,56,545,,,56,766,5382129,,56,616,4348029,,56,623
,,,57,512,3631053,,57,539,,,57,763,5361447,,57,615,4341135,,57,620
,,,58,506,3589689,,58,534,,,58,759,5333871,,58,613,4327347,,58,617
,,,59,501,3555219,,59,528,,,59,756,5313189,,59,610,4306665,,59,615
,,,60,495,3513855,,60,523,,,60,753,5292507,,60,607,4285983,,60,612
,,,61,489,3472491,,61,517,,,61,749,5264931,,61,604,4265301,,61,609
,,,62,483,3431127,,62,512,,,62,746,5244249,,62,602,4251513,,62,606
,,,63,478,3396657,,63,507,,,63,743,5223567,,63,599,4230831,,63,604
,,,64,472,3355293,,64,501,,,64,740,5202885,,64,596,4210149,,64,601
,,,65,467,3320823,,65,496,,,65,737,5182203,,65,594,4196361,,65,598
,,,66,461,3279459,,66,491,,,66,733,5154627,,66,591,4175679,,66,596
,,,67,456,3244989,,67,486,,,67,730,5133945,,67,588,4154997,,67,593
,,,68,451,3210519,,68,481,,,68,727,5113263,,68,586,4141209,,68,591
,,,69,445,3169155,,69,476,,,69,724,5092581,,69,583,4120527,,69,588
,,,70,440,3134685,,70,471,,,70,721,5071899,,70,581,4106739,,70,585
,,,71,435,3100215,,71,466,,,71,718,5051217,,71,578,4086057,,71,583
,,,72,430,3065745,,72,461,,,72,715,5030535,,72,576,4072269,,72,580
,,,73,425,3031275,,73,456,,,73,711,5002959,,73,573,4051587,,73,578
,,,74,420,2996805,,74,452,,,74,708,4982277,,74,571,4037799,,74,575
,,,75,415,2962335,,75,447,,,75,705,4961595,,75,568,4017117,,75,573
,,,76,410,2927865,,76,442,,,76,702,4940913,,76,566,4003329,,76,570
,,,77,405,2893395,,77,437,,,77,699,4920231,,77,563,3982647,,77,568
,,,78,400,2858925,,78,433,,,78,696,4899549,,78,561,3968859,,78,566
,,,79,396,2831349,,79,428,,,79,694,4885761,,79,559,3955071,,79,563
,,,80,391,2796879,,80,424,,,80,691,4865079,,80,556,3934389,,80,561
,,,81,386,2762409,,81,419,,,81,688,4844397,,81,554,3920601,,81,558
,,,82,382,2734833,,82,415,,,82,685,4823715,,82,552,3906813,,82,556
,,,83,377,2700363,,83,411,,,83,682,4803033,,83,549,3886131,,83,554
,,,84,373,2672787,,84,406,,,84,679,4782351,,84,547,3872343,,84,551
,,,85,369,2645211,,85,402,,,85,676,4761669,,85,545,3858555,,85,549
,,,86,364,2610741,,86,398,,,86,673,4740987,,86,542,3837873,,86,547
,,,87,360,2583165,,87,394,,,87,671,4727199,,87,540,3824085,,87,545
,,,88,355,2548695,,88,390,,,88,668,4706517,,88,538,3810297,,88,542
,,,89,351,2521119,,89,386,,,89,665,4685835,,89,536,3796509,,89,540
,,,90,347,2493543,,90,381,,,90,662,4665153,,90,533,3775827,,90,538
,,,91,343,2465967,,91,377,,,91,660,4651365,,91,531,3762039,,91,536
,,,92,339,2438391,,92,373,,,92,657,4630683,,92,529,3748251,,92,533
,,,93,335,2410815,,93,370,,,93,654,4610001,,93,527,3734463,,93,531
,,,94,331,2383239,,94,366,,,94,652,4596213,,94,525,3720675,,94,529
,,,95,327,2355663,,95,362,,,95,649,4575531,,95,522,3699993,,95,527
,,,96,323,2328087,,96,358,,,96,646,4554849,,96,520,3686205,,96,525
,,,97,319,2300511,,97,354,,,97,644,4541061,,97,518,3672417,,97,523
,,,98,315,2272935,,98,351,,,98,641,4520379,,98,516,3658629,,98,521
,,,99,311,2245359,,99,347,,,99,638,4499697,,99,514,3644841,,99,518
,,,100,308,2224677,,100,343,,,100,636,4485909,,100,512,3631053,,100,516
,,,101,304,2197101,,101,340,,,101,633,4465227,,101,510,3617265,,101,514
,,,102,300,2169525,,102,336,,,102,631,4451439,,102,508,3603477,,102,512
,,,103,297,2148843,,103,333,,,103,628,4430757,,103,506,3589689,,103,510
,,,104,293,2121267,,104,329,,,104,626,4416969,,104,504,3575901,,104,508
,,,105,290,2100585,,105,326,,,105,623,4396287,,105,502,3562113,,105,506
,,,106,286,2073009,,106,322,,,106,621,4382499,,106,500,3548325,,106,504
,,,107,283,2052327,,107,319,,,107,618,4361817,,107,498,3534537,,107,502
,,,108,279,2024751,,108,315,,,108,616,4348029,,108,496,3520749,,108,500
,,,109,276,2004069,,109,312,,,109,613,4327347,,109,494,3506961,,109,498
,,,110,272,1976493,,110,309,,,110,611,4313559,,110,492,3493173,,110,496
,,,111,269,1955811,,111,305,,,111,608,4292877,,111,490,3479385,,111,494
,,,112,266,1935129,,112,302,,,112,606,4279089,,112,488,3465597,,112,492
,,,113,263,1914447,,113,299,,,113,604,4265301,,113,486,3451809,,113,490
,,,114,259,1886871,,114,296,,,114,601,4244619,,114,484,3438021,,114,489
,,,115,256,1866189,,115,293,,,115,599,4230831,,115,482,3424233,,115,487
,,,116,253,1845507,,116,290,,,116,597,4217043,,116,480,3410445,,116,485
,,,117,250,1824825,,117,287,,,117,594,4196361,,117,479,3403551,,117,483
,,,118,247,1804143,,118,284,,,118,592,4182573,,118,478,3396657,,118,481
,,,119,244,1783461,,119,281,,,119,590,4168785,,119,477,3389763,,119,479
,,,120,241,1762779,,120,278,,,120,587,4148103,,120,475,3375975,,120,477
,,,121,238,1742097,,121,275,,,121,585,4134315,,121,473,3362187,,121,476
,,,122,235,1721415,,122,272,,,122,583,4120527,,122,471,3348399,,122,474
,,,123,232,1700733,,123,269,,,123,580,4099845,,123,469,3334611,,123,472
,,,124,230,1686945,,124,266,,,124,578,4086057,,124,468,3327717,,124,470
,,,125,227,1666263,,125,263,,,125,576,4072269,,125,466,3313929,,125,468
,,,126,224,1645581,,126,260,,,126,574,4058481,,126,464,3300141,,126,467
,,,127,221,1624899,,127,258,,,127,572,4044693,,127,462,3286353,,127,465
,,,128,219,1611111,,128,255,,,128,569,4024011,,128,461,3279459,,128,463
,,,129,216,1590429,,129,252,,,129,567,4010223,,129,459,3265671,,129,461
,,,130,213,1569747,,130,250,,,130,565,3996435,,130,457,3251883,,130,460
,,,131,211,1555959,,131,247,,,131,563,3982647,,131,455,3238095,,131,458
,,,132,208,1535277,,132,244,,,132,561,3968859,,132,454,3231201,,132,456
,,,133,206,1521489,,133,242,,,133,559,3955071,,133,452,3217413,,133,454
,,,134,203,1500807,,134,239,,,134,557,3941283,,134,450,3203625,,134,453
,,,135,201,1487019,,135,237,,,135,554,3920601,,135,449,3196731,,135,451
,,,136,198,1466337,,136,234,,,136,552,3906813,,136,447,3182943,,136,449
,,,137,196,1452549,,137,232,,,137,550,3893025,,137,445,3169155,,137,448
,,,138,193,1431867,,138,229,,,138,548,3879237,,138,444,3162261,,138,446
,,,139,191,1418079,,139,227,,,139,546,3865449,,139,442,3148473,,139,445
,,,140,189,1404291,,140,224,,,140,544,3851661,,140,440,3134685,,140,443
,,,141,186,1383609,,141,222,,,141,542,3837873,,141,439,3127791,,141,441
,,,142,184,1369821,,142,220,,,142,540,3824085,,142,437,3114003,,142,440
,,,143,182,1356033,,143,217,,,143,538,3810297,,143,436,3107109,,143,438
