time,CT5_1000_3,CT5_800_1,CT5_800_2
0,7002219,5685465,5781981
1,6981537,5678571,5754405
2,6947067,5657889,5726829
3,6912597,5630313,5692359
4,6871233,5595843,5657889
5,6836763,5561373,5623419
6,6795399,5533797,5595843
7,6760929,5499327,5561373
8,6726459,5471751,5533797
9,6691989,5444175,5506221
10,6657519,5416599,5478645
11,6629943,5389023,5451069
12,6595473,5354553,5416599
13,6561003,5326977,5389023
14,6533427,5306295,5361447
15,6498957,5278719,5333871
16,6464487,5251143,5313189
17,6436911,5223567,5285613
18,6402441,5195991,5258037
19,6374865,5168415,5230461
20,6347289,5147733,5202885
21,6312819,5120157,5182203
22,6285243,5092581,5154627
23,6257667,5071899,5127051
24,6223197,5044323,5099475
25,6195621,5016747,5078793
26,6168045,4996065,5051217
27,6140469,4968489,5030535
28,6105999,4947807,5002959
29,6078423,4927125,4982277
30,6050847,4899549,4954701
31,6023271,4878867,4934019
32,5995695,4851291,4906443
33,5968119,4830609,4885761
34,5940543,4809927,4865079
35,5912967,4782351,4837503
36,5885391,4761669,4816821
37,5857815,4740987,4796139
38,5830239,4720305,4768563
39,5809557,4692729,4747881
40,5781981,4672047,4727199
41,5754405,4651365,4706517
42,5726829,4630683,4685835
43,5706147,4610001,4658259
44,5678571,4589319,4637577
45,5650995,4568637,4616895
46,5623419,4547955,4596213
47,5602737,4527273,4575531
48,5575161,4506591,4554849
49,5554479,4485909,4534167
50,5526903,4465227,4513485
51,5506221,4444545,4492803
52,5478645,4423863,4472121
53,5457963,4403181,4458333
54,5430387,4382499,4437651
55,5409705,4361817,4416969
56,5382129,4348029,4396287
57,5361447,4341135,4375605
58,5333871,4327347,4354923
59,5313189,4306665,4341135
60,5292507,4285983,4320453
61,5264931,4265301,4299771
62,5244249,4251513,4279089
63,5223567,4230831,4265301
64,5202885,4210149,4244619
65,5182203,4196361,4223937
66,5154627,4175679,4210149
67,5133945,4154997,4189467
68,5113263,4141209,4175679
69,5092581,4120527,4154997
70,5071899,4106739,4134315
71,5051217,4086057,4120527
72,5030535,4072269,4099845
73,5002959,4051587,4086057
74,4982277,4037799,4065375
75,4961595,4017117,4051587
76,4940913,4003329,4030905
