time,Re,inlet-p,outlet-p,time
0,0,5685465,5685465,0
1,0,5685465,2866123.76,1
2,4.6340819354833,5685347.2380927,1121749.48,2
3,5.9760025809839,5684587.8750884,473642.04,3
4,6.2983821745046,5682258.632007,280588.76,4
5,6.3918317492109,5677453.3394897,184062.12,5
6,6.4224540917914,5669684.9284279,135798.8,6
7,6.4190100524066,5658991.6311022,115114.52,7
8,6.397499377165,5645811.4679643,108219.76,8
9,6.3674338661064,5630769.1476714,108219.76,9
10,6.3339488689016,5614488.701969,108219.76,10
11,6.2995104699327,5597483.494129,101325,11
12,6.2641736827051,5580125.7777332,101325,12
13,6.2277292221,5562667.1199502,101325,13
14,6.1920819462247,5545269.8645534,101325,14
15,6.1572962425582,5528031.3250585,101325,15
16,6.1234035093666,5511002.1472992,101325,16
17,6.0903828441628,5494201.4800128,101325,17
18,6.0581805925876,5477628.9589171,101325,18
19,6.0267269517235,5461273.2959065,101325,19
20,5.9959470772142,5445117.9101138,101325,20
21,5.9657676881965,5429144.3582209,101325,21
22,5.9361205716391,5413334.2858856,101325,22
23,5.9069441411466,5397670.4496251,101325,23
24,5.8781838559847,5382137.1824226,101325,24
25,5.8497920165824,5366720.5407589,101325,25
26,5.8217272499349,5351408.2782915,101325,26
27,5.7939538672979,5336189.7322014,101325,27
28,5.7664411958122,5321055.6717376,101325,28
29,5.7391629375097,5305998.136555,101325,29
30,5.7120965811535,5291010.279507,101325,30
31,5.6852228765526,5276086.2210711,101325,31
32,5.6585253723918,5261220.9183501,101325,32
33,5.6319900142108,5246410.0492619,101325,33
34,5.6056047971497,5231649.9113196,101325,34
35,5.5793594673979,5216937.3338227,101325,35
36,5.5532452663098,5202269.6020583,101325,36
37,5.5272547115391,5187644.3920858,101325,37
38,5.5013814100843,5173059.7147468,101325,38
39,5.4756198987259,5158513.8676646,101325,39
40,5.449965507907,5144005.3941281,101325,40
41,5.4244142456421,5129533.0478906,101325,41
42,5.3989626985147,5115095.7630417,101325,42
43,5.3736079472428,5100692.6282212,101325,43
44,5.3483474946619,5086322.8645509,101325,44
45,5.3231792042849,5071985.8067429,101325,45
46,5.298101247875,5057680.8869269,101325,46
47,5.2731120606974,5043407.6207993,101325,47
48,5.2482103033135,5029165.5957592,101325,48
49,5.2233948289512,5014954.4607432,101325,49
50,5.1986646556298,5000773.917512,101325,50
51,5.1740189423373,4986623.7131804,101325,51
52,5.1494569686656,4972503.6338099,101325,52
53,5.124978117395,4958413.4989118,101325,53
54,5.1005818595962,4944353.1567296,101325,54
55,5.076267741881,4930322.4801885,101325,55
56,5.0520353754892,4916321.3634164,101325,56
57,5.0278844269419,4902349.7187558,101325,57
58,5.0038146100358,4888407.4741942,101325,58
59,4.979825678982,4874494.5711565,101325,59
60,4.9559174225245,4860610.9626045,101325,60
61,4.932089658896,4846756.6114036,101325,61
62,4.908342231491,4832931.488915,101325,62
63,4.8846750051522,4819135.5737855,101325,63
64,4.861087862982,4805368.8509031,101325,64
65,4.8375807036047,4791631.3104986,101325,65
66,4.8141534388138,4777922.9473705,101325,66
67,4.7908059915497,4764243.7602162,101325,67
68,4.7675382941614,4750593.7510557,101325,68
69,4.7443502869104,4736972.9247335,101325,69
70,4.7212419166842,4723381.2884893,101325,70
71,4.6982131358878,4709818.8515863,101325,71
72,4.6752639014896,4696285.6249903,101325,72
73,4.6523941741991,4682781.6210925,101325,73
74,4.629603917758,4669306.8534694,101325,74
75,4.6068930983288,4655861.3366747,101325,75
76,4.5842616839673,4642445.0860598,101325,76
77,4.5617096441672,4629058.1176176,101325,77
78,4.5392369494668,4615700.4478474,101325,78
79,4.516843571109,4602372.0936376,101325,79
80,4.4945294807473,4589073.0721641,101325,80
81,4.4722946501917,4575803.4008015,101325,81
82,4.4501390511884,4562563.0970464,101325,82
83,4.428062655229,4549352.1784504,101325,83
84,4.4060654333854,4536170.6625619,101325,84
85,4.3841473561661,4523018.5668755,101325,85
86,4.3623083933921,4509895.908787,101325,86
87,4.3405485140884,4496802.7055557,101325,87
88,4.3188676863904,4483738.9742695,101325,88
89,4.2972658774616,4470704.7318161,101325,89
90,4.2757430534226,4457699.9948564,101325,90
91,4.2542991792893,4444724.7798022,101325,91
92,4.2329342189182,4431779.1027956,101325,92
93,4.2116481349595,4418862.9796917,101325,93
94,4.1904408888156,4405976.426043,101325,94
95,4.1693124406048,4393119.4570853,101325,95
96,4.14826274913,4380292.0877257,101325,96
97,4.1272917718505,4367494.3325317,101325,97
98,4.1063994648582,4354726.2057215,101325,98
99,4.0855857828555,4341987.7211556,101325,99
100,4.0648506791372,4329278.8923286,101325,100
101,4.0441941055733,4316599.7323626,101325,101
102,4.0236160125952,4303950.2540011,101325,102
103,4.0031163491823,4291330.4696029,101325,103
104,3.9826950628509,4278740.3911377,101325,104
105,3.9623520996445,4266180.0301806,101325,105
106,3.9420874041249,4253649.3979086,101325,106
107,3.9219009193643,4241148.5050966,101325,107
108,3.901792586939,4228677.3621134,101325,108
109,3.8817625277821,4216236.0908898,101325,109
110,3.8618104974677,4203824.5884669,101325,110
111,3.841936433782,4191442.8639778,101325,111
112,3.8221402722666,4179090.926138,101325,112
113,3.8024219469445,4166768.7832433,101325,113
114,3.7827813903168,4154476.4431676,101325,114
115,3.7632185333607,4142213.9133606,101325,115
116,3.7437333055272,4129981.2008459,101325,116
117,3.7243256347399,4117778.3122192,101325,117
118,3.7049954473934,4105605.2536464,101325,118
119,3.6857426683527,4093462.0308622,101325,119
120,3.6665672209522,4081348.6491681,101325,120
121,3.6474690269959,4069265.1134314,101325,121
122,3.6284480067568,4057211.4280836,101325,122
123,3.6095040789778,4045187.5971189,101325,123
124,3.5906371608713,4033193.6240931,101325,124
125,3.5718471681209,4021229.5121223,101325,125
126,3.5531340148816,4009295.2638819,101325,126
127,3.5344976137811,3997390.8816055,101325,127
128,3.5159378759215,3985516.3670835,101325,128
129,3.4974547108805,3973671.7216626,101325,129
130,3.4790480267137,3961856.9462447,101325,130
131,3.4607177299557,3950072.0412856,101325,131
132,3.4424637256233,3938317.0067951,101325,132
133,3.4242859172172,3926591.842335,101325,133
134,3.4061842067249,3914896.5470195,101325,134
135,3.388158494623,3903231.1195135,101325,135
136,3.370208679881,3891595.5580329,101325,136
137,3.3523346599633,3879989.8603429,101325,137
138,3.3345363308335,3868414.0237586,101325,138
139,3.3168135869571,3856868.0451433,101325,139
140,3.2991663213058,3845351.9209088,101325,140
141,3.2815944253607,3833865.6470147,101325,141
142,3.2640977891169,3822409.218968,101325,142
143,3.2466763010872,3810982.6318225,101325,143
144,3.2293298483066,3799585.8801788,101325,144
145,3.212058316337,3788218.9581837,101325,145
146,3.1948615892717,3776881.8595303,101325,146
147,3.17773954974,3765574.5774573,101325,147
148,3.1606920789129,3754297.1047493,101325,148
149,3.1437190565077,3743049.4337361,101325,149
150,3.1268203607934,3731831.5562932,101325,150
151,3.1099958685967,3720643.4638414,101325,151
152,3.093245455307,3709485.1473466,101325,152
