time,Re,inlet-p,outlet-p
0,0,5685465,5685465
1,0,5685465,2866123.76
2,0.8453333354991,5684958.1756095,1121749.48
3,1.1108222183422,5682299.4159325,473642.04
4,1.1620287511412,5675301.392828,280588.76
5,1.1688767077131,5662510.748265,184062.12
6,1.1682875567616,5643796.6373189,135798.8
7,1.163004793146,5620097.0176096,115114.52
8,1.1544083543729,5592851.8393287,108219.76
9,1.1438126268177,5563514.276949,108219.76
10,1.1321253288125,5533269.9102803,108219.76
11,1.1202962915346,5502946.7538352,101325
12,1.109289591727,5473053.0636806,101325
13,1.0979697344303,5443868.2976967,101325
14,1.0869438295039,5415523.4446069,101325
15,1.0762426119204,5388054.0822141,101325
16,1.0658684501613,5361436.3114093,101325
17,1.0558062283797,5335612.8041309,101325
18,1.0460325579836,5310510.974253,101325
19,1.0365213187678,5286054.52122,101325
20,1.0272467263547,5262170.0118963,101325
21,1.0181848631936,5238790.1592351,101325
22,1.0093143108425,5215855.0952006,101325
23,1.0006162872949,5193312.5183194,101325
24,0.9920745310655,5171117.2631876,101325
25,0.98367507031866,5149230.6121454,101325
26,0.97540595282114,5127619.5269749,101325
27,0.96725697614486,5106255.8937612,101325
28,0.95921943702918,5085115.8254991,101325
29,0.95128590757597,5064179.0401295,101325
30,0.94345004002253,5043428.3173802,101325
31,0.93570639888571,5022849.0306263,101325
32,0.92805031795335,5002428.7467889,101325
33,0.92047777915435,4982156.8862357,101325
34,0.91298531034082,4962024.4346939,101325
35,0.90556989922979,4942023.6997587,101325
36,0.8982289210505,4922148.1053746,101325
37,0.89096007776127,4902392.0184995,101325
38,0.8837613470031,4882750.6029676,101325
39,0.87663093923236,4863219.6962933,101325
40,0.86956726171663,4843795.7058071,101325
41,0.86256888828578,4824475.5210687,101325
42,0.85563453390853,4805256.439983,101325
43,0.84876303331475,4786136.1064518,101325
44,0.84195332301037,4767112.4577367,101325
45,0.83520442613831,4748183.6800008,101325
46,0.82851543972745,4729348.1707398,101325
47,0.82188552394651,4710604.5070183,101325
48,0.81531389304182,4691951.4186019,101325
49,0.80879980769012,4673387.7652172,101325
50,0.80234256854107,4654912.5172958,101325
51,0.79594151076054,4636524.7396606,101325
52,0.78959599941615,4618223.5776954,101325
53,0.78330542557222,4600008.2456157,101325
54,0.7770692029823,4581878.0165144,101325
55,0.77088676528553,4563832.2139102,101325
56,0.76475756362806,4545870.2045667,101325
57,0.75868106464306,4527991.3923896,101325
58,0.75265674873369,4510195.2132352,101325
59,0.74668410861194,4492481.1304929,101325
60,0.74076264805382,4474848.6313244,101325
61,0.73489188083757,4457297.2234589,101325
62,0.72907132983676,4439826.4324612,101325
63,0.72330052624455,4422435.7994026,101325
64,0.71757900890907,4405124.8788717,101325
65,0.71190632376311,4387893.2372763,101325
66,0.70628202333368,4370740.4513931,101325
67,0.70070566631947,4353666.1071259,101325
68,0.695176817226,4336669.7984449,101325
69,0.68969504604968,4319751.1264774,101325
70,0.68425992800365,4302909.6987289,101325
71,0.67887104327901,4286145.128416,101325
72,0.67352797683632,4269457.0338928,101325
73,0.66823031822286,4252845.0381593,101325
74,0.66297766141178,4236308.7684384,101325
75,0.65776960466012,4219847.8558122,101325
76,0.6526057503828,4203461.9349088,101325
77,0.64748570504027,4187150.6436324,101325
78,0.64240907903802,4170913.6229303,101325
79,0.63737548663604,4154750.5165919,101325
80,0.63238454586695,4138660.9710743,101325
81,0.62743587846152,4122644.6353521,101325
82,0.62252910978063,4106701.1607862,101325
83,0.61766386875265,4090830.2010107,101325
84,0.61283978781556,4075031.4118338,101325
85,0.60805650286325,4059304.4511518,101325
86,0.60331365319522,4043648.9788738,101325
87,0.59861088146952,4028064.6568559,101325
88,0.59394783365823,4012551.1488432,101325
89,0.58932415900531,3997108.1204191,101325
90,0.58473950998654,3981735.2389602,101325
91,0.58019354227115,3966432.1735968,101325
92,0.57568591468508,3951198.5951774,101325
93,0.57121628917558,3936034.1762374,101325
94,0.5667843307771,3920938.5909707,101325
95,0.56238970757816,3905911.5152047,101325
96,0.55803209068929,3890952.6263774,101325
97,0.55371115421178,3876061.6035167,101325
98,0.54942657520718,3861238.1272215,101325
99,0.54517803366761,3846481.8796448,101325
100,0.54096521248659,3831792.5444777,101325
101,0.5367877974305,3817169.8069349,101325
102,0.53264547711063,3802613.353741,101325
103,0.5285379429556,3788122.8731182,101325
104,0.52446488918437,3773698.0547742,101325
105,0.52042601277955,3759338.5898914,101325
106,0.51642101346119,3745044.171116,101325
107,0.51244959366093,3730814.4925484,101325
108,0.50851145849645,3716649.2497334,101325
109,0.50460631574631,3702548.1396514,101325
110,0.50073387582509,3688510.8607094,101325
111,0.4968938517588,3674537.1127327,101325
112,0.49308595916065,3660626.5969567,101325
113,0.48930991620699,3646779.016019,101325
114,0.48556544361365,3632994.0739519,101325
115,0.48185226461241,3619271.4761745,101325
116,0.47817010492784,3605610.929486,101325
117,0.47451872555448,3592012.2644503,101325
118,0.47089782378623,3578475.0671058,101325
119,0.46730713269618,3564999.048356,101325
120,0.46374638775964,3551583.9204561,101325
121,0.46021532683213,3538229.3970066,101325
122,0.45671369012743,3524935.1929464,101325
123,0.45324122019609,3511701.0245462,101325
124,0.44979766190389,3498526.6094026,101325
125,0.44638276241075,3485411.6664312,101325
126,0.44299627114967,3472355.9158605,101325
127,0.43963793980597,3459359.0792255,101325
128,0.43630752229665,3446420.8793618,101325
129,0.43300477475003,3433541.0403992,101325
130,0.42972945548554,3420719.2877557,101325
131,0.42648132499367,3407955.3481315,101325
132,0.42326014591615,3395248.949503,101325
133,0.42006568302634,3382599.8211167,101325
134,0.41689770320972,3370007.6934833,101325
135,0.41375597544463,3357472.2983723,101325
136,0.41064027078318,3344993.3688053,101325
137,0.40755036233233,3332570.639051,101325
138,0.4044860252351,3320203.8446188,101325
139,0.40144703665208,3307892.7222537,101325
140,0.39843317574292,3295637.0099299,101325
141,0.39544422364821,3283436.4468457,101325
142,0.39247996347133,3271290.7734174,101325
143,0.38954018026061,3259199.7312742,101325
144,0.38662466099158,3247163.0632521,101325
145,0.38373319454941,3235180.5133885,101325
146,0.38086557171149,3223251.826917,101325
147,0.3780215851302,3211376.7502615,101325
148,0.37520102931584,3199555.0310307,101325
149,0.37240370061967,3187786.4180131,101325
150,0.36962939721716,3176070.661171,101325
151,0.36687791909137,3164407.5116358,101325
152,0.36414906801648,3152796.7217018,101325
153,0.36144264754149,3141238.0448215,101325
154,0.35875846297405,3129731.2356002,101325
155,0.35609632136443,3118276.0497904,101325
156,0.35345603148969,3106872.2442867,101325
157,0.35083740383792,3095519.5771209,101325
158,0.3482402505927,3084217.807456,101325
159,0.34566438561764,3072966.6955819,101325
160,0.34310962444111,3061766.0029096,101325
161,0.34057578424107,3050615.4919664,101325
162,0.33806268383005,3039514.9263905,101325
163,0.33557014364034,3028464.0709261,101325
164,0.33309798570916,3017462.6914185,101325
165,0.33064603366414,3006510.5548087,101325
166,0.32821411270879,2995607.4291284,101325
167,0.32580204960823,2984753.0834954,101325
168,0.32340967267493,2973947.2881081,101325
169,0.32103681175465,2963189.814241,101325
170,0.31868329821252,2952480.4342395,101325
171,0.31634896491923,2941818.921515,101325
172,0.31403364623729,2931205.0505402,101325
173,0.31173717800752,2920638.5968439,101325
174,0.30945939753559,2910119.3370068,101325
175,0.30720014357871,2899647.0486558,101325
176,0.30495925633244,2889221.5104599,101325
177,0.30273657741761,2878842.5021252,101325
178,0.30053194986737,2868509.8043902,101325
179,0.29834521811436,2858223.1990208,101325
180,0.29617622797801,2847982.468806,101325
181,0.29402482665193,2837787.3975529,101325
182,0.2918908626914,2827637.7700824,101325
183,0.28977418600105,2817533.3722241,101325
184,0.28767464782258,2807473.990812,101325
185,0.28559210072263,2797459.4136796,101325
186,0.28352639858071,2787489.4296559,101325
187,0.28147739657736,2777563.8285601,101325
188,0.27944495118224,2767682.4011976,101325
189,0.27742892014251,2757844.9393555,101325
190,0.2754291624712,2748051.2357975,101325
191,0.2734455384357,2738301.0842602,101325
192,0.27147790954643,2728594.2794482,101325
193,0.26952613854552,2718930.6170296,101325
194,0.26759008939563,2709309.893632,101325
195,0.26566962726892,2699731.9068376,101325
196,0.26376461853602,2690196.4551794,101325
197,0.26187493075521,2680703.3381363,101325
198,0.26000043266163,2671252.356129,101325
199,0.25814099415659,2661843.3105158,101325
200,0.25629648629703,2652476.003588,101325
201,0.254466781285,2643150.2385662,101325
202,0.25265175245733,2633865.8195952,101325
203,0.25085127427528,2624622.5517406,101325
204,0.24906522231441,2615420.2409839,101325
205,0.24729347325444,2606258.6942191,101325
206,0.24553590486926,2597137.7192475,101325
207,0.24379239601702,2588057.1247744,101325
208,0.24206282663029,2579016.7204047,101325
209,0.24034707770633,2570016.3166385,101325
210,0.23864503129747,2561055.7248674,101325
211,0.2369565705015,2552134.7573702,101325
212,0.23528157945228,2543253.227309,101325
213,0.23361994331027,2534410.9487248,101325
214,0.2319715482533,2525607.7365339,101325
215,0.23033628146735,2516843.4065238,101325
216,0.22871403113737,2508117.7753488,101325
217,0.22710468643832,2499430.6605267,101325
218,0.22550813752614,2490781.8804342,101325
219,0.22392427552892,2482171.2543035,101325
220,0.22235299253805,2473598.602218,101325
221,0.22079418159958,2465063.7451086,101325
222,0.2192477367055,2456566.5047497,101325
223,0.21771355278525,2448106.7037556,101325
224,0.21619152569721,2439684.1655761,101325
225,0.21468155222029,2431298.7144934,101325
226,0.21318353004564,2422950.1756176,101325
227,0.21169735776836,2414638.3748834,101325
228,0.21022293487935,2406363.139046,101325
229,0.20876016175723,2398124.2956778,101325
230,0.20730893966029,2389921.673164,101325
231,0.20586917071852,2381755.1006992,101325
232,0.2044407579258,2373624.408284,101325
233,0.20302360513202,2365529.4267208,101325
234,0.2016176170354,2357469.9876103,101325
235,0.20022269917479,2349445.9233481,101325
236,0.19883875792212,2341457.0671205,101325
237,0.19746570047482,2333503.2529016,101325
238,0.19610343484841,2325584.315449,101325
239,0.1947518698691,2317700.0903007,101325
240,0.19341091516646,2309850.4137711,101325
241,0.19208048116619,2302035.1229479,101325
242,0.19076047908292,2294254.0556884,101325
243,0.18945082091308,2286507.0506155,101325
244,0.18815141942786,2278793.947115,101325
245,0.18686218816622,2271114.5853314,101325
246,0.18558304142797,2263468.8061651,101325
247,0.18431389426688,2255856.451268,101325
248,0.18305466248391,2248277.3630411,101325
249,0.18180526262045,2240731.3846303,101325
250,0.18056561195165,2233218.3599233,101325
251,0.17933562847981,2225738.1335461,101325
252,0.17811523092782,2218290.5508598,101325
253,0.17690433873268,2210875.457957,101325
254,0.17570287203902,2203492.7016585,101325
255,0.17451075169278,2196142.12951,101325
256,0.17332789923486,2188823.5897789,101325
257,0.17215423689484,2181536.9314505,101325
258,0.17098968758483,2174282.0042255,101325
259,0.16983417489328,2167058.658516,101325
260,0.16868762307891,2159866.7454426,101325
261,0.16754995706464,2152706.1168309,101325
262,0.16642110243166,2145576.6252087,101325
263,0.16530098541349,2138478.1238023,101325
264,0.16418953289006,2131410.4665335,101325
265,0.16308667238198,2124373.5080164,101325
266,0.16199233204469,2117367.1035543,101325
267,0.1609064406628,2110391.1091364,101325
268,0.15982892764441,2103445.3814345,101325
269,0.15875972301552,2096529.7778005,101325
270,0.15769875741443,2089644.1562624,101325
271,0.1566459620863,2082788.3755218,101325
272,0.15560126887763,2075962.2949508,101325
273,0.1545646102309,2069165.7745885,101325
274,0.15353591917918,2062398.6751382,101325
275,0.15251512934085,2055660.8579646,101325
276,0.15150217491432,2048952.1850902,101325
277,0.15049699067281,2042272.5191927,101325
278,0.14949951195924,2035621.7236019,101325
279,0.14850967468103,2028999.6622966,101325
280,0.14752741530512,2022406.1999016,101325
281,0.14655267085286,2015841.2016849,101325
282,0.1455853788951,2009304.5335547,101325
283,0.14462547754722,2002796.0620562,101325
284,0.14367290546424,1996315.654369,101325
285,0.14272760183602,1989863.1783041,101325
286,0.14178950638241,1983438.5023008,101325
287,0.14085855934851,1977041.4954241,101325
288,0.13993470149997,1970672.0273615,101325
289,0.13901787411832,1964329.9684205,101325
290,0.13810801899634,1958015.1895252,101325
291,0.13720507843346,1951727.5622143,101325
292,0.13630899523124,1945466.9586373,101325
293,0.13541971268886,1939233.2515526,101325
294,0.13453717459866,1933026.3143238,101325
295,0.13366132524173,1926846.0209177,101325
296,0.13279210938351,1920692.2459011,101325
297,0.13192947226947,1914564.864438,101325
298,0.1310733596208,1908463.7522872,101325
299,0.13022371763016,1902388.7857991,101325
300,0.12938049295745,1896339.8419133,101325
301,0.12854363272562,1890316.7981559,101325
302,0.12771308451655,1884319.5326363,101325
303,0.12688879636691,1878347.9240454,101325
304,0.12607071676412,1872401.8516519,101325
305,0.12525879464229,1866481.1953004,101325
306,0.12445297937825,1860585.8354086,101325
307,0.12365322078758,1854715.6529642,101325
308,0.12285946912066,1848870.5295227,101325
309,0.12207167505884,1843050.347205,101325
310,0.12128978971053,1837254.9886939,101325
311,0.12051376460742,1831484.3372325,101325
312,0.11974355170067,1825738.2766211,101325
313,0.11897910335719,1820016.6912145,101325
314,0.1182203723559,1814319.4659199,101325
315,0.11746731188406,1808646.4861939,101325
316,0.11671987553362,1802997.6380403,101325
317,0.11597801729764,1797372.8080072,101325
318,0.11524169156663,1791771.883185,101325
