time,Re,inlet-p,outlet-p,time
0,0,5720554.4,5720554.4,0
0.1,0,5720554.4,5435111.336,0.1
0.2,16.214632439557,5718067.8179615,5149668.272,0.2
0.3,31.201373468685,5708917.6121918,4864225.208,0.3
0.4,44.746528680537,5689420.4215462,4578782.144,0.4
0.5,56.735046940981,5657489.8554136,4293339.08,0.5
0.6,67.148603836725,5612595.0483067,4007896.016,0.6
0.7,76.036248441472,5555279.7202967,3722452.952,0.7
0.8,83.484549497974,5486688.5170525,3437009.888,0.8
0.9,89.596027596569,5408234.9428329,3151566.824,0.9
1,94.475875029396,5321403.1271064,2866123.76,1
1.1,98.224630021641,5227641.8412741,2691686.332,1.1
1.2,97.932571694463,5128558.6193479,2517248.904,1.2
1.3,97.24433447032,5025852.2330737,2342811.476,1.3
1.4,96.2479910512,4921071.9922759,2168374.048,1.4
1.5,95.011689726071,4815462.7474397,1993936.62,1.5
1.6,93.582884551076,4709946.5994339,1819499.192,1.6
1.7,91.992610585814,4605179.5531881,1645061.764,1.7
1.8,90.26037615862,4501624.9659125,1470624.336,1.8
1.9,88.398206469833,4399616.7232024,1296186.908,1.9
2,86.413660668954,4299405.9152687,1121749.48,2
2.1,84.312161636578,4201193.403229,1056938.736,2.1
2.2,80.932944129461,4105168.5951894,992127.992,2.2
2.3,77.710828864536,4011528.9690765,927317.248,2.3
2.4,74.64212561486,3920465.0508674,862506.504,2.4
2.5,71.725078416709,3832132.4931388,797695.76,2.5
2.6,68.956230629448,3746634.1233115,732885.016,2.6
2.7,66.330242612084,3664017.6231899,668074.272,2.7
2.8,63.840417628106,3584283.8617316,603263.528,2.8
2.9,61.479422422883,3507399.5032703,538452.784,2.9
3,59.240008710831,3433309.3983372,473642.04,3
3.1,57.115736745989,3361947.766705,454336.712,3.1
3.2,54.855218941476,3293239.4629255,435031.384,3.2
3.3,52.727674026152,3227098.6704466,415726.056,3.3
3.4,50.723050687157,3163430.4725232,396420.728,3.4
3.5,48.833100449348,3102135.0325085,377115.4,3.5
3.6,47.050176601667,3043111.5248451,357810.072,3.6
3.7,45.367165254007,2986260.8572712,338504.744,3.7
3.8,43.777482637518,2931487.3057511,319199.416,3.8
3.9,42.275069077137,2878699.4605391,299894.088,3.9
4,40.854377827563,2827810.7878779,280588.76,4
4.1,39.510362412215,2778739.980801,270936.096,4.1
4.2,38.198782773725,2731409.8552178,261283.432,4.2
4.3,36.955645371805,2685745.2112187,251630.768,4.3
4.4,35.776591717632,2641671.7861456,241978.104,4.4
4.5,34.657631821583,2599116.3880831,232325.44,4.5
4.6,33.595002406896,2558007.8743584,222672.776,4.6
4.7,32.585191716037,2518278.2225663,213020.112,4.7
4.8,31.624954187635,2479863.3108697,203367.448,4.8
4.9,30.711310908153,2442703.3282311,193714.784,4.9
5,29.841540614657,2406742.8845554,184062.12,5
5.1,29.013165817,2371930.9264667,179235.788,5.1
5.2,28.206709172182,2338220.0339488,174409.456,5.2
5.3,27.436506971385,2305565.1483174,169583.124,5.3
5.4,26.700659032775,2273922.4302382,164756.792,5.4
5.5,25.99733641059,2243248.7642772,159930.46,5.5
5.6,25.32475757886,2213501.8908373,155104.128,5.6
5.7,24.68121847773,2184640.860929,150277.796,5.7
5.8,24.065111373528,2156626.525729,145451.464,5.8
5.9,23.474934210067,2129421.9043043,140625.132,5.9
6,22.909293052903,2102992.3872371,135798.8,6
6.1,22.36689989686,2077305.7958474,133730.372,6.1
6.2,21.837501677909,2052332.1394639,131661.944,6.2
6.3,21.328349915145,2028043.0319451,129593.516,6.3
6.4,20.838552756203,2004411.0364826,127525.088,6.4
6.5,20.367212147329,1981409.2444894,125456.66,6.5
6.6,19.913427530182,1959011.1875003,123388.232,6.6
6.7,19.476318328017,1937190.9938483,121319.804,6.7
6.8,19.055037954443,1915923.6452339,119251.376,6.8
6.9,18.64878222532,1895185.2212926,117182.948,6.9
7,18.256793755782,1874953.0760239,115114.52,7
7.1,17.87836339966,1855205.9329346,114425.044,7.1
7.2,17.508676668487,1835924.0232849,113735.568,7.2
7.3,17.150939730003,1817088.3658407,113046.092,7.3
7.4,16.80466868339,1798681.0378186,112356.616,7.4
7.5,16.469378183668,1780684.771875,111667.14,7.5
7.6,16.144583827305,1763082.8505946,110977.664,7.6
7.7,15.829812380231,1745859.1101091,110288.188,7.7
7.8,15.524607826824,1728998.0071104,109598.712,7.8
7.9,15.228535009955,1712484.7019502,108909.236,7.9
8,14.941181650553,1696305.1268011,108219.76,8
8.1,14.662159150774,1680446.0254196,108219.76,8.1
8.2,14.389231894287,1664894.9470443,108219.76,8.2
8.3,14.123806982453,1649640.1824422,108219.76,8.3
8.4,13.865605399173,1634670.6611663,108219.76,8.4
8.5,13.614353550697,1619975.8502846,108219.76,8.5
8.6,13.369782142933,1605545.6855096,108219.76,8.6
8.7,13.131629880472,1591370.5417709,108219.76,8.7
8.8,12.899645534848,1577441.2326298,108219.76,8.8
8.9,12.673589103195,1563749.0227174,108219.76,8.9
9,12.453232398836,1550285.6404038,108219.76,9
9.1,12.238359222722,1537043.2834533,108219.76,9.1
9.2,12.028765214764,1524014.6151838,108219.76,9.2
9.3,11.824257471354,1511192.751622,108219.76,9.3
9.4,11.624654005588,1498571.2415461,108219.76,9.4
9.5,11.429783113955,1486144.0416746,108219.76,9.5
9.6,11.239482698981,1473905.4890812,108219.76,9.6
9.7,11.053599583868,1461850.2725163,108219.76,9.7
9.8,10.871988843709,1449973.403878,108219.76,9.8
9.9,10.694513168895,1438270.1906859,108219.76,9.9
10,10.521042269646,1426736.2100945,108219.76,10
10.1,10.351452325888,1415367.2847468,107530.284,10.1
10.2,10.187128593849,1404159.4646079,106840.808,10.2
10.3,10.026502360833,1393109.0217831,106151.332,10.3
10.4,9.8694516954457,1382212.4589627,105461.856,10.4
10.5,9.7158599483898,1371466.5222216,104772.38,10.5
10.6,9.56562135376,1360868.2060068,104082.904,10.6
10.7,9.4186388938977,1350414.7433972,103393.428,10.7
10.8,9.2748225750239,1340103.5820828,102703.952,10.8
10.9,9.1340881040605,1329932.3511419,102014.476,10.9
11,8.9963558302721,1319898.824713,101325,11
11.1,8.8615498943368,1310000.8874131,101325,11.1
11.2,8.7282253786154,1300236.5022386,101325,11.2
11.3,8.5976449309742,1290603.6774816,101325,11.3
11.4,8.4697505571422,1281100.4306804,101325,11.4
11.5,8.3444882960274,1271724.7534592,101325,11.5
11.6,8.2218010423825,1262474.5845052,101325,11.6
11.7,8.101629568756,1253347.7960319,101325,11.7
11.8,7.9839134665564,1244342.1944936,101325,11.8
11.9,7.8685918591913,1235455.532526,101325,11.9
12,7.7556039747103,1226685.5275305,101325,12
12.1,7.6448896134747,1218029.8826041,101325,12.1
12.2,7.5363895216205,1209486.3066824,101325,12.2
12.3,7.4300456767296,1201052.5320631,101325,12.3
12.4,7.3258014942822,1192726.3285192,101325,12.4
12.5,7.2236019659516,1184505.5139127,101325,12.5
12.6,7.1233937418728,1176387.9616139,101325,12.6
12.7,7.0251251686954,1168371.6052132,101325,12.7
12.8,6.9287462940152,1160454.4410537,101325,12.8
12.9,6.8342088461537,1152634.5290823,101325,12.9
13,6.7414661965682,1144909.9924534,101325,13
13.1,6.6504733106062,1137279.0162407,101325,13.1
13.2,6.5611866909769,1129739.845541,101325,13.2
13.3,6.4735643171953,1122290.783189,101325,13.3
13.4,6.3875655833755,1114930.1872484,101325,13.4
13.5,6.3031512360581,1107656.4683997,101325,13.5
13.6,6.2202833132359,1100468.087313,101325,13.6
13.7,6.1389250853477,1093363.5520655,101325,13.7
13.8,6.0590409987212,1086341.4156451,101325,13.8
13.9,5.9805966217371,1079400.2735659,101325,13.9
14,5.9035585938357,1072538.7616116,101325,14
14.1,5.8278945773825,1065755.5537117,101325,14.1
14.2,5.753573212341,1059049.3599559,101325,14.2
14.3,5.6805640736502,1052418.9247405,101325,14.3
14.4,5.6088376311789,1045863.0250464,101325,14.4
14.5,5.5383652121125,1039380.4688383,101325,14.5
14.6,5.4691189656185,1032970.0935813,101325,14.6
14.7,5.4010718296392,1026630.7648657,101325,14.7
14.8,5.3341974996619,1020361.3751314,101325,14.8
14.9,5.2684703993224,1014160.8424868,101325,14.9
15,5.2038656527065,1008028.1096125,101325,15
15.1,5.1403590582223,1001962.1427432,101325,15.1
15.2,5.0779270639234,995961.93072294,101325,15.2
15.3,5.0165467441764,990026.48412482,101325,15.3
15.4,4.9561957775679,984154.83443216,101325,15.4
15.5,4.896852425962,978346.03327404,101325,15.5
15.6,4.838495514621,972599.15171133,101325,15.6
15.7,4.7811044133129,966913.27956862,101325,15.7
15.8,4.7246590183345,961287.52480812,101325,15.8
15.9,4.6691397353853,955721.0129418,101325,15.9
16,4.6145274632336,950212.88647863,101325,16
16.1,4.5608035781199,944762.30440387,101325,16.1
16.2,4.5079499188501,939368.44168762,101325,16.2
16.3,4.4559487725318,934030.48882045,101325,16.3
16.4,4.4047828609133,928747.6513735,101325,16.4
16.5,4.3544353272884,923519.14958143,101325,16.5
16.6,4.3048897239315,918344.21794616,101325,16.6
16.7,4.2561300000316,913222.10485981,101325,16.7
16.8,4.2081404900971,908152.07224541,101325,16.8
16.9,4.1609059028034,903133.39521394,101325,16.9
17,4.11441131026,898165.36173654,101325,17
17.1,4.0686421376733,893247.27233075,101325,17.1
17.2,4.0235841533853,888378.43975978,101325,17.2
17.3,3.9792234592682,883558.1887439,101325,17.3
17.4,3.9355464814566,878785.85568307,101325,17.4
