time,Re,inlet-p,outlet-p
0,0,5720554.4,5720554.4
0.1,0,5720554.4,5435111.336
0.2,19.389953041924,5710303.0039355,5149668.272
0.3,29.302179659124,5691005.6434506,4864225.208
0.4,36.72217504172,5663977.352234,4578782.144
0.5,42.675748296829,5630233.1508212,4293339.08
0.6,47.603386378102,5590592.2026786,4007896.016
0.7,51.747235745584,5545742.5198667,3722452.952
0.8,55.258540045478,5496277.3296326,3437009.888
0.9,58.239476111868,5442717.5925162,3151566.824
1,60.762766511546,5385527.2000664,2866123.76
1.1,62.882042717624,5325123.8886623,2691686.332
1.2,63.982877992111,5261900.1055352,2517248.904
1.3,64.815061313895,5196238.480465,2342811.476
1.4,65.427930030522,5128512.3736082,2168374.048
1.5,65.854042099831,5059076.9796472,1993936.62
1.6,66.117646621772,4988259.7085516,1819499.192
1.7,66.237314792292,4916354.4815516,1645061.764
1.8,66.227232973065,4843620.572418,1470624.336
1.9,66.098023736044,4770284.7772162,1296186.908
2,65.857292494939,4696545.4264675,1121749.48
2.1,65.509889210348,4622577.1403231,1056938.736
2.2,64.801516381791,4548535.9264712,992127.992
2.3,64.039285571538,4474565.0617069,927317.248
2.4,63.23470584908,4400796.8740534,862506.504
2.5,62.395554294157,4327356.7204338,797695.76
2.6,61.527881158473,4254362.022569,732885.016
2.7,60.636535048973,4181920.3987893,668074.272
2.8,59.725293025405,4110130.4705543,603263.528
2.9,58.796762627289,4039079.3989078,538452.784
3,57.852105751983,3968843.9256781,473642.04
3.1,56.89041416302,3899491.5350241,454336.712
3.2,55.872600530496,3831088.39732,435031.384
3.3,54.858755184429,3763678.4816285,415726.056
3.4,53.850936889291,3697304.1231543,396420.728
3.5,52.850781897591,3631998.9900186,377115.4
3.6,51.859373898868,3567782.8984382,357810.072
3.7,50.877526594093,3504680.4092943,338504.744
3.8,49.905526658885,3442704.3573938,319199.416
3.9,48.943211453261,3381863.1031529,299894.088
4,47.989936284208,3322161.7303906,280588.76
4.1,47.044499860828,3263603.1454893,270936.096
4.2,46.109862356494,3206188.092081,261283.432
4.3,45.191749401347,3149916.4427101,251630.768
4.4,44.289504063658,3094784.9335192,241978.104
4.5,43.402658277822,3040787.2383835,232325.44
4.6,42.530682472267,2987914.0216891,222672.776
4.7,41.672893993979,2936153.4636153,213020.112
4.8,40.828420275436,2885492.0528335,203367.448
4.9,39.996182573187,2835915.4469258,193714.784
5,39.17488204433,2787409.2752925,184062.12
5.1,38.362978368291,2739959.8343669,179235.788
5.2,37.571305884386,2693554.598081,174409.456
5.3,36.799141908933,2648180.2026118,169583.124
5.4,36.045065206395,2603822.6191698,164756.792
5.5,35.308148135824,2560465.8809823,159930.46
5.6,34.587593311581,2518091.8575672,155104.128
5.7,33.882599437422,2476680.58656,150277.796
5.8,33.192315553234,2436210.9283908,145451.464
5.9,32.515833629832,2396661.3108114,140625.132
6,31.852195461323,2358010.4107531,135798.8
6.1,31.20040211318,2320237.704408,133730.372
6.2,30.572370375194,2283323.4209992,131661.944
6.3,29.965583245973,2247247.7584358,129593.516
6.4,29.378284038275,2211989.8615669,127525.088
6.5,28.809285098452,2177527.1615194,125456.66
6.6,28.257591333053,2143835.3166099,123388.232
6.7,27.722265556511,2110888.6444153,121319.804
6.8,27.202386457643,2078660.7972465,119251.376
6.9,26.697044968118,2047125.4622848,117182.948
7,26.205354373903,2016256.95601,115114.52
7.1,25.726462818196,1986030.6628105,114425.044
7.2,25.266753349655,1956425.7284073,113735.568
7.3,24.8238207353,1927416.5536741,113046.092
7.4,24.395977715657,1898980.5096512,112356.616
7.5,23.98193663047,1871094.8901049,111667.14
7.6,23.580582132691,1843736.9730781,110977.664
7.7,23.190891073048,1816884.3179016,110288.188
7.8,22.811907331921,1790515.1480847,109598.712
7.9,22.442737911576,1764608.703985,108909.236
8,22.082555747028,1739145.5058831,108219.76
8.1,21.730603033998,1714107.5130611,108219.76
8.2,21.388873634879,1689478.0926227,108219.76
8.3,21.055948644283,1665241.8084698,108219.76
8.4,20.730713988609,1641384.1732415,108219.76
8.5,20.412290782723,1617891.4950984,108219.76
8.6,20.099932259593,1594750.8535667,108219.76
8.7,19.792985097834,1571950.1636838,108219.76
8.8,19.490874129466,1549478.2683527,108219.76
8.9,19.193095963243,1527325.0141278,108219.76
9,18.899215436154,1505481.289056,108219.76
9.1,18.608862383255,1483939.0190805,108219.76
