time,Re,inlet-p,outlet-p
0,0,5720554,5720554.4
0.1,0,5720554,5435111.336
0.2,5.2214633472274,5693573.1623997,5149668.272
0.3,7.5032253161936,5650080.2369719,4864225.208
0.4,9.1369681021349,5593418.8479298,4578782.144
0.5,10.39786627372,5525900.5943742,4293339.08
0.6,11.402564248835,5449340.0877087,4007896.016
0.7,12.21481408502,5365223.2608485,3722452.952
0.8,12.874107593902,5274798.7701047,3437009.888
0.9,13.406787647249,5179138.6149763,3151566.824
1,13.831256457298,5079181.2805941,2866123.76
1.1,14.160705245418,4975764.656434,2691686.332
1.2,14.236664388842,4869527.3788071,2517248.904
1.3,14.252606478837,4761055.1580015,2342811.476
1.4,14.218645449553,4651063.7887773,2168374.048
1.5,14.144262104734,4540315.742908,1993936.62
1.6,14.0372279502,4429498.6842057,1819499.192
1.7,13.903043344727,4319181.4567666,1645061.764
1.8,13.745071461102,4209826.2157101,1470624.336
1.9,13.564864464237,4101821.0178527,1296186.908
2,13.362367516684,3995515.5803901,1121749.48
2.1,13.135837651021,3891256.6772088,1056938.736
2.2,12.829244279995,3789317.1082131,992127.992
2.3,12.525709798586,3689744.6778092,927317.248
2.4,12.223047043419,3592514.0137084,862506.504
2.5,11.920103278751,3497666.4423322,797695.76
2.6,11.616583071329,3405315.8750917,732885.016
2.7,11.312499976032,3315612.207051,668074.272
2.8,11.007661063315,3228717.1974916,603263.528
2.9,10.701343211717,3144799.3196988,538452.784
3,10.392071738926,3064041.277657,473642.04
3.1,10.077394589257,2986655.4108138,454336.712
3.2,9.760108677292,2912813.470721,435031.384
3.3,9.461645659919,2842469.3372689,415726.056
3.4,9.1807361356096,2775405.2994246,396420.728
3.5,8.9151913369979,2711361.6904726,377115.4
3.6,8.6626446207625,2650108.0568602,357810.072
3.7,8.4209688105316,2591461.6847844,338504.744
3.8,8.1883582091209,2535285.6036726,319199.416
3.9,7.96329394767,2481481.8738038,299894.088
4,7.7444834438135,2429985.1273205,280588.76
4.1,7.5308010487393,2380757.4744026,270936.096
4.2,7.3272886304588,2333740.3895981,261283.432
4.3,7.1367225095901,2288803.3436596,251630.768
4.4,6.9575593123621,2245776.9870395,241978.104
4.5,6.7880116250757,2204499.9661982,232325.44
4.6,6.6264145649437,2164839.5081164,222672.776
4.7,6.4713735866999,2126693.9288857,213020.112
4.8,6.3217712371216,2089988.6237207,203367.448
4.9,6.1767263035843,2054670.8753574,193714.784
5,6.0355446754284,2020705.219862,184062.12
5.1,5.8976750115761,1988069.753298,179235.788
5.2,5.7679092985725,1956717.3805379,174409.456
5.3,5.6470045965022,1926544.8868165,169583.124
5.4,5.5335570640314,1897435.6258574,164756.792
5.5,5.4261279769838,1869286.5016295,159930.46
5.6,5.3234982010167,1842017.2168702,155104.128
5.7,5.2247230870273,1815568.7856321,150277.796
5.8,5.1290990626427,1789899.1755919,145451.464
5.9,5.0361108970979,1764979.0541677,140625.132
6,4.9453833151881,1740788.3809675,135798.8
6.1,4.8566424968516,1717313.8657112,133730.372
6.2,4.7734990125176,1694517.2734288,131661.944
6.3,4.69604548569,1672328.241498,129593.516
6.4,4.6231447471281,1650671.0900122,127525.088
6.5,4.5537457445456,1629482.7450705,125456.66
6.6,4.4870243204194,1608716.2145289,123388.232
6.7,4.4223814950724,1588338.1071441,121319.804
6.8,4.3593964127141,1568325.1424615,119251.376
6.9,4.2977778279846,1548661.1884956,117182.948
7,4.2373254703924,1529335.0615904,115114.52
7.1,4.1779018436914,1510338.9727782,114425.044
7.2,4.121402821688,1491651.6342626,113735.568
7.3,4.0677594866394,1473236.4102116,113046.092
7.4,4.0163260616288,1455055.4399932,112356.616
7.5,3.9665405202004,1437078.0379626,111667.14
7.6,3.9179790418473,1419281.8549256,110977.664
7.7,3.8703424089734,1401651.3366165,110288.188
7.8,3.8234253634368,1384175.8620786,109598.712
7.9,3.7770888685136,1366848.2349293,108909.236
8,3.7312392569177,1349663.5924189,108219.76
8.1,3.6858135623983,1332618.6498163,108219.76
8.2,3.6416704662142,1315704.1898869,108219.76
8.3,3.5987730544202,1298904.0598928,108219.76
8.4,3.5568125819382,1282201.477159,108219.76
8.5,3.5155238165953,1265582.9332945,108219.76
8.6,3.4747068402686,1249038.8126968,108219.76
8.7,3.4342199788756,1232562.7272552,108219.76
8.8,3.3939654701343,1216150.6713028,108219.76
8.9,3.3538766037995,1199800.324002,108219.76
9,3.3139080590758,1183510.5388427,108219.76
9.1,3.2740290918384,1167280.9866069,108219.76
9.2,3.2342188552844,1151111.9103153,108219.76
9.3,3.1944632216321,1135003.958379,108219.76
9.4,3.1547526331081,1118958.0713903,108219.76
9.5,3.115080651035,1102975.4054341,108219.76
9.6,3.0754429764109,1087057.2802043,108219.76
9.7,3.0358367886692,1071205.1439665,108219.76
9.8,2.9962602993702,1055420.5499752,108219.76
9.9,2.9567124513857,1039705.140687,108219.76
10,2.9171927168671,1024060.6372902,108219.76
10.1,2.8777009625443,1008488.832859,107530.284
10.2,2.8377189035139,992995.42520885,106840.808
10.3,2.7971695145782,977591.71505667,106151.332
10.4,2.7562428503576,962290.91166414,105461.856
10.5,2.7151122197225,947104.90066132,104772.38
10.6,2.673917554641,932043.18000501,104082.904
10.7,2.6327646967945,917112.96390907,103393.428
10.8,2.591731473164,902319.62451089,102703.952
10.9,2.5508744931999,887667.14046002,102014.476
11,2.5102348281347,873158.4637499,101325
11.1,2.469842333419,858795.79816939,101325
11.2,2.4300923438803,844577.96034149,101325
11.3,2.3911170226464,830498.66194815,101325
11.4,2.352773903547,816549.34282409,101325
11.5,2.3149271789326,802722.12354192,101325
11.6,2.2774635856248,789010.99961685,101325
11.7,2.2402959696074,775411.92656764,101325
11.8,2.2033599844315,761922.51963873,101325
11.9,2.1666092827372,748541.69648343,101325
12,2.1300111544217,735269.36674388,101325
12.1,2.0935430623553,722106.18772196,101325
12.2,2.0571900338569,709053.37942896,101325
12.3,2.0209427446444,696112.58675746,101325
12.4,1.9847961292513,683285.77721988,101325
12.5,1.9487483805808,670575.16490057,101325
12.6,1.9128002331403,657983.15348178,101325
12.7,1.8769544515485,645512.2930339,101325
12.8,1.8412154668671,633165.2466684,101325
12.9,1.8055891188925,620944.76420166,101325
13,1.7700824739179,608853.66074962,101325
13.1,1.7347036956824,596894.79873619,101325
13.2,1.6994619531301,585071.07221052,101325
13.3,1.6643673528435,573385.39266911,101325
