time,inlet-p,outlet-p
0,6996085,7002980
1,6989190,7002980
2,6989190,7002980
3,6630663,3555600
4,5665396,1376856
5,4727709,618432
6,3948601,308168
7,3300494,204746
8,2797176,142694
9,2349017,115115
10,1969805,108220
11,1652646,108220
12,1390645,101325
13,1183802,101325
14,970065,101325
15,839064,101325
16,701169,101325
17,611537,101325
18,549484,101325
19,466747,101325
20,404694,101325
21,356431,101325
22,315063,101325
23,280589,101325
24,253010,101325
25,225431,101325
26,204746,101325
27,190957,101325
28,177167,101325
29,163378,101325
30,156483,101325
31,149588,101325
32,142694,101325
33,135799,101325
34,135799,101325
35,128904,101325
36,122009,101325
37,122009,101325
38,122009,101325
39,115115,101325
40,115115,101325
41,115115,101325
42,115115,101325
43,108220,101325
44,108220,101325
