time,pellet-inlet-p
0,7002980
1,7002980
2,7002979.9999983
3,7002979.9999983
4,6669195.6346684
5,5928004.3389135
6,4998370.7678445
7,4093900.0196529
8,3311666.6665742
9,2670526.0529379
10,2152794.4296113
11,1732269.0149473
12,1389560.1782548
13,1112157.8561931
14,889961.05688306
15,713926.59027169
16,575749.64741806
17,468025.85084507
18,384432.70875411
19,319758.7646608
20,269813.35487018
21,231281.75352748
22,201570.19886217
23,178663.1436607
24,161001.34725761
25,147381.24100786
26,136875.59040925
27,128770.3336772
28,122515.63489184
29,117688.03580286
30,113961.2989963
31,111083.98909647
32,108862.24661573
33,107146.70544086
34,105821.78270625
35,104798.47872229
36,104008.09470138
37,103397.59314833
38,102926.02204567
39,102561.75762004
40,102280.37747564
41,102063.0194649
42,101895.26618328
43,101765.64501592
44,101665.48753694
45,101588.09611728
46,101528.29576147
47,101482.08789648
48,101446.3829037
49,101418.79347535
50,101397.66701785
