time,inlet-p,outlet-p
0,4293339,4293339
0.1,4293339,4235423
0.2,4272480.3321857,4177507
0.3,4235376.7498353,4119591
0.4,4189018.2690135,4061675
0.5,4137747.0429449,4003759
0.6,4083905.1954581,3945843
0.7,4028722.9433852,3887927
0.8,3972845.8755126,3830011
0.9,3916614.5659359,3772095
1,3860210.0289905,3714179
1.1,3803729.3982212,3485962.5
1.2,3694935.2221686,3257746
1.3,3544408.259597,3029529.5
1.4,3370268.3213925,2801313
1.5,3184320.3190078,2573096.5
1.6,2993300.3839791,2344880
1.7,2801098.1348411,2116663.5
1.8,2610125.3871619,1888447
1.9,2422060.5229624,1660230.5
2,2238251.9586314,1432014
2.1,2059944.8789613,1347897.9
2.2,1901900.9796926,1263781.8
2.3,1766119.4911879,1179665.7
2.4,1648564.8305384,1095549.6
2.5,1544755.4366811,1011433.5
2.6,1451217.2130992,927317.4
2.7,1365501.4504785,843201.3
2.8,1285935.9316388,759085.2
2.9,1211398.5352644,674969.1
3,1141153.535674,590853
3.1,1074739.9713413,561895
3.2,1013128.0678396,532937
3.3,956995.29139371,503979
3.4,906221.41134691,475021
3.5,860243.46659332,446063
3.6,818391.4329926,417105
3.7,780043.75176053,388147
3.8,744673.98883482,359189
3.9,711852.77264047,330231
4,681235.65796946,301273
4.1,652548.65588565,291620.3
4.2,625669.24816367,281967.6
4.3,600570.75667595,272314.9
4.4,577214.65504125,262662.2
4.5,555511.90805521,253009.5
4.6,535336.18580858,243356.8
4.7,516546.27682687,233704.1
4.8,499002.91453364,224051.4
4.9,482576.86964635,214398.7
5,467152.09996881,204746
5.1,452626.18448335,198540.8
5.2,438914.46996243,192335.6
5.3,425951.38280497,186130.4
5.4,413683.82007349,179925.2
5.5,402063.78810926,173720
5.6,391044.99082047,167514.8
5.7,380582.48518153,161309.6
5.8,370633.41112299,155104.4
5.9,361157.71056918,148899.2
6,352118.53126232,142694
6.1,343482.33830927,140625.5
6.2,335220.02256713,138557
6.3,327309.42977754,136488.5
6.4,319735.12967347,134420
6.5,312485.17124168,132351.5
6.6,305547.95317019,130283
6.7,298910.74867934,128214.5
6.8,292559.5595999,126146
6.9,286479.55976099,124077.5
7,280655.64360137,122009
7.1,275072.87919279,120630.1
7.2,269717.38229516,119251.2
7.3,264575.31262284,117872.3
7.4,259634.70545424,116493.4
7.5,254884.81331225,115114.5
7.6,250315.75353022,113735.6
7.7,245918.20972094,112356.7
7.8,241683.27536632,110977.8
7.9,237602.40554762,109598.9
8,233667.42108997,108220
8.1,229870.52730564,108220
8.2,226204.38474926,108220
8.3,222662.4623274,108220
8.4,219239.47002331,108220
8.5,215934.35266688,108220
8.6,212740.71288696,108220
8.7,209655.6817615,108220
8.8,206676.38150871,108220
8.9,203799.77061314,108220
9,201022.61807177,108220
9.1,198341.54274351,108220
9.2,195753.07470854,108220
9.3,193253.71610596,108220
9.4,190839.99219521,108220
9.5,188508.49038444,108220
9.6,186255.8880838,108220
9.7,184078.9713167,108220
9.8,181974.6461527,108220
9.9,179939.94478369,108220
10,177972.02771841,108220
10.1,176068.18323642,107530.5
10.2,174224.14813231,106841
10.3,172439.10417712,106151.5
10.4,170710.279176,105462
10.5,169034.61137106,104772.5
10.6,167408.81403571,104083
10.7,165829.54872929,103393.5
10.8,164293.59774378,102704
10.9,162797.97852933,102014.5
11,161339.99500956,101325
11.1,159917.24333543,101325
11.2,158528.84948678,101325
11.3,157171.6836055,101325
11.4,155844.34462777,101325
11.5,154545.93624501,101325
11.6,153276.02777546,101325
11.7,152034.50716719,101325
11.8,150821.41019749,101325
11.9,149636.78548851,101325
12,148480.61231532,101325
12.1,147352.76322379,101325
12.2,146252.99642368,101325
12.3,145180.96470554,101325
12.4,144136.23176352,101325
12.5,143118.29050598,101325
12.6,142126.58051558,101325
12.7,141160.50339939,101325
12.8,140219.4356492,101325
12.9,139302.73907775,101325
13,138409.76909381,101325
13.1,137539.88114206,101325
13.2,136692.435631,101325
13.3,135866.80163936,101325
13.4,135062.35964925,101325
13.5,134278.50351168,101325
13.6,133514.64181142,101325
13.7,132770.19876524,101325
13.8,132044.61476002,101325
13.9,131337.34661476,101325
14,130647.86763278,101325
14.1,129975.66749583,101325
14.2,129320.25204076,101325
14.3,128681.14295014,101325
