time,pellet-inlet-p
0,4293339
0.1,4293339
0.2,4293155.3991819
0.3,4292304.6332202
0.4,4290140.8506697
0.5,4286067.2810836
0.6,4279653.495508
0.7,4270650.2787264
0.8,4258954.7485253
0.9,4244565.7546389
1,4227546.4308958
1.1,4207997.3773574
1.2,4185494.3079677
1.3,4158733.5122714
1.4,4125933.0566832
1.5,4085453.6101549
1.6,4036142.8941506
1.7,3977379.0199674
1.8,3908967.6799232
1.9,3831011.2285711
2,3743799.684294
2.1,3647734.5831297
2.2,3543738.9215659
2.3,3433505.2843467
2.4,3319123.4024408
2.5,3202540.9604414
2.6,3085268.446447
2.7,2968342.1862806
2.8,2852412.1534469
2.9,2737854.5538843
3,2624867.373998
3.1,2513540.6642298
3.2,2404063.2643467
3.3,2296849.3477727
3.4,2192431.8691662
3.5,2091285.2191525
3.6,1993727.3558918
3.7,1899910.4054044
3.8,1809854.3652394
3.9,1723488.9242159
4,1640688.4932404
4.1,1561297.8249791
4.2,1485200.5070474
4.3,1412363.1811247
4.4,1342802.8703295
4.5,1276528.9260243
4.6,1213509.5007633
4.7,1153666.9394358
4.8,1096887.4927005
4.9,1043034.4291231
5,991958.94305567
5.1,943508.01786859
5.2,897539.85785544
5.3,853933.46778075
5.4,812582.89217172
5.5,773386.48801542
5.6,736240.7328708
5.7,701039.31063079
5.8,667674.78936793
5.9,636040.78917484
6,606033.74526337
6.1,577554.08351194
6.2,550519.89464805
6.3,524875.13819562
6.4,500580.05331478
6.5,477596.52841473
6.6,455879.86165348
6.7,435377.45962413
6.8,416030.92869875
6.9,397778.85915344
7,380559.15393065
7.1,364310.65605003
7.2,348976.46302656
7.3,334505.83946526
7.4,320852.76322114
7.5,307973.49906216
7.6,295825.23018848
7.7,284365.83793357
7.8,273554.22028322
7.9,263350.6970042
8,253717.31782586
8.1,244618.04181858
8.2,236023.50257156
8.3,227913.4385867
8.4,220273.35538951
8.5,213089.24864107
8.6,206344.78386856
8.7,200020.92751469
8.8,194096.73276528
8.9,188550.33132537
9,183359.74267389
9.1,178503.42727522
9.2,173960.62488075
9.3,169711.54038211
9.4,165737.43003107
9.5,162020.62569794
9.6,158544.83495463
9.7,155294.12786824
9.8,152253.91513077
9.9,149410.53947133
10,146751.22288689
10.1,144264.01412675
10.2,141935.28614887
10.3,139748.98262423
