time,pellet-inlet-p
0,4293339
1,4293339
2,4113681.0060949
3,3247344.600032
4,2265221.9269666
5,1490526.0773456
6,966580.82525945
7,628244.27884106
8,418176.07315559
9,289353.67886363
10,213200.93526163
11,168923.52895349
12,141160.76106326
13,124499.95843877
14,114749.24457154
15,109092.42736175
16,105818.20561257
17,103941.12516018
18,102848.20985082
19,102211.87540319
20,101841.37711258
21,101645.26894088
22,101523.63830633
23,101448.20018715
24,101401.41169565
25,101372.3923637
26,101372.3923637
27,101372.3923637
28,101372.3923637
29,101372.3923637
30,101372.3923637
