time,pellet-inlet-p
0,4293339
1,4293339
2,4127164.7297573
3,3313507.875021
4,2353195.3843542
5,1574303.1866493
6,1034723.9732285
7,679753.25943657
8,455053.90536119
9,314963.11366578
10,230511.23074279
11,180434.95497755
12,148877.50053049
13,129579.63832431
14,118052.74060084
15,111220.63726927
16,107178.62651282
17,104787.86791367
18,103374.95810148
19,102538.59297692
20,102043.47710468
21,101750.36321898
22,101578.39565528
23,101475.95265452
24,101414.92568224
25,101378.57072967
26,101356.91331211
27,101345.18440451
28,101337.76615404
29,101333.07428852
30,101330.1067956
31,101330.1067956
32,101330.1067956
33,101330.1067956
34,101330.1067956
35,101330.1067956
36,101330.1067956
37,101330.1067956
38,101330.1067956
39,101330.1067956
40,101330.1067956
41,101330.1067956
42,101330.1067956
43,101330.1067956
44,101330.1067956
45,101330.1067956
46,101330.1067956
47,101330.1067956
48,101330.1067956
49,101330.1067956
50,101330.1067956
51,101330.1067956
52,101330.1067956
53,101330.1067956
54,101330.1067956
55,101330.1067956
56,101330.1067956
57,101330.1067956
58,101330.1067956
59,101330.1067956
60,101330.1067956
61,101330.1067956
62,101330.1067956
63,101330.1067956
64,101330.1067956
65,101330.1067956
66,101330.1067956
67,101330.1067956
68,101330.1067956
69,101330.1067956
70,101330.1067956
71,101330.1067956
72,101330.1067956
73,101330.1067956
74,101330.1067956
75,101330.1067956
76,101330.1067956
77,101330.1067956
78,101330.1067956
79,101330.1067956
80,101330.1067956
81,101330.1067956
82,101330.1067956
83,101330.1067956
84,101330.1067956
85,101330.1067956
86,101330.1067956
87,101330.1067956
88,101330.1067956
89,101330.1067956
90,101330.1067956
91,101330.1067956
92,101330.1067956
93,101330.1067956
94,101330.1067956
95,101330.1067956
96,101330.1067956
97,101330.1067956
98,101330.1067956
99,101330.1067956
100,101330.1067956
101,101330.1067956
102,101330.1067956
103,101330.1067956
104,101330.1067956
105,101330.1067956
106,101330.1067956
107,101330.1067956
108,101330.1067956
109,101330.1067956
110,101330.1067956
111,101330.1067956
112,101330.1067956
113,101330.1067956
114,101330.1067956
115,101330.1067956
116,101330.1067956
117,101330.1067956
118,101330.1067956
119,101330.1067956
120,101330.1067956
121,101330.1067956
122,101330.1067956
123,101330.1067956
124,101330.1067956
125,101330.1067956
126,101330.1067956
127,101330.1067956
128,101330.1067956
129,101330.1067956
130,101330.1067956
131,101330.1067956
132,101330.1067956
133,101330.1067956
134,101330.1067956
135,101330.1067956
136,101330.1067956
137,101330.1067956
138,101330.1067956
139,101330.1067956
140,101330.1067956
141,101330.1067956
142,101330.1067956
143,101330.1067956
144,101330.1067956
145,101330.1067956
146,101330.1067956
147,101330.1067956
148,101330.1067956
149,101330.1067956
150,101330.1067956
