time,pellet-inlet-p
0,4293339
1,4293339
2,4179707.7106802
3,3768348.0965395
4,3191954.5187742
5,2680537.6685098
6,2274874.7146715
7,1960701.05026
8,1714799.8873778
9,1519364.1752095
10,1361386.3439031
11,1232817.4403302
12,1124504.0567715
13,1034095.6689306
14,956723.15694609
15,889852.39573336
16,831560.19899714
17,780351.80263887
18,735049.62160056
19,694716.24434003
20,658598.19221834
21,626084.12995575
22,596673.56775435
23,569953.25332904
24,545579.22186685
25,523263.02924525
26,502761.09885401
27,483866.40421219
28,466401.91884423
29,451706.08883314
30,437955.49123829
31,425064.38977954
32,412957.06158138
33,401566.33385162
34,390832.40324107
35,380701.85657301
36,371126.84645346
37,362064.39138823
38,353475.77829583
39,345326.05024293
40,337583.5656093
41,330219.61741696
42,323208.10353865
43,316525.24009
44,310149.31159883
45,304060.45259913
46,298240.45616152
47,292672.60558474
48,287341.52606155
49,282233.05362079
50,277334.119054
