time,outlet-p,pellet-inlet-p,viscosity_pp
0,0,4293339,0
1,3714179,4293339,2.287039282521e-05
2,1432014,4293369.5424565,2.287039282521e-05
3,590853,4293385.4542932,2.287039282521e-05
4,301273,4292198.0848566,2.287039282521e-05
5,204746,4286068.699205,2.287039282521e-05
6,142694,4270337.8575357,2.287039282521e-05
7,122009,4242165.3741302,2.287039282521e-05
8,108220,4201496.4712433,2.287039282521e-05
9,108220,4150287.8021913,2.287039282521e-05
10,108220,4091243.2644528,2.287039282521e-05
11,101325,4026889.7986331,2.287039282521e-05
12,101325,3959159.240938,2.287039282521e-05
13,101325,3889412.7413994,2.287039282521e-05
14,101325,3818593.5630775,2.287039282521e-05
15,101325,3747326.0667634,2.287039282521e-05
16,101325,3675996.0258255,2.287039282521e-05
17,101325,3604827.7937466,2.287039282521e-05
18,101325,3533946.5015122,2.287039282521e-05
19,101325,3463420.5540145,2.287039282521e-05
20,101325,3393287.7688601,2.287039282521e-05
21,101325,3323570.4580536,2.287039282521e-05
22,101325,3254283.7793672,2.287039282521e-05
23,101325,3185440.2208506,2.287039282521e-05
24,101325,3117051.9386284,2.287039282521e-05
25,101325,3049131.9299379,2.287039282521e-05
26,101325,2981694.5856141,2.287039282521e-05
27,101325,2914755.9177158,2.287039282521e-05
28,101325,2848333.6202801,2.287039282521e-05
29,101325,2782447.0459757,2.287039282521e-05
30,101325,2717117.1407351,2.287039282521e-05
31,101325,2652366.356624,2.287039282521e-05
32,101325,2588218.5516149,2.287039282521e-05
33,101325,2524698.8788892,2.287039282521e-05
34,101325,2461833.6652631,2.287039282521e-05
35,101325,2399650.2769677,2.287039282521e-05
36,101325,2338176.9705915,2.287039282521e-05
37,101325,2277442.727145,2.287039282521e-05
38,101325,2217477.0677263,2.287039282521e-05
39,101325,2158309.85005,2.287039282521e-05
40,101325,2099971.0460714,2.287039282521e-05
41,101325,2042490.5020397,2.287039282521e-05
42,101325,1985897.6834784,2.287039282521e-05
43,101325,1930221.4087463,2.287039282521e-05
44,101325,1875489.5759056,2.287039282521e-05
45,101325,1821728.8885144,2.287039282521e-05
46,101325,1768964.5866105,2.287039282521e-05
47,101325,1717220.1894775,2.287039282521e-05
48,101325,1666517.2567541,2.287039282521e-05
49,101325,1616875.1740482,2.287039282521e-05
50,101325,1568310.9684603,2.287039282521e-05
51,101325,1520839.1583772,2.287039282521e-05
52,101325,1474471.6406216,2.287039282521e-05
53,101325,1429217.6166507,2.287039282521e-05
54,101325,1385083.5580764,2.287039282521e-05
55,101325,1342073.2104278,2.287039282521e-05
56,101325,1300187.6328788,2.287039282521e-05
57,101325,1259425.2706762,2.287039282521e-05
58,101325,1219782.0562633,2.287039282521e-05
59,101325,1181251.5346143,2.287039282521e-05
60,101325,1143825.0080671,2.287039282521e-05
61,101325,1107491.6959383,2.287039282521e-05
62,101325,1072238.9043909,2.287039282521e-05
63,101325,1038052.2023598,2.287039282521e-05
64,101325,1004915.8980034,2.287039282521e-05
65,101325,972812.30267661,2.287039282521e-05
66,101325,941722.83685737,2.287039282521e-05
67,101325,911627.88051692,2.287039282521e-05
68,101325,882506.9331246,2.287039282521e-05
69,101325,854338.76474423,2.287039282521e-05
70,101325,827101.55736459,2.287039282521e-05
71,101325,800773.03595322,2.287039282521e-05
72,101325,775330.58901198,2.287039282521e-05
73,101325,750751.37864931,2.287039282521e-05
74,101325,727012.44037243,2.287039282521e-05
75,101325,704090.77294578,2.287039282521e-05
76,101325,681963.41876764,2.287039282521e-05
77,101325,660607.53528843,2.287039282521e-05
78,101325,640000.45803981,2.287039282521e-05
79,101325,620119.75586662,2.287039282521e-05
80,101325,600943.27895974,2.287039282521e-05
81,101325,582449.20028075,2.287039282521e-05
82,101325,564616.05095211,2.287039282521e-05
83,101325,547422.75016237,2.287039282521e-05
84,101325,530848.63010739,2.287039282521e-05
85,101325,514873.45645629,2.287039282521e-05
86,101325,499477.44479812,2.287039282521e-05
87,101325,484641.27349122,2.287039282521e-05
88,101325,470346.09330418,2.287039282521e-05
89,101325,456573.53420497,2.287039282521e-05
90,101325,443305.70962409,2.287039282521e-05
91,101325,430525.21848823,2.287039282521e-05
92,101325,418215.14529366,2.287039282521e-05
93,101325,406359.05846315,2.287039282521e-05
94,101325,394941.0072064,2.287039282521e-05
95,101325,383945.51708243,2.287039282521e-05
96,101325,373357.58444243,2.287039282521e-05
97,101325,363162.66991315,2.287039282521e-05
98,101325,353346.69106459,2.287039282521e-05
99,101325,343896.0143903,2.287039282521e-05
100,101325,334797.44671518,2.287039282521e-05
101,101325,326038.22613309,2.287039282521e-05
102,101325,317606.01256527,2.287039282521e-05
103,101325,309488.87802067,2.287039282521e-05
104,101325,301675.29662975,2.287039282521e-05
105,101325,294154.13451548,2.287039282521e-05
106,101325,286914.63955739,2.287039282521e-05
107,101325,279946.43109818,2.287039282521e-05
108,101325,273239.48963619,2.287039282521e-05
109,101325,266784.14654165,2.287039282521e-05
110,101325,260571.07382984,2.287039282521e-05
111,101325,254591.27401978,2.287039282521e-05
112,101325,248836.07010344,2.287039282521e-05
113,101325,243297.09564665,2.287039282521e-05
114,101325,237966.28503994,2.287039282521e-05
115,101325,232835.86391478,2.287039282521e-05
116,101325,227898.33973803,2.287039282521e-05
117,101325,223146.49259535,2.287039282521e-05
118,101325,218573.36617224,2.287039282521e-05
119,101325,214172.25893955,2.287039282521e-05
120,101325,209936.71554902,2.287039282521e-05
121,101325,205860.51844261,2.287039282521e-05
122,101325,201937.67967839,2.287039282521e-05
123,101325,198162.43297483,2.287039282521e-05
124,101325,194529.22597388,2.287039282521e-05
125,101325,191033.02741939,2.287039282521e-05
126,101325,187668.35209443,2.287039282521e-05
127,101325,184430.24650911,2.287039282521e-05
128,101325,181313.9422586,2.287039282521e-05
129,101325,178314.84936894,2.287039282521e-05
130,101325,175428.54985085,2.287039282521e-05
131,101325,172650.79145839,2.287039282521e-05
132,101325,169977.48164935,2.287039282521e-05
133,101325,167404.68174327,2.287039282521e-05
134,101325,164928.60127316,2.287039282521e-05
135,101325,162545.59252664,2.287039282521e-05
136,101325,160252.14527184,2.287039282521e-05
137,101325,158044.8816639,2.287039282521e-05
138,101325,155920.55132714,2.287039282521e-05
139,101325,153876.02660849,2.287039282521e-05
140,101325,151908.29799743,2.287039282521e-05
141,101325,150014.46970775,2.287039282521e-05
142,101325,148191.75541657,2.287039282521e-05
143,101325,146437.47415589,2.287039282521e-05
144,101325,144749.04635202,2.287039282521e-05
145,101325,143123.99000857,2.287039282521e-05
146,101325,141559.91702818,2.287039282521e-05
147,101325,140054.52966887,2.287039282521e-05
148,101325,138605.61713041,2.287039282521e-05
149,101325,137211.0522666,2.287039282521e-05
150,101325,135868.78841919,2.287039282521e-05
