time,pellet-inlet-p
0,4293339
1,4293339
2,4293367.0587176
3,4293541.0008111
4,4293704.0806955
5,4292047.8400543
6,4285252.7099804
7,4270340.5636555
8,4246011.3410622
9,4212693.5462255
10,4171844.7645914
11,4125215.9982427
12,4074371.6718699
13,4020541.7958361
14,3964659.6820626
15,3907410.0348933
16,3849273.2214372
17,3790575.3328648
18,3731535.246003
19,3672301.3186756
20,3612976.8416644
21,3553636.5631578
22,3494337.0566529
23,3435123.1373434
24,3376031.8351838
25,3317094.8840182
26,3258340.314509
27,3199793.5039492
28,3141477.8931709
29,3083415.4954257
30,3025627.2716402
31,2968133.4166984
32,2910953.5838574
33,2854107.0640058
34,2797612.9302482
35,2741490.1545332
36,2685757.7007101
37,2630434.5969265
38,2575539.9893302
39,2521093.1784091
40,2467113.6388886
41,2413621.0238411
42,2360635.1535093
43,2308175.9892817
44,2256263.5932786
45,2204918.0740964
46,2154159.5194041
47,2104007.9162971
48,2054483.0605506
49,2005604.4561959
50,1957391.2071181
51,1909861.902653
52,1863034.4994018
53,1816926.2016759
54,1771553.343113
55,1726931.2720439
56,1683074.2431454
57,1639995.3177673
58,1597706.2750862
59,1556217.5359219
60,1515538.1006703
61,1475675.5023756
62,1436635.7755182
63,1398423.4406406
64,1361041.5045068
65,1324491.4751062
66,1288773.3904774
67,1253885.8600645
68,1219826.1171216
69,1186590.0805567
70,1154172.4245452
71,1122566.654249
72,1091765.1860255
73,1061759.4306079
74,1032539.8778611
75,1004096.4378581
76,976417.74344806
77,949492.02870575
78,923306.93903798
79,897849.60825914
80,873106.73210414
81,849064.63783156
82,825709.34968426
83,803026.65007209
84,781002.13642448
85,759621.27373012
86,738869.44283718
87,718731.98463253
88,699194.2402525
89,680241.58750295
90,661859.47368365
91,644033.44502295
92,626749.1729341
93,609992.47730568
94,593749.34703658
95,578005.95802046
96,562748.68877842
97,547964.13392961
98,533639.11568046
99,519760.69350339
100,506316.17216521
101,493293.10825552
102,480679.315355
103,468462.86797343
104,456632.10437801
105,445175.62842289
106,434082.31048247
107,423341.28758263
108,412941.96281614
109,402874.0041217
110,393127.34249874
111,383692.16972428
112,374558.93563216
113,365718.34500952
114,357161.35416066
115,348879.16718352
116,340863.23200019
117,333105.23617866
118,325597.10257979
119,318330.98485988
120,311299.26285668
121,304494.53788352
122,297909.62795408
123,291537.56295787
124,285371.57980453
125,279405.11755302
126,273631.81254016
127,268045.49352144
128,262640.17683539
129,257410.06160174
130,252349.5249622
131,247453.11737169
132,242715.55794701
133,238131.72987873
134,233696.67591153
135,229405.59389741
136,225253.83242553
137,221236.88653174
138,217350.39349049
139,213590.12869118
140,209952.00160053
141,206432.05181245
142,203026.445186
143,199731.47007227
144,196543.53363032
145,193459.15823222
146,190475.24654009
147,187588.25489396
148,184795.03147253
149,182092.52613471
150,179477.7872651
151,176947.9587043
152,174500.27676294
153,172132.06731848
154,169840.74299331
155,167623.80041299
156,165478.81754298
157,163403.45110255
158,161395.43405406
159,159452.57316635
160,157572.74665036
161,155753.9018655
162,153994.05309517
163,152291.27938966
164,150643.72247492
165,149049.58472554
166,147507.12720026
167,146014.66773845
168,144570.5791159
169,143173.28725841
170,141821.26951152
171,140513.05296492
172,139247.21282993
173,138022.37086859
174,136837.19387294
175,135690.39219282
176,134580.71831114
177,133506.96546481
178,132467.96631026
179,131462.59163214
180,130489.74909374
181,129548.38202813
182,128637.46826852
183,127756.0190168
184,126903.07774891
185,126077.7191561
186,125279.04812072
187,124506.19872562
188,123758.33329607
189,123034.64147302
190,122334.3393169
191,121656.66844086
192,121000.89517248
193,120366.30974316
194,119752.22550413
195,119157.97816834
196,118582.92507728
197,118026.44449209
198,117487.9349079
199,116966.81439089
200,116462.51993721
