time,pellet-inlet-p
0,4293339
0.1,4293339
0.2,4293338.9969566
0.3,4293338.9758043
0.4,4293338.9201255
0.5,4293338.8885276
0.6,4293339.1500453
0.7,4293340.2839662
0.8,4293343.1235669
0.9,4293348.4852941
1,4293356.7187338
1.1,4293367.1759562
1.2,4293377.7011526
1.3,4293384.2152799
1.4,4293380.5144989
1.5,4293358.4244427
1.6,4293308.2699154
1.7,4293219.3456829
1.8,4293079.9944102
1.9,4292877.0852873
2,4292594.9714742
2.1,4292214.1992567
2.2,4291710.289874
2.3,4291052.8401641
2.4,4290204.9955369
2.5,4289123.1950863
2.6,4287757.1587452
2.7,4286050.2778259
2.8,4283940.621703
2.9,4281362.6141965
3,4278249.2046056
3.1,4274534.2153733
3.2,4270154.5472597
3.3,4265051.979891
3.4,4259174.4820094
3.5,4252476.9005265
3.6,4244921.1530141
3.7,4236476.0905786
3.8,4227117.248648
3.9,4216826.6265188
4,4205592.5295389
4.1,4193409.4320691
4.2,4180277.7968594
4.3,4166203.8013097
4.4,4151198.9432001
4.5,4135279.5221236
4.6,4118466.0281236
4.7,4100782.5019581
4.8,4082255.9358415
4.9,4062915.7570042
5,4042793.4000999
5.1,4021921.9490371
5.2,4000335.8209788
5.3,3978070.4700603
5.4,3955162.0969835
5.5,3931647.3593168
5.6,3907563.086563
5.7,3882946.0112943
5.8,3857832.528817
5.9,3832258.4929972
6,3806259.0490701
6.1,3779868.4992822
6.2,3753120.2195506
6.3,3726046.5018414
6.4,3698678.5550875
6.5,3671046.4228705
6.6,3643178.9349888
6.7,3615103.6742016
6.8,3586846.9641048
6.9,3558433.8802114
7,3529888.2807371
7.1,3501232.8499552
7.2,3472489.1464942
7.3,3443677.6506616
7.4,3414817.8071359
7.5,3385928.0614899
7.6,3357025.891115
7.7,3328127.8327417
7.8,3299249.5091595
7.9,3270405.6569354
8,3241610.1556966
8.1,3212876.0586126
8.2,3184215.8813461
8.3,3155640.8575626
8.4,3127161.7453182
8.5,3098788.5955931
8.6,3070530.7782907
8.7,3042397.0087546
8.8,3014395.377371
8.9,2986533.3833493
9,2958817.9717581
9.1,2931255.5716074
9.2,2903852.1326005
9.3,2876613.1587933
9.4,2849543.7382825
9.5,2822648.568817
9.6,2795931.9797436
9.7,2769397.9509467
9.8,2743050.1294946
9.9,2716891.8446388
10,2690926.1216913
10.1,2665155.6951716
10.2,2639582.7913019
10.3,2614209.8343973
10.4,2589038.761675
10.5,2564071.2699802
10.6,2539308.8291536
10.7,2514752.6944707
10.8,2490403.9167643
10.9,2466263.3497258
11,2442331.6549975
11.1,2418609.3063184
11.2,2395096.805664
11.3,2371794.0504223
11.4,2348700.9828974
11.5,2325817.3828239
11.6,2303142.8760272
11.7,2280676.944676
11.8,2258418.9400602
11.9,2236368.0979783
12,2214523.5557784
12.1,2192884.3695241
12.2,2171449.5298251
12.3,2150217.9753357
12.4,2129188.603498
12.5,2108360.2785746
12.6,2087731.8373118
12.7,2067302.0927082
12.8,2047069.8363814
12.9,2027033.8399706
13,2007192.855934
13.1,1987545.6180126
13.2,1968090.8415534
13.3,1948827.2238184
13.4,1929753.4443611
13.5,1910868.1655082
13.6,1892170.0329663
13.7,1873657.6765522
13.8,1855329.7110357
13.9,1837184.7370796
14,1819221.3422584
14.1,1801438.102136
14.2,1783833.5813835
14.3,1766406.3349227
14.4,1749154.9090776
14.5,1732077.8427229
14.6,1715173.6684188
14.7,1698440.9135229
14.8,1681878.1012715
14.9,1665483.7518267
15,1649256.3832832
15.1,1633194.5126328
15.2,1617296.6566847
15.3,1601561.3329395
15.4,1585987.0604177
15.5,1570572.3604415
15.6,1555315.7573712
15.7,1540215.7792966
15.8,1525270.9586845
15.9,1510479.8329843
16,1495840.9451917
16.1,1481352.8443741
16.2,1467014.0861576
16.3,1452823.2331779
16.4,1438778.8554973
16.5,1424879.5309885
16.6,1411123.8456884
16.7,1397510.3941216
16.8,1384037.7795968
16.9,1370704.6144771
17,1357509.5204255
17.1,1344451.1286274
17.2,1331528.0799914
17.3,1318739.0253293
17.4,1306082.6255178
17.5,1293557.5516414
17.6,1281162.4851187
17.7,1268896.1178134
17.8,1256757.1521301
17.9,1244744.3010968
18,1232856.2884341
18.1,1221091.8486131
18.2,1209449.7269015
18.3,1197928.6793997
18.4,1186527.4730676
18.5,1175244.8857414
18.6,1164079.7061431
18.7,1153030.7338818
18.8,1142096.7794478
18.9,1131276.6642001
19,1120569.2203479
19.1,1109973.290926
19.2,1099487.7297654
19.3,1089111.4014586
19.4,1078843.1813209
19.5,1068681.9553466
19.6,1058626.620163
19.7,1048676.0829792
19.8,1038829.2615326
19.9,1029085.0840325
20,1019442.4891008
