time,pellet-inlet-p
0,4293339
1,4293339
2,4293244.7941265
3,4292053.2702736
4,4285743.4372505
5,4267786.6067392
6,4234004.4971033
7,4184760.9423956
8,4123598.952919
9,4054857.2917816
10,3982152.7307409
11,3907865.1475184
12,3833334.1754956
13,3759310.0713184
14,3686184.0585095
15,3614094.2690824
16,3543028.184443
17,3472905.2148353
18,3403625.8565379
19,3335095.1737532
20,3267231.7641939
21,3199969.7812571
22,3133258.0605841
23,3067058.268301
24,3001342.9013702
25,2936093.4615335
26,2871298.8998887
27,2806954.3365476
28,2743060.0258373
29,2679620.5284844
30,2616644.0531418
31,2554141.9339657
32,2492128.2159951
33,2430619.3248002
34,2369633.8008942
35,2309192.0827243
36,2249316.3247392
37,2190030.2391765
38,2131358.9519472
39,2073328.8644153
40,2015967.5140739
41,1959303.4281966
42,1903366.4689818
43,1848186.1354595
44,1793792.9075915
45,1740217.5171319
46,1687490.7140398
47,1635643.0131598
48,1584704.4235225
49,1534704.1639637
50,1485670.3700422
51,1437629.7983365
52,1390607.5350531
53,1344626.7163727
54,1299708.2680648
55,1255870.6715647
56,1213129.7629581
57,1171498.5701911
58,1130987.1924133
59,1091602.7237577
60,1053349.2221981
61,1016227.7225047
62,980236.29085681
63,945370.11744038
64,911621.64241264
65,878980.70998355
66,847434.74503336
67,816968.94663811
68,787566.49306473
69,759208.75317665
70,731875.49970468
71,705545.12043647
72,680194.82401515
73,655800.83767602
74,632338.59486086
75,609782.91121118
76,588108.14794228
77,567288.36203213
78,547297.44302186
79,528109.23651976
80,509697.65473419
81,492036.77453713
82,475100.92368925
83,458864.75594354
84,443303.31579801
85,428392.09369218
86,414107.07244604
87,400424.76572578
88,387322.24929502
89,374777.18577518
90,362767.8435978
91,351273.11078725
92,340272.50416615
93,329746.17452942
94,319674.90828704
95,310040.12603142
96,300823.87844321
97,292008.83990922
98,283578.30018906
99,275516.15443243
100,267806.89181689
101,260435.58304667
102,253387.86692618
103,246649.93619748
104,240209.10255886
105,234051.99118707
106,228166.36998071
107,222540.49964372
108,217163.1179815
109,212023.42419648
110,207111.06325903
111,202416.11041658
112,197929.05589379
113,193640.78982826
114,189542.58747898
115,185626.09473848
116,181883.31397383
117,178306.59021661
118,174888.59771743
119,171622.3268769
120,168501.07156116
121,165518.41680733
122,162668.22692172
123,159944.633971
124,157342.02666505
125,154855.03962828
126,152478.54305482
127,150207.63274186
128,148037.62049443
129,145964.02489396
130,143982.56242244
131,142089.13893342
132,140279.84146049
133,138550.93035399
134,136898.83173592
135,135320.13026336
136,133811.56219037
137,132370.00871835
138,130992.48962503
139,129676.15716209
140,128418.29021173
141,127216.28869266
142,126067.66820589
143,124970.05491133
144,123921.180626
145,122918.87813517
146,121961.07670783
147,121045.79780821
148,120171.15099533
149,119335.33000277
150,118536.60899104
151,117773.33896551
152,117043.94435257
153,116346.91972758
154,115680.82668786
155,115044.86381712
156,114437.09415435
157,113856.26634128
158,113301.1846644
159,112770.70657458
160,112263.74031768
161,111779.24267104
162,111316.21678094
163,110873.71009674
164,110450.81239719
165,110046.65390482
166,109660.40348461
167,109291.26692295
168,108938.48528364
169,108601.33333708
170,108279.11805979
171,107971.17720082
172,107676.8779122
173,107395.61544055
174,107126.81187707
175,106869.91496333
176,106624.39695037
177,106389.75350868
178,106165.50268688
179,105951.18391674
180,105746.35706267
181,105550.60151352
182,105363.51531497
183,105184.71434047
184,105013.8314992
185,104850.5159793
186,104694.43252483
187,104545.26074491
188,104402.69445361
189,104266.44103928
190,104136.2208619
191,104011.76667728
192,103892.82308684
193,103779.14601197
194,103670.50219161
195,103566.66870232
196,103467.43249963
197,103372.58997974
198,103281.94656079
199,103195.31628265
200,103112.52142458
