time,pellet-inlet-p
0,4293339
1,4293339
2,4293372.1297862
3,4293489.6973746
4,4293007.0014025
5,4289030.3914571
6,4277405.0139862
7,4255133.2238491
8,4221561.9635658
9,4177979.0852064
10,4126575.0411753
11,4069578.2803651
12,4008794.7734736
13,3945552.3438339
14,3880805.7610201
15,3815215.879202
16,3749215.5454352
17,3683076.1773394
18,3616964.4957477
19,3550983.3366238
20,3485198.0271558
21,3419652.404775
22,3354378.2138261
23,3289400.5184516
24,3224740.7972973
25,3160418.7131873
26,3096453.1319549
27,3032862.7166803
28,2969666.2808227
29,2906883.0027539
30,2844532.5586287
31,2782635.2049766
32,2721211.8280886
33,2660283.9692535
34,2599873.8303945
35,2540004.2621376
36,2480698.734956
37,2421981.2933113
38,2363876.4924008
39,2306409.3170854
40,2249605.0827336
41,2193489.3180421
42,2138087.6303403
43,2083425.5544353
44,2029528.3866768
45,1976421.0065728
46,1924127.6889365
47,1872671.910136
