time,gap-inlet-p,inlet-p,pellet-inlet-p
0,7002980,7002980,7002980
1,7002980,7002980,7002980
2,7002980,7002979.9999999,7002979.9999999
3,3555600,6692715.7999999,7002979.9999999
4,1376856,5305467.9555931,5694011.9951573
5,618432,4041329.1311039,4379857.4187955
6,308168,3205114.1116591,3491625.2655595
7,204746,2685998.5866445,2931397.1941148
8,142694,2313167.2868296,2527829.4800326
9,115115,2039699.669724,2230043.2084879
10,108220,1816069.9933144,1984978.2344114
11,108220,1608888.7232551,1757306.5090716
12,101325,1407122.645334,1536267.4674
13,101325,1222314.4254849,1333181.5115218
14,101325,1045482.5305946,1138860.7479062
15,101325,878800.88680676,955694.10638106
16,101325,725007.19330951,786690.04759286
17,101325,587269.83984675,635330.31851291
18,101325,468659.4634401,504989.24553857
19,101325,371193.52186994,397883.81524169
20,101325,294916.86347531,314063.31151133
21,101325,237768.24702852,251262.63409727
22,101325,196366.20591362,205765.88561937
23,101325,167053.69467363,173554.33480618
24,101325,146596.6488695,151074.06469176
25,101325,132439.14531424,135516.36847718
26,101325,122686.53559709,124799.21494186
27,101325,115984.37064851,117434.19851484
28,101325,111383.75261968,112378.57430734
29,101325,108227.16565715,108909.79742544
30,101325,106061.61158933,106530.06768058
31,101325,104575.88173859,104897.39751493
32,101325,103556.44479618,103777.13713866
33,101325,102856.86209915,103008.36494413
34,101325,102376.71338307,102480.72899238
35,101325,102047.12899556,102118.54834677
36,101325,101820.86961323,101869.91166289
37,101325,101665.5284127,101699.20704693
38,101325,101558.86594103,101581.9955396
39,101325,101485.62202706,101501.50772205
40,101325,101435.32266631,101446.23369924
41,101325,101400.77800871,101408.27253704
42,101325,101377.05205781,101382.20006353
43,101325,101360.75580535,101364.29209379
44,101325,101349.56319301,101351.99251979
45,101325,101341.87457509,101343.54348911
46,101325,101336.59281125,101337.73935302
47,101325,101332.96435904,101333.7520429
48,101325,101330.47163868,101331.01278976
49,101325,101328.75912691,101329.13090869
50,101325,101327.58366489,101327.83919219
