time,inlet-p
0,4582919
1,4562234.72
2,4458813.32
3,4320918.12
4,4231286.24
5,4141654.36
6,4045127.72
7,3955495.84
8,3872758.72
9,3790021.6
10,3707284.48
11,3631442.12
12,3548705
13,3479757.4
14,3403915.04
15,3334967.44
16,3266019.84
17,3197072.24
18,3135019.4
19,3066071.8
20,3010913.72
21,2948860.88
22,2886808.04
23,2831649.96
24,2776491.88
25,2721333.8
26,2666175.72
27,2617912.4
28,2569649.08
29,2521385.76
30,2473122.44
31,2424859.12
32,2383490.56
33,2335227.24
34,2293858.68
35,2252490.12
36,2211121.56
37,2169753
38,2135279.2
39,2093910.64
40,2059436.84
41,2018068.28
42,1983594.48
43,1949120.68
44,1914646.88
45,1887067.84
46,1852594.04
47,1818120.24
48,1790541.2
49,1762962.16
50,1728488.36
51,1700909.32
52,1673330.28
53,1645751.24
54,1625066.96
55,1597487.92
56,1569908.88
57,1549224.6
58,1521645.56
59,1500961.28
60,1473382.24
61,1452697.96
62,1432013.68
63,1411329.4
64,1390645.12
65,1369960.84
66,1349276.56
67,1328592.28
68,1307908
69,1294118.48
70,1273434.2
71,1252749.92
72,1238960.4
73,1218276.12
74,1204486.6
75,1183802.32
76,1170012.8
77,1156223.28
78,1135539
79,1121749.48
80,1107959.96
81,1094170.44
82,1080380.92
83,1066591.4
84,1052801.88
85,1039012.36
86,1025222.84
87,1011433.32
88,997643.8
89,990749.04
90,976959.52
91,963170
92,949380.48
93,942485.72
94,928696.2
95,914906.68
96,908011.92
97,894222.4
98,887327.64
99,873538.12
100,866643.36
101,852853.84
102,845959.08
103,839064.32
104,825274.8
105,818380.04
106,811485.28
107,797695.76
108,790801
109,783906.24
110,777011.48
111,763221.96
112,756327.2
113,749432.44
114,742537.68
115,735642.92
116,728748.16
117,721853.4
118,714958.64
119,708063.88
120,701169.12
121,694274.36
122,680484.84
123,680484.84
124,673590.08
125,666695.32
126,659800.56
127,652905.8
128,646011.04
129,639116.28
130,632221.52
131,625326.76
132,625326.76
133,618432
134,611537.24
135,604642.48
136,597747.72
137,590852.96
138,590852.96
139,583958.2
140,577063.44
141,570168.68
142,570168.68
143,563273.92
144,556379.16
145,556379.16
146,549484.4
147,542589.64
148,542589.64
149,535694.88
150,528800.12
151,528800.12
152,521905.36
153,515010.6
154,515010.6
155,508115.84
156,508115.84
157,501221.08
158,494326.32
159,494326.32
160,487431.56
161,487431.56
162,480536.8
163,480536.8
164,473642.04
165,473642.04
166,466747.28
167,459852.52
168,459852.52
169,459852.52
170,452957.76
171,452957.76
172,446063
173,446063
174,439168.24
175,439168.24
176,432273.48
177,432273.48
178,425378.72
179,425378.72
180,425378.72
181,418483.96
182,418483.96
183,418483.96
184,411589.2
185,411589.2
186,404694.44
187,404694.44
188,404694.44
189,397799.68
190,397799.68
191,390904.92
192,390904.92
193,390904.92
194,384010.16
195,384010.16
196,384010.16
197,377115.4
198,377115.4
199,377115.4
200,370220.64
201,370220.64
202,370220.64
203,363325.88
204,363325.88
205,363325.88
206,356431.12
207,356431.12
208,356431.12
209,349536.36
210,349536.36
211,349536.36
212,342641.6
213,342641.6
214,342641.6
215,335746.84
216,335746.84
217,335746.84
218,335746.84
219,328852.08
220,328852.08
221,328852.08
222,321957.32
223,321957.32
224,321957.32
225,321957.32
226,315062.56
227,315062.56
228,315062.56
229,315062.56
230,308167.8
231,308167.8
232,308167.8
233,308167.8
234,301273.04
235,301273.04
236,301273.04
237,301273.04
238,301273.04
239,294378.28
240,294378.28
241,294378.28
242,294378.28
243,287483.52
244,287483.52
245,287483.52
246,287483.52
247,287483.52
248,280588.76
249,280588.76
250,280588.76
251,280588.76
252,280588.76
253,273694
254,273694
255,273694
256,273694
257,273694
258,266799.24
259,266799.24
260,266799.24
261,266799.24
262,266799.24
263,266799.24
264,259904.48
265,259904.48
266,259904.48
267,259904.48
268,259904.48
269,259904.48
270,253009.72
271,253009.72
272,253009.72
273,253009.72
274,253009.72
275,253009.72
276,246114.96
277,246114.96
278,246114.96
279,246114.96
280,246114.96
281,246114.96
282,246114.96
283,239220.2
284,239220.2
285,239220.2
286,239220.2
287,239220.2
288,239220.2
289,239220.2
290,232325.44
291,232325.44
292,232325.44
293,232325.44
294,232325.44
295,232325.44
296,232325.44
297,225430.68
298,225430.68
299,225430.68
300,225430.68
301,225430.68
302,225430.68
303,225430.68
304,225430.68
305,225430.68
306,218535.92
307,218535.92
308,218535.92
309,218535.92
310,218535.92
311,218535.92
312,218535.92
313,218535.92
314,211641.16
315,211641.16
316,211641.16
317,211641.16
318,211641.16
319,211641.16
320,211641.16
321,211641.16
322,211641.16
323,211641.16
324,204746.4
325,204746.4
326,204746.4
327,204746.4
328,204746.4
329,204746.4
330,204746.4
331,204746.4
332,204746.4
333,204746.4
334,197851.64
335,197851.64
336,197851.64
337,197851.64
338,197851.64
339,197851.64
340,197851.64
341,197851.64
342,197851.64
343,197851.64
344,197851.64
345,190956.88
346,190956.88
347,190956.88
348,190956.88
349,190956.88
350,190956.88
351,190956.88
352,190956.88
353,190956.88
354,190956.88
355,190956.88
356,190956.88
357,190956.88
358,184062.12
359,184062.12
360,184062.12
361,184062.12
362,184062.12
363,184062.12
364,184062.12
365,184062.12
366,184062.12
367,184062.12
368,184062.12
369,184062.12
370,184062.12
371,177167.36
372,177167.36
373,177167.36
374,177167.36
375,177167.36
376,177167.36
377,177167.36
378,177167.36
379,177167.36
380,177167.36
381,177167.36
382,177167.36
383,177167.36
384,177167.36
385,177167.36
386,177167.36
387,170272.6
388,170272.6
389,170272.6
390,170272.6
391,170272.6
392,170272.6
393,170272.6
394,170272.6
395,170272.6
396,170272.6
397,170272.6
398,170272.6
399,170272.6
400,170272.6
401,170272.6
402,170272.6
403,170272.6
404,163377.84
405,163377.84
406,163377.84
407,163377.84
408,163377.84
409,163377.84
410,163377.84
411,163377.84
412,163377.84
413,163377.84
414,163377.84
415,163377.84
416,163377.84
417,163377.84
418,163377.84
419,163377.84
420,163377.84
421,163377.84
422,163377.84
423,156483.08
424,156483.08
425,156483.08
426,156483.08
427,156483.08
428,156483.08
429,156483.08
430,156483.08
431,156483.08
432,156483.08
433,156483.08
434,101325
435,101325
