time,Re,inlet-p,outlet-p
0,0,4582919,4582919
1,0,4582919,3714179
2,1.2532390025473,4549765.4407165,1432014
3,3.2414795405028,4445989.7741103,590853
4,3.3378760641495,4289322.4204072,301273
5,3.1494051692073,4116008.5189683,204746
6,2.9301885893725,3950278.9042959,142694
7,2.7407525499686,3803074.7721605,122009
8,2.5740401798276,3676295.4538528,108220
9,2.4336137833018,3567650.3615323,108220
10,2.3095079429178,3473185.0731539,108220
11,2.2001874620124,3388999.8903099,101325
12,2.1047951758495,3312439.7881475,101325
13,2.0161078138442,3241646.6510878,101325
14,1.9340764622679,3175209.6561538,101325
15,1.8573973655506,3112092.9534946,101325
16,1.7851386903806,3051579.1082328,101325
17,1.7166545178594,2993188.4743172,101325
18,1.6514953681212,2936604.101311,101325
19,1.5893378691597,2881613.4845481,101325
20,1.529940704738,2828071.8647546,101325
21,1.4731147829596,2775877.0258635,101325
22,1.4187050552742,2724953.7419378,101325
23,1.366579247338,2675244.0362531,101325
24,1.3166208512211,2626701.0832871,101325
25,1.2687247302098,2579285.3797528,101325
26,1.2227943265791,2532962.3285643,101325
27,1.1787398569241,2487700.7050152,101325
28,1.1364771196604,2443471.6761173,101325
29,1.0959266849333,2400248.1685008,101325
30,1.0570133256407,2358004.4571351,101325
31,1.0196656021923,2316715.8947285,101325
32,0.98381554664064,2276358.7312673,101325
33,0.94939841213815,2236909.9916598,101325
34,0.91635246624337,2198347.3910649,101325
35,0.88461881442122,2160649.274825,101325
36,0.85414124497667,2123794.5745763,101325
37,0.82486608974086,2087762.7750812,101325
38,0.79674209677916,2052533.8882287,101325
39,0.76972031263354,2018088.4318813,101325
40,0.74375397240854,1984407.4120364,101325
41,0.7187983965255,1951472.3072916,101325
42,0.69481089330537,1919265.0549401,101325
43,0.6717506667614,1887768.0382454,101325
44,0.64957872912982,1856964.0745917,101325
45,0.62825781776598,1826836.4043044,101325
46,0.60775231610137,1797368.6799981,101325
47,0.58802817840457,1768544.9563565,101325
48,0.56905285812323,1740349.6802751,101325
49,0.55079523960938,1712767.6813189,101325
50,0.53322557304947,1685784.16246,101325
51,0.51631541243532,1659384.691071,101325
52,0.50003755642456,1633555.1901539,101325
53,0.48436599194897,1608281.9297904,101325
54,0.4692758404379,1583551.5188026,101325
55,0.45474330653171,1559350.8966142,101325
56,0.44074562916671,1535667.3253049,101325
57,0.42726103491957,1512488.381851,101325
58,0.41426869350465,1489801.9505466,101325
59,0.40174867532324,1467596.2156005,101325
60,0.38968191096835,1445859.653903,101325
61,0.37805015259369,1424581.0279594,101325
62,0.36683593705962,1403749.3789857,101325
63,0.35602255077317,1383354.0201615,101325
64,0.34559399614304,1363384.5300384,101325
65,0.33553495957435,1343830.7460985,101325
66,0.32583078093138,1324682.7584601,101325
67,0.31646742440002,1305930.9037282,101325
68,0.30743145068463,1287565.7589851,101325
69,0.29870999047749,1269578.1359188,101325
70,0.29029071914146,1251959.0750863,101325
71,0.28216183254954,1234699.8403083,101325
72,0.27431202402768,1217791.9131931,101325
73,0.26673046234947,1201226.9877862,101325
74,0.25940677073405,1184996.965343,101325
75,0.2523310068005,1169093.9492231,101325
76,0.24549364343459,1153510.2399015,101325
77,0.23888555052549,1138238.330096,101325
78,0.23249797753202,1123270.9000077,101325
79,0.22632253684034,1108600.8126718,101325
80,0.22035118787613,1094221.109417,101325
81,0.21457622193657,1080125.0054305,101325
82,0.20899024770871,1066305.8854275,101325
83,0.20358617744267,1052757.2994211,101325
84,0.19835721374922,1039472.9585928,101325
85,0.19329683699312,1026446.7312592,101325
86,0.1883987932546,1013672.6389345,101325
87,0.18365708283289,1001144.8524863,101325
88,0.17906594926665,988857.68838168,101325
89,0.17461986884781,976805.60502389,101325
90,0.17031354060573,964983.19917509,101325
91,0.16614187674036,953385.20246538,101325
92,0.16209999348363,942006.47798516,101325
93,0.15818320236937,930842.01695944,101325
94,0.15438700189314,919886.93550216,101325
95,0.15070706954393,909136.471449,101325
96,0.1471392541908,898585.98126678,101325
97,0.14367956880823,888230.93703791,101325
98,0.14032418352451,878066.92351826,101325
99,0.13706941897859,868089.6352668,101325
100,0.13391173997126,858294.87384549,101325
101,0.13084774939704,848678.54508782,101325
102,0.1278741824443,839236.65643462,101325
103,0.1249879010511,829965.31433546,101325
104,0.12218588860524,820860.72171438,101325
105,0.1194652448774,811919.17549842,101325
106,0.11682318117677,803137.06420754,101325
107,0.11425701571907,794510.86560462,101325
108,0.11176416919727,786037.1444041,101325
109,0.10934216054597,777712.55003809,101325
110,0.10698860289049,769533.81447841,101325
111,0.10470119967245,761497.75011354,101325
112,0.10247774094381,753601.24767905,101325
113,0.10031609982182,745841.27424034,101325
114,0.098214229097516,738214.87122652,101325
115,0.096170157990984,730719.15251415,101325
116,0.094181989046712,723351.30255986,101325
117,0.092247895162736,716108.57458041,101325
118,0.090366116747618,708988.28877946,101325
119,0.088534958999486,701987.83061955,101325
120,0.086752789301702,695104.64913862,101325
121,0.085018034729929,688336.25530963,101325
122,0.083329179665623,681680.22044256,101325
123,0.081684763511219,675134.17462757,101325
124,0.080083378502463,668695.80521847,101325
125,0.078523667613585,662362.85535542,101325
126,0.077004458696353,656133.68357657,101325
127,0.075524347147125,650005.56109595,101325
128,0.074082116767907,643976.39049175,101325
129,0.072676594562677,638044.12457483,101325
130,0.071306649041098,632206.76509452,101325
131,0.069971188600219,626462.36147859,101325
132,0.068669159974551,620809.00960619,101325
133,0.067399546750908,615244.85061277,101325
134,0.066161367945066,609768.06972628,101325
135,0.064953676637514,604376.89513384,101325
136,0.063775558665708,599069.59687815,101325
137,0.062626131370387,593844.48578296,101325
138,0.06150454239357,588699.91240691,101325
139,0.060409968525996,583634.26602491,101325
140,0.059341614601873,578645.97363648,101325
141,0.058298712438857,573733.49900028,101325
142,0.057280519821319,568895.34169421,101325
143,0.056286319525034,564130.03620036,101325
144,0.055315418381488,559436.15101421,101325
145,0.05436714638011,554812.28777745,101325
146,0.053440855806795,550257.08043378,101325
147,0.052535920417166,545769.19440712,101325
148,0.051651734643076,541347.3258016,101325
149,0.050787712830947,536990.20062281,101325
150,0.049943288510571,532696.57401976,101325
151,0.049117913693096,528465.22954691,101325
152,0.048311058196932,524294.97844588,101325
153,0.047522209000428,520184.65894618,101325
154,0.046750869620148,516133.1355846,101325
155,0.045996559513709,512139.29854259,101325
156,0.045258813506101,508202.06300138,101325
157,0.044537181238547,504320.3685141,101325
158,0.04383122663892,500493.17839471,101325
159,0.043140527412844,496719.47912309,101325
160,0.042464674554593,492998.27976594,101325
161,0.04180327187698,489328.61141311,101325
162,0.041155935559441,485709.52662883,101325
163,0.040522293713554,482140.09891756,101325
164,0.039901985965282,478619.42220397,101325
165,0.039294663053238,475146.61032678,101325
166,0.03869998644233,471720.79654588,101325
167,0.038117627952129,468341.13306269,101325
168,0.037547269399383,465006.79055307,101325
169,0.03698860225408,461716.95771264,101325
170,0.036441327308514,458470.84081419,101325
171,0.035905154358826,455267.66327664,101325
172,0.035379801898515,452106.66524555,101325
173,0.034864996823428,448987.10318453,101325
174,0.034360474147771,445908.2494776,101325
175,0.033865976730695,442869.39204184,101325
176,0.033381255013033,439869.8339504,101325
177,0.032906066763782,436908.89306528,101325
178,0.032440176835938,433985.90167986,101325
179,0.03198335693131,431100.20617077,101325
180,0.031535385373962,428251.16665886,101325
181,0.031096046891935,425438.15667907,101325
182,0.030665132406924,422660.56285896,101325
183,0.030242438831593,419917.78460557,101325
184,0.029827768874236,417209.23380053,101325
185,0.029420930850482,414534.33450304,101325
186,0.029021738501782,411892.52266061,101325
187,0.028630010820402,409283.24582734,101325
188,0.02824557188068,406705.96288951,101325
189,0.027868250676291,404160.14379818,101325
190,0.027497880963299,401645.2693089,101325
191,0.027134301108766,399160.83072795,101325
192,0.026777353944705,396706.32966528,101325
193,0.026426886627173,394281.27779373,101325
194,0.026082750500304,391885.19661446,101325
195,0.025744800965104,389517.61722844,101325
196,0.025412897352808,387178.08011377,101325
197,0.025086902802642,384866.13490868,101325
198,0.02476668414382,382581.34020017,101325
199,0.024452111781606,380323.26331789,101325
200,0.024143059587306,378091.48013345,101325
201,0.02383940479202,375885.57486471,101325
202,0.023541027884037,373705.13988504,101325
203,0.023247812509716,371549.77553753,101325
204,0.022959645377742,369419.08995374,101325
205,0.022676416166609,367312.69887716,101325
206,0.02239801743524,365230.22549105,101325
207,0.0221243445366,363171.30025065,101325
208,0.021855295534208,361135.56071956,101325
209,0.021590771121438,359122.65141023,101325
210,0.021330674543509,357132.22362853,101325
211,0.021074911522059,355163.93532205,101325
212,0.020823390182217,353217.45093231,101325
213,0.020576020982075,351292.44125055,101325
214,0.020332716644486,349388.58327718,101325
215,0.020093392091086,347505.56008469,101325
216,0.019857964378472,345643.06068389,101325
217,0.019626352636464,343800.7798935,101325
218,0.019398478008357,341978.41821301,101325
219,0.019174263593111,340175.6816985,101325
220,0.018953634389404,338392.28184171,101325
221,0.018736517241479,336627.93545187,101325
222,0.018522840786721,334882.36454058,101325
223,0.018312535404915,333155.29620937,101325
224,0.018105533169105,331446.46254008,101325
225,0.017901767798022,329755.60048785,101325
226,0.017701174610005,328082.45177672,101325
227,0.017503690478376,326426.76279774,101325
228,0.01730925378822,324788.28450954,101325
229,0.017117804394506,323166.7723413,101325
230,0.016929283581521,321561.98609804,101325
231,0.016743634023563,319973.68986815,101325
232,0.016560799746848,318401.6519332,101325
233,0.016380726092598,316845.64467979,101325
234,0.016203359681255,315305.44451362,101325
235,0.016028648377804,313780.83177548,101325
236,0.015856541258146,312271.59065935,101325
237,0.0156869885765,310777.50913228,101325
238,0.015519941733793,309298.37885632,101325
239,0.015355353247007,307833.99511215,101325
240,0.01519317671945,306384.1567246,101325
241,0.015033366811918,304948.66598985,101325
242,0.014875879214729,303527.32860433,101325
243,0.014720670620583,302119.95359534,101325
244,0.014567698698234,300726.35325317,101325
245,0.014416922066944,299346.3430649,101325
246,0.014268300271691,297979.74164968,101325
247,0.014121793759105,296626.37069547,101325
248,0.013977363854118,295286.05489732,101325
249,0.013834972737293,293958.62189697,101325
250,0.01369458342281,292643.90222393,101325
251,0.013556159737106,291341.72923779,101325
252,0.01341966629812,290051.93907196,101325
253,0.013285068495146,288774.37057861,101325
254,0.013152332469264,287508.86527488,101325
255,0.013021425094337,286255.26729032,101325
256,0.012892313958542,285013.42331549,101325
257,0.012764967346442,283783.18255174,101325
258,0.012639354221553,282564.3966621,101325
259,0.012515444209419,281356.91972327,101325
260,0.012393207581155,280160.60817869,101325
261,0.012272615237459,278975.32079266,101325
262,0.01215363869307,277800.91860545,101325
263,0.012036250061665,276637.26488943,101325
264,0.011920422041172,275484.22510619,101325
265,0.011806127899494,274341.66686454,101325
266,0.011693341460634,273209.4598795,101325
267,0.011582037091191,272087.47593214,101325
268,0.01147218968724,270975.58883034,101325
269,0.011363774661565,269873.67437039,101325
270,0.011256767931248,268781.6102994,101325
271,0.011151145905587,267699.27627856,101325
272,0.011046885474353,266626.55384719,101325
273,0.010943963996356,265563.32638756,101325
274,0.01084235928833,264509.47909045,101325
275,0.010742049614107,263464.89892149,101325
276,0.010643013674089,262429.4745882,101325
277,0.010545230595002,261403.09650773,101325
278,0.010448679919914,260385.65677529,101325
279,0.010353341598534,259377.04913324,101325
280,0.010259195977756,258377.16894088,101325
281,0.010166223792454,257385.91314485,101325
282,0.01007440615653,256403.18025012,101325
283,0.0099837245541812,255428.87029165,101325
284,0.0098941608314122,254462.88480662,101325
285,0.009805697187756,253505.12680724,101325
286,0.0097183161682181,252555.50075414,101325
287,0.0096320006554265,251613.91253026,101325
288,0.0095467338619858,250680.26941541,101325
289,0.009462499323028,249754.48006117,101325
290,0.0093792808889554,248836.45446652,101325
291,0.009297062718369,247926.10395378,101325
292,0.009215829271178,247023.34114519,101325
293,0.0091355653018845,246128.07993988,101325
294,0.0090562558530392,245240.23549136,101325
295,0.0089778862488624,244359.72418543,101325
296,0.0089004420890264,243486.4636186,101325
297,0.008823909242594,242620.37257687,101325
298,0.0087482738421096,241761.37101502,101325
299,0.0086735222778374,240909.38003623,101325
300,0.0085996411921444,240064.32187223,101325
301,0.0085266174740218,239226.11986371,101325
302,0.0084544382537433,238394.69844122,101325
303,0.0083830908976546,237569.98310644,101325
304,0.008312563003092,236751.90041378,101325
305,0.0082428423934255,235940.37795239,101325
306,0.0081739171132232,235135.34432851,101325
307,0.0081057754235341,234336.72914814,101325
308,0.0080384057972854,233544.46300015,101325
309,0.0079717969147923,232758.47743956,101325
310,0.0079059376593754,231978.70497135,101325
311,0.0078408171130846,231205.07903438,101325
312,0.0077764245525262,230437.53398579,101325
313,0.0077127494447888,229676.00508561,101325
314,0.0076497814434686,228920.42848172,101325
315,0.0075875103847873,228170.74119504,101325
316,0.0075259262838044,227426.8811051,101325
317,0.0074650193307178,226688.78693577,101325
318,0.0074047798872528,225956.3982414,101325
319,0.0073451984831356,225229.65539308,101325
320,0.0072862658126502,224508.49956532,101325
321,0.0072279727312755,223792.87272282,101325
322,0.0071703102524017,223082.71760764,101325
323,0.0071132695441222,222377.9777265,101325
324,0.0070568926425791,221679.2269323,101325
325,0.0070011192147906,220985.77109241,101325
326,0.0069459408968401,220297.55608024,101325
327,0.0068913494670115,219614.528483,101325
328,0.0068373368428593,218936.63559034,101325
329,0.0067838950784173,218263.82538309,101325
330,0.0067310163614817,217596.04652218,101325
