time,Re,inlet-p,outlet-p
0,0,5685465,5685465
1,0,5685465,2866123.76
2,3.7531212983182,5584764.3744591,1121749.48
3,4.5712097308867,5383998.8561952,473642.04
4,4.3798422752113,5143487.9975411,280588.76
5,4.0486720395248,4909245.3126853,184062.12
6,3.7551053739444,4702479.9440313,135798.8
7,3.5104167714447,4528366.2742416,115114.52
8,3.3074147015455,4383861.3833214,108219.76
9,3.1365319630291,4262721.6928391,108219.76
10,2.9885596926761,4158361.0389549,108219.76
11,2.8580668864465,4065447.0492284,101325
12,2.7436626276664,3980774.2100887,101325
13,2.6368858768885,3902220.878959,101325
14,2.537572102426,3828206.4747252,101325
15,2.4442194599523,3757595.1696919,101325
16,2.3557786153877,3689621.1816468,101325
17,2.2715405058154,3623787.0276971,101325
18,2.1910225124501,3559772.6594563,101325
19,2.1138857112749,3497370.6310966,101325
20,2.039878645097,3436441.7286122,101325
21,1.9688060992479,3376890.0752835,101325
22,1.9005080975853,3318646.1998523,101325
23,1.8348476721864,3261657.0694052,101325
24,1.7717034495013,3205880.0057457,101325
25,1.710965117092,3151278.9589448,101325
26,1.6525306159237,3097822.2129443,101325
27,1.5963043709377,3045480.9641139,101325
28,1.5421961502457,2994228.4343909,101325
29,1.4901203078031,2944039.3134795,101325
30,1.4399952621356,2894889.4047148,101325
31,1.3917431219564,2846755.397689,101325
32,1.3452894044277,2799614.7202335,101325
33,1.3005628128479,2753445.4403746,101325
34,1.257495053283,2708226.1999545,101325
35,1.2160206774161,2663936.1684467,101325
36,1.1760769436378,2620555.0097447,101325
37,1.13760369133,2578062.8573478,101325
38,1.1005432251014,2536440.295035,101325
39,1.0648402068698,2495668.3411628,101325
40,1.0304415543897,2455728.4353893,101325
41,0.99729634527575,2416602.4270491,101325
42,0.96535572585403,2378272.5646731,101325
43,0.9345728243609,2340721.4863257,101325
44,0.90490266812423,2303932.2105387,101325
45,0.87630210444334,2267888.1276998,101325
46,0.84872972493538,2232572.9917975,101325
47,0.82214579315205,2197970.9124577,101325
48,0.79651217529629,2164066.3472263,101325
49,0.77179227388629,2130844.0940683,101325
50,0.74795096422842,2098289.2840594,101325
51,0.72495453357086,2066387.3742556,101325
52,0.7027706228187,2035124.1407288,101325
53,0.68136817069801,2004485.6717582,101325
54,0.66071736026288,1974458.361172,101325
55,0.64078956764452,1945028.9018332,101325
56,0.62155731294679,1916184.2792633,101325
57,0.60299421319653,1887911.7654013,101325
58,0.58507493726169,1860198.9124938,101325
59,0.56777516265374,1833033.5471122,101325
60,0.55107153413481,1806403.7642947,101325
61,0.53494162405322,1780297.9218088,101325
62,0.51936389433451,1754704.6345338,101325
63,0.50431766005824,1729612.7689581,101325
64,0.48978305455351,1705011.4377898,101325
65,0.47574099594948,1680889.9946794,101325
66,0.46217315511945,1657238.0290493,101325
67,0.44906192495983,1634045.3610308,101325
68,0.43639039094795,1611302.0365044,101325
69,0.42414230292482,1588998.3222417,101325
70,0.41230204805129,1567124.7011471,101325
71,0.40085462488839,1545671.8675972,101325
72,0.38978561855442,1524630.7228751,101325
73,0.37908117691372,1503992.3706987,101325
74,0.36872798775368,1483748.1128405,101325
75,0.35871325690841,1463889.4448366,101325
76,0.34902468728948,1444408.0517847,101325
77,0.33965045878551,1425295.8042268,101325
78,0.33057920899422,1406544.7541172,101325
79,0.32180001475196,1388147.130873,101325
80,0.31330237442728,1370095.3375054,101325
81,0.30507619094654,1352381.9468306,101325
82,0.29711175552083,1334999.697758,101325
83,0.28939973204475,1317941.4916556,101325
84,0.28193114213904,1301200.3887892,101325
85,0.27469735080997,1284769.6048354,101325
86,0.26769005269973,1268642.507466,101325
87,0.26090125890301,1252812.6130038,101325
88,0.25432328432616,1237273.5831463,101325
89,0.24794873556624,1222019.2217575,101325
90,0.24177049928806,1207043.4717265,101325
91,0.23578173107865,1192340.4118911,101325
92,0.22997584475899,1177904.2540243,101325
93,0.22434650213397,1163729.339885,101325
94,0.2188876031624,1149810.1383289,101325
95,0.21359327652931,1136141.2424799,101325
96,0.20845787060397,1122717.3669612,101325
97,0.20347594476744,1109533.3451833,101325
98,0.19864226109426,1096584.1266896,101325
99,0.19395177637351,1083864.7745578,101325
100,0.18939963445522,1071370.4628553,101325
101,0.18498115890835,1059096.4741486,101325
102,0.18069184597769,1047038.197066,101325
103,0.17652735782697,1035191.1239105,101325
104,0.17248351605645,1023550.8483245,101325
105,0.16855629548353,1012113.0630037,101325
106,0.16474181817544,1000873.5574596,101325
107,0.16103634772365,989828.2158298,101325
108,0.15743628374986,978973.01473573,101325
109,0.15393815663395,968304.02118535,101325
110,0.15053862245492,957817.39052168,101325
111,0.14723445813566,947509.3644152,101325
112,0.14402255678348,937376.26889974,101325
113,0.14089992321794,927414.5124508,101325
114,0.13786366967861,917620.58410561,101325
115,0.134911011705,907991.05162406,101325
116,0.13203926418176,898522.55968971,101325
117,0.12924583754232,889211.82815015,101325
118,0.1265282341243,880055.65029585,101325
119,0.12388404467059,871050.89117682,101325
120,0.12131094497009,862194.48595635,101325
121,0.11880669263223,853483.43830101,101325
122,0.11636912398995,844914.81880628,101325
123,0.11399615112578,836485.76345705,101325
124,0.11168575901593,828193.47212237,101325
125,0.10943600278766,820035.20708366,101325
126,0.10724500508519,812008.29159581,101325
127,0.10511095353975,804110.10848042,101325
128,0.10303209833953,796338.09875064,101325
129,0.10100674989542,788689.76026683,101325
130,0.099033276598644,781162.64642262,101325
131,0.09711010266651,773754.36486046,101325
132,0.095235706072752,766462.57621637,101325
133,0.093408616558949,759284.99289303,101325
134,0.091627413723769,752219.37786084,101325
135,0.089890725186866,745263.54348619,101325
136,0.088197376580352,738415.96709119,101325
137,0.086545927107275,731673.92074566,101325
138,0.084935138454445,725035.35878832,101325
139,0.08336381366823,718498.2805121,101325
140,0.081830795640759,712060.72912116,101325
141,0.08033496566198,705720.79071216,101325
142,0.078875242028402,699476.59327906,101325
143,0.077450578705587,693326.30574078,101325
144,0.076059964042142,687268.13699113,101325
145,0.074702419533096,681300.33497082,101325
146,0.073376998630708,675421.18576092,101325
147,0.072082785600796,669629.01269738,101325
148,0.070818894422767,663922.17550628,101325
149,0.069584467731599,658299.06945917,101325
150,0.068378675800106,652758.12454826,101325
151,0.067200715559866,647297.80468086,101325
152,0.066049809659288,641916.60689277,101325
153,0.06492520555732,636613.06058007,101325
154,0.063826174651399,631385.72674901,101325
155,0.062752011438273,626233.19728358,101325
156,0.061702032706399,621154.09423027,101325
157,0.060675576758658,616147.06909974,101325
158,0.059672002664204,611210.80218501,101325
159,0.058690689538285,606344.00189568,101325
160,0.057731035848934,601545.404108,101325
161,0.056792458749487,596813.77153029,101325
162,0.055874393435892,592147.89308336,101325
163,0.05497629252786,587546.58329574,101325
164,0.054097625472903,583008.68171316,101325
165,0.053237877972379,578533.05232212,101325
166,0.052396551428682,574118.58298719,101325
167,0.051573162412744,569764.18490161,101325
168,0.050767242151074,565468.79205113,101325
169,0.049978336031562,561231.36069043,101325
170,0.049206003127328,557050.86883221,101325
171,0.048449815737909,552926.31574834,101325
172,0.047709358947129,548856.72148297,101325
173,0.046984230196993,544841.12637725,101325
174,0.046274038876995,540878.5906054,101325
175,0.045578405928246,536968.1937219,101325
176,0.044896963461854,533109.03421944,101325
177,0.044229354391015,529300.22909746,101325
178,0.043575232076277,525540.91344105,101325
179,0.042934259983486,521830.24000987,101325
180,0.042306111353934,518167.37883689,101325
181,0.041690468886228,514551.51683678,101325
182,0.041087024429457,510981.85742363,101325
183,0.040495478687209,507457.62013782,101325
184,0.039915540932042,503978.0402818,101325
185,0.039346928730011,500542.36856461,101325
186,0.038789367674864,497149.87075489,101325
187,0.03824259113156,493799.82734216,101325
188,0.037706339988741,490491.53320622,101325
189,0.03718036241984,487224.29729442,101325
190,0.036664413652487,483997.44230671,101325
191,0.036158255745915,480810.30438812,101325
192,0.035661657376066,477662.23282865,101325
193,0.035174393628107,474552.58977024,101325
194,0.034696245796081,471480.74992084,101325
195,0.034227001189444,468446.10027523,101325
196,0.033766452946206,465448.03984244,101325
197,0.033314399852466,462485.97937978,101325
198,0.032870646168077,459559.3411331,101325
199,0.032435001458239,456667.55858329,101325
200,0.032007280430782,453810.07619874,101325
201,0.031587302778959,450986.34919376,101325
202,0.031174893029513,448195.84329265,101325
203,0.030769880395863,445438.03449944,101325
204,0.030372098636195,442712.40887302,101325
205,0.029981385916299,440018.46230764,101325
206,0.029597584676969,437355.70031858,101325
207,0.029220541505807,434723.63783291,101325
208,0.028850107013277,432121.79898511,101325
209,0.02848613571285,429549.71691767,101325
210,0.028128485905093,427006.9335862,101325
211,0.027777019565566,424492.99956927,101325
212,0.027431602236397,422007.47388266,101325
213,0.027092102921386,419549.92379796,101325
214,0.026758393984533,417119.9246655,101325
215,0.026430351051859,414717.05974134,101325
216,0.026107852916405,412340.92001836,101325
217,0.025790781446299,409991.10406132,101325
218,0.02547902149578,407667.21784569,101325
219,0.025172460819085,405368.87460035,101325
220,0.024870989987083,403095.69465386,101325
221,0.024574502306578,400847.30528437,101325
222,0.024282893742175,398623.34057295,101325
223,0.023996062840629,396423.44126044,101325
224,0.023713910657586,394247.25460748,101325
225,0.023436340686635,392094.43425786,101325
226,0.02316325879059,389964.64010503,101325
227,0.022894573134936,387857.53816165,101325
228,0.022630194123344,385772.80043217,101325
229,0.022370034335205,383710.10478837,101325
230,0.022114008465109,381669.13484767,101325
231,0.021862033264188,379649.57985436,101325
232,0.021614027483287,377651.13456342,101325
233,0.021369911817876,375673.49912712,101325
234,0.02112960885466,373716.37898408,101325
235,0.02089304301982,371779.48475098,101325
236,0.020660140528845,369862.53211666,101325
237,0.020430829337879,367965.24173865,101325
238,0.020205039096556,366087.33914206,101325
239,0.019982701102259,364228.55462072,101325
240,0.019763748255761,362388.6231406,101325
241,0.019548115018197,360567.28424538,101325
242,0.019335737369338,358764.28196418,101325
243,0.019126552767101,356979.36472132,101325
244,0.018920500108275,355212.28524813,101325
245,0.018717519690414,353462.80049676,101325
246,0.018517553174859,351730.67155588,101325
247,0.018320543550853,350015.66356829,101325
248,0.018126435100715,348317.54565033,101325
249,0.017935173366042,346636.09081314,101325
250,0.017746705114889,344971.07588562,101325
251,0.017560978309925,343322.28143913,101325
252,0.017377942077504,341689.49171381,101325
253,0.017197546677638,340072.49454662,101325
254,0.017019743474842,338471.08130082,101325
255,0.016844484909821,336885.04679719,101325
256,0.016671724471965,335314.18924657,101325
257,0.016501416672644,333758.31018402,101325
258,0.016333517019262,332217.21440433,101325
259,0.016167981990049,330690.70989903,101325
260,0.016004769009573,329178.60779466,101325
261,0.01584383642495,327680.72229248,101325
262,0.01568514348272,326196.87060941,101325
263,0.015528650306379,324726.87292034,101325
264,0.015374317874543,323270.5523016,101325
265,0.015222107999722,321827.7346757,101325
266,0.015071983307689,320398.24875722,101325
267,0.014923907217423,318981.92599992,101325
268,0.01477784392161,317578.60054494,101325
269,0.014633758367684,316188.10917012,101325
270,0.014491616239389,314810.29124038,101325
271,0.014351383938853,313444.98865922,101325
272,0.014213028569151,312092.04582119,101325
273,0.014076517917348,310751.30956536,101325
274,0.013941820438,309422.62912986,101325
275,0.013808905237113,308105.85610729,101325
276,0.013677742056524,306800.84440112,101325
277,0.013548301258719,305507.45018297,101325
278,0.013420553812047,304225.53185084,101325
279,0.013294471276344,302954.94998815,101325
280,0.013170025788934,301695.5673237,101325
281,0.013047190051005,300447.24869243,101325
282,0.012925937314352,299209.86099699,101325
283,0.012806241368474,297983.27317013,101325
284,0.012688076528,296767.35613785,101325
285,0.012571417620467,295561.98278336,101325
286,0.012456239974403,294367.02791168,101325
287,0.01234251940773,293182.36821509,101325
288,0.012230232216474,292007.88223922,101325
289,0.012119355163763,290843.45034983,101325
290,0.012009865469117,289688.9547003,101325
291,0.011901740798009,288544.27919981,101325
292,0.011794959251709,287409.30948206,101325
293,0.011689499357373,286283.93287475,101325
294,0.011585340058404,285168.0383696,101325
295,0.011482460705049,284061.51659301,101325
296,0.01138084104524,282964.2597773,101325
297,0.011280461215669,281876.16173252,101325
298,0.01118130173309,280797.11781888,101325
299,0.011083343485845,279727.02491963,101325
300,0.010986567725595,278665.78141459,101325
301,0.010890956059269,277613.28715414,101325
302,0.010796490441212,276569.44343375,101325
303,0.010703153165529,275534.15296904,101325
304,0.010610926858622,274507.31987127,101325
305,0.010519794471911,273488.84962338,101325
306,0.010429739274738,272478.64905647,101325
307,0.010340744847447,271476.62632676,101325
308,0.010252795074635,270482.69089297,101325
309,0.010165874138564,269496.75349417,101325
310,0.010079966512745,268518.7261281,101325
311,0.0099950569556719,267548.52202981,101325
312,0.0099111305047089,266586.05565081,101325
313,0.0098281724701303,265631.2426386,101325
314,0.0097461684293023,264683.99981655,101325
315,0.009665104221007,263744.24516427,101325
316,0.009584965939903,262811.89779822,101325
317,0.0095057399311202,261886.87795284,101325
318,0.0094274127849832,260969.10696192,101325
319,0.0093499713318626,260058.5072404,101325
320,0.0092734026371483,259155.0022665,101325
321,0.0091976939963429,258258.51656415,101325
322,0.0091228329302718,257368.97568587,101325
323,0.0090488071804062,256486.30619579,101325
324,0.0089756047042974,255610.43565317,101325
325,0.0089032136711184,254741.29259616,101325
326,0.0088316224573094,253878.80652581,101325
327,0.008760819642327,253022.90789047,101325
