time,Re,inlet-p,outlet-p
0,0,6974643,7002980
1,0,6974643,3555600
2,7.6551905404175,6637661.470104,1376856
3,8.7108918866199,6116165.5433756,618432
4,7.6728293665969,5598922.7036524,308168
5,6.6825911933286,5167642.0599298,204746
6,5.9059055602919,4829746.9932734,142694
7,5.3412657773979,4570220.5468744,115115
8,4.9132267119997,4369095.725026,108220
9,4.5687667225441,4207044.005067,108220
10,4.2772679271806,4069023.7432118,101325
11,4.0292383585156,3946813.0900786,101325
12,3.8043979089505,3835209.1917615,101325
13,3.5987946486802,3730850.9667954,101325
14,3.4082338158378,3631742.6280841,101325
15,3.2301800260067,3536757.4381791,101325
16,3.0630463641184,3445259.4185696,101325
17,2.9057574063094,3356874.525324,101325
18,2.7575138556368,3271366.1503434,101325
19,2.6176713655918,3188570.147899,101325
20,2.485678595576,3108361.3296276,101325
21,2.3610451356551,3030636.1587405,101325
22,2.2433244287066,2955303.7374161,101325
23,2.1321042733562,2882281.0553704,101325
24,2.0270012097089,2811490.4447091,101325
25,1.9276569320097,2742858.1879932,101325
26,1.8337357877419,2676313.7354217,101325
27,1.744922880856,2611789.2473884,101325
28,1.6609225282871,2549219.3129927,101325
29,1.581456937034,2488540.76504,101325
30,1.5062650300015,2429692.5488479,101325
31,1.4351013806038,2372615.6216945,101325
32,1.3677352329265,2317252.8702141,101325
33,1.3039495932611,2263549.0387009,101325
34,1.2435403837475,2211450.6643752,101325
35,1.1863156516138,2160906.017368,101325
36,1.1320948290903,2111865.0441295,101325
37,1.0807080400301,2064279.3134961,101325
38,1.0319954498739,2018101.9649554,101325
39,0.98580665600594,1973287.6588181,101325
40,0.94200011584571,1929792.5281085,101325
41,0.9004426102472,1887574.132042,101325
42,0.86100873996613,1846591.4109939,101325
43,0.82358045311588,1806804.6428855,101325
44,0.78804660167422,1768175.4009251,101325
45,0.75430252523069,1730666.5126514,101325
46,0.72224966028113,1694242.0202328,101325
47,0.69179517348402,1658867.1419782,101325
48,0.66285161739292,1624508.2350202,101325
49,0.63533660727283,1591132.7591315,101325
50,0.60917251769545,1558709.2416406,101325
51,0.58428619768946,1527207.2434096,101325
52,0.56060870329845,1496597.3258442,101325
53,0.53807504647057,1466851.0189014,101325
54,0.51662395927062,1437940.7900678,101325
55,0.49619767246847,1409840.0142756,101325
56,0.47674170761598,1382522.9447311,101325
57,0.4582046817803,1355964.6846277,101325
58,0.4405381241526,1330141.159716,101325
59,0.42369630380018,1305029.091708,101325
60,0.407636067875,1280605.9724888,101325
61,0.39231668963462,1256850.0391136,101325
62,0.37769972567136,1233740.2495674,101325
63,0.36374888178283,1211256.2592641,101325
64,0.35042988695246,1189378.3982647,101325
65,0.33771037494133,1168087.6491946,101325
66,0.32555977302367,1147365.6258383,101325
67,0.31394919742737,1127194.5523933,101325
68,0.30285135506786,1107557.2433655,101325
69,0.29224045118964,1088437.0840849,101325
70,0.28209210255298,1069818.0118279,101325
71,0.27238325582651,1051684.4975254,101325
72,0.26309211086672,1034021.5280428,101325
73,0.25419804858575,1016814.5890147,101325
74,0.24568156312671,1000049.648218,101325
75,0.23752419808378,983713.13946985,101325
76,0.22970848652002,967791.94703344,101325
77,0.22221789455143,952273.39051947,101325
78,0.21503676827998,937145.21026735,101325
79,0.2081502838718,922395.55319353,101325
80,0.2015444005892,908012.95909324,101325
81,0.19520581659715,893986.34738275,101325
82,0.18912192737575,880305.00426934,101325
83,0.18328078658073,866958.57033688,101325
84,0.17767106920369,853937.02853468,101325
85,0.17228203689296,841230.69255817,101325
86,0.16710350530447,828830.19560965,101325
87,0.16212625843013,816727.57038689,101325
88,0.15734065036268,804912.91420891,101325
89,0.15273798363243,793377.75726265,101325
90,0.1483100020453,782113.90776912,101325
91,0.14404886644916,771113.44249188,101325
92,0.13994713194372,760368.69755937,101325
93,0.13599772640826,749872.25959237,101325
94,0.13219393026601,739616.95712873,101325
95,0.12852935741074,729595.85233727,101325
96,0.12499793722632,719802.2330121,101325
97,0.12159389763408,710229.60483868,101325
98,0.11831174910679,700871.68392303,101325
99,0.11514626959175,691722.38957577,101325
100,0.11209249028921,682775.83734277,101325
101,0.10914568223539,674026.33227463,101325
102,0.10630134364262,665468.36242734,101325
103,0.10355518795195,657096.59258665,101325
104,0.10090313255624,648905.85820887,101325
105,0.098341288154506,640891.15957129,101325
106,0.095865948700278,633047.65612508,101325
107,0.093473581909434,625370.66104434,101325
108,0.091160820294693,617855.6359646,101325
109,0.08892445269615,610498.18590465,101325
110,0.086761416278972,603294.05436552,101325
111,0.084668788971154,596239.11860079,101325
112,0.082643782315866,589329.38505232,101325
113,0.080683734714413,582560.98494601,101325
114,0.078786105037313,575930.17004204,101325
115,0.076948466582311,569433.30853435,101325
116,0.075168501359419,563066.88109437,101325
117,0.073443994684279,556827.47705392,101325
118,0.071772830062224,550711.79072257,101325
119,0.070152984346498,544716.61783483,101325
120,0.068582523155038,538838.85212257,101325
121,0.067059596531191,533075.48200848,101325
122,0.065582434834557,527423.58741619,101325
123,0.064149344848996,521880.33669308,101325
124,0.062758706095594,516442.98364172,101325
125,0.061408967339087,511108.86465625,101325
126,0.060098643276935,505875.39595987,101325
127,0.058826311400866,500740.07093998,101325
128,0.057590609021289,495700.45757736,101325
129,0.05639023044557,490754.1959662,101325
130,0.055223924301642,485898.99592167,101325
131,0.054090490998968,481132.63467187,101325
132,0.052988780319289,476452.95463125,101325
133,0.051917689130063,471857.86125248,101325
134,0.050876159213894,467345.32095397,101325
135,0.049863175207631,462913.35912041,101325
136,0.048877762645202,458560.05817356,101325
137,0.047918986098552,454283.5557109,101325
138,0.046985947411424,450082.0427096,101325
