time,inlet-p,outlet-p
0,4293339,4293339
0.1,4293339,4235423
0.2,4289821.7539131,4177507
0.3,4280114.3004256,4119591
0.4,4263564.3511245,4061675
0.5,4240690.3902866,4003759
0.6,4212399.121177,3945843
0.7,4179616.2648829,3887927
0.8,4143161.2594617,3830011
0.9,4103722.5307624,3772095
1,4061866.7451582,3714179
1.1,4018056.7586879,3485962.5
1.2,3964874.2134237,3257746
1.3,3896758.7370078,3029529.5
1.4,3812916.6717415,2801313
1.5,3715362.6897572,2573096.5
1.6,3607002.5571943,2344880
1.7,3490709.8663025,2116663.5
1.8,3369021.1919299,1888447
1.9,3244092.7346849,1660230.5
2,3117744.9940895,1432014
2.1,2991528.6247654,1347897.9
2.2,2867861.5147184,1263781.8
2.3,2749000.9032573,1179665.7
2.4,2636245.5726711,1095549.6
2.5,2529996.7144712,1011433.5
2.6,2430112.6049085,927317.4
2.7,2336204.0146307,843201.3
2.8,2247807.5276294,759085.2
2.9,2164470.8952263,674969.1
3,2085789.7025471,590853
3.1,2011420.6630564,561895
3.2,1941100.8593397,532937
3.3,1874645.5252458,503979
3.4,1811900.7287805,475021
3.5,1752701.2260762,446063
3.6,1696857.7557029,417105
3.7,1644164.0040372,388147
3.8,1594408.7845134,359189
3.9,1547386.6746713,330231
4,1502904.8424705,301273
4.1,1460786.8657476,291620.3
4.2,1420866.0599494,281967.6
4.3,1382984.912373,272314.9
4.4,1346998.9479616,262662.2
4.5,1312777.9377619,253009.5
4.6,1280204.2458144,243356.8
4.7,1249170.5795777,233704.1
4.8,1219578.3048197,224051.4
4.9,1191336.4075555,214398.7
5,1164360.8539114,204746
5.1,1138574.132058,198540.8
5.2,1113903.961179,192335.6
5.3,1090282.3161813,186130.4
5.4,1067645.4490467,179925.2
5.5,1045934.2374478,173720
5.6,1025094.2739522,167514.8
5.7,1005075.6434734,161309.6
5.8,985832.54746779,155104.4
5.9,967322.90434447,148899.2
6,949508.14546289,142694
6.1,932352.40504098,140625.5
6.2,915822.09707105,138557
6.3,899884.64336121,136488.5
6.4,884508.13934422,134420
6.5,869661.75611806,132351.5
6.6,855316.30659273,130283
6.7,841444.60774334,128214.5
6.8,828021.5835234,126146
6.9,815024.18975198,124077.5
7,802431.25132448,122009
7.1,790223.27177507,120630.1
7.2,778382.19702324,119251.2
