time,Re,inlet-p,outlet-p,time
0,0,7002980,7002980,0
1,0,7002980,3555600,1
2,26.720865781341,6962533.9954845,1376856,2
3,33.676384841409,6855133.3721902,618432,3
4,33.287438406237,6701314.9932793,308168,4
5,31.900515818839,6536086.9923173,204746,5
6,30.479340465933,6383052.1705165,142694,6
7,29.267021235783,6251507.6900351,115115,7
8,28.268162164343,6142255.9663806,108220,8
9,27.445760419974,6051586.4065976,108220,9
10,26.751452052251,5974319.4176307,101325,10
11,26.149508558022,5906303.0512408,101325,11
12,25.607597149974,5844697.1609869,101325,12
13,25.108229028448,5787396.2812326,101325,13
14,24.638030571083,5732950.9019067,101325,14
15,24.188524025935,5680433.3402403,101325,15
16,23.754497804913,5629271.5040346,101325,16
17,23.332768155224,5579116.9703823,101325,17
18,22.921375189518,5529757.7022405,101325,18
19,22.519091036939,5481063.9421488,101325,19
20,22.125125215213,5432955.4487556,101325,20
21,21.738949284621,5385381.808946,101325,21
22,21.360192565652,5338310.6236384,101325,22
23,20.988580014755,5291720.409642,101325,23
24,20.623895113147,5245596.3249376,101325,24
25,20.265957624873,5199927.5869662,101325,25
26,19.914610217859,5154705.908612,101325,26
27,19.569710383761,5109924.5476902,101325,27
28,19.231125535779,5065577.727403,101325,28
29,18.898730018568,5021660.2818078,101325,29
30,18.572403272409,4978167.438192,101325,30
31,18.252028696472,4935094.6830126,101325,31
32,17.937492936953,4892437.6789978,101325,32
33,17.62868543434,4850192.2136739,101325,33
34,17.325498129341,4808354.1672515,101325,34
35,17.027825266349,4766919.4924777,101325,35
36,16.73556325718,4725884.2019059,101325,36
37,16.448610582254,4685244.3597789,101325,37
38,16.166867715215,4644996.0767897,101325,38
39,15.890237062363,4605135.5066453,101325,39
40,15.618622911564,4565658.8437601,101325,40
41,15.35193138733,4526562.321664,101325,41
42,15.090070410007,4487842.2118609,101325,42
43,14.832949657798,4449494.8229751,101325,43
44,14.580480530786,4411516.5000799,101325,44
45,14.33257611647,4373903.6241452,101325,45
46,14.089151156474,4336652.611561,101325,46
47,13.850122014229,4299759.9137111,101325,47
48,13.615406643474,4263222.0165805,101325,48
49,13.384924557512,4227035.4403854,101325,49
50,13.158596799128,4191196.7392184,101325,50
51,12.936345911154,4155702.5007062,101325,51
52,12.718095907628,4120549.3456742,101325,52
53,12.503772245535,4085733.9278193,101325,53
54,12.29330179711,4051252.9333867,101325,54
55,12.086612822678,4017103.0808524,101325,55
56,11.88363494403,3983281.1206091,101325,56
57,11.684299118313,3949783.834656,101325,57
58,11.488537612426,3916608.0362917,101325,58
59,11.296283977909,3883750.5698111,101325,59
60,11.107473026326,3851208.3102051,101325,60
61,10.922040805111,3818978.1628626,101325,61
62,10.739924573887,3787057.0632771,101325,62
63,10.561062781241,3755441.9767547,101325,63
64,10.385395041949,3724129.898126,101325,64
65,10.212862114629,3693117.8514602,101325,65
66,10.04340587984,3662402.8897826,101325,66
67,9.8769693185933,3631982.0947943,101325,67
68,9.7134964912776,3601852.5765953,101325,68
69,9.5529325169951,3572011.4734095,101325,69
70,9.3952235532915,3542455.9513133,101325,70
71,9.2403167762781,3513183.2039663,101325,71
72,9.0881603611366,3484190.4523446,101325,72
73,8.9387034629987,3455474.9444772,101325,73
74,8.7918961981946,3427033.9551843,101325,74
75,8.6476896258616,3398864.7858189,101325,75
76,8.5060357299081,3370964.7640104,101325,76
77,8.3668874013237,3343331.2434109,101325,77
78,8.2301984208302,3315961.6034441,101325,78
79,8.0959234418665,3288853.2490563,101325,79
80,7.9640179739016,3262003.6104703,101325,80
81,7.8344383660678,3235410.1429413,101325,81
82,7.7071417911091,3209070.3265157,101325,82
83,7.5820862296393,3182981.6657916,101325,83
84,7.4592304547022,3157141.689682,101325,84
85,7.3385340166289,3131547.9511807,101325,85
86,7.2199572281872,3106198.0271298,101325,86
87,7.1034611500152,3081089.5179896,101325,87
88,6.9890075763373,3056220.0476113,101325,88
89,6.8765590209528,3031587.2630114,101325,89
90,6.7660787034955,3007188.8341485,101325,90
91,6.6575305359566,2983022.453702,101325,91
92,6.5508791094677,2959085.8368538,101325,92
93,6.446089681337,2935376.7210708,101325,93
94,6.3431281623354,2911892.8658909,101325,94
95,6.2419611042272,2888632.0527099,101325,95
96,6.1425556875397,2865592.0845717,101325,96
97,6.0448797095692,2842770.7859594,101325,97
98,5.9489015726161,2820166.0025889,101325,98
99,5.8545902724474,2797775.6012051,101325,99
100,5.7619153869801,2775597.469379,101325,100
