time,Re,inlet-p,outlet-p,time
0,0,7002980,7002980,0
0.1,0,7002980,6658242,0.1
0.2,3.5092237495745,7002980.0397102,6313504,0.2
0.3,6.8414798680584,7002980.7718151,5968766,0.3
0.4,9.9967062744065,7002982.4191706,5624028,0.4
0.5,12.974808738134,7002975.4846736,5279290,0.5
0.6,15.775411755743,7002922.7962975,4934552,0.6
0.7,18.397679000643,7002742.56608,4589814,0.7
0.8,20.840249634002,7002302.184034,4245076,0.8
0.9,23.101311113305,7001424.9489103,3900338,0.9
1,25.178766248434,6999905.6605006,3555600,1
1.1,27.070434499741,6997529.2538337,3337725.6,1.1
1.2,28.153627505158,6994087.9982253,3119851.2,1.2
1.3,29.153572932244,6989394.8131706,2901976.8,1.3
1.4,30.068388791967,6983291.4901021,2684102.4,1.4
1.5,30.896786108586,6975652.6263398,2466228,1.5
1.6,31.637900585484,6966387.4797602,2248353.6,1.6
1.7,32.291280089292,6955440.7753838,2030479.2,1.7
1.8,32.856877162385,6942792.0394472,1812604.8,1.8
1.9,33.335029087554,6928453.0055829,1594730.4,1.9
2,33.726426971949,6912463.3869772,1376856,2
2.1,34.032087460276,6894885.7719396,1301013.6,2.1
2.2,33.987081332647,6875800.4929918,1225171.2,2.2
2.3,33.920631468324,6855301.2758958,1149328.8,2.3
2.4,33.833315032958,6833491.4698976,1073486.4,2.4
2.5,33.726262275709,6810479.7281286,997644,2.5
2.6,33.600687824684,6786375.4746164,921801.6,2.6
2.7,33.457801769145,6761285.540112,845959.2,2.7
2.8,33.2987815673,6735312.8411585,770116.8,2.8
2.9,33.124761589121,6708555.131791,694274.4,2.9
3,32.936840443063,6681106.8845203,618432,3
3.1,32.736088629959,6653058.7196514,587405.6,3.1
3.2,32.482523648791,6624497.9443408,556379.2,3.2
3.3,32.224916089991,6595508.8121998,525352.8,3.3
3.4,31.963924560933,6566172.8125426,494326.4,3.4
3.5,31.700345245062,6536568.5447346,463300,3.5
3.6,31.434947985191,6506770.9300537,432273.6,3.6
3.7,31.168450276835,6476850.1458282,401247.2,3.7
3.8,30.901507203472,6446870.8189835,370220.8,3.8
3.9,30.634709039176,6416891.7315728,339194.4,3.9
4,30.368584144134,6386965.9985139,308168,4
4.1,30.103604984012,6357141.5520241,297825.8,4.1
4.2,29.829133735756,6327461.8125215,287483.6,4.2
4.3,29.557623903524,6297966.3158598,277141.4,4.3
4.4,29.289315471892,6268691.59075,266799.2,4.4
4.5,29.024501218317,6239671.6820764,256457,4.5
4.6,28.763450408682,6210938.1965382,246114.8,4.6
4.7,28.506400497759,6182519.9391241,235772.6,4.7
4.8,28.253553325926,6154442.4587293,225430.4,4.8
4.9,28.005073526939,6126727.7566874,215088.2,4.9
5,27.761089312138,6099394.2482235,204746,5
5.1,27.521695217537,6072456.9486832,198540.8,5.1
5.2,27.285227914402,6045927.7853629,192335.6,5.2
