time,inlet-p,outlet-p
0,4293339,4293339
1,4196812,3714179
2,3203967,1432014
3,2328332,590853
4,1687120,301273
5,1238960,204746
6,914907,142694
7,701169,122009
8,521905,108220
9,432273,108220
10,342642,108220
11,273694,101325
12,218536,101325
13,184062,101325
14,156483,101325
15,142694,101325
16,128904,101325
17,122009,101325
18,122009,101325
19,115115,101325
20,115115,101325
21,108220,101325
22,108220,101325
23,108220,101325
24,108220,101325
25,108220,101325
26,108220,101325
27,101325,101325
28,101325,101325
