time,inlet-p,outlet-p
0,4293339,4293339
0.1,4293339,4235423
0.2,4293262.9694501,4177507
0.3,4292886.2656263,4119591
0.4,4291861.2457021,4061675
0.5,4289807.4529385,4003759
0.6,4286392.603063,3945843
0.7,4281372.442892,3887927
0.8,4274595.5911778,3830011
0.9,4265990.079719,3772095
1,4255544.4052373,3714179
1.1,4243289.68345,3485962.5
1.2,4229133.9455811,3257746
1.3,4212708.2373991,3029529.5
1.4,4193424.5045945,2801313
1.5,4170673.9515049,2573096.5
1.6,4144001.8501623,2344880
1.7,4113186.2504458,2116663.5
1.8,4078235.6675622,1888447
1.9,4039346.172657,1660230.5
2,3996848.8990117,1432014
2.1,3951163.8242209,1347897.9
2.2,3902765.4464725,1263781.8
2.3,3852165.1311991,1179665.7
2.4,3799894.4287778,1095549.6
2.5,3746476.93097,1011433.5
2.6,3692396.53635,927317.4
2.7,3638075.0218475,843201.3
2.8,3583863.7109339,759085.2
2.9,3530046.5948066,674969.1
3,3476849.973927,590853
3.1,3424454.6003132,561895
3.2,3373002.9028042,532937
3.3,3322600.8970025,503979
3.4,3273321.7543658,475021
3.5,3225212.5342221,446063
3.6,3178301.667462,417105
3.7,3132604.9115575,388147
3.8,3088129.4270797,359189
3.9,3044876.5342948,330231
4,3002843.7391135,301273
4.1,2962026.3899259,291620.3
4.2,2922417.560479,281967.6
4.3,2884005.3985018,272314.9
4.4,2846770.2246819,262662.2
4.5,2810683.7965983,253009.5
4.6,2775710.8873881,243356.8
4.7,2741811.9508983,233704.1
4.8,2708945.7365563,224051.4
4.9,2677071.3117843,214398.7
5,2646149.4040619,204746
5.1,2616143.1801273,198540.8
5.2,2587018.6907938,192335.6
5.3,2558743.5927977,186130.4
5.4,2531287.1850472,179925.2
5.5,2504619.5604678,173720
5.6,2478711.4740129,167514.8
5.7,2453534.5435361,161309.6
5.8,2429061.5775232,155104.4
5.9,2405266.8778583,148899.2
6,2382126.450406,142694
6.1,2359618.1144322,140625.5
6.2,2337721.3552782,138557
6.3,2316416.6835537,136488.5
6.4,2295684.6597604,134420
6.5,2275505.0902534,132351.5
6.6,2255856.7362089,130283
6.7,2236717.5144044,128214.5
6.8,2218064.9727999,126146
6.9,2199876.8259242,124077.5
7,2182131.4185688,122009
7.1,2164808.0661663,120630.1
7.2,2147887.2504945,119251.2
7.3,2131350.6540813,117872.3
7.4,2115181.0656492,116493.4
7.5,2099362.243266,115114.5
7.6,2083878.8107305,113735.6
7.7,2068716.2105175,112356.7
7.8,2053860.69773,110977.8
7.9,2039299.3493504,109598.9
8,2025020.0696434,108220
8.1,2011011.5825907,108220
8.2,1997263.3846515,108220
8.3,1983765.6006302,108220
8.4,1970508.7371542,108220
8.5,1957483.4251202,108220
8.6,1944680.256029,108220
8.7,1932089.749623,108220
8.8,1919702.4247572,108220
8.9,1907508.9217008,108220
9,1895500.1317057,108220
9.1,1883667.307547,108220
9.2,1872002.1443868,108220
9.3,1860496.8302034,108220
9.4,1849144.0699011,108220
9.5,1837937.0888529,108220
9.6,1826869.6215417,108220
9.7,1815935.8901451,108220
9.8,1805130.5768827,108220
9.9,1794448.7929818,108220
10,1783886.0463048,108220
10.1,1773438.2090451,107530.5
10.2,1763101.490727,106841
10.3,1752872.4320738,106151.5
10.4,1742747.930785,105462
10.5,1732725.2840523,104772.5
10.6,1722802.2170288,104083
10.7,1712976.877069,103393.5
10.8,1703247.7935124,102704
10.9,1693613.8151976,102014.5
11,1684074.040032,101325
11.1,1674627.7474073,101325
11.2,1665274.3370071,101325
11.3,1656013.265678,101325
11.4,1646843.9714118,101325
11.5,1637765.790483,101325
11.6,1628777.889178,101325
11.7,1619879.2277359,101325
11.8,1611068.5594867,101325
11.9,1602344.4567364,101325
12,1593705.3512834,101325
12.1,1585149.5791596,101325
12.2,1576675.4227578,101325
12.3,1568281.1468219,101325
12.4,1559965.0271192,101325
12.5,1551725.3719891,101325
12.6,1543560.5376414,101325
12.7,1535468.9383047,101325
12.8,1527449.0523205,101325
12.9,1519499.4251569,101325
13,1511618.6701519,101325
13.1,1503805.467638,101325
13.2,1496058.5629516,101325
13.3,1488376.7637132,101325
13.4,1480758.9366624,101325
13.5,1473204.004259,101325
13.6,1465710.9411984,101325
13.7,1458278.7709482,101325
