time,inlet-p,outlet-p
0,4293339,4293339
0.1,4293339,4235423
0.2,4291132.510682,4177507
0.3,4284491.1935902,4119591
0.4,4272402.0237868,4061675
0.5,4254846.0071265,4003759
0.6,4232292.7572314,3945843
0.7,4205369.0315156,3887927
0.8,4174702.8327565,3830011
0.9,4140864.5491359,3772095
1,4104351.5177947,3714179
1.1,4065589.6852153,3485962.5
1.2,4020141.8719531,3257746
1.3,3963523.5486052,3029529.5
1.4,3894099.1187004,2801313
1.5,3812589.9394011,2573096.5
1.6,3720849.5316305,2344880
1.7,3621043.209265,2116663.5
1.8,3515264.7646033,1888447
1.9,3405401.6094218,1660230.5
2,3293112.471443,1432014
2.1,3179849.6408302,1347897.9
2.2,3067471.1617079,1263781.8
2.3,2957844.0933965,1179665.7
2.4,2852296.5154596,1095549.6
2.5,2751509.8128703,1011433.5
2.6,2655683.1629651,927317.4
2.7,2564734.5488697,843201.3
2.8,2478447.605666,759085.2
2.9,2396559.555914,674969.1
3,2318808.6625359,590853
3.1,2244958.5027795,561895
3.2,2174800.5401688,532937
3.3,2108163.0232842,503979
3.4,2044899.6637017,475021
3.5,1984867.9152964,446063
3.6,1927916.2870119,417105
3.7,1873883.5856331,388147
3.8,1822604.3718824,359189
3.9,1773915.2985168,330231
4,1727660.5186939,301273
4.1,1683695.2290916,291620.3
4.2,1641878.701156,281967.6
4.3,1602070.9933018,272314.9
4.4,1564136.9946392,262662.2
4.5,1527950.9604944,253009.5
4.6,1493398.2006127,243356.8
4.7,1460374.6614241,233704.1
4.8,1428785.7745847,224051.4
4.9,1398545.2972132,214398.7
5,1369574.3510239,204746
5.1,1341800.6580976,198540.8
5.2,1315156.9864786,192335.6
5.3,1289579.6778094,186130.4
5.4,1265008.2864899,179925.2
5.5,1241385.96659,173720
5.6,1218659.8749563,167514.8
5.7,1196781.2828051,161309.6
5.8,1175705.4293793,155104.4
5.9,1155391.2400743,148899.2
6,1135801.0037262,142694
6.1,1116900.0599695,140625.5
6.2,1098656.0046614,138557
6.3,1081036.8401055,136488.5
6.4,1064010.8133965,134420
6.5,1047546.4960338,132351.5
6.6,1031613.4738455,130283
6.7,1016182.9696952,128214.5
6.8,1001228.2022092,126146
6.9,986724.49452374,124077.5
7,972649.2158259,122009
7.1,958981.63385486,120630.1
7.2,945702.67823222,119251.2
7.3,932794.64047668,117872.3
7.4,920240.9198885,116493.4
7.5,908025.88373286,115114.5
7.6,896134.81733896,113735.6
7.7,884553.90724994,112356.7
7.8,873270.2195305,110977.8
7.9,862271.6612919,109598.9
8,851546.92788272,108220
8.1,841085.44235242,108220
8.2,830877.24214285,108220
8.3,820912.78492234,108220
8.4,811182.76258775,108220
8.5,801678.02657408,108220
8.6,792389.63035543,108220
8.7,783308.92771105,108220
8.8,774427.6677526,108220
8.9,765738.05805798,108220
9,757232.79178068,108220
9.1,748905.04597584,108220
9.2,740748.46087474,108220
9.3,732757.10845854,108220
9.4,724925.45633134,108220
9.5,717248.33076254,108220
9.6,709720.88117716,108220
9.7,702338.54729444,108220
9.8,695097.02942969,108220
9.9,687992.26206239,108220
10,681020.39054231,108220
10.1,674177.7506859,107530.5
10.2,667460.85539947,106841
10.3,660866.39588895,106151.5
10.4,654391.25228069,105462
10.5,648032.49605532,104772.5
10.6,641787.3742309,104083
10.7,635653.279896,103393.5
10.8,629627.7195688,102704
10.9,623708.28516375,102014.5
11,617892.63353287,101325
11.1,612178.47327258,101325
11.2,606563.55512699,101325
11.3,601045.65891355,101325
11.4,595622.57570483,101325
11.5,590292.09438332,101325
11.6,585052.00111927,101325
11.7,579900.09124802,101325
11.8,574834.18696903,101325
11.9,569852.15442964,101325
12,564951.91673535,101325
12.1,560131.46211791,101325
12.2,555388.84793009,101325
12.3,550722.20157701,101325
12.4,546129.71942628,101325
12.5,541609.66450221,101325
12.6,537160.36352533,101325
12.7,532780.20366479,101325
12.8,528467.62923215,101325
12.9,524221.13845222,101325
13,520039.28038657,101325
13.1,515920.65204717,101325
13.2,511863.89571447,101325
13.3,507867.69646014,101325
13.4,503930.77986656,101325
13.5,500051.90993107,101325
13.6,496229.88714074,101325
13.7,492463.54670295,101325
13.8,488751.75691735,101325
13.9,485093.41767557,101325
14,481487.45907585,101325
