time,inlet-p,outlet-p
0,4293339,4293339
0.1,4293339,4235423
0.2,4292893.4281061,4177507
0.3,4291157.922057,4119591
0.4,4287286.741701,4061675
0.5,4280695.4915383,4003759
0.6,4271100.9570888,3945843
0.7,4258451.4567504,3887927
0.8,4242840.8765447,3830011
0.9,4224442.0147428,3772095
1,4203463.3765397,3714179
1.1,4180123.7770013,3485962.5
1.2,4153713.6606754,3257746
1.3,4122701.9923949,3029529.5
1.4,4085620.4754087,2801313
1.5,4041649.9264346,2573096.5
1.6,3990692.1772126,2344880
1.7,3933185.6178387,2116663.5
1.8,3869886.3916616,1888447
1.9,3801702.0328771,1660230.5
2,3729587.295013,1432014
2.1,3654487.6406588,1347897.9
2.2,3577374.2603053,1263781.8
2.3,3499252.6912041,1179665.7
2.4,3421074.3306331,1095549.6
2.5,3343634.3471916,1011433.5
2.6,3267526.8254842,927317.4
2.7,3193157.1602233,843201.3
2.8,3120781.5481259,759085.2
2.9,3050550.9269418,674969.1
3,2982548.0500819,590853
3.1,2916816.1562689,561895
3.2,2853364.6605161,532937
3.3,2792172.7251007,503979
3.4,2733200.0112667,475021
3.5,2676396.4054185,446063
3.6,2621706.6502534,417105
3.7,2569071.9283646,388147
3.8,2518430.8837421,359189
3.9,2469721.0203515,330231
4,2422880.4463549,301273
4.1,2377849.7058444,291620.3
4.2,2334568.3484402,281967.6
4.3,2292968.8451921,272314.9
4.4,2252975.0693197,262662.2
4.5,2214505.5131901,253009.5
4.6,2177478.0486651,243356.8
4.7,2141813.6831775,233704.1
4.8,2107438.6899423,224051.4
4.9,2074285.4479893,214398.7
5,2042292.5021913,204746
5.1,2011404.2341869,198540.8
5.2,1981569.7965021,192335.6
5.3,1952741.4674119,186130.4
5.4,1924873.4062534,179925.2
5.5,1897921.3266259,173720
5.6,1871842.8132632,167514.8
5.7,1846597.8029337,161309.6
5.8,1822148.9408142,155104.4
5.9,1798461.7362882,148899.2
6,1775504.5507345,142694
6.1,1753248.4779792,140625.5
6.2,1731666.705862,138557
6.3,1710733.1808869,136488.5
6.4,1690421.3122791,134420
6.5,1670703.4686177,132351.5
6.6,1651551.3036389,130283
6.7,1632936.497301,128214.5
6.8,1614831.5146338,126146
6.9,1597210.1785974,124077.5
7,1580048.0126358,122009
7.1,1563322.3874651,120630.1
7.2,1547012.6310783,119251.2
7.3,1531099.3718849,117872.3
7.4,1515564.7157397,116493.4
7.5,1500391.869941,115114.5
7.6,1485565.0285959,113735.6
7.7,1471069.3373916,112356.7
7.8,1456890.8894548,110977.8
7.9,1443016.7182362,109598.9
8,1429434.7733253,108220
8.1,1416133.8782429,108220
8.2,1403103.62424,108220
8.3,1390334.1362141,108220
8.4,1377815.7682063,108220
8.5,1365538.8775258,108220
8.6,1353493.7636818,108220
8.7,1341670.7489132,108220
8.8,1330060.326871,108220
8.9,1318653.3148392,108220
9,1307440.9739951,108220
9.1,1296415.0868415,108220
9.2,1285567.9948827,108220
9.3,1274892.6051167,108220
9.4,1264382.3746651,108220
9.5,1254031.2815446,108220
9.6,1243833.7877011,108220
9.7,1233784.7986412,108220
9.8,1223879.6225625,108220
9.9,1214113.9308012,108220
10,1204483.7206606,108220
10.1,1194985.2811651,107530.5
10.2,1185615.16827,106841
10.3,1176370.2054467,106151.5
10.4,1167247.5119091,105462
10.5,1158244.5333927,104772.5
10.6,1149359.0470203,104083
10.7,1140589.131798,103393.5
10.8,1131933.1147066,102704
10.9,1123389.5079336,102014.5
11,1114956.9494543,101325
11.1,1106634.1534626,101325
11.2,1098419.8693945,101325
11.3,1090312.8382473,101325
11.4,1082311.7384296,101325
11.5,1074415.1322145,101325
11.6,1066621.4324443,101325
11.7,1058928.8991043,101325
11.8,1051335.6613864,101325
11.9,1043839.7541118,101325
12,1036439.1579057,101325
12.1,1029131.8361345,101325
12.2,1021915.7652553,101325
12.3,1014788.9577442,101325
12.4,1007749.4781541,101325
12.5,1000795.4534313,101325
12.6,993925.07874306,101325
12.7,987136.61996313,101325
12.8,980428.41377243,101325
12.9,973798.86612909,101325
13,967246.44968053,101325
13.1,960769.7005384,101325
13.2,954367.21471851,101325
13.3,948037.64445645,101325
13.4,941779.69454252,101325
13.5,935592.11876943,101325
13.6,929473.71655138,101325
