time,inlet-p,outlet-p,time
0,7002980,7002980,0
1,7002980,3555600,1
2,6933383.7091213,1376856,2
3,6768266.4328258,618432,3
4,6548619.3856613,308168,4
5,6323522.768956,204746,5
6,6121065.9123345,142694,6
7,5950216.3278215,115115,7
8,5809945.5786239,108220,8
9,5694456.1700401,108220,9
10,5596734.5336775,101325,10
11,5511282.230439,101325,11
12,5434380.1098213,101325,12
13,5363296.8329583,101325,13
14,5296158.3242152,101325,14
15,5231756.6326864,101325,15
16,5169337.1639086,101325,16
17,5108432.5918223,101325,17
18,5048752.7063424,101325,18
19,4990115.5891545,101325,19
20,4932405.4893023,101325,20
21,4875547.1869796,101325,21
22,4819490.3894936,101325,22
23,4764200.209959,101325,23
24,4709651.3376134,101325,24
25,4655824.454746,101325,25
26,4602704.0256119,101325,26
27,4550276.9263668,101325,27
28,4498531.5925518,101325,28
29,4447457.486319,101325,29
30,4397044.76197,101325,30
31,4347284.0549751,101325,31
32,4298166.3481809,101325,32
33,4249682.8864548,101325,33
34,4201825.1218449,101325,34
35,4154584.6780383,101325,35
36,4107953.3270735,101325,36
37,4061922.9738637,101325,37
38,4016485.6457212,101325,38
39,3971633.4850962,101325,39
40,3927358.7443924,101325,40
41,3883653.7821302,101325,41
42,3840511.0599908,101325,42
43,3797923.1404392,101325,43
44,3755882.6847305,101325,44
45,3714382.4511743,101325,45
46,3673415.2935729,101325,46
47,3632974.1597812,101325,47
48,3593052.0903513,101325,48
49,3553642.2172392,101325,49
50,3514737.7625577,101325,50
51,3476332.0373659,101325,51
52,3438418.440487,101325,52
53,3400990.4573514,101325,53
54,3364041.6588599,101325,54
55,3327565.7002672,101325,55
56,3291556.320082,101325,56
57,3256007.3389832,101325,57
58,3220912.658753,101325,58
59,3186266.2612229,101325,59
60,3152062.2072363,101325,60
61,3118294.6356234,101325,61
62,3084957.7621906,101325,62
63,3052045.8787239,101325,63
64,3019553.3520042,101325,64
65,2987474.6228368,101325,65
66,2955804.2050935,101325,66
67,2924536.6847664,101325,67
68,2893666.7190354,101325,68
69,2863189.0353471,101325,69
70,2833098.4305062,101325,70
71,2803389.7697787,101325,71
72,2774057.9860063,101325,72
73,2745098.0787336,101325,73
74,2716505.1133456,101325,74
75,2688274.2202168,101325,75
76,2660400.5938717,101325,76
77,2632879.4921562,101325,77
78,2605706.235419,101325,78
79,2578876.2057052,101325,79
80,2552384.8459589,101325,80
81,2526227.6592371,101325,81
82,2500400.2079336,101325,82
83,2474898.1130129,101325,83
84,2449717.0532538,101325,84
85,2424852.764504,101325,85
86,2400301.0389425,101325,86
87,2376057.7243534,101325,87
88,2352118.7234079,101325,88
89,2328479.992956,101325,89
90,2305137.5433277,101325,90
91,2282087.4376428,101325,91
92,2259325.7911295,101325,92
93,2236848.7704525,101325,93
94,2214652.5930489,101325,94
95,2192733.5264737,101325,95
96,2171087.8877523,101325,96
97,2149712.0427431,101325,97
98,2128602.4055069,101325,98
99,2107755.4376849,101325,99
100,2087167.6478848,101325,100
101,2066835.5910748,101325,101
102,2046755.8679851,101325,102
103,2026925.1245174,101325,103
104,2007340.0511617,101325,104
105,1987997.3824206,101325,105
106,1968893.8962413,101325,106
107,1950026.4134545,101325,107
108,1931391.7972204,101325,108
109,1912986.9524822,101325,109
110,1894808.8254261,101325,110
111,1876854.4029486,101325,111
112,1859120.7121301,101325,112
113,1841604.819716,101325,113
114,1824303.831603,101325,114
115,1807214.8923339,101325,115
116,1790335.1845966,101325,116
117,1773661.9287314,101325,117
118,1757192.3822432,101325,118
119,1740923.8393207,101325,119
120,1724853.6303612,101325,120
121,1708979.1215015,101325,121
122,1693297.7141549,101325,122
123,1677806.8445541,101325,123
124,1662503.9832994,101325,124
125,1647386.634913,101325,125
126,1632452.3373991,101325,126
127,1617698.6618086,101325,127
128,1603123.2118107,101325,128
129,1588723.6232687,101325,129
130,1574497.5638215,101325,130
131,1560442.7324706,101325,131
132,1546556.8591718,101325,132
133,1532837.7044328,101325,133
134,1519283.0589147,101325,134
135,1505890.7430396,101325,135
136,1492658.6066026,101325,136
137,1479584.5283886,101325,137
138,1466666.4157937,101325,138
139,1453902.2044524,101325,139
140,1441289.8578679,101325,140
141,1428827.3670481,101325,141
142,1416512.7501462,101325,142
143,1404344.0521048,101325,143
144,1392319.3443054,101325,144
145,1380436.7242221,101325,145
146,1368694.3150791,101325,146
147,1357090.2655133,101325,147
148,1345622.7492399,101325,148
149,1334289.9647239,101325,149
150,1323090.1348537,101325,150
151,1312021.5066205,101325,151
152,1301082.3508006,101325,152
153,1290270.9616421,101325,153
154,1279585.6565554,101325,154
155,1269024.7758076,101325,155
156,1258586.6822206,101325,156
157,1248269.7608732,101325,157
158,1238072.4188064,101325,158
159,1227993.0847333,101325,159
160,1218030.2087514,101325,160
161,1208182.2620594,101325,161
162,1198447.7366775,101325,162
163,1188825.1451703,101325,163
164,1179313.0203745,101325,164
165,1169909.9151288,101325,165
166,1160614.4020079,101325,166
167,1151425.0730592,101325,167
168,1142340.5395438,101325,168
169,1133359.4316795,101325,169
170,1124480.3983881,101325,170
171,1115702.1070449,101325,171
172,1107031.057163,101325,172
173,1098457.9619458,101325,173
174,1089981.5461035,101325,174
175,1081600.5517526,101325,175
176,1073313.7381887,101325,176
177,1065119.8816661,101325,177
178,1057017.7751748,101325,178
179,1049006.2282162,101325,179
180,1041084.0665798,101325,180
181,1033250.1321222,101325,181
182,1025503.2825488,101325,182
183,1017842.3911991,101325,183
184,1010266.3468348,101325,184
185,1002774.0534307,101325,185
186,995364.42996893,101325,186
187,988036.41023496,101325,187
188,980788.94261728,101325,188
189,973620.98990894,101325,189
190,966531.52911195,101325,190
191,959519.55124411,101325,191
192,952584.06114833,101325,192
193,945724.0773043,101325,193
194,938938.63164272,101325,194
195,932226.76936172,101325,195
196,925587.5487458,101325,196
197,919020.04098695,101325,197
198,912523.33000814,101325,198
199,906096.51228906,101325,199
200,899738.69669409,101325,200
201,893449.00430245,101325,201
202,887226.56824065,101325,202
203,881070.53351694,101325,203
204,874980.05685803,101325,204
205,868954.30654788,101325,205
206,862992.46226854,101325,206
207,857093.7149431,101325,207
208,851257.26658068,101325,208
209,845482.33012341,101325,209
210,839768.12929542,101325,210
211,834113.89845378,101325,211
212,828518.88244144,101325,212
213,822982.33644202,101325,213
214,817503.52583657,101325,214
215,812081.72606216,101325,215
216,806716.22247235,101325,216
217,801406.31019953,101325,217
218,796151.29401898,101325,218
219,790950.48821483,101325,219
220,785803.21644775,101325,220
221,780708.81162436,101325,221
222,775666.61576841,101325,222
223,770675.9798937,101325,223
224,765736.2638786,101325,224
225,760846.83634232,101325,225
226,756007.07452282,101325,226
227,751216.36415631,101325,227
228,746474.09935843,101325,228
229,741779.68250692,101325,229
230,737132.524126,101325,230
231,732532.0427722,101325,231
232,727977.66492175,101325,232
233,723468.82485952,101325,233
234,719004.96456945,101325,234
235,714585.53362641,101325,235
236,710209.98908961,101325,236
237,705877.7953974,101325,237
238,701588.4242635,101325,238
239,697341.35457468,101325,239
240,693136.07228978,101325,240
241,688972.07034016,101325,241
242,684848.84853149,101325,242
243,680765.91344687,101325,243
244,676722.77835127,101325,244
245,672718.96309737,101325,245
246,668753.99403255,101325,246
247,664827.40390727,101325,247
248,660938.73178471,101325,248
249,657087.52295155,101325,249
250,653273.32883015,101325,250
251,649495.70689177,101325,251
252,645754.22057116,101325,252
253,642048.43918218,101325,253
254,638377.9378347,101325,254
255,634742.29735265,101325,255
256,631141.10419312,101325,256
257,627573.95036669,101325,257
258,624040.43335886,101325,258
259,620540.15605248,101325,259
260,617072.72665143,101325,260
261,613637.75860519,101325,261
262,610234.87053463,101325,262
263,606863.68615875,101325,263
264,603523.83422243,101325,264
265,600214.9484253,101325,265
266,596936.66735153,101325,266
267,593688.63440061,101325,267
268,590470.49771915,101325,268
269,587281.91013366,101325,269
270,584122.52908418,101325,270
271,580992.01655896,101325,271
272,577890.03903004,101325,272
273,574816.26738969,101325,273
274,571770.37688782,101325,274
275,568752.04707027,101325,275
276,565760.96171792,101325,276
277,562796.80878677,101325,277
278,559859.28034876,101325,278
279,556948.07253355,101325,279
280,554062.88547104,101325,280
281,551203.42323477,101325,281
282,548369.39378607,101325,282
283,545560.50891913,101325,283
284,542776.48420669,101325,284
285,540017.03894665,101325,285
286,537281.89610941,101325,286
287,534570.7822859,101325,287
288,531883.42763645,101325,288
289,529219.56584036,101325,289
290,526578.93404618,101325,290
291,523961.27282271,101325,291
292,521366.32611077,101325,292
293,518793.84117554,101325,293
294,516243.56855974,101325,294
295,513715.26203736,101325,295
296,511208.67856812,101325,296
297,508723.57825262,101325,297
298,506259.72428803,101325,298
299,503816.88292457,101325,299
300,501394.82342246,101325,300
301,498993.31800966,101325,301
302,496612.14184007,101325,302
303,494251.07295247,101325,303
304,491909.89222994,101325,304
305,489588.38335997,101325,305
306,487286.33279506,101325,306
307,485003.52971398,101325,307
308,482739.76598352,101325,308
309,480494.83612086,101325,309
310,478268.53725641,101325,310
311,476060.66909727,101325,311
312,473871.0338912,101325,312
313,471699.43639106,101325,313
314,469545.68381986,101325,314
315,467409.58583625,101325,315
316,465290.95450054,101325,316
317,463189.60424119,101325,317
318,461105.35182186,101325,318
319,459038.01630886,101325,319
320,456987.41903908,101325,320
321,454953.38358848,101325,321
322,452935.73574093,101325,322
323,450934.30345754,101325,323
324,448948.91684649,101325,324
325,446979.40813323,101325,325
326,445025.61163115,101325,326
327,443087.36371266,101325,327
328,441164.50278074,101325,328
329,439256.86924082,101325,329
330,437364.30547315,101325,330
331,435486.65580557,101325,331
332,433623.76648659,101325,332
333,431775.48565897,101325,333
334,429941.66333363,101325,334
335,428122.15136396,101325,335
336,426316.80342048,101325,336
337,424525.47496589,101325,337
338,422748.02323049,101325,338
339,420984.30718796,101325,339
340,419234.18753146,101325,340
341,417497.52665011,101325,341
342,415774.18860581,101325,342
343,414064.03911039,101325,343
344,412366.94550311,101325,344
345,410682.77672845,101325,345
346,409011.40331427,101325,346
347,407352.69735024,101325,347
348,405706.53246665,101325,348
349,404072.78381346,101325,349
350,402451.32803969,101325,350
351,400842.04327309,101325,351
352,399244.80910017,101325,352
353,397659.50654641,101325,353
354,396086.01805685,101325,354
355,394524.22747693,101325,355
356,392974.0200336,101325,356
357,391435.28231671,101325,357
358,389907.9022607,101325,358
359,388391.76912647,101325,359
360,386886.77348365,101325,360
361,385392.80719298,101325,361
362,383909.76338906,101325,362
363,382437.53646326,101325,363
364,380976.02204698,101325,364
365,379525.11699502,101325,365
366,378084.71936935,101325,366
367,376654.72842295,101325,367
368,375235.04458399,101325,368
369,373825.56944023,101325,369
370,372426.2057236,101325,370
371,371036.85729505,101325,371
372,369657.42912956,101325,372
373,368287.82730144,101325,373
374,366927.95896979,101325,374
375,365577.73236416,101325,375
376,364237.05677048,101325,376
377,362905.84251713,101325,377
378,361584.00096121,101325,378
379,360271.44447508,101325,379
380,358968.08643299,101325,380
381,357673.84119798,101325,381
382,356388.62410892,101325,382
383,355112.35146778,101325,383
384,353844.94052706,101325,384
385,352586.30947735,101325,385
386,351336.37743519,101325,386
387,350095.06443095,101325,387
388,348862.29139702,101325,388
389,347637.98015607,101325,389
390,346422.05340956,101325,390
391,345214.43472631,101325,391
392,344015.04853135,101325,392
393,342823.82009484,101325,393
394,341640.67552118,101325,394
395,340465.54173828,101325,395
396,339298.34648696,101325,396
397,338139.01831054,101325,397
398,336987.48654452,101325,398
399,335843.68130648,101325,399
400,334707.53348601,101325,400
401,333578.97473494,101325,401
402,332457.93745754,101325,402
403,331344.354801,101325,403
404,330238.16064593,101325,404
405,329139.28959709,101325,405
406,328047.67697418,101325,406
407,326963.25880277,101325,407
408,325885.97180543,101325,408
409,324815.75339284,101325,409
410,323752.54165519,101325,410
411,322696.27535358,101325,411
412,321646.89391158,101325,412
413,320604.33740694,101325,413
414,319568.54656334,101325,414
415,318539.46274232,101325,415
416,317517.0279353,101325,416
417,316501.18475574,101325,417
418,315491.87643132,101325,418
419,314489.04679633,101325,419
420,313501.61783738,101325,420
421,312520.4428773,101325,421
422,311545.468979,101325,422
423,310576.64376275,101325,423
424,309613.91539996,101325,424
425,308657.23260608,101325,425
426,307706.54463314,101325,426
427,306761.80126253,101325,427
428,305822.95279824,101325,428
429,304889.95006046,101325,429
430,303962.74437944,101325,430
431,303041.28758946,101325,431
432,302125.5320229,101325,432
433,301215.43050433,101325,433
434,300310.93634469,101325,434
435,299412.00333551,101325,435
436,298518.58574312,101325,436
437,297630.63830303,101325,437
438,296748.11621427,101325,438
439,295870.97513383,101325,439
440,294999.17117125,101325,440
441,294132.6608831,101325,441
442,293271.40126772,101325,442
443,292415.34975992,101325,443
444,291564.46422577,101325,444
445,290718.70295746,101325,445
446,289878.02466826,101325,446
447,289042.38848753,101325,447
448,288211.75395573,101325,448
449,287386.08101963,101325,449
450,286565.33002748,101325,450
451,285749.46172425,101325,451
452,284938.437247,101325,452
453,284132.21812025,101325,453
454,283330.76625144,101325,454
455,282534.04392643,101325,455
456,281742.01380508,101325,456
457,280954.6389169,101325,457
458,280171.88265669,101325,458
459,279393.70878032,101325,459
460,278620.08140055,101325,460
461,277850.96498282,101325,461
462,277086.32434123,101325,462
463,276326.12463446,101325,463
464,275570.33136182,101325,464
465,274818.91035928,101325,465
466,274071.82779562,101325,466
467,273329.0501686,101325,467
468,272590.54430117,101325,468
469,271856.27733773,101325,469
470,271126.21674048,101325,470
471,270400.33028576,101325,471
472,269678.58606047,101325,472
473,268960.95245854,101325,473
474,268247.39817741,101325,474
475,267537.8922146,101325,475
476,266832.40386433,101325,476
477,266130.90271408,101325,477
478,265433.35864136,101325,478
479,264739.74181039,101325,479
480,264050.02266885,101325,480
481,263364.17194475,101325,481
482,262682.1606432,101325,482
483,262003.96004336,101325,483
484,261329.54169534,101325,484
485,260658.87741717,101325,485
486,259991.93929181,101325,486
487,259328.69966421,101325,487
488,258669.13113836,101325,488
489,258013.20657442,101325,489
