time,inlet-p,outlet-p,time
0,7002980,7002980,0
10,5813015.6449663,101325,10
20,5111526.2462633,101325,20
30,4544107.1753269,101325,30
40,4056085.6759728,101325,40
50,3635388.6393156,101325,50
60,3271977.3435984,101325,60
70,2957322.5534515,101325,70
80,2684182.9098309,101325,80
90,2446416.4618474,101325,90
100,2238818.4850694,101325,100
110,2056981.87051,101325,110
120,1897244.9304083,101325,120
130,1756428.6562402,101325,130
140,1631793.4483086,101325,140
150,1521085.8026837,101325,150
160,1422397.0696871,101325,160
170,1334109.0272074,101325,170
180,1254847.8188039,101325,180
190,1183445.0938745,101325,190
200,1118905.3145266,101325,200
210,1060378.3141209,101325,210
220,1007136.3053586,101325,220
230,958554.64082413,101325,230
240,914095.72537108,101325,240
250,873295.56702451,101325,250
260,835752.53084874,101325,260
270,801117.92854439,101325,270
280,769088.135776,101325,280
290,739397.98002508,101325,290
300,711815.18490499,101325,300
310,686135.69322721,101325,310
320,662179.72154485,101325,320
330,639788.42425257,101325,330
340,618821.06635644,101325,340
350,599152.62142847,101325,350
360,580671.72562535,101325,360
370,563278.93049416,101325,370
380,547029.11047163,101325,380
390,531682.58349336,101325,390
400,517169.32031968,101325,400
410,503426.1312396,101325,410
420,490395.87468711,101325,420
430,478026.77030925,101325,430
440,466271.80110388,101325,440
450,455088.19174162,101325,450
460,444436.95227272,101325,460
470,434282.47809491,101325,470
480,424592.19844769,101325,480
490,415336.26685996,101325,490
500,406487.28795149,101325,500
510,398020.07580784,101325,510
520,389911.43983738,101325,520
530,382139.9946019,101325,530
540,374685.99060451,101325,540
550,367531.16343675,101325,550
560,360658.5990416,101325,560
570,354052.61315173,101325,570
580,347698.64322042,101325,580
590,341583.15138328,101325,590
600,335693.53717846,101325,600
610,330018.05891524,101325,610
620,324545.76272119,101325,620
630,319266.41841841,101325,630
640,314170.46148404,101325,640
650,309248.94044007,101325,650
660,304493.46909623,101325,660
670,299896.18313747,101325,670
680,295449.70060701,101325,680
690,291147.08588751,101325,690
700,286981.81682825,101325,700
710,282947.75470546,101325,710
720,279039.11673791,101325,720
730,275250.4509101,101325,730
740,271576.61288231,101325,740
750,268012.74479028,101325,750
760,264554.25575806,101325,760
770,261196.80396626,101325,770
780,257936.28013376,101325,780
790,254768.79228585,101325,790
800,251690.6516942,101325,800
810,248698.35988578,101325,810
