time,Re,inlet-p,outlet-p
0,0,4582919,4582919
1,0,4582919,3714179
2,5.4039202960165,4571973.9175601,1432014
3,14.057566742291,4530535.1503177,590853
4,14.846367906308,4453822.9074459,301273
5,14.376758690852,4351136.7506246,204746
6,13.670395869701,4235166.9501663,142694
7,12.946436444562,4116179.1081135,122009
8,12.24372160108,4000571.8598834,108220
9,11.596066816039,3891536.9828699,108220
10,11.001622705123,3790047.9246148,108220
11,10.4621914155,3695805.8313572,101325
12,9.9752419889399,3608071.9435612,101325
13,9.5269821216935,3526023.4654667,101325
14,9.1141848410441,3448860.8237013,101325
15,8.7316942954836,3375865.6538868,101325
16,8.3751863463852,3306428.7495154,101325
17,8.0411661259841,3240055.103145,101325
18,7.7268545810105,3176352.7909251,101325
19,7.4300466342387,3115015.1417792,101325
20,7.1489795816484,3055802.4582261,101325
21,6.8822251224461,2998526.1455602,101325
22,6.6286061139642,2943036.0127655,101325
23,6.3871344525718,2889210.5463606,101325
24,6.1569654727937,2836949.6369418,101325
25,5.9373646954839,2786169.2080953,101325
26,5.7276835940089,2736797.2735574,101325
27,5.5273418685234,2688771.0480516,101325
28,5.3358143934588,2642034.8284269,101325
29,5.152621517893,2596538.4355931,101325
30,4.977321776109,2552236.0642584,101325
31,4.809506337364,2509085.4294175,101325
32,4.6487947173943,2467047.1291907,101325
33,4.4948314113294,2426084.1658205,101325
34,4.3472832047545,2386161.5826574,101325
35,4.2058369883849,2347246.1865225,101325
36,4.0701979505746,2309306.3331635,101325
37,3.9400880565521,2272311.7595409,101325
38,3.8152447480197,2236233.451035,101325
39,3.6954198144647,2201043.5348259,101325
40,3.5803784002718,2166715.1929991,101325
41,3.4699079989567,2133225.609153,101325
42,3.3637872491045,2100546.7063955,101325
43,3.2618164505395,2068654.4493602,101325
44,3.1638061964071,2037525.6281814,101325
45,3.0695767675518,2007137.818917,101325
46,2.9789575732173,1977469.3481794,101325
47,2.8917866322085,1948499.2611331,101325
48,2.8079100899681,1920207.2922229,101325
49,2.7271817678527,1892573.8381421,101325
50,2.6494627415239,1865579.9326659,101325
51,2.5746209458517,1839207.2230575,101325
52,2.5025308041103,1813437.9478233,101325
53,2.4330728795444,1788254.9156372,101325
54,2.3661335476215,1763641.4852963,101325
55,2.3016046874829,1739581.5465973,101325
56,2.2393833912608,1716059.5020415,101325
57,2.1793716900618,1693060.2492995,101325
58,2.12147629553,1670569.1643737,101325
59,2.0656083559931,1648572.0854095,101325
60,2.0116832262811,1627055.2971144,101325
61,1.9596202503739,1606005.5157479,101325
62,1.9093425561015,1585409.8746534,101325
63,1.8607768611719,1565255.910303,101325
64,1.8138532898558,1545531.5488333,101325
65,1.7685051996998,1526225.0930486,101325
66,1.7246690176837,1507325.2098741,101325
67,1.6822840852727,1488820.9182401,101325
68,1.641292511852,1470701.5773802,101325
69,1.6016390360632,1452956.8755293,101325
70,1.5632708945903,1435576.8190057,101325
71,1.5261376979722,1418551.7216651,101325
72,1.4901913130432,1401872.1947113,101325
73,1.4553857516276,1385529.1368538,101325
74,1.4216770651371,1369513.7247982,101325
75,1.3890232447382,1353817.4040598,101325
76,1.3573841267802,1338431.8800885,101325
77,1.3267213031898,1323349.1096947,101325
78,1.2969980365555,1308561.2927664,101325
79,1.2681791796434,1294060.8642676,101325
80,1.2402310990982,1279840.4865081,101325
81,1.2131216030993,1265893.0416771,101325
82,1.1868198727549,1252211.6246294,101325
83,1.1612963970282,1238789.5359181,101325
84,1.1365229110042,1225620.275064,101325
85,1.1124723373134,1212697.5340542,101325
86,1.0891187305415,1200015.1910629,101325
87,1.0664372244635,1187567.3043848,101325
88,1.0444039819492,1175348.1065772,101325
89,1.0229961473957,1163351.9988001,101325
90,1.0021918015516,1151573.5453501,101325
91,0.98196991860463,1140007.4683814,101325
92,0.96231032541111,1128648.6428053,101325
93,0.94319366275393,1117492.0913648,101325
94,0.92460134852053,1106532.9798773,101325
95,0.90651554269956,1095766.6126382,101325
96,0.88891911409977,1085188.4279828,101325
97,0.87179560870076,1074793.993998,101325
98,0.85512921954954,1064579.0043809,101325
99,0.83890475812217,1054539.2744382,101325
100,0.82310762707391,1044670.7372212,101325
101,0.80772379430556,1034969.4397931,101325
102,0.79273976827784,1025431.5396221,101325
103,0.77814257450909,1016053.3010978,101325
104,0.76391973319538,1006831.0921649,101325
105,0.75005923789532,997761.38107177,101325
106,0.73654953522502,988840.7332287,101325
107,0.72337950551156,980065.80817216,101325
108,0.71053844435628,971433.35663193,101325
109,0.69801604506165,962940.21769705,101325
110,0.68580238187805,954583.31607722,101325
111,0.67388789402922,946359.65945634,101325
112,0.66226337047711,938266.335935,101325
113,0.65091993538931,930300.51155877,101325
114,0.63984903427379,922459.42792923,101325
115,0.62904242074797,914740.39989495,101325
116,0.6184921439105,907140.81331961,101325
117,0.60819053628618,899658.12292444,101325
118,0.59813020231556,892289.85020247,101325
119,0.58830400736281,885033.58140218,101325
120,0.57870506721626,877886.96557783,101325
121,0.56932673805776,870847.71270445,101325
122,0.56016260687809,863913.59185505,101325
123,0.55120648231682,857082.42943792,101325
124,0.54245238590617,850352.10749188,101325
125,0.53389454369953,843720.56203763,101325
126,0.52552737826614,837185.7814829,101325
127,0.51734550103454,830745.80507999,101325
128,0.5093437049682,824398.72143337,101325
129,0.50151695755769,818142.66705605,101325
130,0.49386039411424,811975.82497271,101325
131,0.48636931135086,805896.42336816,101325
132,0.47903916123727,799902.73427936,101325
133,0.47186554511596,793993.07232979,101325
134,0.46484420806739,788165.79350434,101325
135,0.45797103351255,782419.29396364,101325
136,0.45124203804212,776752.00889629,101325
137,0.44465336646173,771162.4114077,101325
138,0.43820128704345,765649.01144434,101325
139,0.43188218697413,760210.35475218,101325
140,0.42569256799157,754845.02186806,101325
141,0.4196290422001,749551.62714293,101325
142,0.41368832805746,744328.81779595,101325
143,0.40786724652519,739175.27299817,101325
144,0.40216271737537,734089.70298505,101325
145,0.39657175564664,729070.8481966,101325
146,0.39109146824282,724117.47844443,101325
147,0.38571905066797,719228.39210453,101325
148,0.38045178389173,714402.41533525,101325
149,0.3752870313393,709638.40131925,101325
150,0.37022223600057,704935.22952892,101325
151,0.36525491765321,700291.80501433,101325
152,0.36038267019481,695707.05771301,101325
153,0.35560315907928,691179.94178072,101325
154,0.3509141188531,686709.43494272,101325
155,0.34631335078707,682294.53786464,101325
156,0.34179872059947,677934.27354241,101325
157,0.33736815626686,673627.68671065,101325
158,0.33301964591855,669373.84326872,101325
159,0.32875123581154,665171.82972417,101325
160,0.32456102838218,661020.75265266,101325
161,0.32044718037166,656919.73817408,101325
162,0.31640790102198,652867.93144417,101325
163,0.31244145033964,648864.49616126,101325
164,0.30854613742419,644908.61408751,101325
165,0.30472031885886,640999.4845843,101325
166,0.30096239716096,637136.32416122,101325
167,0.29727081928925,633318.3660382,101325
168,0.29364733090414,629548.25737424,101325
169,0.29008709441445,625821.78730726,101325
170,0.28658868548728,622138.23862241,101325
171,0.28315071867155,618496.90913345,101325
172,0.27977184614332,614897.11130651,101325
173,0.27645075651404,611338.17189452,101325
174,0.27318617368291,607819.43158218,101325
175,0.26997685573051,604340.24464101,101325
176,0.26682159385179,600899.97859428,101325
177,0.26371921132688,597498.01389136,101325
178,0.26066856252814,594133.74359133,101325
179,0.25766853196207,590806.57305539,101325
180,0.25471803334472,587515.91964795,101325
181,0.25181600870923,584261.21244602,101325
182,0.24896142754439,581041.89195669,101325
183,0.2461532859628,577857.40984248,101325
184,0.24339060589784,574707.22865418,101325
185,0.24067243432794,571590.82157118,101325
186,0.23799784252747,568507.67214883,101325
187,0.235365925343,565457.27407279,101325
188,0.23277580049411,562439.13092001,101325
189,0.23022660789775,559452.75592629,101325
190,0.22771750901529,556497.67176008,101325
191,0.22524768622142,553573.41030244,101325
192,0.22281634219404,550679.51243287,101325
193,0.2204226993245,547815.52782098,101325
194,0.2180659991472,544981.01472362,101325
195,0.21574550178807,542175.5397875,101325
196,0.21346048543108,539398.67785707,101325
197,0.21121024580224,536650.01178738,101325
198,0.20899409567034,533929.13226202,101325
199,0.20681136436385,531235.63761574,101325
200,0.20466139730354,528569.13366182,101325
201,0.20254355554997,525929.23352382,101325
202,0.20045721536563,523315.55747186,101325
203,0.19840176779093,520727.73276306,101325
204,0.19637661823375,518165.39348612,101325
205,0.19438118607199,515628.18040993,101325
206,0.19241490426858,513115.74083608,101325
207,0.19047721899869,510627.72845509,101325
208,0.18856758928857,508163.80320639,101325
209,0.18668548666561,505723.63114181,101325
210,0.18483039481936,503306.88429253,101325
211,0.183001809273,500913.24053947,101325
212,0.18119923706489,498542.38348681,101325
213,0.17942219644,496194.00233884,101325
214,0.17767021655075,493867.79177975,101325
215,0.17594283716691,491563.45185655,101325
216,0.1742396083944,489280.68786478,101325
217,0.17256009040253,487019.21023716,101325
218,0.17090385315954,484778.73443492,101325
219,0.16927047617601,482558.9808418,101325
220,0.16765954825597,480359.67466073,101325
221,0.16607066725548,478180.54581297,101325
222,0.1645034398483,476021.32883968,101325
223,0.16295748129856,473881.762806,101325
224,0.1614324152401,471761.59120731,101325
225,0.15992787346233,469660.56187787,101325
226,0.1584434957023,467578.4269016,101325
227,0.15697892944289,465514.94252499,101325
228,0.15553382971682,463469.86907212,101325
229,0.15410785891639,461442.97086172,101325
230,0.15270068660864,459434.01612616,101325
231,0.15131198935591,457442.77693236,101325
232,0.14994145054142,455469.02910461,101325
233,0.14858876019997,453512.55214913,101325
234,0.14725361485332,451573.12918052,101325
235,0.14593571735035,449650.54684975,101325
236,0.14463477671164,447744.59527403,101325
237,0.14335050797848,445855.06796814,101325
238,0.1420826320661,443981.76177745,101325
239,0.14083087562098,442124.47681243,101325
240,0.13959497088218,440283.01638471,101325
241,0.13837465554644,438457.18694455,101325
242,0.13716967263708,436646.79801982,101325
243,0.13597977037649,434851.66215627,101325
244,0.1348047020621,433071.59485924,101325
245,0.13364422594577,431306.41453663,101325
246,0.13249810511644,429555.94244323,101325
247,0.13136610738599,427820.00262618,101325
248,0.13024800517819,426098.42187179,101325
249,0.12914357542064,424391.02965345,101325
250,0.12805259943959,422697.65808074,101325
251,0.12697486285763,421018.14184966,101325
252,0.12591015549405,419352.318194,101325
253,0.12485827126794,417700.02683768,101325
254,0.12381900810372,416061.10994828,101325
255,0.12279216783935,414435.41209144,101325
256,0.12177755613677,412822.7801864,101325
257,0.12077498239483,411223.06346239,101325
258,0.11978425966443,409636.11341606,101325
259,0.1188052045659,408061.78376973,101325
260,0.11783763720851,406499.93043065,101325
261,0.11688138111205,404950.41145107,101325
262,0.11593626313051,403413.08698918,101325
263,0.11500211337759,401887.81927087,101325
264,0.1140787651543,400374.47255237,101325
265,0.11316605487821,398872.91308358,101325
266,0.11226382201466,397383.00907226,101325
267,0.11137190900964,395904.63064897,101325
268,0.11049016122439,394437.64983269,101325
269,0.10961842687164,392981.94049722,101325
270,0.10875655695348,391537.37833824,101325
271,0.10790440520073,390103.84084114,101325
272,0.10706182801389,388681.20724937,101325
273,0.10622868440552,387269.35853361,101325
274,0.10540483594405,385868.17736147,101325
275,0.104590146699,384477.54806785,101325
276,0.10378448318754,383097.3566259,101325
277,0.10298771432239,381727.4906186,101325
278,0.10219971136089,380367.83921089,101325
279,0.10142034785549,379018.29312237,101325
280,0.1006494996053,377678.74460058,101325
281,0.099887044608846,376349.0873948,101325
282,0.099132863018034,375029.21673038,101325
283,0.098386837093147,373719.02928359,101325
284,0.097648851158961,372418.42315697,101325
285,0.096918791561906,371127.29785519,101325
286,0.09619654662825,369845.55426137,101325
287,0.095482006623276,368573.09461388,101325
288,0.094775063711432,367309.8224836,101325
289,0.094075611917421,366055.64275165,101325
290,0.093383547088208,364810.46158748,101325
291,0.092698766855928,363574.18642753,101325
292,0.09202117060165,362346.72595416,101325
293,0.091350659420002,361127.9900751,101325
294,0.090687136084609,359917.88990322,101325
295,0.090030505014344,358716.33773679,101325
296,0.089380672240349,357523.24704001,101325
297,0.088737545373827,356338.53242399,101325
298,0.08810103357457,355162.10962808,101325
299,0.087471047520214,353993.89550156,101325
300,0.086847499376189,352833.80798568,101325
301,0.086230302766365,351681.76609599,101325
302,0.085619372744355,350537.68990514,101325
303,0.085014625765477,349401.50052585,101325
304,0.084415979659345,348273.12009431,101325
305,0.083823353603078,347152.47175385,101325
306,0.083236668095115,346039.4796389,101325
307,0.082655844929609,344934.06885933,101325
308,0.082080807171401,343836.16548498,101325
309,0.081511479131546,342745.69653056,101325
310,0.080947786343383,341662.58994077,101325
311,0.080389655539139,340586.77457575,101325
312,0.079837014627042,339518.18019675,101325
313,0.079289792668945,338456.73745213,101325
314,0.078747919858436,337402.37786353,101325
315,0.078211327499432,336355.03381236,101325
316,0.07767994798523,335314.63852653,101325
317,0.07715371477803,334281.12606737,101325
318,0.076632562388883,333254.4313169,101325
319,0.076116426358089,332234.48996517,101325
320,0.075605243236009,331221.23849799,101325
321,0.07509895056429,330214.61418477,101325
322,0.074597486857495,329214.55506662,101325
323,0.074100791585129,328220.9999447,101325
324,0.073608805154038,327233.88836869,101325
325,0.07312146889119,326253.16062554,101325
326,0.072638725026822,325278.7577284,101325
327,0.072160516677939,324310.62140575,101325
328,0.07168678783216,323348.69409069,101325
329,0.071217483331912,322392.91891047,101325
330,0.070752548858942,321443.23967615,101325
331,0.070291930919164,320499.60087252,101325
332,0.069835576827819,319561.94764809,101325
