time,Re,inlet-p,outlet-p
0,0,5617133,5617133
1,0,5617133,2866123.76
2,27.495522437151,5559264.3161787,1121749.48
3,34.328333969429,5426865.8923907,473642.04
4,33.57563758006,5260612.5783201,280588.76
5,31.760798928411,5097138.3924754,184062.12
6,30.114238813044,4953784.749286,135798.8
7,28.749447479452,4834917.9466452,115114.52
8,27.636324968143,4737612.2324428,108219.76
9,26.709389076947,4656214.9481944,108219.76
10,25.904147641498,4585156.9018707,108219.76
11,25.178239263828,4520355.7543763,101325
12,24.516695158219,4459919.5816239,101325
13,23.892594351434,4402783.8006166,101325
14,23.30060418903,4347963.1373261,101325
15,22.732749720779,4294760.324782,101325
16,22.184238278198,4242757.85148,101325
17,21.652267014309,4191718.2679453,101325
18,21.135157389991,4141506.9347875,101325
19,20.631847397774,4092045.9581157,101325
20,20.141612266086,4043288.5332208,101325
21,19.66391347896,3995204.9169891,101325
22,19.198317354118,3947774.783317,101325
23,18.744450997143,3900983.0488483,101325
24,18.301978338606,3854817.5846819,101325
25,17.87058699638,3809267.9559902,101325
26,17.449980998882,3764324.7241988,101325
27,17.039876697395,3719979.058472,101325
28,16.640000423064,3676222.5180775,101325
29,16.250087103981,3633046.929612,101325
30,15.86987941411,3590444.3171464,101325
31,15.499127219164,3548406.8620381,101325
32,15.13758718993,3506926.8794563,101325
33,14.785022511299,3465996.8043725,101325
34,14.441202647046,3425609.182938,101325
35,14.105903137969,3385756.6669457,101325
36,13.778905420757,3346432.0100704,101325
37,13.459996660437,3307628.0651389,101325
38,13.148969592286,3269337.7820063,101325
39,12.845622370814,3231554.2057903,101325
40,12.54975842443,3194270.4753224,101325
41,12.261186314922,3157479.821733,101325
42,11.979719601233,3121175.5671224,101325
43,11.705176707177,3085351.1232887,101325
44,11.437380792857,3049999.9904972,101325
45,11.176159629611,3015115.7562794,101325
46,10.921345478336,2980692.0942574,101325
47,10.672774971083,2946722.7629886,101325
48,10.430288995814,2913201.6048295,101325
49,10.193732584227,2880122.5448168,101325
50,9.962954802565,2847479.5895641,101325
51,9.7378086453262,2815266.8261745,101325
52,9.5181509317898,2783478.4211689,101325
53,9.3038422052901,2752108.6194281,101325
54,9.0947466351588,2721151.74315,101325
55,8.8907319212675,2690602.1908203,101325
56,8.6916692010985,2660454.4361982,101325
57,8.497432959279,2630703.0273148,101325
58,8.3079009395108,2601342.5854857,101325
59,8.1229540588343,2572367.8043362,101325
60,7.9424763241613,2543773.448841,101325
61,7.7663547510204,2515554.3543751,101325
62,7.5944792844527,2487705.4257791,101325
63,7.4267427220019,2460221.6364359,101325
64,7.2630406387446,2433098.0273606,101325
65,7.1032713143036,2406329.7063025,101325
66,6.9473356617944,2379911.8468586,101325
67,6.7951371586515,2353839.6876004,101325
68,6.6465817792859,2328108.5312105,101325
69,6.5015909106914,2302716.0296876,101325
70,6.3600617255587,2277655.2655915,101325
71,6.22190732591,2252921.730085,101325
72,6.0870430580914,2228510.9751014,101325
73,5.9553864537839,2204418.6125309,101325
74,5.8268571726507,2180640.3134191,101325
75,5.7013769465285,2157171.8071806,101325
76,5.5788695251053,2134008.8808254,101325
77,5.4592606230385,2111147.3781958,101325
78,5.3424778684715,2088583.1992141,101325
79,5.2284507529105,2066312.2991398,101325
80,5.1171105824255,2044330.6878374,101325
81,5.0083904301408,2022634.4290534,101325
82,4.9022250899793,2001219.6397027,101325
83,4.7985510316304,1980082.4891653,101325
84,4.6973063567052,1959219.1985919,101325
85,4.5984307560509,1938626.0402184,101325
86,4.5018654681921,1918299.3366903,101325
87,4.4075532388692,1898235.4603953,101325
88,4.3154382816449,1878430.8328059,101325
89,4.2254662395509,1858881.9238292,101325
90,4.1375841477467,1839585.251167,101325
91,4.0517403971635,1820537.3796829,101325
92,3.9678846991081,1801734.9207793,101325
93,3.8859680508001,1783174.5317813,101325
94,3.8059427018182,1764852.9153298,101325
95,3.7277621214321,1746766.818782,101325
96,3.6513809667947,1728913.0336203,101325
97,3.5767550519744,1711288.3948689,101325
98,3.5038413178029,1693889.7805176,101325
99,3.432597802518,1676714.1109543,101325
100,3.3629836131802,1659758.3484042,101325
101,3.2949588978426,1643019.4963762,101325
102,3.2284848184538,1626494.5991178,101325
103,3.163523524475,1610180.7410755,101325
104,3.1000381271913,1594075.046364,101325
105,3.0379926747005,1578174.6782412,101325
106,2.9773521275597,1562476.8385907,101325
107,2.9180823350729,1546978.7674105,101325
108,2.8601500122038,1531677.7423096,101325
109,2.8035227170947,1516571.0780097,101325
110,2.7481688291783,1501656.1258546,101325
111,2.694057527864,1486930.2733256,101325
112,2.6411587717865,1472390.9435632,101325
113,2.589443278598,1458035.5948948,101325
114,2.5388825052937,1443861.7203695,101325
115,2.4894486290534,1429866.847298,101325
116,2.4411145285867,1416048.5367988,101325
117,2.3938537659688,1402404.3833505,101325
118,2.3476405689534,1388932.01435,101325
119,2.3024498137498,1375629.0896761,101325
120,2.2582570082532,1362493.3012587,101325
121,2.2150382757142,1349522.3726544,101325
122,2.1727703388378,1336714.0586266,101325
123,2.1314305042997,1324066.1447317,101325
124,2.0909966476685,1311576.4469105,101325
125,2.0514471987236,1299242.8110845,101325
126,2.0127611271584,1287063.1127585,101325
127,1.9749179286583,1275035.256627,101325
128,1.9378976113437,1263157.1761865,101325
129,1.9016806825681,1251426.8333527,101325
130,1.8662481360629,1239842.2180824,101325
131,1.8315814394178,1228401.3480007,101325
132,1.7976625218902,1217102.2680323,101325
133,1.7644737625337,1205943.0500386,101325
134,1.7319979786366,1194921.7924583,101325
135,1.7002184144638,1184036.6199532,101325
136,1.6691187302932,1173285.6830591,101325
137,1.6386829917386,1162667.1578399,101325
138,1.6088956593518,1152179.2455473,101325
139,1.5797415784974,1141820.1722842,101325
140,1.5512059694909,1131588.1886727,101325
141,1.5232744179958,1121481.5695262,101325
142,1.4959328656709,1111498.6135261,101325
143,1.4691676010621,1101637.6429017,101325
144,1.4429652507317,1091897.0031155,101325
145,1.4173127706198,1082275.0625512,101325
146,1.3921974376309,1072770.212207,101325
147,1.3676068414397,1063380.8653915,101325
148,1.3435288765109,1054105.4574244,101325
149,1.3199517343274,1044942.4453409,101325
150,1.2968638958201,1035890.3075995,101325
151,1.274254123996,1026947.5437937,101325
152,1.2521114567579,1018112.6743677,101325
153,1.2304251999106,1009384.2403352,101325
154,1.2091849203501,1000760.8030022,101325
155,1.1883804394294,992240.9436931,101325
156,1.1680018264969,983823.26348034,101325
157,1.1480393926034,975506.38291755,101325
158,1.1284836843717,967288.94177609,101325
159,1.1093254780265,959169.5987849,101325
160,1.0905557735789,951147.03137368,101325
161,1.0721657891621,943219.93541939,101325
162,1.0541469555138,935387.02499592,101325
163,1.0364909106024,927647.03212698,101325
164,1.019189494392,919998.70654218,101325
165,1.0022347437434,912440.81543615,101325
166,0.98561888744756,904972.14323078,101325
167,0.96933434138708,897591.49134051,101325
168,0.95337370382362,890297.67794056,101325
169,0.93772975080699,883089.53773816,101325
170,0.92239543170323,875965.92174674,101325
171,0.90736386483824,868925.6970629,101325
172,0.89262833325413,861967.74664636,101325
173,0.87818228057528,855090.96910262,101325
174,0.86401930698115,848294.27846849,101325
