time,Re,inlet-p,outlet-p
0,0,5617133,5617133
1,0,5617133,2866123.76
2,0.39474198017922,5612915.2539633,1121749.48
3,0.51001863717152,5597738.1176628,473642.04
4,0.52224956537102,5566969.3875802,280588.76
5,0.51633378689719,5519957.0762673,184062.12
6,0.50626084498255,5459085.9447143,135798.8
7,0.49388506238279,5388072.3432148,115114.52
8,0.48019142626155,5310674.7710783,108219.76
9,0.46590472889368,5230026.6952851,108219.76
10,0.45152635969676,5148427.2697411,108219.76
11,0.4374353955916,5067392.355813,101325
12,0.42391496172367,4987839.255185,101325
13,0.41084357552504,4910277.176534,101325
14,0.39832755507676,4834944.2894904,101325
15,0.38636864505508,4761909.0012894,101325
16,0.37494790925432,4691136.7664386,101325
17,0.36403676789717,4622536.3303678,101325
18,0.35360312218071,4555990.1277665,101325
19,0.34361477787029,4491373.0273171,101325
20,0.33404121683731,4428562.9619216,101325
21,0.32485437578568,4367446.2793856,101325
22,0.31602886053249,4307919.8857153,101325
23,0.30754186366754,4249891.5753073,101325
24,0.29937294455536,4193279.4246741,101325
25,0.2915037608914,4138010.7697573,101325
26,0.2839177986471,4084021.0582297,101325
27,0.27660012268018,4031252.72915,101325
28,0.26953715669719,3979654.1914729,101325
29,0.26271649413684,3929178.9278957,101325
30,0.25612673810094,3879784.7267716,101325
31,0.24975736703457,3831433.0332704,101325
32,0.243598622487,3784088.4062014,101325
33,0.23764141543281,3737718.0657459,101325
34,0.23187724800349,3692291.5179848,101325
35,0.22629814792075,3647780.2435372,101325
36,0.22089661335602,3604157.4393161,101325
37,0.21566556633319,3561397.8040839,101325
38,0.21059831313086,3519477.3600178,101325
39,0.20568851042596,3478373.3038394,101325
40,0.20093013615674,3438063.882201,101325
41,0.19631746427666,3398528.2869801,101325
42,0.19184504272757,3359746.5669239,101325
43,0.1875076740878,3321699.5527408,101325
44,0.1833003984532,3284368.7932647,101325
45,0.17921847819182,3247736.500759,101325
46,0.17525738427929,3211785.5037772,101325
47,0.17141278397575,3176499.2062899,101325
48,0.16768052964814,3141861.5520177,101325
49,0.16405664857649,3107856.9931082,101325
50,0.16053733361136,3074470.4624416,101325
51,0.15711893457184,3041687.3489852,101325
52,0.15379795029249,3009493.4757134,101325
53,0.15057102124244,2977875.0796991,101325
54,0.14743492265204,2946818.7940475,101325
55,0.14438655809278,2916311.6314029,101325
56,0.14142295346408,2886340.9688036,101325
57,0.13854125134759,2856894.5336975,101325
58,0.13573870569496,2827960.3909642,101325
59,0.13301267681991,2799526.9308123,101325
60,0.13036062666914,2771582.8574449,101325
61,0.12778034559081,2744119.6521262,101325
62,0.12526924201367,2717124.0578608,101325
63,0.1228250574772,2690585.6620111,101325
64,0.12044561859246,2664494.326543,101325
65,0.11812883341882,2638840.1794169,101325
66,0.1158726880223,2613613.6063699,101325
67,0.11367524320108,2588805.2430562,101325
68,0.11153463136773,2564405.9675156,101325
69,0.10944905357898,2540406.8929446,101325
70,0.10741677670429,2516799.3607481,101325
71,0.10543613072577,2493574.9338533,101325
72,0.10350550616189,2470725.3902664,101325
73,0.10162335160853,2448242.7168606,101325
74,0.099788171391099,2426119.1033792,101325
75,0.09799852332196,2404346.9366435,101325
76,0.096253016557733,2382918.7949538,101325
77,0.094550309551491,2361827.4426759,101325
78,0.09288910809507,2341065.8250015,101325
79,0.091268163447081,2320627.0628767,101325
80,0.089686270542421,2300504.4480916,101325
81,0.08814226627937,2280691.4385216,101325
82,0.086635027880534,2261181.653518,101325
83,0.085163471324154,2241968.8694389,101325
84,0.083726549842438,2223047.015317,101325
85,0.082323252483803,2204410.1686582,101325
86,0.080952602736037,2186052.5513672,101325
87,0.07961365720757,2167968.5257948,101325
88,0.078305504364192,2150152.5909031,101325
89,0.077027263318668,2132599.3785448,101325
90,0.075778082670852,2115303.6498518,101325
91,0.074557139396018,2098260.2917316,101325
92,0.073363637779222,2081464.313465,101325
93,0.072196808393637,2064910.8434044,101325
94,0.071055907120901,2048595.1257688,101325
95,0.06994021421159,2032512.5175313,101325
96,0.068849033384058,2016658.4853978,101325
97,0.067781690959936,2001028.6028732,101325
98,0.066737535034674,1985618.5474121,101325
99,0.065715934681601,1970424.0976526,101325
100,0.064716279188028,1955441.1307292,101325
101,0.063737977321996,1940665.6196635,101325
102,0.062780456628355,1926093.6308297,101325
103,0.061843162752878,1911721.3214925,101325
104,0.060925558793229,1897544.9374164,101325
105,0.060027124675608,1883560.8105425,101325
106,0.059147356555989,1869765.3567319,101325
107,0.058285766244884,1856155.073574,101325
108,0.057441880654649,1842726.5382559,101325
109,0.05661524126836,1829476.4054936,101325
110,0.055805403629351,1816401.4055216,101325
111,0.055011936850552,1803498.3421386,101325
112,0.054234423142775,1790764.09081,101325
113,0.053472457361166,1778195.5968223,101325
114,0.052725646569067,1765789.8734909,101325
115,0.051993609618549,1753544.0004175,101325
116,0.051275976746937,1741455.1217971,101325
117,0.050572389188653,1729520.4447716,101325
118,0.049882498801756,1717737.2378307,101325
119,0.04920596770856,1706102.8292565,101325
120,0.048542467949771,1694614.6056118,101325
121,0.047891681151566,1683270.0102711,101325
122,0.04725329820511,1672066.5419912,101325
123,0.046627018957986,1661001.7535231,101325
124,0.046012551917072,1650073.2502608,101325
125,0.045409613962381,1639278.6889286,101325
126,0.044817930071448,1628615.776304,101325
127,0.04423723305382,1618082.2679762,101325
128,0.043667263295252,1607675.9671386,101325
129,0.043107768511222,1597394.7234139,101325
130,0.042558503509394,1587236.4317128,101325
131,0.042019229960675,1577199.0311221,101325
132,0.041489716178518,1567280.5038248,101325
133,0.040969736906161,1557478.8740482,101325
134,0.040459073111476,1547792.2070419,101325
135,0.039957511789136,1538218.6080823,101325
136,0.039464845769816,1528756.2215049,101325
137,0.038980873536151,1519403.2297624,101325
138,0.038505399045187,1510157.8525083,101325
139,0.03803823155708,1501018.3457047,101325
140,0.037579185469795,1491983.0007549,101325
141,0.037128080159583,1483050.1436584,101325
142,0.036684739827002,1474218.134189,101325
143,0.036248993348284,1465485.3650942,101325
144,0.035820674131838,1456850.2613169,101325
145,0.035399619979686,1448311.2792367,101325
146,0.034985672953664,1439866.9059318,101325
147,0.034578679246193,1431515.6584604,101325
148,0.034178489055451,1423256.0831609,101325
149,0.033784956464785,1415086.7549706,101325
150,0.033397939326205,1407006.2767621,101325
151,0.033017299147804,1399013.2786974,101325
152,0.032642900984956,1391106.4175981,101325
153,0.032274613335162,1383284.3763333,101325
154,0.0319123080364,1375545.863222,101325
155,0.031555860168858,1367889.6114519,101325
156,0.031205147959916,1360314.3785128,101325
157,0.030860052692268,1352818.9456447,101325
158,0.030520458615065,1345402.1173003,101325
159,0.030186252857972,1338062.7206209,101325
160,0.029857325348029,1330799.6049263,101325
161,0.02953356872922,1323611.6412166,101325
162,0.029214878284647,1316497.7216884,101325
163,0.028901151861225,1309456.7592615,101325
164,0.028592289796798,1302487.6871187,101325
165,0.028288194849594,1295589.4582571,101325
166,0.027988772129934,1288761.0450501,101325
167,0.027693929034128,1282001.4388212,101325
168,0.027403575180453,1275309.6494282,101325
169,0.027117622347173,1268684.7048572,101325
170,0.0268359844125,1262125.6508276,101325
