time,Re,inlet-p,outlet-p,time
0,0,4293339,4320918,0
0.1,0,4293339,4113385.7,0.1
0.2,12.828036272831,4290313.8859167,3905853.4,0.2
0.3,26.41397636093,4279864.4203814,3698321.1,0.3
0.4,38.475291499902,4258768.9553794,3490788.8,0.4
0.5,48.929589986831,4225738.1272016,3283256.5,0.5
0.6,57.812226192758,4180978.9409699,3075724.2,0.6
0.7,65.224941630242,4125538.882045,2868191.9,0.7
0.8,71.296749153669,4060821.8299189,2660659.6,0.8
0.9,76.160725176011,3988310.084253,2453127.3,0.9
1,79.942194151444,3909427.8982227,2245595,1
1.1,82.753609939238,3825484.8895271,2110457.7,1.1
1.2,82.125328707326,3738027.6041443,1975320.4,1.2
1.3,81.191128404366,3648619.2806757,1840183.1,1.3
1.4,80.038795686446,3558543.4797292,1705045.8,1.4
1.5,78.726373390382,3468718.1346342,1569908.5,1.5
1.6,77.288263551576,3379753.1123849,1434771.2,1.6
1.7,75.742970370554,3292043.7825828,1299633.9,1.7
1.8,74.099187237044,3205850.0971618,1164496.6,1.8
1.9,72.359807683207,3121350.8722453,1029359.3,1.9
2,70.524361223016,3038677.6757647,894222,2
2.1,68.590446664106,2957935.0801633,843890.3,2.1
2.2,65.383955002397,2879285.1205869,793558.6,2.2
2.3,62.352298257176,2802941.4116817,743226.9,2.3
2.4,59.495535796384,2729103.3689789,692895.2,2.4
2.5,56.810256813527,2657906.0713275,642563.5,2.5
2.6,54.289287440528,2589406.8437278,592231.8,2.6
2.7,51.922643199093,2523595.9053856,541900.1,2.7
2.8,49.698722295789,2460415.2753324,491568.4,2.8
2.9,47.605306166835,2399776.8948213,441236.7,2.9
3,45.630262277868,2341576.7607919,390905,3
3.1,43.761988484326,2285704.8576075,375736.5,3.1
3.2,41.770826063319,2232055.9002797,360568,3.2
3.3,39.905626982892,2180534.7969479,345399.5,3.3
3.4,38.157385827979,2131055.4516747,330231,3.4
3.5,36.517914605148,2083536.3430428,315062.5,3.5
