time,Re,inlet-p,outlet-p,time
0,0,5720554.4,5720554.4,0
0.1,0,5720554.4,5435111.336,0.1
0.2,27.033486705644,5712140.3484019,5149668.272,0.2
0.3,50.886381304819,5686116.6298131,4864225.208,0.3
0.4,71.15818674347,5638186.0440126,4578782.144,0.4
0.5,87.917320120872,5568484.4809223,4293339.08,0.5
0.6,101.47622507721,5479438.2536212,4007896.016,0.6
0.7,112.22456228879,5374227.5975557,3722452.952,0.7
0.8,120.54434436934,5256033.4174638,3437009.888,0.8
0.9,126.77593999422,5127748.9772934,3151566.824,0.9
1,131.20882994084,4991907.6024727,2866123.76,1
1.1,134.08289961182,4850697.0285011,2691686.332,1.1
1.2,130.53036278835,4706813.9293995,2517248.904,1.2
1.3,126.81135794118,4562950.0166348,2342811.476,1.3
1.4,123.07807766562,4421092.9998719,2168374.048,1.4
1.5,119.40373271446,4282421.041664,1993936.62,1.5
1.6,115.80831876285,4147528.2018618,1819499.192,1.6
1.7,112.2833595991,4016672.228999,1645061.764,1.7
1.8,108.80763862798,3889944.6529376,1470624.336,1.8
1.9,105.35566206371,3767368.3998731,1296186.908,1.9
2,101.90186919043,3648949.6550716,1121749.48,2
2.1,98.422766117899,3534705.4878585,1056938.736,2.1
2.2,92.950523323251,3424702.8726766,992127.992,2.2
2.3,87.876585852334,3319084.9832252,927317.248,2.3
2.4,83.181580168419,3218001.8422929,862506.504,2.4
2.5,78.844863175206,3121526.996574,797695.76,2.5
2.6,74.841308631433,3029628.8875495,732885.016,2.6
2.7,71.142758688908,2942187.9052188,668074.272,2.7
2.8,67.720221360384,2859029.0139774,603263.528,2.8
2.9,64.545642304916,2779951.8267634,538452.784,2.9
3,61.593052757468,2704752.7593756,473642.04,3
3.1,58.839254530774,2633239.9996403,454336.712,3.1
3.2,55.895478405796,2565216.8210949,435031.384,3.2
3.3,53.172354111695,2500474.5648447,415726.056,3.3
3.4,50.648325271146,2438807.0109835,396420.728,3.4
3.5,48.305183493467,2380022.7615836,377115.4,3.5
3.6,46.126865505829,2323947.9303216,357810.072,3.6
3.7,44.09906230711,2270423.9150596,338504.744,3.7
3.8,42.208956466536,2219305.2212827,319199.416,3.8
3.9,40.444976430254,2170456.3626478,299894.088,3.9
4,38.796710421214,2123752.4970174,280588.76,4
4.1,37.254786350618,2079078.5222556,270936.096,4.1
4.2,35.759534262561,2036324.8686847,261283.432,4.2
4.3,34.358522355392,1995384.2182124,251630.768,4.3
4.4,33.043978488605,1956150.1045245,241978.104,4.4
4.5,31.808940421744,1918520.2217205,232325.44,4.5
4.6,30.647099347032,1882399.0943545,222672.776,4.6
4.7,29.552775809446,1847699.2782483,213020.112,4.7
4.8,28.520871898015,1814341.3901017,203367.448,4.8
4.9,27.546811089994,1782253.5582279,193714.784,4.9
5,26.626478398683,1751370.694568,184062.12,5
5.1,25.756166547896,1721633.7809292,179235.788,5.1
5.2,24.91395604047,1692988.17345,174409.456,5.2
5.3,24.116149520644,1665381.0159411,169583.124,5.3
5.4,23.359669790645,1638759.7610614,164756.792,5.4
5.5,22.641693102858,1613072.5304556,159930.46,5.5
5.6,21.959586001502,1588269.3335582,155104.128,5.6
5.7,21.310920413521,1564303.1388138,150277.796,5.7
5.8,20.6934773306,1541130.4435362,145451.464,5.8
5.9,20.105238086771,1518711.4032862,140625.132,5.9
6,19.544368741818,1497009.6895053,135798.8,6
6.1,19.009202229589,1475992.2168459,133730.372,6.1
6.2,18.489678146243,1455628.6782239,131661.944,6.2
6.3,17.993075860291,1435889.791987,129593.516,6.3
6.4,17.518019302421,1416746.8331461,127525.088,6.4
6.5,17.063230593873,1398171.1830167,125456.66,6.5
6.6,16.62749241162,1380134.726579,123388.232,6.6
6.7,16.209658974074,1362610.4350215,121319.804,6.7
6.8,15.808664479658,1345572.8222135,119251.376,6.8
6.9,15.423525465664,1328998.18776,117182.948,6.9
7,15.053338410504,1312864.6780296,115114.52,7
7.1,14.697274531569,1297152.2273466,114425.044,7.1
7.2,14.350837012451,1281842.3519716,113735.568,7.2
7.3,14.017072540908,1266917.7206093,113046.092,7.3
7.4,13.695308476579,1252361.6724521,112356.616,7.4
7.5,13.384922935543,1238157.9616516,111667.14,7.5
7.6,13.08532280927,1224290.7822578,110977.664,7.6
7.7,12.795946251242,1210744.9389998,110288.188,7.7
7.8,12.51626576281,1197506.0247157,109598.712,7.8
7.9,12.245789573089,1184560.5368476,108909.236,7.9
8,11.984061262699,1171895.9225846,108219.76,8
8.1,11.730658132441,1159500.5675668,108219.76,8.1
8.2,11.48349233574,1147364.8239556,108219.76,8.2
8.3,11.243897677819,1135477.5409643,108219.76,8.3
8.4,11.0115275732,1123829.2474559,108219.76,8.4
8.5,10.786063205965,1112410.8708092,108219.76,8.5
8.6,10.567201483849,1101213.6934782,108219.76,8.6
8.7,10.354654747558,1090229.3788828,108219.76,8.7
8.8,10.148151326142,1079450.0181839,108219.76,8.8
8.9,9.9474357895914,1068868.1661317,108219.76,8.9
9,9.7522687038678,1058476.8550512,108219.76,9
9.1,9.5624259667515,1048269.5882547,108219.76,9.1
9.2,9.37769787236,1038240.318566,108219.76,9.2
9.3,9.1978880401934,1028383.4179092,108219.76,9.3
9.4,9.022812308751,1018693.6426863,108219.76,9.4
9.5,8.8522976583625,1009166.0982092,108219.76,9.5
9.6,8.6861812003843,999796.20423697,108219.76,9.6
9.7,8.5243092508836,990579.66277645,108219.76,9.7
9.8,8.3665364947302,981512.42870461,108219.76,9.8
9.9,8.2127252387085,972590.68339042,108219.76,9.9
10,8.0627447482238,963810.81126489,108219.76,10
10.1,7.9164706602355,955169.37916089,107530.284,10.1
10.2,7.7753393989739,946662.35425714,106840.808,10.2
10.3,7.6376645721798,938287.42868716,106151.332,10.3
10.4,7.5033494078684,930041.70329038,105461.856,10.4
10.5,7.3722927617007,921922.5115238,104772.38,10.5
10.6,7.2443991521405,913927.42339857,104082.904,10.6
10.7,7.1195788355466,906054.21496576,103393.428,10.7
10.8,6.9977468726672,898300.81914208,102703.952,10.8
10.9,6.8788221366153,890665.27528292,102014.476,10.9
11,6.7627265014446,883145.68746158,101325,11
11.1,6.6493842569095,875740.19438392,101325,11.1
11.2,6.5372788872068,868447.60624654,101325,11.2
11.3,6.4278003056887,861265.39468577,101325,11.3
11.4,6.3208671627347,854191.66996061,101325,11.4
11.5,6.2164092004277,847224.46570723,101325,11.5
11.6,6.1143571449872,840361.71916954,101325,11.6
11.7,6.0146419751703,833601.27946455,101325,11.7
11.8,5.917195251657,826940.93598456,101325,11.8
11.9,5.8219496356924,820378.45375026,101325,11.9
12,5.7288393588833,813911.60613527,101325,12
12.1,5.6378005695672,807538.20064187,101325,12.1
12.2,5.548771550178,801256.09701312,101325,12.2
12.3,5.4616928268805,795063.21867412,101325,12.3
12.4,5.376507198838,788957.55900126,101325,12.4
12.5,5.2931597118654,782937.18385692,101325,12.5
12.6,5.2115975960328,777000.23156728,101325,12.6
12.7,5.1317701816046,771144.9112354,101325,12.7
12.8,5.0536288034265,765369.5000347,101325,12.8
12.9,4.9771267006139,759672.33993407,101325,12.9
13,4.9022189160369,754051.83416198,101325,13
13.1,4.8288621984277,748506.44361296,101325,13.1
13.2,4.7570149087921,743034.68332653,101325,13.2
13.3,4.6866369320286,737635.11911795,101325,13.3
13.4,4.6176895941431,732306.36440526,101325,13.4
13.5,4.5501355851187,727047.07725379,101325,13.5
13.6,4.4839388872908,721855.95764431,101325,13.6
13.7,4.4190647089561,716731.74496071,101325,13.7
13.8,4.3554794228798,711673.21568763,101325,13.8
13.9,4.293150509336,706679.18130497,101325,13.9
14,4.2320465033128,701748.48636432,101325,14
14.1,4.1721369455251,696880.0067323,101325,14.1
14.2,4.1133923368947,692072.64798563,101325,14.2
14.3,4.0557840961854,687325.34394363,101325,14.3
14.4,3.9992845205012,682637.05532472,101325,14.4
14.5,3.9438667483875,678006.76851449,101325,14.5
14.6,3.8895047252957,673433.49443401,101325,14.6
14.7,3.8361731711977,668916.26749816,101325,14.7
14.8,3.7838475501575,664454.14465468,101325,14.8
14.9,3.7325040416886,660046.20449569,101325,14.9
15,3.6821195137423,655691.54643428,101325,15
15.1,3.6326714971888,651389.28993944,101325,15.1
15.2,3.5841381616683,647138.57382361,101325,15.2
15.3,3.5364982927021,642938.55557751,101325,15.3
15.4,3.4897312699625,638788.41074754,101325,15.4
15.5,3.4438170466163,634687.3323518,101325,15.5
15.6,3.3987361296593,630634.53033084,101325,15.6
15.7,3.354469561171,626629.23103,101325,15.7
15.8,3.3109989004263,622670.67671039,101325,15.8
15.9,3.2683062068032,618758.12508597,101325,15.9
16,3.2263740234371,614890.8488844,101325,16
16.1,3.1851853615705,611068.13542957,101325,16.1
16.2,3.1447236855577,607289.28624409,101325,16.2
16.3,3.1049728984827,603553.61667003,101325,16.3
16.4,3.0659173283559,599860.45550644,101325,16.4
16.5,3.0275417148553,596209.14466244,101325,16.5
16.6,2.9898311965828,592599.03882467,101325,16.6
16.7,2.9527712988073,589029.50513792,101325,16.7
16.8,2.9163479216697,585499.9228983,101325,16.8
16.9,2.8805473288253,582009.68325775,101325,16.9
17,2.8453561365018,578558.18893945,101325,17
17.1,2.8107613029538,575144.85396316,101325,17.1
17.2,2.7767501182934,571769.10338011,101325,17.2
17.3,2.7433101946802,568430.37301669,101325,17.3
17.4,2.7104294568541,565128.10922653,101325,17.4
17.5,2.6780961329957,561861.76865045,101325,17.5
