time,CT13_1000_1,CT13_1000_2,CT13_1000_3,CT13_800_1,CT13_800_2,CT13_800_3,CT13_600_1,CT13_600_2,CT13_600_3,CT13_600_4,CT13_600_5,CT13_600_6
0,6988431,7022901,7009113,5747511,5650995,5740617,4175679,4258407,4368711,4341135,4472121,4279089
1,6919491,6864339,6740247,5547585,5340765,5602737,4086057,4182573,4217043,4127421,4341135,4127421
2,6726459,6554109,6409335,5278719,5016747,5306295,3824085,3982647,4010223,3851661,4134315,3927495
3,6526533,6236985,6078423,5002959,4727199,4996065,3624159,3713781,3796509,3651735,3920601,3727569
4,6319713,5933649,5781981,4768563,4499697,4699623,3431127,3520749,3548325,3458703,3658629,3486279
5,6085317,5706147,5506221,4499697,4210149,4479015,3244989,3320823,3369081,3251883,3472491,3293247
6,5926755,5402811,5230461,4306665,3996435,4189467,3038169,3162261,3210519,3100215,3307035,3148473
7,5719935,5189097,5009853,4113633,3796509,3982647,2900289,2969229,3010593,2914077,3100215,2955441
8,5575161,4975383,4803033,3920601,3555219,3782721,2748621,2831349,2865819,2776197,2962335,2824455
9,5382129,4720305,4547955,3706887,3362187,3548325,2603847,2686575,2679681,2631423,2776197,2686575
10,5251143,4534167,4361817,3562113,3210519,3355293,2459073,2541801,2534907,2486649,2624529,2541801
11,5113263,4334241,4182573,3369081,3010593,3217413,2328087,2403921,2397027,2348769,2486649,2403921
12,4961595,4175679,3975753,3238095,2872713,3017487,2183313,2272935,2307405,2210889,2348769,2272935
13,4816821,3968859,3824085,3086427,2741727,2879607,2093691,2135055,2162631,2073009,2259147,2128161
14,4672047,3824085,3631053,2948547,2590059,2693469,1962705,2038539,2024751,1990281,2121267,2045433
15,4534167,3631053,3493173,2810667,2452179,2548695,1866189,1907553,1942023,1893765,1976493,1948917
16,4403181,3500067,3300141,2679681,2321193,2410815,1776567,1817931,1852401,1755885,1900659,1817931
17,4265301,3355293,3162261,2534907,2176419,2328087,1680051,1728309,1755885,1659369,1804143,1728309
18,4120527,3210519,3024381,2445285,2038539,2190207,1590429,1631793,1659369,1611111,1714521,1659369
19,4030905,3072639,2886501,2314299,1955811,2052327,1507701,1549065,1569747,1521489,1624899,1576641
20,3899919,2934759,2741727,2224677,1866189,1962705,1424973,1466337,1487019,1438761,1535277,1493913
21,3810297,2803773,2658999,2128161,1769673,1873083,1349139,1383609,1404291,1362927,1452549,1424973
22,3672417,2665893,2521119,1983387,1673157,1728309,1273305,1307775,1328457,1287093,1376715,1356033
23,3589689,2576271,2431497,1935129,1583535,1680051,1204365,1238835,1259517,1218153,1300881,1287093
24,3444915,2438391,2293617,1845507,1493913,1583535,1142319,1169895,1190577,1156107,1231941,1225047
25,3362187,2355663,2197101,1755885,1418079,1500807,1080273,1107849,1128531,1094061,1163001,1163001
26,3272565,2259147,2107479,1673157,1342245,1418079,1025121,1052697,1066485,1032015,1100955,1107849
27,3176049,2162631,2010963,1597323,1266411,1342245,963075,990651,1004439,976863,1045803,1045803
28,3100215,2073009,1942023,1521489,1197471,1273305,914817,942393,956181,921711,990651,990651
29,3010593,1983387,1852401,1452549,1135425,1204365,866559,887241,901029,873453,935499,942393
30,2920971,1893765,1769673,1383609,1073379,1142319,818301,838983,852771,825195,887241,894135
31,2838243,1817931,1686945,1321563,1018227,1080273,776937,797619,811407,783831,838983,845877
32,2755515,1735203,1611111,1259517,963075,1018227,735573,756255,763149,742467,790725,797619
33,2672787,1659369,1542171,1197471,907923,963075,694209,714891,721785,701103,749361,756255
34,2596953,1590429,1473231,1142319,859665,914817,659739,673527,687315,666633,707997,721785
35,2521119,1521489,1404291,1087167,811407,866559,625269,639057,645951,632163,673527,680421
36,2452179,1452549,1342245,1038909,770043,818301,590799,604587,618375,597693,639057,645951
37,2376345,1390503,1280199,990651,728679,776937,563223,577011,583905,563223,604587,611481
38,2307405,1328457,1225047,949287,694209,735573,528753,542541,549435,535647,570117,583905
39,2238465,1273305,1169895,901029,659739,694209,501177,514965,521859,508071,542541,549435
40,2176419,1218153,1121637,859665,625269,659739,473601,487389,494283,480495,514965,521859
41,2114373,1169895,1066485,818301,590799,625269,452919,466707,473601,459813,487389,501177
42,2052327,1114743,1018227,783831,563223,590799,432237,439131,446025,432237,459813,473601
43,1990281,1066485,976863,749361,528753,563223,404661,418449,425343,411555,439131,452919
44,1935129,1025121,935499,714891,501177,535647,383979,397767,404661,390873,418449,425343
45,1879977,976863,894135,680421,480495,508071,370191,377085,383979,370191,397767,404661
46,1824825,935499,852771,645951,452919,480495,349509,356403,363297,349509,377085,383979
47,1769673,894135,811407,618375,432237,452919,328827,342615,342615,335721,356403,370191
48,1721415,859665,776937,590799,404661,432237,315039,321933,328827,315039,335721,349509
49,1673157,818301,742467,563223,383979,411555,301251,308145,308145,301251,321933,328827
50,1624899,783831,714891,542541,370191,390873,287463,294357,294357,287463,308145,315039
51,1576641,756255,680421,514965,349509,370191,273675,280569,280569,273675,294357,301251
52,1528383,721785,652845,494283,328827,349509,259887,266781,266781,259887,280569,287463
53,1487019,694209,625269,466707,315039,335721,246099,252993,252993,246099,266781,273675
54,1445655,659739,597693,446025,301251,315039,239205,239205,246099,239205,252993,259887
55,1404291,632163,570117,432237,287463,301251,225417,232311,232311,225417,239205,246099
56,1362927,604587,542541,411555,273675,287463,218523,218523,225417,218523,232311,239205
57,1328457,583905,521859,390873,259887,273675,204735,211629,211629,204735,218523,225417
58,1287093,556329,501177,377085,246099,259887,197841,204735,204735,197841,211629,218523
59,1252623,535647,480495,356403,239205,246099,190947,190947,197841,190947,197841,204735
60,1218153,514965,459813,342615,225417,239205,184053,184053,184053,184053,190947,197841
61,1183683,494283,439131,328827,218523,225417,177159,177159,177159,177159,184053,190947
62,1149213,473601,418449,315039,204735,218523,170265,170265,170265,170265,177159,184053
63,1114743,452919,397767,301251,197841,204735,163371,163371,170265,163371,170265,177159
64,1080273,432237,383979,287463,190947,197841,156477,156477,163371,156477,163371,170265
65,1052697,411555,370191,273675,184053,190947,149583,156477,156477,156477,156477,163371
66,1018227,397767,349509,266781,177159,184053,149583,149583,149583,149583,156477,156477
67,990651,383979,335721,252993,170265,177159,142689,149583,142689,142689,149583,149583
68,963075,363297,321933,246099,163371,170265,135795,142689,142689,142689,142689,149583
69,935499,349509,308145,232311,156477,163371,135795,135795,142689,135795,142689,149583
70,907923,335721,301251,225417,149583,156477,135795,135795,135795,135795,135795,142689
71,887241,321933,287463,218523,149583,149583,128901,135795,135795,135795,135795,135795
72,859665,308145,273675,204735,149583,149583,128901,128901,128901,128901,135795,135795
73,838983,301251,266781,197841,142689,142689,128901,128901,128901,128901,128901,128901
74,811407,287463,252993,190947,135795,142689,122007,128901,128901,122007,128901,128901
75,790725,273675,246099,184053,135795,135795,122007,122007,122007,122007,128901,128901
76,770043,266781,232311,177159,128901,135795,122007,122007,122007,122007,122007,122007
77,742467,252993,225417,170265,128901,128901,115113,122007,122007,122007,122007,122007
78,721785,246099,218523,170265,128901,128901,115113,115113,115113,115113,122007,122007
79,701103,232311,211629,163371,122007,128901,115113,115113,115113,115113,115113,122007
80,687315,225417,197841,156477,122007,122007,115113,115113,115113,115113,115113,115113
81,666633,218523,190947,149583,122007,122007,115113,115113,115113,115113,115113,115113
82,645951,211629,190947,149583,115113,122007,108219,108219,115113,108219,115113,115113
83,632163,204735,177159,149583,115113,115113,108219,108219,108219,108219,108219,115113
84,611481,197841,177159,142689,115113,115113,108219,108219,108219,108219,108219,108219
85,590799,190947,170265,135795,115113,115113,108219,108219,108219,108219,108219,108219
86,577011,184053,163371,135795,115113,115113,108219,108219,108219,108219,108219,108219
87,563223,177159,163371,128901,108219,115113,108219,108219,108219,108219,108219,108219
88,549435,170265,156477,128901,108219,108219,108219,108219,108219,108219,108219,108219
89,528753,163371,149583,128901,108219,108219,108219,108219,108219,101325,108219,108219
90,514965,163371,149583,122007,108219,108219,108219,108219,108219,101325,108219,108219
91,501177,156477,142689,122007,108219,108219,108219,108219,108219,101325,101325,108219
92,487389,156477,142689,122007,108219,108219,108219,101325,108219,101325,101325,108219
93,473601,149583,135795,122007,108219,108219,101325,101325,101325,101325,101325,108219
94,459813,142689,135795,115113,108219,108219,101325,101325,101325,101325,101325,108219
95,446025,142689,135795,115113,108219,108219,101325,101325,101325,101325,101325,101325
96,439131,142689,128901,115113,108219,108219,101325,101325,101325,101325,101325,101325
97,425343,135795,128901,115113,101325,108219,101325,101325,101325,101325,101325,101325
98,411555,135795,128901,115113,101325,101325,101325,101325,101325,101325,101325,101325
99,404661,128901,122007,108219,101325,101325,101325,101325,101325,101325,101325,101325
100,390873,128901,122007,108219,101325,101325,101325,101325,101325,101325,101325,101325
101,383979,128901,122007,108219,101325,101325,101325,101325,101325,101325,101325,101325
102,370191,122007,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325
103,363297,122007,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325
104,349509,122007,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325
105,342615,122007,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325
106,335721,115113,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325
107,321933,115113,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325
108,315039,115113,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325
109,308145,115113,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325
110,301251,115113,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
111,294357,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
112,287463,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
113,280569,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
114,266781,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
115,259887,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
116,259887,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
117,252993,108219,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325
118,246099,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
119,239205,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
120,232311,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
121,225417,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
122,218523,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
123,218523,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
124,211629,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
125,204735,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
126,197841,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
127,197841,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
128,190947,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
129,190947,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
130,184053,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
131,177159,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
132,177159,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
133,170265,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
134,170265,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
135,163371,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
136,163371,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
137,156477,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
138,156477,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
139,149583,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
140,149583,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
141,149583,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
142,142689,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
143,142689,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
144,142689,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
145,135795,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
146,135795,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
147,135795,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
148,128901,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
149,128901,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
150,128901,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
151,128901,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
152,122007,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
153,122007,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
154,122007,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
155,122007,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
156,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
157,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
158,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
159,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
160,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
161,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
162,115113,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
163,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
164,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
165,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
166,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
167,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
168,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
169,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
170,108219,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325,101325
