time,CT6_1000_1,CT6_1000_2,CT6_1000_3,CT6_600_1,CT6_600_2,CT6_600_3,CT6_800_1,CT6_800_2,CT6_800_3
0,7050477,7050477,7112523,4244619,4237725,4272195,5602737,5637207,5616525
1,6981537,6850551,6926385,4223937,4203255,4161891,5506221,5499327,5533797
2,6781611,6609261,6685095,4113633,4099845,4079163,5368341,5361447,5395917
3,6533427,6457593,6492063,4030905,4003329,3989541,5216673,5209779,5251143
4,6340395,6250773,6333501,3934389,3865449,3893025,5078793,5071899,5106369
5,6195621,6105999,6133575,3837873,3768933,3803403,4947807,4940913,4975383
6,5995695,5912967,6002589,3741357,3713781,3706887,4803033,4803033,4878867
7,5857815,5781981,5816451,3651735,3624159,3624159,4665153,4665153,4740987
8,5678571,5637207,5664783,3562113,3541431,3534537,4582425,4575531,4596213
9,5540691,5492433,5520009,3479385,3458703,3451809,4437651,4479015,4513485
10,5395917,5347659,5382129,3403551,3375975,3375975,4348029,4348029,4423863
11,5251143,5216673,5244249,3320823,3300141,3300141,4265301,4265301,4285983
12,5120157,5078793,5161521,3244989,3224307,3224307,4168785,4168785,4196361
13,4975383,4947807,5023641,3169155,3148473,3148473,4024011,4024011,4106739
14,4892655,4809927,4885761,3093321,3079533,3072639,3934389,3934389,4010223
15,4747881,4665153,4803033,3024381,3003699,3003699,3879237,3837873,3913707
16,4610001,4582425,4672047,2955441,2934759,2934759,3789615,3789615,3830979
17,4520379,4444545,4582425,2886501,2872713,2872713,3699993,3699993,3741357
18,4396287,4354923,4444545,2824455,2803773,2803773,3610371,3610371,3651735
19,4299771,4210149,4354923,2755515,2741727,2741727,3527643,3527643,3569007
20,4154997,4134315,4223937,2693469,2679681,2679681,3444915,3444915,3486279
21,4072269,4037799,4134315,2631423,2617635,2617635,3362187,3362187,3403551
22,3975753,3948177,4044693,2576271,2562483,2562483,3286353,3286353,3320823
23,3837873,3851661,3948177,2514225,2507331,2500437,3210519,3217413,3244989
24,3748251,3755145,3858555,2459073,2445285,2445285,3134685,3141579,3169155
25,3658629,3665523,3755145,2403921,2390133,2390133,3058851,3072639,3100215
26,3596583,3575901,3679311,2348769,2341875,2341875,2989911,2996805,3024381
27,3506961,3486279,3589689,2300511,2286723,2286723,2920971,2927865,2955441
28,3417339,3403551,3500067,2245359,2238465,2238465,2852031,2858925,2893395
29,3334611,3320823,3417339,2197101,2190207,2190207,2789985,2796879,2824455
30,3251883,3238095,3334611,2148843,2141949,2141949,2727939,2734833,2762409
31,3169155,3155367,3258777,2100585,2093691,2093691,2665893,2672787,2700363
32,3093321,3079533,3176049,2052327,2045433,2045433,2603847,2610741,2638317
33,3017487,3010593,3100215,2010963,2004069,2004069,2541801,2548695,2576271
34,2941653,2934759,3031275,1962705,1955811,1955811,2486649,2493543,2521119
35,2865819,2865819,2955441,1921341,1914447,1914447,2431497,2438391,2465967
36,2796879,2796879,2886501,1879977,1873083,1873083,2376345,2383239,2403921
37,2727939,2727939,2824455,1838613,1831719,1831719,2321193,2328087,2355663
38,2665893,2665893,2755515,1797249,1790355,1797249,2272935,2279829,2300511
39,2596953,2603847,2693469,1762779,1755885,1755885,2217783,2224677,2252253
40,2534907,2541801,2631423,1721415,1714521,1714521,2169525,2176419,2197101
41,2472861,2479755,2569377,1686945,1680051,1680051,2121267,2128161,2148843
42,2410815,2424603,2507331,1645581,1645581,1645581,2073009,2079903,2100585
43,2355663,2362557,2452179,1611111,1611111,1611111,2031645,2038539,2059221
44,2300511,2307405,2397027,1576641,1576641,1576641,1983387,1990281,2010963
45,2245359,2252253,2341875,1542171,1542171,1542171,1942023,1948917,1969599
46,2190207,2203995,2286723,1514595,1507701,1507701,1900659,1907553,1928235
47,2135055,2148843,2231571,1480125,1473231,1480125,1859295,1866189,1879977
