time,Re,inlet-p,outlet-p
0,0,6974643,7002980
0.1,0,6974643,6658242
0.2,27.695325479408,6965983.2429234,6313504
0.3,54.731640562481,6938734.0399963,5968766
0.4,78.028866042075,6887580.9385345,5624028
0.5,97.577891587783,6811884.2491559,5279290
0.6,113.63764109271,6713733.3144229,4934552
0.7,126.57400174648,6596325.1393783,4589814
0.8,136.76710914927,6463063.1297432,4245076
0.9,144.56838896563,6317155.5653944,3900338
1,150.28482920215,6161475.9786168,3555600
1.1,154.17622856076,5998542.1937041,3337725.6
1.2,151.04963122825,5831577.7583363,3119851.2
1.3,147.59491998931,5663686.0628075,2901976.8
1.4,143.98333023774,5497141.3300725,2684102.4
1.5,140.30481724154,5333346.643789,2466228
1.6,136.59476432486,5173080.8912355,2248353.6
1.7,132.85763334784,5016749.3687341,2030479.2
1.8,129.0822138258,4864556.5315485,1812604.8
1.9,125.25015662557,4716607.8547907,1594730.4
2,121.34038945055,4572965.2737662,1376856
2.1,117.33129410724,4433676.0171242,1301013.6
2.2,110.90243411563,4298980.2155104,1225171.2
2.3,104.91064542482,4169241.2385473,1149328.8
2.4,99.346386103662,4044764.3866834,1073486.4
2.5,94.191251285404,3925696.3088285,997644
2.6,89.41884203664,3812019.7989126,921801.6
2.7,84.997982029821,3703593.9748534,845959.2
2.8,80.895785930664,3600201.4043795,770116.8
2.9,77.079824112241,3501586.1661115,694274.4
3,73.519404256433,3407479.9897613,618432
3.1,70.186216515939,3317618.5561719,587405.6
3.2,66.718601222547,3231760.7501793,556379.2
3.3,63.493675899229,3149695.1406448,525352.8
3.4,60.491267248652,3071233.2613257,494326.4
3.5,57.693175384405,2996199.056486,463300
3.6,55.082639733715,2924422.5625943,432273.6
3.7,52.64403768359,2855734.8457089,401247.2
3.8,50.362953392246,2789972.4465106,370220.8
3.9,48.226069800149,2726976.319869,339194.4
4,46.22116813991,2666594.1704167,308168
4.1,44.337108452375,2608681.9776875,297825.8
4.2,42.483126547694,2553104.6793655,287483.6
4.3,40.741639191192,2499736.2532081,277141.4
4.4,39.104074885604,2448459.3849705,266799.2
4.5,37.562693606057,2399164.5069646,256457
4.6,36.110425062845,2351748.8472486,246114.8
4.7,34.740789624196,2306115.6695748,235772.6
4.8,33.447838754155,2262173.7531555,225430.4
4.9,32.226107116695,2219837.0566479,215088.2
5,31.0705721226,2179024.4880532,204746
5.1,29.976618264268,2139659.7197169,198540.8
