time,Re,inlet-p,outlet-p
0,0,6974643,7002980
0.1,0,6974643,6658242
0.2,4.2518874855654,6964960.8252373,6313504
0.3,8.3655768050156,6934055.9200479,5968766
0.4,11.860228487859,6876099.8322638,5624028
0.5,14.743924217542,6790982.7513626,5279290
0.6,17.071119280013,6681670.6631186,4934552
0.7,18.91134180242,6552166.2140536,4589814
0.8,20.33299611143,6406489.7624303,4245076
0.9,21.396915699338,6248290.5505743,3900338
1,22.154667436282,6080751.607297,3555600
1.1,22.648850672042,5906611.014574,3337725.6
1.2,22.07535361771,5729161.4015554,3119851.2
1.3,21.470846315697,5551712.2500428,2901976.8
1.4,20.86124613283,5376719.2390697,2684102.4
1.5,20.259227676516,5205636.0602132,2466228
1.6,19.668288915713,5039196.9936816,2248353.6
1.7,19.087096636654,4877729.5452716,2030479.2
1.8,18.512252123703,4721366.5862055,1812604.8
1.9,17.939784522586,4570166.4992556,1594730.4
2,17.365936461328,4424176.8662477,1376856
2.1,16.787663415056,4283469.6596602,1301013.6
2.2,15.828014371988,4148125.0570175,1225171.2
2.3,14.942744019812,4018296.4673856,1149328.8
2.4,14.126524780119,3894165.3065275,1073486.4
2.5,13.37535133253,3775832.2207534,997644
2.6,12.684693752256,3663266.9558865,921801.6
2.7,12.049549070941,3556323.8944996,845959.2
2.8,11.464798946546,3454783.2657352,770116.8
2.9,10.925532495911,3358390.8209442,694274.4
3,10.42726617499,3266887.2487886,618432
3.1,9.9660830280992,3180027.7889943,587405.6
3.2,9.475892688891,3097558.3734284,556379.2
3.3,9.0241934458054,3019205.3987942,525352.8
3.4,8.6067397557872,2944699.1524451,494326.4
3.5,8.2202470474304,2873794.0705882,463300
3.6,7.8619125700717,2806272.9405633,432273.6
3.7,7.5293007065051,2741942.9923365,401247.2
3.8,7.2202786661448,2680631.6214712,370220.8
3.9,6.932977529664,2622183.7678341,339194.4
4,6.6657689651351,2566460.7209116,308168
4.1,6.4172517071352,2513339.7796731,297825.8
4.2,6.1663365051962,2462701.6677992,287483.6
4.3,5.9322258300114,2414412.8909395,277141.4
4.4,5.7133620329642,2368324.3682852,266799.2
4.5,5.5084256597471,2324283.1739424,256457
4.6,5.3162175762869,2282144.0610345,246114.8
4.7,5.1356683267871,2241775.4867106,235772.6
4.8,4.9658358395665,2203061.1379755,225430.4
4.9,4.8058935575395,2165899.1326826,215088.2
5,4.6551157290522,2130200.3728449,204746
