pellet_1,pellet_2,pellet_3,pellet_4
0.008,0.0085,0.009,0.0095
0.008,0.0085,0.0095,0.009
0.008,0.009,0.0085,0.0095
0.008,0.009,0.0095,0.0085
0.008,0.0095,0.0085,0.009
0.008,0.0095,0.009,0.0085
0.0085,0.008,0.009,0.0095
0.0085,0.008,0.0095,0.009
0.0085,0.009,0.008,0.0095
0.0085,0.009,0.0095,0.008
0.0085,0.0095,0.008,0.009
0.0085,0.0095,0.009,0.008
0.009,0.008,0.0085,0.0095
0.009,0.008,0.0095,0.0085
0.009,0.0085,0.008,0.0095
0.009,0.0085,0.0095,0.008
0.009,0.0095,0.008,0.0085
0.009,0.0095,0.0085,0.008
0.0095,0.008,0.0085,0.009
0.0095,0.008,0.009,0.0085
0.0095,0.0085,0.008,0.009
0.0095,0.0085,0.009,0.008
0.0095,0.009,0.008,0.0085
0.0095,0.009,0.0085,0.008
