time,Re,inlet-p,outlet-p
0,0,4258407,4258407
1,0,4258407,3714179
2,3.858813511557,3962485.7352914,1432014
3,13.602798619392,2959967.5723906,590853
4,9.1735178335231,2205045.5565577,301273
5,5.8334390299947,1717232.0418775,204746
6,3.8969942065988,1395139.0923688,142694
7,2.7856025163318,1173355.4953312,122009
8,2.0712398368365,1011432.2673386,108220
9,1.5942765776309,887557.96488469,108220
10,1.2509883680522,788710.80762011,108220
11,1.0002686270772,707646.05960807,101325
12,0.81688163404262,640270.80876066,101325
13,0.67392778372991,583526.95540064,101325
14,0.56285082359078,535187.19682716,101325
15,0.47518680886472,493619.02385084,101325
16,0.40507242021776,457597.30803953,101325
17,0.34832498920208,426170.77931676,101325
18,0.30189903343172,398585.64541204,101325
19,0.263540704295,374236.42994833,101325
20,0.23155885973038,352631.91678823,101325
21,0.20466892848582,333370.33405979,101325
22,0.18188416667091,316120.70717704,101325
23,0.16243867846073,300608.58251773,101325
24,0.1457321735748,286604.96133461,101325
25,0.13128984148199,273917.64333572,101325
26,0.11873288132635,262384.40429984,101325
27,0.10775663323097,251867.58336465,101325
28,0.098114191713339,242249.76221337,101325
29,0.089604013350496,233430.29565608,101325
30,0.082060462813687,225322.5101147,101325
31,0.075346540377112,217851.42907948,101325
32,0.069348243143703,210951.9166445,101325
33,0.063974990227369,204572.97942735,101325
34,0.059140703071215,198658.18802697,101325
35,0.054777655484129,193163.92654501,101325
36,0.050828277267425,188051.71754159,101325
37,0.047243404218695,183287.50099997,101325
38,0.043980866013027,178841.02912127,101325
39,0.041004340060675,174685.35623684,101325
40,0.03828241615445,170796.40709634,101325
41,0.035787829176106,167152.61003584,101325
42,0.033496826560171,163734.58410271,101325
43,0.031388644396651,160524.87124554,101325
44,0.029445071565129,157507.70629239,101325
45,0.027650085550089,154668.81873486,101325
46,0.025989546896691,151995.26137845,101325
47,0.024450941853489,149475.26176535,101325
48,0.02302316478229,147098.09296365,101325
49,0.021696333522055,144853.96087959,101325
50,0.02046163216938,142733.90571046,101325
51,0.019311176755664,140729.71553572,101325
52,0.018237900116427,138833.85035744,101325
53,0.017235452904503,137039.37516169,101325
54,0.016298118229247,135339.90078835,101325
55,0.0154207378343,133729.53157786,101325
56,0.014598648077196,132202.81891432,101325
57,0.013827624260894,130754.71991133,101325
58,0.013103832102739,129380.56059405,101325
59,0.012423785320345,128076.00302098,101325
60,0.011784308474158,126837.01586569,101325
61,0.011182504339483,125659.84804362,101325
62,0.010615725191319,124541.0050244,101325
63,0.010081547477753,123477.22751737,101325
64,0.009577749434907,122465.47225837,101325
65,0.0091022912613717,121502.89466081,101325
66,0.0086532975246798,120586.83312342,101325
67,0.0082290415185334,119714.79481334,101325
68,0.0078279313285426,118884.44276486,101325
69,0.0074484973973923,118093.58415391,101325
70,0.0070893814085595,117340.15962461,101325
71,0.0067523876528099,116628.71637927,101325
72,0.0064329698916066,115950.34493612,101325
73,0.0061300765431,115303.37726596,101325
74,0.0058427304695545,114686.24118752,101325
75,0.0055700227251121,114097.45379266,101325
76,0.0053111069183965,113535.61542537,101325
77,0.0050651941205864,112999.40416024,101325
78,0.0048315482573249,112487.57072767,101325
79,0.0046094819305157,111998.93383899,101325
80,0.0043983526234275,111532.37587165,101325
81,0.0041975592487546,111086.83888066,101325
82,0.0040065390043666,110661.32090662,101325
83,0.0038247645056843,110254.8725545,101325
84,0.0036517411671658,109866.59381972,101325
85,0.0034870048084449,109495.63114072,101325
86,0.0033301194633253,109141.17465908,101325
87,0.0031806753721757,108802.45567003,101325
88,0.0030382871403332,108478.74424788,101325
89,0.0029025920469463,108169.3470323,101325
90,0.0027732484903062,107873.60516257,101325
91,0.0026499345571481,107590.89234827,101325
92,0.0025323467046771,107320.61306579,101325
93,0.0024201985452072,107062.20087095,101325
94,0.0023132197243085,106815.11681904,101325
95,0.0022111548842566,106578.84798418,101325
96,0.0021137627053798,106352.90607069,101325
97,0.0020208150186161,106136.8261097,101325
98,0.0019320959832322,105930.16523499,101325
99,0.0018474013242286,105732.50153226,101325
100,0.0017665376244713,105543.43295683,101325
101,0.0016893216670491,105362.57631481,101325
102,0.0016155798237707,105189.56630366,101325
103,0.0015451474860887,105024.05460786,101325
104,0.00147786853507,104865.70904612,101325
105,0.0014135948473375,104714.21276674,101325
106,0.0013521858341783,104569.2634879,101325
107,0.0012935080112579,104430.57277999,101325
108,0.0012374345966064,104297.86538736,101325
109,0.001183845134738,104170.87858688,101325
110,0.0011326251449526,104049.36158111,101325
111,0.001083665792028,103933.07492395,101325
112,0.0010368635776643,103821.78997658,101325
113,0.00099212005117676,103715.28839223,101325
114,0.00094934153805486,103613.36162762,101325
115,0.00090843888512122,103515.81047989,101325
116,0.0008693272211221,103422.44464721,101325
117,0.00083192573167661,103333.08231185,101325
118,0.00079615744759631,103247.54974447,101325
119,0.00076194904566289,103165.68092822,101325
120,0.00072923066102386,103087.31720175,101325
121,0.00070078048845031,103019.12777358,101325
122,0.00067345430965582,102953.58978275,101325
123,0.00064720665344531,102890.59914186,101325
124,0.00062199397045494,102830.05592976,101325
125,0.00059777454473648,102771.8642162,101325
126,0.00057450841031629,102715.93189538,101325
127,0.00055215727229684,102662.17052774,101325
128,0.00053068443212315,102610.49518913,101325
129,0.00051005471667234,102560.82432694,101325
130,0.0004902344108762,102513.07962255,101325
131,0.00047119119363541,102467.18585977,101325
132,0.00045289407682123,102423.07079881,101325
133,0.00043531334718757,102380.66505567,101325
134,0.00041842051103387,102339.90198661,101325
135,0.00040218824147285,102300.7175774,101325
136,0.00038659032816719,102263.05033731,101325
137,0.00037160162940739,102226.84119746,101325
138,0.00035719802641088,102192.03341341,101325
139,0.00034335637972863,102158.5724719,101325
140,0.00033005448765235,102126.40600137,101325
141,0.00031727104652083,102095.48368622,101325
142,0.00030498561282988,102065.75718463,101325
143,0.00029317856705536,102037.18004979,101325
144,0.00028183107910432,102009.70765433,101325
145,0.00027092507531285,101983.29711788,101325
146,0.00026044320691524,101957.90723764,101325
147,0.00025036881991181,101933.49842169,101325
148,0.00024068592626772,101910.03262516,101325
149,0.00023137917637807,101887.47328887,101325
150,0.00022243383273861,101865.78528057,101325
151,0.00021383574476437,101844.93483847,101325
152,0.00020557132470157,101824.88951717,101325
153,0.00019762752458143,101805.61813567,101325
154,0.00018999181416659,101787.09072752,101325
155,0.00018265215984417,101769.27849303,101325
156,0.00017559700442135,101752.1537533,101325
157,0.00016881524778164,101735.68990616,101325
158,0.0001622962283627,101719.86138389,101325
159,0.00015602970541793,101704.64361262,101325
160,0.00015000584202625,101690.01297327,101325
161,0.00014421518881626,101675.94676421,101325
162,0.00013864866837276,101662.42316528,101325
163,0.00013329756029494,101649.42120326,101325
164,0.00012815348687725,101636.92071878,101325
165,0.00012320839938549,101624.90233447,101325
166,0.00011845456490153,101613.34742444,101325
167,0.00011388455371207,101602.23808487,101325
168,0.0001094912272173,101591.5571059,101325
169,0.00010526772633694,101581.28794448,101325
170,0.00010120746039218,101571.41469847,101325
171,9.7304096442702e-05,101561.92208154,101325
