time,inlet-p
0,5617133
1,5610238.24
2,5555080.16
3,5444764
4,5355132.12
5,5279289.76
6,5196552.64
7,5113815.52
8,5031078.4
9,4955236.04
10,4886288.44
11,4817340.84
12,4741498.48
13,4672550.88
14,4603603.28
15,4534655.68
16,4465708.08
17,4403655.24
18,4334707.64
19,4272654.8
20,4210601.96
21,4148549.12
22,4093391.04
23,4031338.2
24,3976180.12
25,3921022.04
26,3865863.96
27,3810705.88
28,3755547.8
29,3700389.72
30,3652126.4
31,3603863.08
32,3548705
33,3500441.68
34,3452178.36
35,3403915.04
36,3362546.48
37,3314283.16
38,3272914.6
39,3224651.28
40,3183282.72
41,3141914.16
42,3100545.6
43,3059177.04
44,3024703.24
45,2983334.68
46,2941966.12
47,2907492.32
48,2866123.76
49,2831649.96
50,2797176.16
51,2762702.36
52,2728228.56
53,2693754.76
54,2659280.96
55,2631701.92
56,2597228.12
57,2562754.32
58,2535175.28
59,2500701.48
60,2473122.44
61,2445543.4
62,2417964.36
63,2390385.32
64,2355911.52
65,2335227.24
66,2307648.2
67,2280069.16
68,2252490.12
69,2224911.08
70,2204226.8
71,2176647.76
72,2149068.72
73,2128384.44
74,2107700.16
75,2080121.12
76,2059436.84
77,2038752.56
78,2011173.52
79,1990489.24
80,1969804.96
81,1949120.68
82,1928436.4
83,1907752.12
84,1887067.84
85,1866383.56
86,1852594.04
87,1831909.76
88,1811225.48
89,1790541.2
90,1776751.68
91,1756067.4
92,1742277.88
93,1721593.6
94,1707804.08
95,1687119.8
96,1673330.28
97,1652646
98,1638856.48
99,1625066.96
100,1611277.44
101,1590593.16
102,1576803.64
103,1563014.12
104,1549224.6
105,1535435.08
106,1521645.56
107,1507856.04
108,1494066.52
109,1480277
110,1466487.48
111,1452697.96
112,1438908.44
113,1425118.92
114,1411329.4
115,1397539.88
116,1390645.12
117,1376855.6
118,1363066.08
119,1349276.56
120,1342381.8
121,1328592.28
122,1321697.52
123,1307908
124,1294118.48
125,1287223.72
126,1273434.2
127,1266539.44
128,1252749.92
129,1245855.16
130,1232065.64
131,1225170.88
132,1211381.36
133,1204486.6
134,1190697.08
135,1183802.32
136,1176907.56
137,1163118.04
138,1156223.28
139,1149328.52
140,1135539
141,1128644.24
142,1121749.48
143,1114854.72
144,1101065.2
145,1094170.44
146,1087275.68
147,1080380.92
148,1073486.16
149,1066591.4
150,1052801.88
151,1045907.12
152,1039012.36
153,1032117.6
154,1025222.84
155,1018328.08
156,1011433.32
157,1004538.56
158,997643.8
159,990749.04
160,983854.28
161,976959.52
162,970064.76
163,963170
164,956275.24
165,949380.48
166,942485.72
167,935590.96
168,928696.2
169,921801.44
170,921801.44
171,914906.68
172,908011.92
173,901117.16
174,894222.4
175,887327.64
176,880432.88
177,880432.88
178,873538.12
179,866643.36
180,859748.6
181,852853.84
182,845959.08
183,845959.08
184,839064.32
185,832169.56
186,832169.56
187,825274.8
188,818380.04
189,818380.04
190,811485.28
191,804590.52
192,797695.76
193,797695.76
194,790801
195,783906.24
196,783906.24
197,777011.48
198,770116.72
199,770116.72
200,763221.96
201,763221.96
202,756327.2
203,749432.44
204,749432.44
205,742537.68
206,735642.92
207,735642.92
208,728748.16
209,728748.16
210,721853.4
211,714958.64
212,714958.64
213,708063.88
214,708063.88
215,701169.12
216,694274.36
217,694274.36
218,694274.36
219,687379.6
220,687379.6
221,680484.84
222,673590.08
223,673590.08
224,673590.08
225,666695.32
226,666695.32
227,659800.56
228,652905.8
229,652905.8
230,652905.8
231,646011.04
232,646011.04
233,646011.04
234,639116.28
235,639116.28
236,632221.52
237,632221.52
238,625326.76
239,625326.76
240,625326.76
241,618432
242,618432
243,611537.24
244,611537.24
245,604642.48
246,604642.48
247,604642.48
248,597747.72
249,597747.72
250,590852.96
251,590852.96
252,590852.96
253,583958.2
254,583958.2
255,577063.44
256,577063.44
257,577063.44
258,570168.68
259,570168.68
260,563273.92
261,563273.92
262,563273.92
263,556379.16
264,556379.16
265,556379.16
266,549484.4
267,549484.4
268,549484.4
269,542589.64
270,542589.64
271,542589.64
272,535694.88
273,535694.88
274,535694.88
275,528800.12
276,528800.12
277,528800.12
278,521905.36
279,521905.36
280,521905.36
281,515010.6
282,515010.6
283,515010.6
284,508115.84
285,508115.84
286,508115.84
287,508115.84
288,501221.08
289,501221.08
290,501221.08
291,494326.32
292,494326.32
293,494326.32
294,487431.56
295,487431.56
296,487431.56
297,487431.56
298,480536.8
299,480536.8
300,480536.8
301,480536.8
302,473642.04
303,473642.04
304,473642.04
305,473642.04
306,466747.28
