particle_diameter_1,particle_diameter_2
9e-06,5e-08
9e-06,9.473684210526316e-08
9e-06,1.3947368421052632e-07
9e-06,1.8421052631578946e-07
9e-06,2.2894736842105262e-07
9e-06,2.736842105263158e-07
9e-06,3.184210526315789e-07
9e-06,3.631578947368421e-07
9e-06,4.0789473684210524e-07
9e-06,4.526315789473684e-07
9e-06,4.973684210526316e-07
9e-06,5.421052631578948e-07
9e-06,5.868421052631579e-07
9e-06,6.31578947368421e-07
9e-06,6.763157894736841e-07
9e-06,7.210526315789474e-07
9e-06,7.657894736842105e-07
9e-06,8.105263157894736e-07
9e-06,8.552631578947367e-07
9e-06,9e-07
1.1157894736842106e-05,5e-08
1.1157894736842106e-05,9.473684210526316e-08
1.1157894736842106e-05,1.3947368421052632e-07
1.1157894736842106e-05,1.8421052631578946e-07
1.1157894736842106e-05,2.2894736842105262e-07
1.1157894736842106e-05,2.736842105263158e-07
1.1157894736842106e-05,3.184210526315789e-07
1.1157894736842106e-05,3.631578947368421e-07
1.1157894736842106e-05,4.0789473684210524e-07
1.1157894736842106e-05,4.526315789473684e-07
1.1157894736842106e-05,4.973684210526316e-07
1.1157894736842106e-05,5.421052631578948e-07
1.1157894736842106e-05,5.868421052631579e-07
1.1157894736842106e-05,6.31578947368421e-07
1.1157894736842106e-05,6.763157894736841e-07
1.1157894736842106e-05,7.210526315789474e-07
1.1157894736842106e-05,7.657894736842105e-07
1.1157894736842106e-05,8.105263157894736e-07
1.1157894736842106e-05,8.552631578947367e-07
1.1157894736842106e-05,9e-07
1.3315789473684211e-05,5e-08
1.3315789473684211e-05,9.473684210526316e-08
1.3315789473684211e-05,1.3947368421052632e-07
1.3315789473684211e-05,1.8421052631578946e-07
1.3315789473684211e-05,2.2894736842105262e-07
1.3315789473684211e-05,2.736842105263158e-07
1.3315789473684211e-05,3.184210526315789e-07
1.3315789473684211e-05,3.631578947368421e-07
1.3315789473684211e-05,4.0789473684210524e-07
1.3315789473684211e-05,4.526315789473684e-07
1.3315789473684211e-05,4.973684210526316e-07
1.3315789473684211e-05,5.421052631578948e-07
1.3315789473684211e-05,5.868421052631579e-07
1.3315789473684211e-05,6.31578947368421e-07
1.3315789473684211e-05,6.763157894736841e-07
1.3315789473684211e-05,7.210526315789474e-07
1.3315789473684211e-05,7.657894736842105e-07
1.3315789473684211e-05,8.105263157894736e-07
1.3315789473684211e-05,8.552631578947367e-07
1.3315789473684211e-05,9e-07
1.5473684210526316e-05,5e-08
1.5473684210526316e-05,9.473684210526316e-08
1.5473684210526316e-05,1.3947368421052632e-07
1.5473684210526316e-05,1.8421052631578946e-07
1.5473684210526316e-05,2.2894736842105262e-07
1.5473684210526316e-05,2.736842105263158e-07
1.5473684210526316e-05,3.184210526315789e-07
1.5473684210526316e-05,3.631578947368421e-07
1.5473684210526316e-05,4.0789473684210524e-07
1.5473684210526316e-05,4.526315789473684e-07
1.5473684210526316e-05,4.973684210526316e-07
1.5473684210526316e-05,5.421052631578948e-07
1.5473684210526316e-05,5.868421052631579e-07
1.5473684210526316e-05,6.31578947368421e-07
1.5473684210526316e-05,6.763157894736841e-07
1.5473684210526316e-05,7.210526315789474e-07
1.5473684210526316e-05,7.657894736842105e-07
1.5473684210526316e-05,8.105263157894736e-07
1.5473684210526316e-05,8.552631578947367e-07
1.5473684210526316e-05,9e-07
1.763157894736842e-05,5e-08
1.763157894736842e-05,9.473684210526316e-08
1.763157894736842e-05,1.3947368421052632e-07
1.763157894736842e-05,1.8421052631578946e-07
1.763157894736842e-05,2.2894736842105262e-07
1.763157894736842e-05,2.736842105263158e-07
1.763157894736842e-05,3.184210526315789e-07
1.763157894736842e-05,3.631578947368421e-07
1.763157894736842e-05,4.0789473684210524e-07
1.763157894736842e-05,4.526315789473684e-07
1.763157894736842e-05,4.973684210526316e-07
1.763157894736842e-05,5.421052631578948e-07
1.763157894736842e-05,5.868421052631579e-07
1.763157894736842e-05,6.31578947368421e-07
1.763157894736842e-05,6.763157894736841e-07
1.763157894736842e-05,7.210526315789474e-07
1.763157894736842e-05,7.657894736842105e-07
1.763157894736842e-05,8.105263157894736e-07
1.763157894736842e-05,8.552631578947367e-07
1.763157894736842e-05,9e-07
1.9789473684210525e-05,5e-08
1.9789473684210525e-05,9.473684210526316e-08
1.9789473684210525e-05,1.3947368421052632e-07
1.9789473684210525e-05,1.8421052631578946e-07
1.9789473684210525e-05,2.2894736842105262e-07
