time,CT4_600_1,CT4_600_2,CT4_600_3,CT4_800_1,CT4_800_2,CT4_800_3,CT4_1000_1,CT4_1000_2
0,4348029,4582425,4334241,5616525,5623419,5899179,6981537,7050477
1,4203255,4561743,4327347,5609631,5595843,5844027,6933279,6905703
2,4113633,4458333,4272195,5554479,5485539,5713041,6802293,6774717
3,3982647,4320453,4168785,5444175,5395917,5623419,6657519,6685095
4,3893025,4230831,4072269,5354553,5306295,5533797,6567897,6554109
5,3817191,4141209,3982647,5278719,5223567,5437281,6430017,6457593
6,3734463,4044693,3899919,5195991,5133945,5354553,6340395,6312819
7,3651735,3955071,3817191,5113263,5051217,5271825,6202515,6230091
8,3569007,3872343,3734463,5030535,4968489,5182203,6112893,6133575
9,3493173,3789615,3658629,4954701,4892655,5106369,6023271,6043953
10,3417339,3706887,3582795,4885761,4816821,5023641,5926755,5954331
11,3348399,3631053,3513855,4816821,4740987,4947807,5857815,5857815
12,3272565,3548325,3444915,4740987,4665153,4871973,5761299,5775087
13,3203625,3479385,3375975,4672047,4596213,4796139,5671677,5685465
14,3134685,3403551,3307035,4603107,4527273,4720305,5588949,5595843
15,3065745,3334611,3238095,4534167,4458333,4651365,5499327,5513115
16,3003699,3265671,3176049,4465227,4389393,4582425,5416599,5430387
17,2941653,3196731,3114003,4403181,4320453,4513485,5333871,5347659
18,2879607,3134685,3058851,4334241,4258407,4444545,5251143,5264931
19,2817561,3065745,2996805,4272195,4196361,4382499,5175309,5189097
20,2762409,3010593,2941653,4210149,4134315,4313559,5099475,5106369
21,2707257,2948547,2879607,4148103,4072269,4251513,5023641,5030535
22,2652105,2886501,2831349,4092951,4010223,4189467,4947807,4961595
23,2596953,2831349,2776197,4030905,3955071,4127421,4871973,4885761
24,2541801,2776197,2721045,3975753,3899919,4065375,4803033,4816821
25,2493543,2721045,2672787,3920601,3837873,4010223,4734093,4740987
26,2445285,2665893,2624529,3865449,3782721,3955071,4672047,4672047
27,2397027,2617635,2576271,3810297,3734463,3899919,4603107,4610001
28,2348769,2569377,2528013,3755145,3679311,3844767,4534167,4541061
29,2300511,2521119,2486649,3699993,3624159,3789615,4472121,4479015
30,2252253,2472861,2438391,3651735,3575901,3734463,4410075,4410075
31,2210889,2424603,2397027,3603477,3527643,3679311,4341135,4348029
32,2169525,2383239,2355663,3548325,3479385,3631053,4285983,4285983
33,2128161,2334981,2314299,3500067,3431127,3582795,4223937,4230831
34,2086797,2293617,2272935,3451809,3382869,3534537,4161891,4168785
35,2045433,2252253,2231571,3403551,3334611,3486279,4106739,4113633
36,2010963,2210889,2197101,3362187,3286353,3438021,4051587,4058481
37,1969599,2169525,2155737,3313929,3244989,3389763,3996435,4003329
38,1935129,2135055,2121267,3272565,3203625,3341505,3941283,3948177
39,1900659,2093691,2086797,3224307,3155367,3300141,3886131,3893025
40,1866189,2059221,2052327,3182943,3114003,3251883,3830979,3837873
41,1831719,2017857,2017857,3141579,3072639,3210519,3782721,3789615
42,1797249,1983387,1983387,3100215,3031275,3169155,3727569,3741357
43,1769673,1948917,1948917,3058851,2989911,3127791,3679311,3686205
44,1735203,1914447,1921341,3024381,2955441,3086427,3631053,3637947
45,1707627,1886871,1886871,2983017,2914077,3045063,3582795,3596583
46,1673157,1852401,1859295,2941653,2879607,3003699,3534537,3548325
47,1645581,1817931,1824825,2907183,2845137,2969229,3493173,3500067
48,1618005,1790355,1797249,2865819,2803773,2927865,3444915,3458703
49,1590429,1762779,1769673,2831349,2769303,2893395,3403551,3410445
50,1562853,1728309,1742097,2796879,2734833,2858925,3355293,3369081
51,1535277,1700733,1714521,2762409,2700363,2817561,3313929,3327717
52,1514595,1673157,1686945,2727939,2665893,2783091,3272565,3286353
53,1487019,1645581,1666263,2693469,2631423,2748621,3231201,3244989
54,1459443,1624899,1638687,2658999,2603847,2714151,3189837,3203625
55,1438761,1597323,1618005,2631423,2569377,2679681,3148473,3162261
56,1411185,1569747,1590429,2596953,2534907,2652105,3114003,3127791
57,1390503,1549065,1569747,2562483,2507331,2617635,3072639,3093321
58,1369821,1521489,1542171,2534907,2479755,2590059,3038169,3065745
59,1349139,1500807,1521489,2500437,2445285,2555589,2996805,3031275
60,1328457,1473231,1500807,2472861,2417709,2528013,2962335,2996805
61,1307775,1452549,1480125,2445285,2390133,2493543,2927865,2962335
62,1287093,1431867,1459443,2417709,2362557,2465967,2893395,2934759
63,1266411,1411185,1438761,2390133,2334981,2438391,2858925,2900289
64,1245729,1390503,1418079,2355663,2307405,2410815,2824455,2872713
65,1225047,1369821,1397397,2334981,2279829,2376345,2789985,2845137
66,1211259,1349139,1376715,2307405,2252253,2348769,2755515,2810667
67,1190577,1328457,1362927,2279829,2224677,2328087,2721045,2776197
68,1176789,1307775,1342245,2252253,2203995,2300511,2693469,2748621
69,1156107,1293987,1321563,2224677,2176419,2272935,2658999,2714151
70,1142319,1273305,1307775,2203995,2155737,2245359,2631423,2686575
71,1121637,1252623,1287093,2176419,2128161,2224677,2603847,2658999
72,1107849,1238835,1273305,2148843,2107479,2197101,2569377,2624529
73,1094061,1218153,1252623,2128161,2079903,2169525,2541801,2596953
74,1073379,1204365,1238835,2107479,2059221,2148843,2514225,2569377
75,1059591,1183683,1225047,2079903,2038539,2121267,2486649,2541801
76,1045803,1169895,1204365,2059221,2017857,2100585,2459073,2514225
77,1032015,1156107,1190577,2038539,1990281,2079903,2431497,2486649
78,1018227,1135425,1176789,2010963,1969599,2059221,2403921,2459073
79,1004439,1121637,1163001,1990281,1948917,2031645,2376345,2438391
80,990651,1107849,1149213,1969599,1928235,2010963,2355663,2410815
81,976863,1094061,1135425,1948917,1907553,1990281,2328087,2390133
82,963075,1080273,1121637,1928235,1886871,1969599,2300511,2362557
83,949287,1066485,1107849,1907553,1866189,1948917,2279829,2334981
84,935499,1052697,1094061,1886871,1852401,1928235,2252253,2314299
85,921711,1038909,1080273,1866189,1831719,1907553,2231571,2286723
86,914817,1025121,1066485,1852401,1811037,1886871,2203995,2259147
87,901029,1011333,1052697,1831719,1790355,1866189,2183313,2238465
88,887241,997545,1038909,1811037,1776567,1852401,2162631,2217783
89,880347,990651,1032015,1790355,1755885,1831719,2141949,2190207
90,866559,976863,1018227,1776567,1742097,1811037,2114373,2169525
91,852771,963075,1004439,1755885,1721415,1797249,2093691,2148843
92,845877,949287,997545,1742097,1707627,1776567,2073009,2128161
93,832089,942393,983757,1721415,1686945,1755885,2052327,2107479
94,825195,928605,969969,1707627,1673157,1742097,2031645,2086797
95,811407,914817,963075,1686945,1652475,1721415,2010963,2066115
96,804513,907923,949287,1673157,1638687,1707627,1990281,2045433
97,797619,894135,942393,1652475,1624899,1693839,1976493,2024751
98,783831,887241,928605,1638687,1604217,1673157,1955811,2004069
99,776937,873453,921711,1624899,1590429,1659369,1935129,1983387
100,770043,866559,907923,1611111,1576641,1645581,1914447,1969599
101,756255,852771,901029,1590429,1562853,1624899,1900659,1948917
102,749361,845877,887241,1576641,1549065,1611111,1879977,1928235
103,742467,838983,880347,1562853,1535277,1597323,1859295,1914447
104,735573,825195,873453,1549065,1514595,1583535,1845507,1893765
105,721785,818301,866559,1535277,1500807,1569747,1824825,1873083
106,714891,811407,852771,1521489,1487019,1555959,1811037,1859295
107,707997,797619,845877,1507701,1473231,1535277,1797249,1838613
108,701103,790725,838983,1493913,1459443,1521489,1776567,1824825
109,694209,783831,832089,1480125,1452549,1507701,1762779,1811037
110,687315,776937,818301,1466337,1438761,1493913,1742097,1790355
111,680421,763149,811407,1452549,1424973,1480125,1728309,1776567
112,673527,756255,804513,1438761,1411185,1473231,1714521,1755885
113,659739,749361,797619,1424973,1397397,1459443,1700733,1742097
114,652845,742467,790725,1411185,1383609,1445655,1680051,1728309
115,645951,735573,783831,1397397,1376715,1431867,1666263,1714521
116,639057,728679,770043,1390503,1362927,1418079,1652475,1700733
117,632163,721785,763149,1376715,1349139,1404291,1638687,1680051
118,632163,714891,756255,1362927,1342245,1397397,1624899,1666263
119,625269,707997,749361,1349139,1328457,1383609,1611111,1659369
120,618375,701103,742467,1342245,1314669,1369821,1597323,1645581
121,611481,694209,735573,1328457,1307775,1362927,1583535,1638687
122,604587,680421,728679,1321563,1293987,1349139,1569747,1624899
123,597693,680421,721785,1307775,1280199,1335351,1555959,1611111
124,590799,673527,714891,1293987,1273305,1328457,1542171,1597323
125,583905,666633,707997,1287093,1259517,1314669,1528383,1583535
126,583905,659739,701103,1273305,1252623,1300881,1514595,1569747
127,577011,652845,694209,1266411,1238835,1293987,1507701,1555959
128,570117,645951,694209,1252623,1231941,1280199,1493913,1542171
129,563223,639057,687315,1245729,1218153,1273305,1480125,1528383
130,556329,632163,680421,1231941,1211259,1259517,1466337,1514595
131,556329,625269,673527,1225047,1204365,1252623,1459443,1507701
132,549435,625269,666633,1211259,1190577,1238835,1445655,1493913
133,542541,618375,659739,1204365,1183683,1231941,1431867,1480125
134,535647,611481,652845,1190577,1176789,1225047,1424973,1466337
135,535647,604587,645951,1183683,1163001,1211259,1411185,1459443
136,528753,597693,645951,1176789,1156107,1204365,1397397,1445655
137,528753,590799,639057,1163001,1149213,1197471,1390503,1431867
138,521859,590799,632163,1156107,1135425,1183683,1376715,1424973
139,514965,583905,625269,1149213,1128531,1176789,1369821,1411185
140,508071,577011,625269,1135425,1121637,1169895,1356033,1404291
141,508071,570117,618375,1128531,1114743,1156107,1349139,1390503
142,501177,570117,611481,1121637,1100955,1149213,1335351,1383609
143,494283,563223,604587,1114743,1094061,1142319,1328457,1369821
144,494283,556329,604587,1100955,1087167,1128531,1314669,1362927
145,487389,556329,597693,1094061,1080273,1121637,1307775,1349139
146,480495,549435,590799,1087167,1073379,1114743,1293987,1342245
147,480495,542541,590799,1080273,1059591,1107849,1287093,1328457
148,480495,542541,583905,1073379,1052697,1100955,1280199,1321563
149,473601,535647,577011,1066485,1045803,1094061,1266411,1314669
150,466707,528753,577011,1052697,1038909,1080273,1259517,1300881
151,466707,528753,570117,1045803,1032015,1073379,1252623,1293987
152,459813,521859,563223,1038909,1025121,1066485,1238835,1280199
153,459813,514965,563223,1032015,1018227,1059591,1231941,1273305
154,452919,514965,556329,1025121,1011333,1052697,1225047,1266411
155,446025,508071,556329,1018227,1004439,1045803,1218153,1252623
156,446025,508071,549435,1011333,997545,1038909,1204365,1245729
157,446025,501177,542541,1004439,990651,1032015,1197471,1238835
158,439131,494283,542541,997545,983757,1025121,1190577,1231941
