time,Re,inlet-p,outlet-p
0,0,5685465,5685465
1,0,5685465,2866123.76
2,6.6013851234535,5685176.4921655,1121749.48
3,8.5329731091993,5683093.3880186,473642.04
4,8.8220535027291,5676765.8612558,280588.76
5,8.8328093375359,5664414.6545854,184062.12
6,8.794773870492,5645790.7068628,135798.8
7,8.7301838856512,5621906.4973709,115114.52
8,8.6494867770647,5594357.4870216,108219.76
9,8.5602536863365,5564730.8360932,108219.76
10,8.4674976792711,5534275.6978763,108219.76
11,8.3750430847216,5503814.0951459,101325
12,8.2857783854442,5473809.4152879,101325
13,8.1977399837978,5444496.1712251,101325
14,8.112426514304,5415973.9012774,101325
15,8.0298652913283,5388257.5239111,101325
16,7.9499285764192,5361309.2326003,101325
17,7.872405410495,5335063.821605,101325
18,7.7970572936574,5309446.3724847,101325
19,7.7236502748416,5284382.6965494,101325
20,7.6519704957627,5259804.553864,101325
21,7.5818299223202,5235651.6962242,101325
22,7.513066882717,5211872.1905376,101325
23,7.4455441579327,5188421.9080496,101325
24,7.3791461231,5165263.6717608,101325
25,7.3137757030178,5142366.3178749,101325
26,7.2493514993712,5119703.7945301,101325
27,7.185805233738,5097254.3501743,101325
28,7.123079543243,5074999.8276459,101325
29,7.0611261152703,5052925.0624683,101325
30,6.9999041266459,5031017.3761728,101325
31,6.9393789464462,5009266.1528042,101325
32,6.8795210623276,4987662.4865626,101325
33,6.8203051940058,4966198.8894332,101325
34,6.7617095622418,4944869.0489741,101325
35,6.7037152864354,4923667.6278226,101325
36,6.6463058882894,4902590.0977895,101325
37,6.5894668828147,4881632.6025752,101325
38,6.5331854411974,4860791.8441466,101325
39,6.4774501127734,4840064.988663,101325
40,6.4222505956189,4819449.5885535,101325
41,6.3675775471403,4798943.517939,101325
42,6.3134224275843,4778544.9190846,101325
43,6.2597773706535,4758252.1579707,101325
44,6.2066350764565,4738063.78741,101325
45,6.153988722867,4717978.5164071,101325
46,6.1018318920679,4697995.1846899,101325
47,6.0501585096291,4678112.7415257,101325
48,5.9989627939357,4658330.2280897,101325
49,5.9482392141709,4638646.7627811,101325
50,5.8979824553724,4619061.5289851,101325
51,5.8481873893427,4599573.7648678,101325
52,5.7988490504066,4580182.7548601,101325
53,5.7499626151837,4560887.822546,101325
54,5.7015233856925,4541688.3247203,101325
55,5.6535267752166,4522583.64642,101325
56,5.6059682964641,4503573.1967658,101325
57,5.558843551634,4484656.4054815,101325
58,5.5121482240661,4465832.719976,101325
59,5.4658780712099,4447101.6028972,101325
60,5.4200289186903,4428462.5300792,101325
61,5.3745966552881,4409914.988818,101325
62,5.329577228683,4391458.4764224,101325
63,5.2849666418324,4373092.4989951,101325
64,5.2407609498819,4354816.5704063,101325
65,5.196956257519,4336630.211429,101325
66,5.1535487166994,4318532.9490091,101325
67,5.110534524683,4300524.3156501,101325
68,5.0679099223313,4282603.8488917,101325
69,5.0256711926227,4264771.09087,101325
70,4.9838146593514,4247025.5879436,101325
71,4.9423366859811,4229366.890377,101325
72,4.901233674628,4211794.5520718,101325
73,4.8605020651528,4194308.1303373,101325
74,4.8201383343461,4176907.1856955,101325
75,4.7801389951909,4159591.2817141,101325
76,4.7405005961914,4142359.9848638,101325
77,4.7012197207579,4125212.8643959,101325
78,4.6622929866393,4108149.4922369,101325
79,4.6237170453963,4091169.4428974,101325
80,4.5854885819085,4074272.2933937,101325
81,4.5476043139123,4057457.6231793,101325
82,4.5100609915633,4040725.0140855,101325
83,4.4728553970209,4024074.050269,101325
84,4.4359843440522,4007504.3181666,101325
85,4.399444677652,3991015.4064543,101325
86,4.3632332736771,3974606.9060117,101325
87,4.3273470384935,3958278.4098896,101325
88,4.2917829086346,3942029.5132819,101325
89,4.2565378504686,3925859.8134988,101325
90,4.2216088598756,3909768.909944,101325
91,4.1869929619317,3893756.4040928,101325
92,4.1526872106005,3877821.8994724,101325
93,4.1186886884307,3861965.0016434,101325
94,4.0849945062599,3846185.3181834,101325
95,4.0516018029229,3830482.4586703,101325
96,4.0185077449662,3814856.0346678,101325
97,3.9857095263656,3799305.6597113,101325
98,3.9532043682492,3783830.9492939,101325
99,3.9209895186237,3768431.5208542,101325
100,3.8890622521045,3753106.9937634,101325
101,3.8574198696498,3737856.9893138,101325
102,3.826059698298,3722681.1307069,101325
103,3.7949790909075,3707579.0430427,101325
104,3.7641754259012,3692550.3533084,101325
105,3.7336461070122,3677594.6903681,101325
106,3.7033885630342,3662711.6849522,101325
107,3.673400247573,3647900.9696476,101325
108,3.6436786388024,3633162.1788873,101325
109,3.6142212392213,3618494.9489408,101325
110,3.5850255754143,3603898.9179045,101325
111,3.556089197815,3589373.725692,101325
112,3.5274096804706,3574919.0140247,101325
113,3.4989846208106,3560534.4264228,101325
114,3.4708116394167,3546219.6081956,101325
115,3.4428883797952,3531974.2064326,101325
116,3.4152125081528,3517797.8699948,101325
117,3.3877817131728,3503690.2495052,101325
118,3.3605937057956,3489650.9973402,101325
119,3.333646219,3475679.7676209,101325
120,3.3069370075871,3461776.2162039,101325
121,3.2804638479668,3447940.0006734,101325
122,3.2542245379458,3434170.7803318,101325
123,3.2282168965181,3420468.2161915,101325
124,3.2024387636577,3406831.9709664,101325
125,3.1768880001129,3393261.7090634,101325
126,3.1515624872029,3379757.096574,101325
127,3.1264601266169,3366317.8012659,101325
128,3.1015788402142,3352943.4925748,101325
129,3.0769165698273,3339633.8415959,101325
130,3.0524712770662,3326388.521076,101325
131,3.0282409431249,3313207.2054053,101325
132,3.0042235685901,3300089.5706088,101325
133,2.9804171732514,3287035.294339,101325
134,2.9568197959135,3274044.0558673,101325
135,2.9334294942103,3261115.5360761,101325
136,2.9102443444209,3248249.4174509,101325
137,2.8872624412871,3235445.3840725,101325
138,2.8644818978334,3222703.1216089,101325
139,2.8419008451879,3210022.3173079,101325
140,2.8195174324054,3197402.6599887,101325
141,2.7973298262925,3184843.8400345,101325
142,2.7753362112342,3172345.549385,101325
143,2.7535347890216,3159907.4815282,101325
144,2.7319237786828,3147529.3314932,101325
145,2.7105014163137,3135210.7958425,101325
146,2.6892659549118,3122951.5726644,101325
147,2.6682156642109,3110751.3615655,101325
148,2.647348830518,3098609.863663,101325
149,2.6266637565511,3086526.7815779,101325
150,2.6061587612795,3074501.8194268,101325
151,2.5858321797646,3062534.6828151,101325
152,2.5656823630032,3050625.0788294,101325
153,2.5457076777721,3038772.7160304,101325
154,2.5259065064737,3026977.3044454,101325
155,2.5062772469839,3015238.5555612,101325
156,2.4868183125011,3003556.1823171,101325
157,2.4675281313965,2991929.8990974,101325
158,2.4484051470664,2980359.4217245,101325
159,2.4294478177855,2968844.4674518,101325
160,2.4106546165619,2957384.7549568,101325
161,2.3920240309932,2945980.0043335,101325
162,2.3735545631246,2934629.9370864,101325
163,2.3552447293079,2923334.2761226,101325
164,2.3370930600621,2912092.7457456,101325
165,2.3190980999351,2900905.0716479,101325
166,2.3012584073673,2889770.9809046,101325
167,2.2835725545559,2878690.2019663,101325
168,2.2660391273213,2867662.4646525,101325
169,2.2486567249738,2856687.5001448,101325
170,2.2314239601829,2845765.0409802,101325
171,2.2143394588464,2834894.8210443,101325
172,2.1974018599622,2824076.5755651,101325
173,2.1806098155004,2813310.0411057,101325
174,2.1639619902771,2802594.9555584,101325
175,2.1474570618294,2791931.0581379,101325
176,2.1310937202912,2781318.0893746,101325
177,2.1148706682714,2770755.7911085,101325
178,2.0987866207313,2760243.9064823,101325
179,2.0828403048656,2749782.1799355,101325
180,2.0670304599825,2739370.3571976,101325
181,2.0513558373863,2729008.1852822,101325
182,2.0358152002606,2718695.41248,101325
183,2.0204073235525,2708431.7883533,101325
184,2.0051309938588,2698217.0637291,101325
185,1.9899850093119,2688050.9906934,101325
186,1.9749681794683,2677933.3225845,101325
187,1.9600793251972,2667863.8139872,101325
188,1.9453172785708,2657842.2207267,101325
189,1.930680882755,2647868.2998622,101325
190,1.9161689919019,2637941.809681,101325
191,1.9017804710429,2628062.5096924,101325
192,1.8875141959832,2618230.1606219,101325
193,1.8733690531968,2608444.524405,101325
194,1.8593439397231,2598705.3641811,101325
195,1.8454377630642,2589012.4442881,101325
196,1.8316494410834,2579365.5302559,101325
197,1.8179779019044,2569764.3888009,101325
198,1.8044220838118,2560208.7878202,101325
199,1.7909809351523,2550698.4963854,101325
200,1.7776534142376,2541233.2847374,101325
201,1.7644384892467,2531812.9242802,101325
202,1.7513351381311,2522437.1875751,101325
203,1.7383423485193,2513105.8483356,101325
204,1.7254591176235,2503818.681421,101325
205,1.7126844521459,2494575.4628314,101325
206,1.7000173681876,2485375.9697015,101325
207,1.6874568911564,2476219.9802955,101325
208,1.6750020556776,2467107.2740014,101325
209,1.6626519055036,2458037.6313251,101325
210,1.6504054934263,2449010.8338857,101325
211,1.638261881189,2440026.664409,101325
212,1.6262201393998,2431084.9067231,101325
213,1.6142793474457,2422185.345752,101325
214,1.6024385934074,2413327.7675111,101325
215,1.5906969739752,2404511.959101,101325
216,1.5790535943658,2395737.7087028,101325
217,1.5675075682392,2387004.8055725,101325
218,1.5560580176174,2378313.0400356,101325
219,1.5447040728035,2369662.2034821,101325
220,1.5334448723009,2361052.0883612,101325
221,1.5222795627348,2352482.4881758,101325
222,1.5112072987727,2343953.1974777,101325
223,1.5002272430474,2335464.0118621,101325
224,1.4893385660794,2327014.7279629,101325
225,1.4785404462007,2318605.1434469,101325
226,1.4678320694794,2310235.0570094,101325
227,1.4572126296446,2301904.2683689,101325
228,1.4466813280127,2293612.5782618,101325
229,1.4362383117104,2285360.5312252,101325
230,1.4258818431678,2277147.1802653,101325
231,1.4156111462326,2268972.3291958,101325
232,1.4054254520491,2260835.782828,101325
233,1.3953239989867,2252737.3469665,101325
234,1.3853060325698,2244676.8284035,101325
235,1.3753708054089,2236654.0349145,101325
236,1.3655175771319,2228668.7752534,101325
237,1.3557456143163,2220720.8591474,101325
238,1.3460541904227,2212810.0972926,101325
239,1.3364425857277,2204936.3013488,101325
240,1.3269100872583,2197099.2839352,101325
241,1.3174559887269,2189298.8586252,101325
242,1.3080795904668,2181534.8399422,101325
243,1.298780199368,2173807.0433543,101325
244,1.2895571288144,2166115.2852703,101325
245,1.2804096986208,2158459.3830346,101325
246,1.271337234971,2150839.1549226,101325
247,1.2623390703566,2143254.4201364,101325
248,1.253414543516,2135704.9987999,101325
249,1.2445629993739,2128190.7119545,101325
250,1.2357837889825,2120711.3815545,101325
251,1.2270762694615,2113266.8304623,101325
252,1.2184398039404,2105856.8824445,101325
253,1.2098737615003,2098481.3621669,101325
254,1.2013775171164,2091140.0951904,101325
255,1.1929504516016,2083832.9079662,101325
256,1.1845919515503,2076559.6278319,101325
257,1.1763014092823,2069320.0830068,101325
258,1.1680782227883,2062114.1025877,101325
259,1.1599217956748,2054941.5165441,101325
260,1.1518315371105,2047802.1557148,101325
261,1.1438068617724,2040695.8518026,101325
262,1.1358471897933,2033622.4373709,101325
263,1.1279519467089,2026581.7458386,101325
264,1.1201205634059,2019573.6114767,101325
265,1.1123524760711,2012597.8694034,101325
266,1.1046471261396,2005654.3555805,101325
267,1.0970039602451,1998742.9068086,101325
268,1.0894224301696,1991863.3607236,101325
269,1.0819019927941,1985015.555792,101325
270,1.0744421100493,1978199.3313071,101325
271,1.0670422488678,1971414.527385,101325
272,1.0597018811351,1964660.9849601,101325
273,1.0524204836432,1957938.5457815,101325
274,1.0451975380423,1951247.0524088,101325
275,1.0380325307953,1944586.348208,101325
276,1.0309249531309,1937956.2773475,101325
277,1.0238743009981,1931356.6847944,101325
278,1.016880075021,1924787.4163102,101325
279,1.0099417804539,1918248.318447,101325
280,1.0030589271369,1911739.2385437,101325
281,0.99623102945198,1905260.0247217,101325
282,0.98945760627953,1898810.5258817,101325
283,0.98273818095512,1892390.5916992,101325
284,0.97607228122691,1886000.0726209,101325
285,0.96945943921338,1879638.819861,101325
286,0.96289919136143,1873306.685397,101325
287,0.95639107840503,1867003.5219664,101325
288,0.94993464532408,1860729.1830627,101325
289,0.94352944130385,1854483.5229316,101325
290,0.93717501969471,1848266.3965671,101325
291,0.93087093797228,1842077.6597084,101325
292,0.92461675769801,1835917.1688355,101325
293,0.91841204448003,1829784.7811658,101325
294,0.91225636793457,1823680.3546507,101325
295,0.90614930164752,1817603.7479713,101325
296,0.90009042313661,1811554.8205356,101325
297,0.89407931381376,1805533.4324741,101325
298,0.88811555894789,1799539.4446369,101325
299,0.88219874762811,1793572.7185894,101325
300,0.87632847272723,1787633.1166093,101325
301,0.8705043308656,1781720.501683,101325
302,0.86472592237537,1775834.7375018,101325
303,0.85899285126506,1769975.6884586,101325
304,0.85330472518449,1764143.2196442,101325
305,0.84766115539001,1758337.1968442,101325
306,0.84206175671014,1752557.4865352,101325
307,0.83650614751146,1746803.9558813,101325
308,0.83099394966495,1741076.4727311,101325
309,0.8255247885125,1735374.905614,101325
310,0.82009829283391,1729699.1237365,101325
311,0.81471409481408,1724048.9969796,101325
312,0.80937183001059,1718424.3958947,101325
313,0.8040711373216,1712825.1917006,101325
314,0.79881165895403,1707251.2562801,101325
315,0.79359304039202,1701702.4621767,101325
316,0.78841493036582,1696178.6825915,101325
317,0.78327698082082,1690679.7913793,101325
318,0.77817884688702,1685205.6630461,101325
319,0.77312018684873,1679756.1727453,101325
