Date,,Test 1,Time1,Pressure,P_1,Test 2,Time,Pressure,,Test 3,Time,Pressure,,Test 4,Time4,Pressure,P_4,Test 5,Time,Pressure,,Test 6,Time,Pressure,,Test 7,Time,Pressure,,Test 8,Time8,Pressure,P_8,Test 9,Time,Pressure
4/5/23,,3.27 pm,0,1008,7050477,3.35 pm,0,1008,,3.43 pm,0,1017,,3.50 pm,0,601,4244619,3.58 pm,0,600,,4.05 pm,0,605,,4.12 pm,0,798,,4.20 pm,0,803,5637207,4.27pm,0,800
,,,1,998,6981537,,1,979,,,1,990,,,1,598,4223937,,1,595,,,1,589,,,1,784,,,1,783,5499327,,1,788
Control tube 6,,,2,969,6781611,,2,944,,,2,955,,,2,582,4113633,,2,580,,,2,577,,,2,764,,,2,763,5361447,,2,768
,,,3,933,6533427,,3,922,,,3,927,,,3,570,4030905,,3,566,,,3,564,,,3,742,,,3,741,5209779,,3,747
,,,4,905,6340395,,4,892,,,4,904,,,4,556,3934389,,4,546,,,4,550,,,4,722,,,4,721,5071899,,4,726
,,,5,884,6195621,,5,871,,,5,875,,,5,542,3837873,,5,532,,,5,537,,,5,703,,,5,702,4940913,,5,707
,,,6,855,5995695,,6,843,,,6,856,,,6,528,3741357,,6,524,,,6,523,,,6,682,,,6,682,4803033,,6,693
,,,7,835,5857815,,7,824,,,7,829,,,7,515,3651735,,7,511,,,7,511,,,7,662,,,7,662,4665153,,7,673
,,,8,809,5678571,,8,803,,,8,807,,,8,502,3562113,,8,499,,,8,498,,,8,650,,,8,649,4575531,,8,652
,,,9,789,5540691,,9,782,,,9,786,,,9,490,3479385,,9,487,,,9,486,,,9,629,,,9,635,4479015,,9,640
,,,10,768,5395917,,10,761,,,10,766,,,10,479,3403551,,10,475,,,10,475,,,10,616,,,10,616,4348029,,10,627
,,,11,747,5251143,,11,742,,,11,746,,,11,467,3320823,,11,464,,,11,464,,,11,604,,,11,604,4265301,,11,607
,,,12,728,5120157,,12,722,,,12,734,,,12,456,3244989,,12,453,,,12,453,,,12,590,,,12,590,4168785,,12,594
,,,13,707,4975383,,13,703,,,13,714,,,13,445,3169155,,13,442,,,13,442,,,13,569,,,13,569,4024011,,13,581
,,,14,695,4892655,,14,683,,,14,694,,,14,434,3093321,,14,432,,,14,431,,,14,556,,,14,556,3934389,,14,567
,,,15,674,4747881,,15,662,,,15,682,,,15,424,3024381,,15,421,,,15,421,,,15,548,,,15,542,3837873,,15,553
