time,Re,inlet-p,outlet-p,time
0,0,7002980,7002980,0
0.1,0,7002980,6658242,0.1
0.2,29.180624007847,6994567.2129451,6313504,0.2
0.3,55.253404779138,6968125.3819513,5968766,0.3
0.4,77.780864217769,6918476.9292581,5624028,0.4
0.5,96.747076278552,6844933.5011468,5279290,0.5
0.6,112.38617179356,6749443.1400958,4934552,0.6
0.7,125.03431164807,6635044.5928022,4589814,0.7
0.8,135.04385424122,6505002.0009586,4245076,0.8
0.9,142.74296562101,6362413.5831143,3900338,0.9
1,148.42032315729,6210070.9374236,3555600,1
1.1,152.32196341752,6050433.6394791,3337725.6,1.1
1.2,149.43105267034,5886523.8230929,3119851.2,1.2
1.3,146.18772281374,5721328.1780388,2901976.8,1.3
1.4,142.75892759236,5557123.1630538,2684102.4,1.4
1.5,139.23838258414,5395368.3289423,2466228,1.5
1.6,135.66721114616,5236906.720994,2248353.6,1.6
1.7,132.0555568887,5082198.8907484,2030479.2,1.7
1.8,128.39738765017,4931494.0042897,1812604.8,1.8
1.9,124.67919715123,4784934.9249696,1594730.4,1.9
2,120.88485877088,4642617.9555799,1376856,2
2.1,116.99852866808,4504626.3842204,1301013.6,2.1
2.2,110.74987865363,4371159.755003,1225171.2,2.2
2.3,104.92334314859,4242516.2628625,1149328.8,2.3
2.4,99.503350587521,4118965.4257126,1073486.4,2.4
2.5,94.472418711324,4000654.4966324,997644,2.5
2.6,89.807020720483,3887589.3777738,921801.6,2.6
2.7,85.47945061037,3779661.453542,845959.2,2.7
2.8,81.460341863239,3676687.2264247,770116.8,2.8
2.9,77.72068813537,3578443.4915803,694274.4,2.9
3,74.233205157214,3484693.178076,618432,3
3.1,70.973208846442,3395202.6678379,587405.6,3.1
3.2,67.56602313373,3309747.1135831,556379.2,3.2
3.3,64.400248230073,3228113.6708943,525352.8,3.3
3.4,61.453901166216,3150102.9922124,494326.4,3.4
3.5,58.708605572649,3075527.9510429,463300,3.5
3.6,56.147865746541,3004211.4393133,432273.6,3.6
3.7,53.75672048787,2935984.9988433,401247.2,3.7
3.8,51.521603705295,2870688.645763,370220.8,3.8
3.9,49.430281165976,2808171.4668111,339194.4,3.9
4,47.471824877341,2748292.5049272,308168,4
4.1,45.63661430364,2690921.6607093,297825.8,4.1
4.2,43.812728607474,2635935.4767765,287483.6,4.2
4.3,42.101051104559,2583211.8086619,277141.4,4.3
4.4,40.492750530083,2532628.6549106,266799.2,4.4
4.5,38.979995469878,2484066.0916055,256457,4.5
4.6,37.555554081427,2437409.071092,246114.8,4.6
4.7,36.212807526533,2392549.480151,235772.6,4.7
4.8,34.945743594942,2349387.1283823,225430.4,4.8
4.9,33.748923863407,2307829.9116787,215088.2,4.9
5,32.617437858532,2267793.4933649,204746,5
5.1,31.546854209392,2229200.7649166,198540.8,5.1
5.2,30.516251200833,2191980.5612035,192335.6,5.2
5.3,29.538758140784,2156066.0060809,186130.4,5.3
5.4,28.610952161054,2121393.3825322,179925.2,5.4
5.5,27.729668446642,2087901.8225798,173720,5.5
5.6,26.891949939871,2055533.5174575,167514.8,5.6
5.7,26.095055816809,2024234.0501462,161309.6,5.7
5.8,25.336461529658,1993952.618919,155104.4,5.8
5.9,24.613851180585,1964642.0899774,148899.2,5.9
6,23.92510529628,1936258.9065769,142694,6
6.1,23.268286555424,1908762.9074521,139936.1,6.1
6.2,22.629201060725,1882116.7138046,137178.2,6.2
6.3,22.017978743369,1856284.7139626,134420.3,6.3
6.4,21.433183147676,1831232.174242,131662.4,6.4
6.5,20.873409435301,1806924.8663318,128904.5,6.5
6.6,20.337280050852,1783329.189105,126146.6,6.6
6.7,19.823471775106,1760412.542196,123388.7,6.7
6.8,19.330732100761,1738143.7226333,120630.8,6.8
6.9,18.857887415574,1716493.2200327,117872.9,6.9
7,18.403845354118,1695433.376924,115115,7
7.1,17.967593241622,1674938.4304377,114425.5,7.1
7.2,17.541469556003,1654984.5102479,113736,7.2
7.3,17.130916084959,1635548.6669026,113046.5,7.3
7.4,16.735237773561,1616608.9662324,112357,7.4
7.5,16.353738619224,1598144.0102842,111667.5,7.5
7.6,15.985723673212,1580132.8878186,110978,7.6
7.7,15.630515677323,1562555.295433,110288.5,7.7
7.8,15.287465344254,1545391.7226877,109599,7.8
7.9,14.955957357865,1528623.6211059,108909.5,7.9
8,14.635413314006,1512233.5184827,108220,8
8.1,14.325292436455,1496205.0712028,108220,8.1
8.2,14.023099092009,1480523.0403408,108220,8.2
8.3,13.730268711079,1465173.1902399,108220,8.3
8.4,13.446399078782,1450142.1494473,108220,8.4
8.5,13.17110498479,1435417.2880915,108220,8.5
8.6,12.904015044205,1420986.6412088,108220,8.6
8.7,12.644774480741,1406838.8757644,108220,8.7
8.8,12.393046513538,1392963.282981,108220,8.8
8.9,12.148512846933,1379349.7773448,108220,8.9
9,11.910873562464,1365988.8905005,108220,9
9.1,11.679846583522,1352871.7553545,107530.5,9.1
9.2,11.456933693497,1339990.0913041,106841,9.2
9.3,11.240163425853,1327336.2040718,106151.5,9.3
9.4,11.029283839674,1314902.9941918,105462,9.4
9.5,10.824060407076,1302683.9535206,104772.5,9.5
9.6,10.624279877663,1290673.1347849,104083,9.6
9.7,10.429746412993,1278865.0943518,103393.5,9.7
9.8,10.24027843268,1267254.8189531,102704,9.8
9.9,10.055706122879,1255837.6491326,102014.5,9.9
10,9.8758694621368,1244609.2089206,101325,10
10.1,9.7006166794297,1233565.3466876,101325,10.1
10.2,9.5282126166388,1222702.0828935,101325,10.2
10.3,9.3600758260278,1212015.5559165,101325,10.3
10.4,9.1960844054486,1201501.9659564,101325,10.4
10.5,9.036122168689,1191157.5278042,101325,10.5
10.6,8.8800714658966,1180978.4436574,101325,10.6
10.7,8.7278145608356,1170960.8991894,101325,10.7
10.8,8.5792348597747,1161101.0781094,101325,10.8
10.9,8.4342178388381,1151395.1869931,101325,10.9
11,8.2926517413527,1141839.4827663,101325,11
11.1,8.1544280794425,1132430.2976772,101325,11.1
11.2,8.0194419642801,1123164.0591451,101325,11.2
11.3,7.8875922919352,1114037.3037611,101325,11.3
11.4,7.7587818140523,1105046.6858278,101325,11.4
11.5,7.6329171216694,1096188.9813394,101325,11.5
11.6,7.5099085671069,1087461.0884393,101325,11.6
11.7,7.3896701443553,1078860.025323,101325,11.7
11.8,7.2721193438312,1070382.9264055,101325,11.8
11.9,7.1571769932959,1062027.0373957,101325,11.9
12,7.044767093376,1053789.7097638,101325,12
12.1,6.9348166534959,1045668.3949521,101325,12.1
