time,Re,inlet-p,outlet-p
0,0,4293339,4293339
0.1,0,4293339,4235423
0.2,2.1939815952234,4278698.3772925,4177507
0.3,3.069710429115,4256498.2621195,4119591
0.4,3.6601349993645,4228897.3069684,4061675
0.5,4.0980632123183,4197185.0291247,4003759
0.6,4.4387449150524,4162234.1375306,3945843
0.7,4.7115871366602,4124672.3401278,3887927
0.8,4.9343842428498,4084970.4474676,3830011
0.9,5.1188209949971,4043492.804743,3772095
1,5.2730221966519,4000528.272365,3714179
1.1,5.4028814686825,3956310.2832925,3485962.5
1.2,6.7457927639879,3908748.7726187,3257746
1.3,7.8540487046663,3855526.5151132,3029529.5
1.4,8.76334714706,3795936.4694988,2801313
1.5,9.4995836271643,3730336.6597832,2573096.5
1.6,10.090073940169,3659483.1449928,2344880
1.7,10.557487812649,3584220.7774798,2116663.5
1.8,10.919093565877,3505374.0484904,1888447
1.9,11.187574477482,3423718.7527088,1660230.5
2,11.371891678638,3339985.6231952,1432014
2.1,11.477817787768,3254873.9496829,1347897.9
2.2,11.356385357116,3168853.4799782,1263781.8
2.3,11.199334770352,3082238.159848,1179665.7
2.4,11.012497752918,2995487.5200177,1095549.6
2.5,10.803111772666,2909175.6982964,1011433.5
2.6,10.577985052892,2823851.9705718,927317.4
2.7,10.342326014147,2739968.8754934,843201.3
2.8,10.099523797277,2657876.6089696,759085.2
2.9,9.8513358372781,2577846.8724245,674969.1
3,9.598095635518,2500104.3439803,590853
3.1,9.3387596450296,2424858.5954602,561895
3.2,9.0514295862773,2352240.4924775,532937
3.3,8.7756172135886,2282193.7130951,503979
3.4,8.5093159655087,2214587.595099,475021
3.5,8.2509466274471,2149321.8486107,446063
3.6,7.9994773853447,2086342.5811247,417105
3.7,7.7542265281962,2025626.8487818,388147
3.8,7.514622344768,1967169.5833563,359189
3.9,7.2800508491844,1910978.1284802,330231
4,7.0497677134671,1857071.9412673,301273
4.1,6.8228349135418,1805485.1973479,291620.3
4.2,6.6010350733598,1756213.4001604,281967.6
4.3,6.3936984539904,1709122.2381709,272314.9
4.4,6.19916829764,1664016.3469081,262662.2
4.5,6.015521268106,1620705.977395,253009.5
4.6,5.8410102929679,1579034.7051148,243356.8
4.7,5.6742150947751,1538881.0286796,233704.1
4.8,5.5140230168579,1500152.4379015,224051.4
4.9,5.3595684935536,1462778.9796715,214398.7
5,5.2101733306048,1426708.0025441,204746
5.1,5.0652972208135,1391900.1996914,198540.8
5.2,4.9258941332633,1358310.6397125,192335.6
5.3,4.7929288615837,1325873.3769283,186130.4
5.4,4.6656185514213,1294515.9110431,179925.2
5.5,4.5432043522304,1264173.9454962,173720
5.6,4.4250442552681,1234795.8660906,167514.8
5.7,4.3106290148494,1206341.8390985,161309.6
5.8,4.1995620221589,1178781.5686147,155104.4
5.9,4.0915330770807,1152092.1746241,148899.2
6,3.9862953170291,1126256.5216643,142694
6.1,3.8836469479733,1101261.9905056,140625.5
6.2,3.7860855988774,1077074.3300592,138557
6.3,3.6946643900218,1053622.10056,136488.5
6.4,3.6083682979973,1030821.6393976,134420
6.5,3.5261998176451,1008598.8717139,132351.5
6.6,3.4473335908607,986895.67193696,130283
6.7,3.3711421842336,965668.56758116,128214.5
6.8,3.2971661223147,944885.55833828,126146
6.9,3.2250745416825,924523.10828861,124077.5
7,3.1546309615008,904563.77280193,122009
7.1,3.0856667993297,884994.44013826,120630.1
7.2,3.018421700501,865801.28750973,119251.2
7.3,2.952969423197,846967.00807065,117872.3
7.4,2.8890758329198,828474.1901052,116493.4
7.5,2.8265380044655,810308.12493748,115114.5
7.6,2.7651975932299,792457.36740002,113735.6
7.7,2.7049379350212,774913.26156317,112356.7
7.8,2.6456752773965,757669.27335704,110977.8
7.9,2.5873502386754,740720.40950422,109598.9
8,2.5299210182503,724062.77117189,108220
8.1,2.4733583554798,707693.22604616,108220
8.2,2.4180342588366,691603.50072395,108220
8.3,2.3642983621341,675776.63123334,108220
8.4,2.3118305989252,660193.27454153,108220
8.5,2.2603445992451,644837.24409488,108220
8.6,2.209614883528,629697.07286196,108220
8.7,2.1594771395405,614765.57525011,108220
